ID  объявления,Тип,Площадь,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
320064799,Продажа коммерческой земли,"17.73, га","Республика Хакасия, Абакан, Аскизский Тракт дачный район, Аскизский Тракт-Мечта СОСН","360000 руб., УСН",+79134405071,"Срочно!
Продается участок ЛПХ 17.73га.(примыкает к трассе и железной дороге).
Кадастровый номер 19:05:030803:0040
Категория земель:земли сельхоз.назначения.
Адрес:Республика Хакасия, Аскизский район.

Вид права:собственность.

Земля находится в самом перспективном месте! В 7км.,от Аскиза, примыкает к трассе и железной дороге.
Идеально подходит под кафе, автосервисы, магазины, склады и другие коммерческие объекты.
Возможно строительство жилых домов, кемпингов, на основании ФЗ-813,о сельском туризме, разрешающий размещаться на земле С/Х назначений., 8 фото",https://www.cian.ru/sale/commercial/320064799
210110772,Продажа коммерческой земли,"15.37, сот.","Республика Хакасия, Абакан, улица Гагарина, 98","600000 руб., УСН",+79833703928,"Земельный участок в черте города, первая линия, удобные подъездные пути.",https://www.cian.ru/sale/commercial/210110772
319825527,Продажа коммерческой земли,"6.8, сот.","Республика Хакасия, Абакан, Экскаваторная улица, 21","825370 руб., УСН",+79833703630,"Данные получены с сайта ГИС Торги.
Земельный участок, относящийся к категории земель населенных пунктов, расположенный по адресу: Российская Федерация, Республика Хакасия, городской округ город Абакан, город Абакан, улица Экскаваторная, земельный участок 21, 1 фото",https://www.cian.ru/sale/commercial/319825527
191509577,Продажа коммерческой земли,"10.0, сот.","Республика Хакасия, Абакан, улица Толстого","800000 руб., УСН",+79833703989,Продается земельный участок 14 соток в пром зоне.  Земля в собственности,https://www.cian.ru/sale/commercial/191509577
319825528,Продажа коммерческой земли,"11.43, сот.","Республика Хакасия, Абакан, улица Двадцать третья, 19","1046999 руб., УСН",+79833703630,"Данные получены с сайта ГИС Торги.
Земельный участок, относящийся к категории земель населенных пунктов, расположенный по адресу: Российская Федерация, Республика Хакасия, Городской округ город Абакан, город Абакан, улица Двадцать третья, 19, 1 фото",https://www.cian.ru/sale/commercial/319825528
319825526,Продажа коммерческой земли,"10.62, сот.","Республика Хакасия, Абакан, Парковая улица, 29","1289034 руб., УСН",+79833703630,"Данные получены с сайта ГИС Торги.
Земельный участок, относящийся к категории земель населенных пунктов, расположенный по адресу: Российская Федерация, Республика Хакасия, городской округ город Абакан, город Абакан, улица Парковая, земельный участок 31, 1 фото",https://www.cian.ru/sale/commercial/319825526
319825525,Продажа коммерческой земли,"12.07, сот.","Республика Хакасия, Абакан, улица Вознесения, 2Г","1364731 руб., УСН",+79833703630,"Данные получены с сайта ГИС Торги.
Земельный участок, относящийся к категории земель населенных пунктов, расположенный по адресу: Российская Федерация, Республика Хакасия, Городской округ город Абакан, город Абакан, улица Вознесения, земельный участок 2Д, 1 фото",https://www.cian.ru/sale/commercial/319825525
319499076,"Продажа коммерческой земли, здание","1.0, м2","Республика Хакасия, Абакан, Кирпичная улица, 49А","1750000 руб., УСН",+79832806642,"-Пpoдам учаcток 13824 кв.м, пром. назначения

Подходит для строительства: складов, промышленной либо производственной базы и многого другого

-Все городские сети есть рядом с участком.(Эл-во, вода, канализация)

- Получены и оплачены Т/У на эл-во (150кВт)
Кадастровый номер участка 19:01:120302:482

-Собственник, 1 фото",https://www.cian.ru/sale/commercial/319499076
318989581,Продажа коммерческой земли,"20.0, сот.","Республика Хакасия, Абакан, Складская улица, 21","4000000 руб., УСН","+79830547514, +79830547524","Срочно! Продается участок промышленного назначения. Собственник. 
Цена действительна 2 месяца. 
После 30.07 цена 8000000., 1 фото",https://www.cian.ru/sale/commercial/318989581
311313874,"Продажа коммерческой земли, здание","20000.0, м2","Республика Хакасия, Абакан","11000000 руб., УСН",+79135405848,"Продам 2 гектара промка, из постройки баня, все вопросы по телефону возможен торг!
  Республика Хакасия, Усть-Абаканский р-н, район развилки автодорог Абакан-Чарков-Абаканская ТЭЦ, 10 фото",https://www.cian.ru/sale/commercial/311313874
286257509,Продажа коммерческой земли,"30.0, сот.","Республика Хакасия, Абакан, улица Тельмана, 41","12000000 руб., УСН","+79830571013, +79134403806","Земельный участок в центре города, для бизнеса или строительства. 15 соток + прилегающая земля  порядка 15 соток. На участке -домик, гараж, банька, деревянные постройки, сараи. Дом находится прямо на углу - Тельмана -Чкалова, удобные, подъездные пути",https://www.cian.ru/sale/commercial/286257509
314186141,"Продажа коммерческой земли, здание","20540.0, м2","Республика Хакасия, Абакан, Заводская улица, 3И","35000000 руб., УСН",+79835733955,"Прoдается зeмeльный участок промнaзначeния, в развитом прoмышленнoм рaйoнe гopoда. Вся инфрaстpуктурa. Boзмoжно пpовecти вcе коммуникации, на теpритopии еcть фундaмeнт для большогo cтроeния. Pядом остановкa 18 aвтобуса. Oбщая плoщaдь 20541 кв. Вoзмoжно paзделить нa два учaстка цeнa 250 тыс за сотку., 2 фото",https://www.cian.ru/sale/commercial/314186141
239838542,Продажа коммерческой земли,"305.0, сот.","Республика Хакасия, Абакан, улица Чебодаева","50000000 руб., УСН",+79830570558,"Продается земельный участок 30550 м2, в черте города, с возможностью разделения на 3 участка. Собственник, 1 фото",https://www.cian.ru/sale/commercial/239838542
191540783,Продажа коммерческой земли,"2.02, га","Республика Хакасия, Абакан, Таежный проезд, 1В","67000000 руб., УСН",+79134404082,на участке четыре здания. всё в собственности. подробности при заинтересованности.,https://www.cian.ru/sale/commercial/191540783
