ID  объявления,Тип,Площадь,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
320495699,Продажа коммерческой земли,"350.0, сот.","Ростовская область, Аксайский район, Аксай","1494000 руб., УСН",+79185274646,"Арт. 91341737 Продается ПАЙ в Аксайском районе, сельхоз. назначение.
Идеально подходит для ведении хозяйства, животноводства.
Земля находится не далеко от новой Федеральной дороги. 



ВАШ СПЕЦИАЛИСТ ПО НЕДВИЖИМОСТИ ГОАР ВОЛОДЯЕВНА
АН ДОМИАН РАБОТАЕМ 24/7 ВСЕ СДЕЛКИ С НЕДВИЖИМОСТЬЮ 


покупатель отдельно платит комиссию!!!, 1 фото",https://www.cian.ru/sale/commercial/320495699
315084504,Продажа коммерческой земли,"13.0, сот.","Ростовская область, Аксайский район, Аксай, площадь Ленина","6800000 руб., УСН",+79889506358,"Земельный участок под застройку складов площадью 13 соток адресу Ростовская область, р-н Аксайский

Характеристики и преимущества:
- кадастровые номера: 61:02:0600010:9901; 61:02:0600010:9896
- Категория земель: Земли поселений (земли населенных пунктов)
- Разрешенное использование:  Для сельскохозяйственного использования
- возможно увеличение площади еще на 25 соток 
- мощность 20 кВт
- вода - скважина 
------------------------------------------------- -----------------------------------
По всем вопросам можете обращаться к вашему персональному менеджеру:
Васильева Елена - консультант по направлению офисные и торговые помещения
------------------------------------------------- -----------------------------------
Регион Бизнес Недвижимость
От собственника. Без комиссии.
Специальные условия для агентов по данному объекту.

Номер объекта: #1/552072/17649, 6 фото",https://www.cian.ru/sale/commercial/315084504
320564040,Продажа коммерческой земли,"5.5, сот.","Ростовская область, Аксайский район, Аксай, улица Ильинская, 30/33","8900000 руб., УСН","+79896205481, +79198718945","Продается угловой земельный участок на центральной улице 5,5 соток земли назначение коммерческое.
На участке разрешено построить 3 строения по 100 м.кв. либо одно 300 м.кв.
2 фасада 29 м на 19 м.
Есть возможность увеличить участок до 10,5 соток 
Коммуникации подведены к участку. ( Газ,вода, центральная канализация, электричество), 3 фото",https://www.cian.ru/sale/commercial/320564040
319397877,Продажа коммерческой земли,"45.0, сот.","Ростовская область, Аксайский район, Аксай, 14-я линия, 7","27000000 руб., УСН",+79885403032,"В продаже 45 соток около ТЦ Мега (на обратной стороне). Территориально участок относится к городу Аксаю. В собственности. Идеально подойдет под склад, объекты торговли и др. На фото показано варианты въезда-выезда на участок (официальный документ). Категория земель: Земли населенных пунктов. Есть документация по разработке проекта планировки и проекта межевания территории большого соседнего земельного участка (по запросу вышлю), которые уже будут строить ск ССК (участки уже распланированы). Цена-27 млн.р. Можно продать 120 соток.

 Находится в зоне коммерческого назначения (КТ). По основным видам разрешенного ис-пользования на участке можно строить: 
1) Магазины и объекты торговли; 
2) Гостиничное обслуживание; 
3) Деловое управление; 
4) Обслуживание перевозок пассажиров; 
5) Религиозное использование. 
По условно разрешённым видам использования можно строить: 
1) Склады;
 2) Бытовое обслуживание; 
3) Развлекательные мероприятия.


БЕРУ на продажу объекты Коммерческой недвижимости в К ..., 4 фото",https://www.cian.ru/sale/commercial/319397877
319420884,Продажа коммерческой земли,"45.0, сот.","Ростовская область, Аксайский район, Аксай, 4-я линия, 17","27000000 руб., УСН",+79896212347,"Каталожный номер — C000352

В продаже 45 соток около ТЦ Мега (на обратной стороне). Территориально участок относится к городу Аксаю. В собственности. Идеально подойдет под склад, объекты торговли и др. На фото показано варианты въезда-выезда на участок (официальный документ). Категория земель: Земли населенных пунктов. Есть документация по разработке проекта планировки и проекта межевания территории большого соседнего земельного участка (по запросу вышлю), которые уже будут строить ск ССК (участки уже распланированы). Цена-27 млн.р. Можно продать 120 соток.

 Находится в зоне коммерческого назначения (КТ). По основным видам разрешенного использования на участке можно строить: 
1) Магазины и объекты торговли; 
2) Гостиничное обслуживание; 
3) Деловое управление; 
4) Обслуживание перевозок пассажиров; 
5) Религиозное использование. 
По условно разрешённым видам использования можно строить: 
1) Склады;
 2) Бытовое обслуживание; 
3) Развлекательные мероприятия;
4) Автомобильные мойки;
5) Р ..., 4 фото",https://www.cian.ru/sale/commercial/319420884
293256503,Продажа коммерческой земли,"100.0, сот.","Ростовская область, Аксайский район, Аксай, Надежда-Ива садоводческое товарищество, 471","30000000 руб., УСН",+79885520398,"Продам участок в доль трассы М 4, фасад на трассу 95м, ПЗЗ на руках, подробнее по телефону., 7 фото",https://www.cian.ru/sale/commercial/293256503
284540081,Продажа коммерческой земли,"6600.0, сот.","Ростовская область, Аксайский район, Аксай","52800000 руб., УСН",+79889506358,"Продается земельный участок площадью 66Га по адресу Ростовская область, р-н Аксайский, АО Аксайское , поле 1, 2.

Характеристики и преимущества:
- земельный участок площадью 660 000 кв. м
- удобная транспортная доступность
- кадастровый номер: 61:02:0600010:16608

- категория земель: земли сельскохозяйственного назначения
- межевание: проведено
- расстояние от шоссе до участка 800м
- есть возможность перевести землю в категорию промышленное назначение
------------------------------------------------- ---------------------
По всем вопросам можете обращаться к вашему персональному менеджеру:
Бугаёв Артём - консультант по продаже коммерческой недвижимости
------------------------------------------------- ---------------------
Регион Бизнес Недвижимость
От собственника. Без комиссии.
Специальные условия для агентов по данному объекту.
Арт. 19380364

Номер объекта: #1/547093/17649, 2 фото",https://www.cian.ru/sale/commercial/284540081
308789013,Продажа коммерческой земли,"120.0, сот.","Ростовская область, Аксайский район, Аксай, 15-я линия, 1","85000000 руб., УСН",+79885403032,"В продаже 1.2 га. около ТЦ Мега (на обратной стороне). Территориально участок относится к городу Аксаю. Размер участка 100 х 120 метров. В собственности. Идеально подойдет под склад, объекты торговли и др. Можно продать меньшее количество земли.
На фото показаны варианты въезда - выезда на участок в разные стороны (есть официальный документ).
Категория земель: Земли населенных пунктов.
Есть документация по разработке проекта планировки и проекта межевания территории большого соседнего земельного участка (по запросу вышлю), которые уже будут строить ск ССК (участки уже распланированы). Цена-85 млн.р. Можно продать отдельно 45 соток.
Находится в зоне коммерческого назначения (КТ).
По основным видам разрешенного использования на участке можно строить:
1) Магазины и объекты торговли;
2) Гостиничное обслуживание;
3) Деловое управление;
4) Обслуживание перевозок пассажиров;
5) Религиозное использование.
По условно разрешённым видам использования можно строить:
1) Склады;
2) Бытовое обслужива ..., 5 фото",https://www.cian.ru/sale/commercial/308789013
305322035,Продажа коммерческой земли,"1050.0, сот.","Ростовская область, Аксайский район, Аксай, М-4 Дон, 1059-й км","120000000 руб., УСН",+79885403032,"В продаже фасадный участок на трассу 10.5 га пос.Дорожный Аксайский район. Под пром.производство, склады. Участок примыкает к уже существующим логистическим центрам. Съезд есть, широкий фасад на трассу. Можно от 1 МВт. и выше.-120 млн.р.
2) В продаже 10 га. уже промназначения гор.Батайск, Азовский район. Подъезд асфальт. В собственности. Есть свидетельство на ж.д. тупик.-200 млн.р.
3) Продажа на трассе М-4 15га. в зоне по ПЗЗ промышленного назначения.
1 линия от трассы. В собственности. По краю участка проходит ЛЭП, ее можно перенести. Есть выезд на трассу по рокадной дороге вдоль лесополосы. К участку примыкает земля 5 га. пром.назначения со съездом на трассу, подъезд асфальт, тоже можно купить. По электроэнергии есть лимиты только у нас до 5 МВт., в ближайшем окружении лимитов по электроэнергии вообще нет. Цена- 25 млн.р. за 1 га.
4) Продается 21 га. уже переведенного в промышленное назначение в Аксайском районе пос.Грушевская, рядом с трассой М-4. В собственности. Имеет широкий асфа ..., 1 фото",https://www.cian.ru/sale/commercial/305322035
315087681,Продажа коммерческой земли,"14100.0, сот.","Ростовская область, Аксайский район, Аксай","135000000 руб., УСН",+79889506358,"Земельный участок площадью 141 га в границах между АО Родина и хутор Маяковского

Характеристики и преимущества:
- кадастровые номера земельных участков: 
61:02:600016:2396, площадью 657234 кв. м
61:02:600016:2395, плошадью 774975 кв. м
- категория земель: земли сельскохозяйственного назначения
- разрешенное использование (ВРИ): Для сельскохозяйственного производства
------------------------------------------------- ----------------------
По всем вопросам можете обращаться к вашему персональному менеджеру:
Старченко Инна  консультант по направлению торговые и офисные помещения
------------------------------------------------- ---------------------
Регион Бизнес Недвижимость
От собственника. Без комиссии.
Специальные условия для агентов по данному объекту.



Номер объекта: #1/550636/17649, 1 фото",https://www.cian.ru/sale/commercial/315087681
315096430,Продажа коммерческой земли,"60.0, сот.","Ростовская область, Аксайский район, Аксай","140000000 руб., УСН",+79889506358,"Земельный участок под строительство коммерческой недвижимости площадью 60 соток по адресу Аксай, Ростовская область, Аксайский проспект.

Характеристики и преимущества:
- кадастровый номер: 61:02:0600010:5226
- участок прямоугольной формы, расположен вдоль дороги ведущей к будущему жилому микрорайону
- под строительство коммерческой недвижимости (торгового центра, гипермаркета и т д)
- участок имеет удобное расположение вблизи трассы М4
- рядом в ближайшее время начнется строительство нового жилого комплекса
------------------------------------------------- -----------------------------------
По всем вопросам можете обращаться к вашему персональному менеджеру:
Виталий Кошенский - консультант по направлению складские и производственные помещения
------------------------------------------------- -----------------------------------
Регион Бизнес Недвижимость
От собственника. Без комиссии.
Специальные условия для агентов по данному объекту



Номер объекта: #1/549718/17649, 6 фото",https://www.cian.ru/sale/commercial/315096430
