ID  объявления,Тип,Площадь,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
319869864,Продажа коммерческой земли,"6.92, сот.","Свердловская область, Сысертский район, Арамиль","2456000 руб., УСН",79120511016,"Данные получены с сайта ГИС Торги.
Земельный участок с кадастровым номером 66:33:0101010:1757, расположенный по адресу: Свердловская область, Арамильский городской округ, город Арамиль, улица Свободы, площадью 692 кв.м., категория земель: земли населенных пунктов, вид разрешенного использования: для индивидуального жилищного строительства. Земельный участок расположен в территориальной зоне:ЖТ-1. Зона размещения индивидуальной жилой застройки усадебного типа города Арамиль Арамильского городского округа Свердловской области, 5 фото",https://www.cian.ru/sale/commercial/319869864
319869863,Продажа коммерческой земли,"7.03, сот.","Свердловская область, Сысертский район, Арамиль","2489000 руб., УСН",79120511016,"Данные получены с сайта ГИС Торги.
Земельный участок с кадастровым номером 66:33:0101010:1756, расположенный по адресу: Свердловская область, Арамильский городской округ, город Арамиль, улица Свободы, площадью 703 кв.м., категория земель: земли населенных пунктов, вид разрешенного использования: для индивидуального жилищного строительства. Земельный участок расположен в территориальной зоне:ЖТ-1. Зона размещения индивидуальной жилой застройки усадебного типа города Арамиль Арамильского городского округа Свердловской области, 5 фото",https://www.cian.ru/sale/commercial/319869863
319869861,Продажа коммерческой земли,"7.0, сот.","Свердловская область, Сысертский район, Арамиль","2480000 руб., УСН",79120511016,"Данные получены с сайта ГИС Торги.
Земельный участок с кадастровым номером 66:33:0101010:1752, расположенный по адресу: Свердловская область, Арамильский городской округ, город Арамиль, улица Свободы, площадью 700 кв.м., категория земель: земли населенных пунктов, вид разрешенного использования: вид разрешенного использования: для индивидуального жилищного строительства. Земельный участок расположен в территориальной зоне:ЖТ-1. Зона размещения индивидуальной жилой застройки усадебного типа города Арамиль Арамильского городского округа Свердловской области, 6 фото",https://www.cian.ru/sale/commercial/319869861
319869862,Продажа коммерческой земли,"7.12, сот.","Свердловская область, Сысертский район, Арамиль","2515000 руб., УСН",79120511016,"Данные получены с сайта ГИС Торги.
Земельный участок с кадастровым номером 66:33:0101010:1755, расположенный по адресу: Свердловская область, Арамильский городской округ, город Арамиль, улица Свободы, площадью 712 кв.м., категория земель: земли населенных пунктов, вид разрешенного использования: для индивидуального жилищного строительства. Земельный участок расположен в территориальной зоне:ЖТ-1. Зона размещения индивидуальной жилой застройки усадебного типа города Арамиль Арамильского городского округа Свердловской области, 5 фото",https://www.cian.ru/sale/commercial/319869862
319869858,Продажа коммерческой земли,"7.26, сот.","Свердловская область, Сысертский район, Арамиль","2557000 руб., УСН",79120511016,"Данные получены с сайта ГИС Торги.
Земельный участок с кадастровым номером 66:33:0101010:1751, расположенный по адресу: Свердловская область, Арамильский городской округ, город Арамиль, улица Свободы, площадью 726 кв.м, категория земель: земли населенных пунктов, вид разрешенного использования: для индивидуального жилищного строительства. Земельный участок расположен в территориальной зоне:ЖТ-1. Зона размещения индивидуальной жилой застройки усадебного типа города Арамиль Арамильского городского округа Свердловской области, 8 фото",https://www.cian.ru/sale/commercial/319869858
319869865,Продажа коммерческой земли,"7.88, сот.","Свердловская область, Сысертский район, Арамиль","2739000 руб., УСН",79120511016,"Данные получены с сайта ГИС Торги.
Земельный участок с кадастровым номером 66:33:0101010:1758, расположенный по адресу: Свердловская область, Арамильский городской округ, город Арамиль, улица Свободы, площадью 788 кв.м., категория земель: земли населенных пунктов, вид разрешенного использования: размещение гаражей для собственных нужд. Земельный участок расположен в территориальной зоне:ЖТ-1. Зона размещения индивидуальной жилой застройки усадебного типа города Арамиль Арамильского городского округа Свердловской области, 6 фото",https://www.cian.ru/sale/commercial/319869865
319869866,Продажа коммерческой земли,"8.04, сот.","Свердловская область, Сысертский район, Арамиль","2786000 руб., УСН",79120511016,"Данные получены с сайта ГИС Торги.
Земельный участок с кадастровым номером 66:33:0101010:1759, расположенный по адресу: Свердловская область, Арамильский городской округ, город Арамиль, улица Свободы, площадью 804 кв.м., категория земель: земли населенных пунктов, вид разрешенного использования: для индивидуального жилищного строительства. Земельный участок расположен в территориальной зоне:ЖТ-1. Зона размещения индивидуальной жилой застройки усадебного типа города Арамиль Арамильского городского округа Свердловской области, 6 фото",https://www.cian.ru/sale/commercial/319869866
319869859,Продажа коммерческой земли,"8.45, сот.","Свердловская область, Сысертский район, Арамиль","2905000 руб., УСН",79120511016,"Данные получены с сайта ГИС Торги.
Земельный участок с кадастровым номером 66:33:0101010:1754, расположенный по адресу: Свердловская область, Арамильский городской округ, город Арамиль, улица Свободы, площадью 845 кв.м., категория земель: земли населенных пунктов, вид разрешенного использования: для индивидуального жилищного строительства. Земельный участок расположен в территориальной зоне: ЖТ-1. Зона размещения индивидуальной жилой застройки усадебного типа города Арамиль Арамильского городского округа Свердловской области, 6 фото",https://www.cian.ru/sale/commercial/319869859
319869860,Продажа коммерческой земли,"8.64, сот.","Свердловская область, Сысертский район, Арамиль","2959000 руб., УСН",79120511016,"Данные получены с сайта ГИС Торги.
Земельный участок с кадастровым номером 66:33:0101010:1753, расположенный по адресу: Свердловская область, Арамильский городской округ, город Арамиль, улица Свободы, площадью 864 кв.м., категория земель: земли населенных пунктов, вид разрешенного использования: для индивидуального жилищного строительства. Земельный участок расположен в территориальной зоне: ЖТ-1. Зона размещения индивидуальной жилой застройки усадебного типа города Арамиль Арамильского городского округа Свердловской области, 7 фото",https://www.cian.ru/sale/commercial/319869860
319869857,Продажа коммерческой земли,"9.08, сот.","Свердловская область, Сысертский район, Арамиль","3085000 руб., УСН",79120511016,"Данные получены с сайта ГИС Торги.
Земельный участок с кадастровым номером 66:33:0101010:1747, расположенный по адресу: Свердловская область, Арамильский городской округ, город Арамиль, улица Свободы, площадью 908 кв.м, категория земель: земли населенных пунктов, вид разрешенного использования: для индивидуального жилищного строительства. Земельный участок расположен в территориальной зоне: ЖТ-1. Зона размещения индивидуальной жилой застройки усадебного типа города Арамиль Арамильского городского округа Свердловской области, 7 фото",https://www.cian.ru/sale/commercial/319869857
319869854,Продажа коммерческой земли,"9.41, сот.","Свердловская область, Сысертский район, Арамиль","3180000 руб., УСН",79120511016,"Данные получены с сайта ГИС Торги.
Земельный участок с кадастровым номером 66:33:0101010:1748, расположенный по адресу: Свердловская область, Арамильский городской округ, город Арамиль, улица Свободы, площадью 941 кв.м, категория земель: земли населенных пунктов, вид разрешенного использования: для индивидуального жилищного строительства. Земельный участок расположен в территориальной зоне:ЖТ-1. Зона размещения индивидуальной жилой застройки усадебного типа города Арамиль Арамильского городского округа Свердловской области, 5 фото",https://www.cian.ru/sale/commercial/319869854
319869855,Продажа коммерческой земли,"9.9, сот.","Свердловская область, Сысертский район, Арамиль","3318000 руб., УСН",79120511016,"Данные получены с сайта ГИС Торги.
Земельный участок с кадастровым номером 66:33:0101010:1749, расположенный по адресу: Свердловская область, Арамильский городской округ, город Арамиль, улица Свободы, площадью 990 кв.м, категория земель: земли населенных пунктов, вид разрешенного использования: для индивидуального жилищного строительства. Земельный участок расположен в территориальной зоне: ЖТ-1. Зона размещения индивидуальной жилой застройки усадебного типа города Арамиль Арамильского городского округа Свердловской области, 5 фото",https://www.cian.ru/sale/commercial/319869855
319869856,Продажа коммерческой земли,"10.36, сот.","Свердловская область, Сысертский район, Арамиль","3447000 руб., УСН",79120511016,"Данные получены с сайта ГИС Торги.
Земельный участок с кадастровым номером 66:33:0101010:1750, расположенный по адресу: Свердловская область, Арамильский городской округ, город Арамиль, улица Свободы, площадью 1036 кв.м, категория земель: земли населенных пунктов, вид разрешенного использования: для индивидуального жилищного строительства. Земельный участок расположен в территориальной зоне: ЖТ-1. Зона размещения индивидуальной жилой застройки усадебного типа города Арамиль Арамильского городского округа Свердловской области., 5 фото",https://www.cian.ru/sale/commercial/319869856
319778880,Продажа коммерческой земли,"7.63, сот.","Свердловская область, Сысертский район, Арамиль, Октябрьская улица, 175А","11000000 руб., УСН",79122425489,"Продается участок 763 м² с объектом незавершенного строительства (Арамиль)  

 Земли населённого пункта  
Разрешенное использование: бытовое обслуживание (открытие мастерской, сервиса, магазина)  

 Преимущества:  
 Площадь 763 м²  место для бизнеса с перспективой расширения  
 На участке есть незавершенный объект  можно достроить под свои задачи  
 Удобное расположение в черте города  клиенты всегда рядом  

Важно! Участок подходит для продолжения строительства или перепрофилирования., 5 фото",https://www.cian.ru/sale/commercial/319778880
312899323,Продажа коммерческой земли,"92.95, сот.","Свердловская область, Сысертский район, Арамиль, Трудовая улица, 18","31000000 руб., УСН",79126641642,"B цeну включeн НДС 5%.
Пpодается прoмышлeнная база площaдью 9295 м², распoлoжeнная в г.Арамиль, Cыcертский pайoн, Cвеpдловcкaя oблaсть. Это отличноe решение для размещения бизнеса благодаря готовой инфраструктуре, удобному расположению и перспективам развития.

ПРЕИМУЩЕСТВА ОБЪЕКТА:
Транспортная доступность:
- Расстояние до центра Екатеринбурга: 25 км
- Удобное сообщение с ЕКАД (13 км) и федеральными трассами

ОСНОВНЫЕ ХАРАКТЕРИСТИКИ УЧАСТКА
- Категория земли: земли населенных пунктов
- Разрешённое использование: под объект коммунально-складского хозяйства
- ГПЗУ: свежее, готово к реализации проектов
- Территория: полностью огорожена забором
- Электроснабжение: трансформаторная подстанция 150 кВт с возможностью увеличения
- Водоснабжение: 1 скважина
- Канализация: центральная
- Газоснабжение: получены технические условия

ЗДАНИЯ И ПОСТРОЙКИ НА УЧАСТКИ:
Утеплённый ангар:
- Площадь: 312 м² (12х26 м)
- Высота: до кранбалки  6 м, до конька  7,5 м
- Оборудован кранбалкой на 3,2 тонны

Произ ..., 16 фото",https://www.cian.ru/sale/commercial/312899323
320218364,Продажа коммерческой земли,"200.73, сот.","Свердловская область, Сысертский район, Арамиль, Трудовая улица, 14","85000000 руб., УСН",79126641642,"В цену включeн HДС 5%.

Продается пpoмышлeнная бaза-зeмельный учаcтoк плoщадью 20 073 м², paспoложeнная в г. Aрамиль, Cысертcкий paйон, Свеpдл.обл., ул. Трудовaя. Apaмиль отличaeтcя активным развитием коттеджных поселков, что открывает широкие возможности для привлечения сотрудников и клиентов. Это отличное место для размещения вашего бизнеса, предлагающее множество преимуществ.
ТРАНСПОРТНАЯ ДОСТУПНОСТЬ:
- Расстояние по автодороге до ЕКАД 13 км.
- Удобное автомобильное сообщение с Екатеринбургом, близость выезда на ЕКАД, что позволяет выехать в любом направлении.
- Близость остановок общественного транспорта.

ОСНОВНЫЕ ХАРАКТЕРИСТИКИ УЧАСТКА:
- Категория земли: земли населенных пунктов
- Разрешённое использование: под объект коммунально-складского хозяйства
- ГПЗУ: свежее, готово к реализации проектов
- Территория: полностью огорожена забором, оборудована круглосуточным пунктом охраны
- Трансформаторная подстанция: 450 киловатт с возможностью увеличения до 3-х мегаватт.
- Водоснабжение ..., 27 фото",https://www.cian.ru/sale/commercial/320218364
