ID  объявления,Тип,Площадь,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
279164184,Продажа коммерческой земли,"15.0, сот.","Алтайский край, Барнаул, проспект Калинина, 116/62А","12000000 руб., УСН","+79831706287, +79133608782","Земельный участок 15 соток под строительство склада, ангара.
Категория земель: Земли поселений (земли населенных пунктов)
Для эксплуатации производственных, административных зданий и железнодорожных путей Собственность, за забором Ж/путь., 8 фото",https://www.cian.ru/sale/commercial/279164184
319943769,Продажа коммерческой земли,"15.0, сот.","Алтайский край, Барнаул, Ткацкая улица","15000000 руб., УСН",+79835428646,"Земельный участок в 100 метрах от проспекта Ленина. Ровный, правильной прямоугольной формы, вдоль красной линии по ул. Ткацкая, 82. Плoщадь зeмельного учaстка состaвляeт 1446 кв.м., нaxoдится в арендe до 13.08.2028г. (с вoзмoжноcтью поcлeдующего выкупa). ГПЗУ получен. Для данного участка выполнен и согласован на Градсовете эскизный проект административного здания площадью 523.2 м2 с высотой потолков 7 метров, которое можно использовать как административно-выставочное.  Технические условия на электроэнергию, водоснабжение и  водоотведение получены. Ввод электричества на участке произведен, шкаф с учетом смонтирован. Аpенда нa текущую дату оплaченa в пoлнoм объeмe  и составляет 482960 рублей в год. Kaдастровый номер земельного участка 22:63:040111:32., 5 фото",https://www.cian.ru/sale/commercial/319943769
320606698,Продажа коммерческой земли,"13.54, сот.","Алтайский край, Барнаул, улица Гоголя, 15А","9500000 руб., УСН",+79132705374,"Код объекта: 1710603.
 Уникальное предложение для инвесторов и застройщиков: продаётся земельный участок в Барнауле по адресу улица Гоголя, 15А.

Участок площадью 13,54 соток расположен в районе малоэтажной многоквартирной жилой застройки. 
К участку ведёт асфальтированная дорога, а сам он уже подключён ко всем необходимым коммуникациям: электричеству, водоснабжению, газу и канализации.

Преимущество этого предложения — выгодное расположение в самом центре города, что открывает широкие возможности для строительства объекта с развитой инфраструктурой. 
Близость к центру и удобная транспортная доступность делают участок привлекательным для различных проектов.

Цена земельного участка делает его покупку выгодной инвестицией. 
Это редкая возможность приобрести участок с готовыми коммуникациями по привлекательной стоимости.

Позвоните нам прямо сейчас, чтобы узнать больше и записаться на просмотр. 
Мы гарантируем безопасную сделку и юридическую поддержку нашим клиентам. 
Поможем одобрить ип ..., 27 фото",https://www.cian.ru/sale/commercial/320606698
315671418,Продажа коммерческой земли,"520.0, сот.","Алтайский край, Барнаул, Правобережный тракт","20000000 руб., УСН",+79835637057,"Арт. 60912555 Продается уникальный земельный участок площадью 520 соток, расположенный на живописном Правобережном тракте с кадастровым номером: 22:33:040801:3404. Участок находится между двумя живописными водоемами, что делает его идеальным местом для создания базы отдыха, ресторана или пляжа.
 
Локация участка расположена в Российский Федерации, в Алтайском крае, в Первомайском районе, всего в 4500 метрах от западной границы села Фирсово и в северо-западном направлении. Данная земля относится к категории сельскохозяйственных угодий, с разрешенным использованием для сельскохозяйственного производства.
 
Отметим, что существует возможность перевода участка в другую категорию, что расширяет перспективы его использования. Это предложение станет отличным шагом для инвесторов или предпринимателей, желающих реализовать свой проект в благодатном и живописном регионе. Не упустите шанс стать владельцем этой жемчужины земли!, 5 фото",https://www.cian.ru/sale/commercial/315671418
318750096,Продажа коммерческой земли,"503.0, сот.","Алтайский край, Барнаул, проспект Космонавтов","250000000 руб., УСН",+79132312190,"Арт. 71174881 Технические условия на газ получены!
Продается земельный участок общей площадью 5.03 ГА по адресу г. Барнаул, пр-т.Космонавтов,77б
ТУ на ГАЗ 2130 КУБ.М/ЧАС.!!!
22:63:010301:253 - площадь 50309м2, категория земель: земли населенных пунктов, вид разрешенного использования: производственные предприятия, склады, оптовые базы, производственные базы строительных, коммунальных, транспортных и других предприятий V класса опасности по классификации СанПиН, для строительства завода плавленых сыров

Земельный участок в аренде на 8 лет на юридическом лице.

Хорошая развязка, развитая инфраструктура.

Показ по предварительной договоренности. Ждем ваших звонков, ответим на все вопросы., 11 фото",https://www.cian.ru/sale/commercial/318750096
315671409,Продажа коммерческой земли,"3400.0, сот.","Алтайский край, Барнаул, Правобережный тракт, 18","300000000 руб., УСН",+79835637057,"Арт. 27119135 Продается земельный участок, кадастровый номер 22:33:040801:6140, расположенный на федеральной трассе, что делает его идеальным местом для организации придорожного бизнеса, коттеджного поселка или объектов социально-культурной инфраструктуры. Участок находится по адресу: Правобережный тракт, в непосредственной близости от развязки дорог на старый и новый мост, что обеспечивает удобный доступ и высокую проходимость.
 
Общая площадь участка составляет 34 гектара, что предоставляет массу возможностей для реализации амбициозных проектов. В качестве ориентиров можно отметить заправочные станции ""Газпром"" и ""Лукойл"", что добавляет дополнительную ценность и привлекательность земельному участку для инвесторов.
 
Для успешной реализации задуманного необходимы грамотные инвестиционные вложения, которые позволят максимизировать потенциал данного участка. Перспектива развития здесь великолепная, что создает отличные условия для эффективного бизнеса или строительства современных жилых ..., 6 фото",https://www.cian.ru/sale/commercial/315671409
319040682,Продажа коммерческой земли,"10.24, сот.","Алтайский край, Барнаул, улица Трактовая, 2У","2100000 руб., УСН",+79836011201,"Продаётся участок под , склад, производство., 7 фото",https://www.cian.ru/sale/commercial/319040682
309618142,Продажа коммерческой земли,"13.0, сот.","Алтайский край, Барнаул, проспект Космонавтов, 34Г/1","6800000 руб., УСН","+79133610350, +79133605288","Продам земельный участок под автомастерскую или автомойку (фундамент заложен под строительство)

Категория земель: Земли населенных пунктов

Вид разрешенного использования: хранение автотранспорта, размещение гаражей для собственных нужд, представительская деятельность, деловое управление,объекты торговли (торговые центры), торгово-развлекательные центры (комплексы), служебные гаражи, объекты дорожного сервиса, автомобильные мойки, ремонт автомобилей

Готовы разрешения на коммуникации.
Технические условия на подключение получены.
Все подробности по телефону, 1 фото",https://www.cian.ru/sale/commercial/309618142
300677345,"Продажа коммерческой земли, здание","2000.0, м2","Алтайский край, Барнаул","7000000 руб., УСН",+79132112433,"Продаю участок под коммерческую застройку. Напротив ""Облепихи"". Собственность. Разрешённый вид использования: объекты дорожного сервиса (общепит, автосервис). Утверждён ГПЗУ (ПОДРОБНОСТИ ПО ТЕЛ.), электроэнергия, газ. Удобный заезд с трассы Р-256. Пятно застройки 360 кв.м. можно 3 этажа., 8 фото",https://www.cian.ru/sale/commercial/300677345
312596360,Продажа коммерческой земли,"8.0, сот.","Алтайский край, Барнаул, улица Трактовая, 19Г/1","7750000 руб., УСН",+79833800317,"Земельный участок для эксплуатации административно-производственных зданий, складов. Кадастровый номер: 22:63:030327:750. Собственность. Продажа от физического лица., 4 фото",https://www.cian.ru/sale/commercial/312596360
320615313,Продажа коммерческой земли,"38.0, сот.","Алтайский край, Барнаул, улица Попова, 262А","10000000 руб., УСН",+79836008448,"Продам земельный участок 38 соток
ВРИ 6.9 (склад)
Удобные подъездные пути
Осмотр на месте по предварительному согласованию

Номер объекта: #1/827976/12881, 1 фото",https://www.cian.ru/sale/commercial/320615313
300716789,"Продажа коммерческой земли, здание","1000.0, м2","Алтайский край, Барнаул, улица Папанинцев, 165","10000000 руб., УСН",+79132305616,"Продаю или ищу инвесторов. Участок площадью 10 соток по адресу г. Барнаул, ул. Папанинев 165. Имеются технические условия на электричество и водоснабжение и водоотведение. Участок в аренде до 2025 года для эксплуатации автостоянки, автомойки. Возможно продление договора аренды на 49 лет. Возможно изменение вида разрешенного использования. Торг. Рассмотрю варианты обмена на сельхозпродукцию, сельхозтехнику, спецтехнику, грузовые или легковые автомобили, можно после дтп. Желательно писать тут или звоните по указанному номеру телефона., 10 фото",https://www.cian.ru/sale/commercial/300716789
320093645,Продажа коммерческой земли,"50.0, сот.","Алтайский край, Барнаул, Дальняя улица, 24","18000000 руб., УСН",+79833505093,"В продаже земельный участок площадью 1га в промышленной части.возможно продажа двух участков по 50 соток. Ровной , правильной формы. Кадастровый номер 22:63:030502:608. 
Вид разрешенного использования:
Производственные предприятия, склады, оптовые базы, производственные базы строительных, коммунальных, транспортных и других предприятий V класса опасности по классификации СанПиН
Аренда 49 лет.
Стоимость указана за 50 соток!!, 2 фото",https://www.cian.ru/sale/commercial/320093645
315377311,Продажа коммерческой земли,"50.0, сот.","Алтайский край, Барнаул, Дальняя улица, 24","18000000 руб., УСН",+79833505093,"в продаже участок площадью 1 га, возможно разделить на 2 участка по 50 соток, стоимость указана за 50 соток., 1 фото",https://www.cian.ru/sale/commercial/315377311
312348514,Продажа коммерческой земли,"80.0, сот.","Алтайский край, Барнаул, Звездная улица, 2","20000000 руб., УСН",+79836008448,"Продам земельный участок от собственника!

 Адрес: г. Барнаул, ул. Звездная, 17а/1
 Площадь: 7 991 кв. м (0,8 Га)
 Кадастровый номер: 22:63:030219:2030

 Земельный участок расположен в промышленной зоне со сложившейся инфраструктурой, включающей:
 Склады
 Торговые объекты
 Производственные предприятия

 Удобный подъезд: асфальтированная дорога от Павловского тракта по ул. Звездная до границы участка (район теплиц).

???? Цель предоставления:
 Производственная деятельность
 Хранение автотранспорта
 Склады

Это отличная возможность для развития производственной, складской или логистической деятельности в перспективном районе с развитой инфраструктурой! Не упустите шанс!

Готовность к строительству: получен ГПЗУ (Градостроительный план земельного участка), что ускоряет процесс реализации проектов.

Цель предоставления земельного участка: для строительства производственного предприятия.

Земельный участок расположен в территориальной производственной зоне (ПК-1).

 Категория земель: Земли  ..., 14 фото",https://www.cian.ru/sale/commercial/312348514
296631532,"Продажа коммерческой земли, здание","250000.0, м2","Алтайский край, Барнаул, тракт Павловский","20000000 руб., УСН",+79831002670,"20 000 000 за га.
В наличии 2.5га.
Возможно межевание, техусловия на подключения электроэнергии, центрального водопровода, газа., 2 фото",https://www.cian.ru/sale/commercial/296631532
320093528,Продажа коммерческой земли,"1.0, га","Алтайский край, Барнаул, Базовый проезд, 13","28000000 руб., УСН",+79833505093,"Расположен в хорошей локации. Промышленное назначение. Переуступка права аренды. Возможно строительство объекта на данном участке по вашим потребностям.
Так же в продаже участок площадью 1 га , кадастровый номер 22:63:010301:618. Назначение склады. 
Ровная правильная форма, 2 фото",https://www.cian.ru/sale/commercial/320093528
315377347,Продажа коммерческой земли,"1.0, га","Алтайский край, Барнаул, Базовый проезд, 13","29000000 руб., УСН",+79833505093,"Расположен в хорошей локации.
Промышленное назначение. Переуступка права аренды. Возможно строительство объекта на данном участке по вашим потребностям.
Так же в продаже участок площадью 1 га, кадастровый номер 22:63:010301:618.
Назначение склады.
Ровная правильная форма, 3 фото",https://www.cian.ru/sale/commercial/315377347
318770897,Продажа коммерческой земли,"149.8, сот.","Алтайский край, Барнаул, Звездная улица, 33","30000000 руб., УСН",+79836008448,"Участок промышленного назначения с готовыми коммуникациями в Барнауле  
Площадь: 14 980 м² 
Функциональная зона: ПК-1.2 (промышленно-коммунальная) 

Идеальное предложение для  ищущих готовую площадку для расширения или запуска нового проекта!

Ключевые характеристики:
 Готовые коммуникации:
Электроэнергия: до 900 кВт (достаточно для среднего производства)
Газоснабжение: до 840 м/час (обеспечивает технологические процессы)
Водоснабжение: от существующей скважины (стабильный источник воды)
  Готовый проект и разрешение на строительство:
- Получено разрешение на строительство склада площадью 1 493 м²
- Разработан и согласован проект для строительства

 Транспортная логистика: 
- Непосредственная близость к ключевым транспортным артериям 
- 1.2 км до ул. Трактовой 
- 2 км до Павловского тракта 
- 3.5 км до ж/д станции ""Барнаул-Грузовой"" 
- Выезд на федеральные трассы P-256 и A-322 
 
 Инфраструктурное окружение: 
- Расположен в промышленном кластере Индустриального района 
- Соседство с ТЭ ..., 10 фото",https://www.cian.ru/sale/commercial/318770897
319433130,Продажа коммерческой земли,"15.0, сот.","Алтайский край, Барнаул, переулок Колядо","30000000 руб., УСН",+79836007522,"Объект находится в центральном районе в нагорной части города ! Идеальная транспортная развязка во всех направлениях .С данного участка просматривается весь город !!!!

Наименование вида разрешенного использования 
земельного участка;


1. Малоэтажная многоквартирная жилая застройк

2.Религиозное использование.

3.Гостиничное обслуживание.

4.Связь.

5.Стоянки транспорта общего пользования.
___________________________________

Вспомогательные виды использования зем участка ;
1.Для индивидуального жилищного строительства .
2.Для ведения личного подсобного хозяйства (приусадебный
земельный участок).
3.Обслуживание жилой застройки.
4.Хранение автотранспорта.
5.Коммунальное обслуживание.
6.Социальное обслуживание.
7.Бытовое обслуживание.
8.Амбулаторно-поликлиническое обслуживание.
9.Дошкольное, начальное и среднее общее образование.
10.Общественное управление.
11.Деловое управление.
12.Магазины.
13.Банковская и страховая деятельность.
14.Общественное питание.
Обеспечение внутреннего правоп ..., 4 фото",https://www.cian.ru/sale/commercial/319433130
280536318,Продажа коммерческой земли,"34.0, сот.","Алтайский край, Барнаул, Власихинская улица, 57","34000000 руб., УСН",+79833505093,"Земельный участок расположен г.Барнаул
улица Власихинская 57е, кадастровый номер 22:63:030431:20
Участок ровный примыкает к ленточному бору.
В собственности , ограничений и обременений нет.Размежеван как на плане.
Стоимость 1млн/сотка, 3 фото",https://www.cian.ru/sale/commercial/280536318
