ID  объявления,Тип,Площадь,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
320545743,Продажа коммерческой земли,"180.0, сот.","Новосибирская область, Бердск, Химзаводская улица, 1А","120000000 руб., УСН",+79836299670,"Арт. 111917885 Имущественный комплекс для производственной деятельности

База расположена в промзоне г. Бердска с въездом/выездом на трассу Р-256.

Основные характеристики:
• площадь участка 1,80 Га (возможно увеличить +0,73 га с жд тупиком);
• отдельностоящее производственное здание с АБК;
• центральные коммуникации: отопление, водоснабжение, канализация;
• электромощности 278 кВт, своя ТПУ;
• собственник юрлицо с НДС.

Подробности по телефону. Звоните!, 5 фото",https://www.cian.ru/sale/commercial/320545743
320545681,Продажа коммерческой земли,"253.0, сот.","Новосибирская область, Бердск, Химзаводская улица, 1А","180000000 руб., УСН",+79836299670,"Арт. 111917887 Земельный участок промназначения с производственным зданием и ж/д тупиком

Имущественный комплекс расположена в промзоне г. Бердска с въездом/выездом на трассу Р-256

Основные характеристики:
• площадь участка 2,53 Га;
• отдельно стоящее производственное здание с АБК;
• действующий ж/д тупик;
• центральные коммуникации: отопление, водоснабжение, канализация;
• большие электромощности, своя ТПУ.

Подробности по телефону. Звоните!, 10 фото",https://www.cian.ru/sale/commercial/320545681
318734836,Продажа коммерческой земли,"537.0, сот.","Новосибирская область, Бердск, Первомайская улица, 2","399990000 руб., УСН",+79137211143,"Арт. 22370 Земельный участок под комплекс аппартаментов/базу отдыха и т.п.
Бердский залив.

Возможен частичный обмен на недвижимость (не жилье!) При застройке мкд - нет необходимости обеспечения социальной инфраструктурой. На встрече индивидуальные условия. Пересылки КП/документов и торга по телефону НЕТ!. Дополнительно оплачивается комиссия с покупателя, 1 фото",https://www.cian.ru/sale/commercial/318734836
316616795,Продажа коммерческой земли,"420.0, сот.","Новосибирская область, Бердск, улица Ленина, 1А","463000000 руб., УСН",+79137019713,"Арт. 21899 Предлагаем эксклюзивный земельный участок в курортном городе Бердск ,
площадью  4,2 Га 
который находиться в пятнадцати минутах до Обского моря .

Идеально подойдет для строительства гостиницы, жилья премиум сегмента, размещения коттеджного поселка

Возможен частичный расчёт ""квадратными метрами"". 

Участок в собственности, без обременений,  быстрый выход на сделку.

Адрес условный .
Напишите свой номер, направим предложение на ватсап.
. Дополнительно оплачивается комиссия с покупателя, 3 фото",https://www.cian.ru/sale/commercial/316616795
320133291,Продажа коммерческой земли,"27.1, сот.","Новосибирская область, Бердск, Химзаводская улица","3900000 руб., УСН",+79831512427,"В продаже земельный участок 27,1 сотки (Бердск, ул. Химзаводская), для размещения 
производства, склада, магазинов, торговых объектов, АЗС, объектов придорожного сервиса. 
Объект нашего агентства, покупатель комиссию не оплачивает.

1) Земельный участок: 
- кадастровый номер: 54:32:010659:3292,
- адрес: Новосибирская область, г. Бердск, в районе корпуса ул. Химзаводская, 11/2,
- площадь: 2707 м2 (27,1 сотки),
- минимальный процент застройки 10%,
- максимальный процент застройки 80 %,
- зона (П  производственная зона),
- варианты разрешенного использования: Производственная деятельность 6.0, Склады 6.9, Магазины 4.4, Общественное питание 4.6, Объекты дорожного сервиса 4.9.1, Недропользование 6.1, Тяжелая промышленность 6.2, Легкая промышленность 6.3, Фармацевтическая промышленность 6.3.1, Фарфоро-фаянсовая промышленность 6.3.2, Электронная промышленность 6.3.3, Ювелирная промышленность 6.3.4, Пищевая промышленность 6.4, Нефтехимическая промышленность 6.5, Строительная промышленность 6.6 ..., 15 фото",https://www.cian.ru/sale/commercial/320133291
320057260,Продажа коммерческой земли,"18.16, сот.","Новосибирская область, Бердск, Дружба садоводческое товарищество, 355","11000000 руб., УСН",+79137214372,"Предлагается к продаже уникальный земельный участок коммерческого назначения, общей площадью 18,2 сот, расположенный в черте города.
На участке расположено овощехранилище, подлежащее восстановлению, общей площадью 817,5 м2 с подъездными путями.
Участок ровный. прямоугольной формы, частично огороженный. Относится к Землям населенных пунктов, вид использования Склад. Рядом мебельная фабрика, автобаза и мемориальный магазин.
Без обременений. один собственник. Документы готовы к сделке. 
Звоните для получения более подробной информации и просмотру. 


Дополнительно оплачивается комиссия с покупателя.

Код пользователя: 125679
Номер в базе: 7794098, 17 фото",https://www.cian.ru/sale/commercial/320057260
316770103,Продажа коммерческой земли,"50.0, сот.","Новосибирская область, Бердск, Барнаульская улица","24990000 руб., УСН",+79831512427,"В продаже земельный участок 50 соток (Бердск, ориентир Колорлон), для размещения производства, склада, магазинов, торговых объектов, АЗС, объектов придорожного сервиса.
Объект нашего агентства, покупатель комиссию не оплачивает.

1) Земельный участок:
- кадастровый номер: 54:32:010659:3293,
- адрес: Новосибирская область, г. Бердск, в районе ул. Барнаульская,
- ориентир: земельный участок расположен справа вдоль трассы, не доезжая до ТК Колорлон, по адресу: г. Бердск, ул. Барнаульская, 19,
- площадь: 4997 м2 (50 соток),
- минимальный процент застройки 10%,
- максимальный процент застройки 80 %,
- пятно застройки: весь земельный участок, за исключением 3 метров от задней и боковых границ, и 5 метров от лицевой границы земельного участка,
- зона (П производственная зона),
- варианты разрешенного использования: Производственная деятельность 6.0, Склады 6.9, Магазины 4.4, Общественное питание 4.6, Объекты дорожного сервиса 4.9.1, Недропользование 6.1, Тяжелая промышленность 6.2, Легкая про ..., 11 фото",https://www.cian.ru/sale/commercial/316770103
314823558,Продажа коммерческой земли,"70.0, сот.","Новосибирская область, Бердск","57000000 руб., УСН",+79137602826,"Продается земельный участок для строительства АБК,производственно-складского комплекса. Краткие характеристики: площадь 0,7 Га, Ж/Д тупик,
на участке точки коммуникаций центральных сетей, 150 кВт ( с возможным увеличением).
Возможно содействие в проектировании , строительства,ввода в эксплуатации предполагаемого объекта .
риелторам просьба беспокоиться с наличием покупателя., 1 фото",https://www.cian.ru/sale/commercial/314823558
308926842,Продажа коммерческой земли,"9.0, га","Новосибирская область, Бердск","450000000 руб., УСН","+79139325463, +79133720315","Уникальное предложение  продажа земельного участка в сосновом бору.  Объекты недвижимого имущества, объединенные общей территорией, расположены вблизи от г.Новосибирск на лесном участке ""Речкуновская зона отдыха"" непосредственно на берегу Бердского залива. 
Земельный участок в собственности общей площадью 8 Га (размежеван на отдельные участки), категория земель - земли населенных пунктов (поселений).
Настоящий густой хвойный лес, примыкающий к песчаной пляжной полосе Бердского залива. Большая ровная поверхность водоема со слабым течением делает данное место идеальным для создания санаторно-курортного комплекса, глэмпинга высокого уровня или коттеджного клубного поселка.
На территории участка четыре корпуса капитальной постройки, а также хозяйственный блок для котельной, зарегистрированные как объекты незавершенного строительства 74% готовности. Состояние: возведены кирпичные коробки с железобетонными перекрытиями.
Общая площадь строений - 1810,7 кв.м.:
- нежилое помещение  613.5 кв.м,  ..., 10 фото",https://www.cian.ru/sale/commercial/308926842
315946939,Продажа коммерческой земли,"800.0, сот.","Новосибирская область, Бердск","450000000 руб., УСН",+79831006334,"Предлагается земельный участок, расположенный вдоль береговой линии живописного Бердского залива.

Свой выход к воде, возможно оборудовать пляжную зону отдыха. 

На участке расположен многолетний сосновый бор. Идеальное место для создания Санаторно-курортного комплекса, Коттеджного клубного поселка, Глэмпинга высокого уровня.

Общая площадь участка - 79828 кв. м.

К участку подведена труба магистрального газа. Есть скважина, здание КНС.

Дорога до участка - асфальт и железобетонные плиты.

На участке расположены 5-ти этажные кирпичные здания незавершенные строительством, предназначенные под санаторно-курортный комплекс, здание хоз. блока, План строений предоставляем по запросу.

Дорога до участка - асфальт и железобетонные плиты.

Общая площадь возведенных строений и зданий по фундаменту - 3478,8 кв. м. 

Расположение недалеко от города Новосибирска, третьего по численности населения города России, близость международного аэропорта, удобная транспортная доступность, наличие развитой ин ..., 14 фото",https://www.cian.ru/sale/commercial/315946939
