ID  объявления,Тип,Площадь,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
312284563,Продажа коммерческой земли,"5.06, сот.","Краснодарский край, Геленджик","1821600 руб., УСН",+79180303789,"Продажа сельскохозяйственных земельных участков в с. Кабардинка от собственника! 
 
Участки размежёваны.
Площадь от 4 до 6 соток.
 
Категория земель: Земли сельскохозяйственного назначения.
Разрешенный вид использования: для сельскохозяйственного производства.
 
Расположены вблизи трассы М-4.
Кадастровый номер: 23:40:0305000:1515, 4 фото",https://www.cian.ru/sale/commercial/312284563
319818235,Продажа коммерческой земли,"49.04, сот.","Краснодарский край, Геленджик","14221600 руб., УСН",+79180303789,"Прямая продажа от собственника. 

Предлагается земельный участок площадью 49,04 соток под объекты торговли, размещение гостиниц, развлечения, спорт и прочее. 

Участок расположен рядом с аэропортом. 
По утвержденным документам территориального планирования (правила землепользования и застройки), участок относится к многофункциональной общественно-деловой зоне ОД1.
Кадастровый номер: 23:40:0413056:484.

Стоимость 290 000 рублей за 1 сотку. 
Более подробную информацию можно уточнить по телефону., 3 фото",https://www.cian.ru/sale/commercial/319818235
319818298,Продажа коммерческой земли,"63.0, сот.","Краснодарский край, Геленджик","18270000 руб., УСН",+79180303789,"Прямая продажа от собственника. 
Предлагается земельный участок площадью 63 сотки под объекты торговли, размещение гостиниц, развлечения, спорт и прочее. 

Участок расположен рядом с аэропортом. 
По утвержденным документам территориального планирования (правила землепользования и застройки), участок относится к многофункциональной общественно-деловой зоне ОД1.
Кадастровый номер: 23:40:0413056:491.

Стоимость 290 000 рублей за 1 сотку. 
Более подробную информацию можно уточнить по телефону., 4 фото",https://www.cian.ru/sale/commercial/319818298
320147097,Продажа коммерческой земли,"6.0, сот.","Краснодарский край, Геленджик, улица Кирова, 23","55000000 руб., УСН",+79883806205,"Коммерческая земля. Подходит для стрoитeльcтва: Гостиницы, Офисного здания, Банка, Магазина, Ресторана, Медицинского и Диагностического центра, Учебного заведения и и другие виды деятельности...
Центр Гелeнджика, 350 м от мopя.
Фacaд выходит на центральную и сaмую пpоездную улицу Кирoва.
В шаговой доcтупнoсти вcя куpоpтная инфраструктуpa: Администрация города, Набepежная и Пляжи, Парк aттракционов, Aптeки, Центральный Рынoк, Cупеpмаpкеты: Перекpеcток, Пятeрочки и Мaгнит, Школа 3 и т.д.

Участок прямоугольной формы, ровный, без перепадов.
Площадь участка: 575 м²
Xорошее пятно застройки.
Высота застройки до 30 м, 7-8 этажей.
Все Центральные коммуникации - вода, канализация, газ, электроэнергия.
Получены документы:
ГПЗУ - Градостроительный план земельного участка. 
ПЗЗ - Правила землепользования и застройки.
Согласно ГПЗУ - Участок расположен в зоне Р3 - Зона отдыха. 
Согласно ПЗЗ Зона Р3 подходит для строительства: Гостиницы, Коммерческих и офисных помещений, здания Банка, Магазина, Рест ..., 5 фото",https://www.cian.ru/sale/commercial/320147097
272437379,Продажа коммерческой земли,"0.0335, га","Краснодарский край, Геленджик, проспект Геленджикский","12500000 руб., УСН",+79189711053,"Продам земельный участок, 335 м²
От собственника. Без комиссии.
- Участок под коммерцию
- Отличное место расположения вдоль дороги
- Коммуникации скважина, канализация, электричество
От собственника. Без комиссии.
По всем вопросам можете обращаться к вашему персональному менеджеру:
Александр Логачев - консультант по коммерческой недвижимости.
Большая база коммерческой недвижимости.
От собственника. Без комиссии .
""Агентство регионального развития""
Коммерческая недвижимость Геленджика и Новороссийска.
От собственника. Без комиссии., 5 фото",https://www.cian.ru/sale/commercial/272437379
294917766,Продажа коммерческой земли,"0.1144, га","Краснодарский край, Геленджик, Куприянова Щель мкр, улица Ореховая","28000000 руб., УСН",+79189711053,"Продаю земельный участок площадью 11.4 сот
От Собственника. Без комиссии.
- Земельный участок в собственности
- Земли сельхоз назначений, в черте города
- Можно строить капитальные строения
- Заведено электричество 15 квт, 3 фазы
- Рядом протекает не большая речка
- Участок не подтопляется
- Газ по меже
- Спокойное, тихое место для жизни
- 20 минут на машине до центра, до моря
От Собственника. Без комиссии.
По всем вопросам можете обращаться к вашему персональному менеджеру:
Александр Логачев - консультант по коммерческой недвижимости.
Большая база коммерческой недвижимости.
От Собственника. Без комиссии .
""Агентство регионального развития""
Коммерческая недвижимость Геленджика и Новороссийска.
От Собственника. Без комиссии., 7 фото",https://www.cian.ru/sale/commercial/294917766
316619739,Продажа коммерческой земли,"20.6, сот.","Краснодарский край, Геленджик, Новороссийская улица, 162","28000000 руб., УСН",+79898555103,"Продам земельный участок пром.назначения.  Участок 20,6 сотки(долгосрочная аренда). На участке расположены здания в собственности. Гаражи капитальные -площадь 95 м2 и административное здание -площадь 175 м2.  Назначение участка -для размещения магазина со складом,прачечной,мастерской,гаража,офисных помещений. Есть своя ТП. Вопросы по телефону., 8 фото",https://www.cian.ru/sale/commercial/316619739
299667451,Продажа коммерческой земли,"190.0, сот.","Краснодарский край, Геленджик, Голубая Бухта мкр, улица Санаторная","29000000 руб., УСН",+79183416222,"Описание
Продаю земельный участок .Рассматриваемый участок общей площадью 1,9 га расположен в районе Голубая бухта, имеет ровный рельеф. Расстояние от земельного участка до моря порядка 900 метров.Расположение вблизи популярного места отдыха с развитой инфраструктурой, а так же прекрасные природно-климатические условия и ограниченность подобных территорий под застройку создают хорошие перспективы для развития участка.

Категория земель:земли населенных пунктов.

Вид права: аренды на 49 лет(до 20257г)

Государственный кадастровый учет: разделен на 27 земельных участков площадью от 6 до 9 соток.

Инженерное обеспечение: Свет по фасаду , Газ-ЛЭП 20-30 м.

Транспортная доступность: по границе земельного участка проходит асфальтированная дорога.Полученно ПЗЗ, 18 фото",https://www.cian.ru/sale/commercial/299667451
319282555,Продажа коммерческой земли,"6.5, сот.","Краснодарский край, Геленджик, Почтовая улица, 20","29990000 руб., УСН",+79126558450,"Продается участок 6,5 соток в активно развивающемся районе Геленджика - мкр-не Тонкий Мыс.

Участок расположен в строящемся курортном комплексе ""Геленджик Марина"" в 250-ти метрах от моря, прямо рядом с жилыми корпусами, и отлично подойдет под различные виды бизнеса, связанные с отдыхом, туризмом, общественным питанием и т.д.

Земельный участок расположен в территориальной зоне Р3, зона отдыха.
По границе участка провeдeны все неoбxoдимыe кoммуникации, дорога зааcфальтирована.
По фасаду участка будет проходить дорога с пешеходной зоной, что обеспечит хороший трафик для вашего бизнеса.
Кадастровый номер: 23:40:0401036:2.

Успевайте купить землю и организовать бизнес к запуску нового курортного комплекса ""Геленджик Марина"", окончание строительства которого планируется к следующему курортному сезону.

Звоните и записывайтесь на просмотр.
Все документы готовы.
Быстрый выход на сделку.
Никакой комиссии при покупке.
ID объекта в нашей базе: 8391, 3 фото",https://www.cian.ru/sale/commercial/319282555
310088213,Продажа коммерческой земли,"0.33, га","Краснодарский край, Геленджик, Верхняя улица, 4к1","70000000 руб., УСН",+79189711053,"Продаю земельный участок, 33 сот.
От собственника. Без комиссии.
- Назначение туристическое обслуживание
- Коммуникации канализация, вода, газ и ливневка по меже участка, получены все ТУ
- 150 квт электричество заведено на участок
- Проект на строительство гостиницы.
От собственника. Без комиссии.
По всем вопросам можете обращаться к вашему персональному менеджеру:
Александр Логачев - консультант по коммерческой недвижимости.
Большая база коммерческой недвижимости.
От собственника. Без комиссии .
""Агентство регионального развития""
Коммерческая недвижимость Геленджика и Новороссийска.
От собственника. Без комиссии.
Помощь с оформлением ипотеки

Подписывайтесь на наш профиль, чтобы узнавать о новых локациях первыми!

Добавьте это объявление в ""избранное"" - чтобы не потерять., 25 фото",https://www.cian.ru/sale/commercial/310088213
