ID  объявления,Тип,Площадь,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
320524864,Продажа коммерческой земли,"12.79, сот.","Владимирская область, Гусь-Хрустальный район, Гусь-Хрустальный, Стеклозаводская улица, 23","1678790 руб., УСН",79157613894,"Данные получены с сайта ГИС Торги.
Земли населенных пунктов. Участок расположен в черте города. Разрешенный вид использования: для индивидуального жилищного строительства (код  2.1), 5 фото",https://www.cian.ru/sale/commercial/320524864
320524856,Продажа коммерческой земли,"12.84, сот.","Владимирская область, Гусь-Хрустальный район, Гусь-Хрустальный, Стеклозаводская улица, 21","1685610 руб., УСН",79157613894,"Данные получены с сайта ГИС Торги.
Земли населенных пунктов. Участок расположен в черте города. Разрешенный вид использования: для индивидуального жилищного строительства (код  2.1), 5 фото",https://www.cian.ru/sale/commercial/320524856
320524839,Продажа коммерческой земли,"12.58, сот.","Владимирская область, Гусь-Хрустальный район, Гусь-Хрустальный, Дорожная улица, 30","1656232 руб., УСН",79157613894,"Данные получены с сайта ГИС Торги.
Земли населенных пунктов. Участок расположен в черте города. Разрешенный вид использования: для индивидуального жилищного строительства (код  2.1), 5 фото",https://www.cian.ru/sale/commercial/320524839
320524800,Продажа коммерческой земли,"12.56, сот.","Владимирская область, Гусь-Хрустальный район, Гусь-Хрустальный, Дорожная улица, 30","1652444 руб., УСН",79157613894,"Данные получены с сайта ГИС Торги.
Земли населенных пунктов. Участок расположен в черте города. Разрешенный вид использования: для индивидуального жилищного строительства (код  2.1), 5 фото",https://www.cian.ru/sale/commercial/320524800
320524739,Продажа коммерческой земли,"12.56, сот.","Владимирская область, Гусь-Хрустальный район, Гусь-Хрустальный, Дорожная улица, 30","1653160 руб., УСН",79157613894,"Данные получены с сайта ГИС Торги.
Земли населенных пунктов. Участок расположен в черте города. Разрешенный вид использования: для индивидуального жилищного строительства (код  2.1), 5 фото",https://www.cian.ru/sale/commercial/320524739
320524712,Продажа коммерческой земли,"12.56, сот.","Владимирская область, Гусь-Хрустальный район, Гусь-Хрустальный, Дорожная улица, 30","1652733 руб., УСН",79157613894,"Данные получены с сайта ГИС Торги.
Земли населенных пунктов. Участок расположен в черте города. Разрешенный вид использования: для индивидуального жилищного строительства (код  2.1), 5 фото",https://www.cian.ru/sale/commercial/320524712
320524730,Продажа коммерческой земли,"13.37, сот.","Владимирская область, Гусь-Хрустальный район, Гусь-Хрустальный","1758864 руб., УСН",79157613894,"Данные получены с сайта ГИС Торги.
Земли населенных пунктов. Участок расположен в черте города. Разрешенный вид использования: для индивидуального жилищного строительства (код  2.1), 5 фото",https://www.cian.ru/sale/commercial/320524730
320524707,Продажа коммерческой земли,"13.37, сот.","Владимирская область, Гусь-Хрустальный район, Гусь-Хрустальный","1758422 руб., УСН",79157613894,"Данные получены с сайта ГИС Торги.
Земли населенных пунктов. Участок расположен в черте города. Разрешенный вид использования: для индивидуального жилищного строительства (код  2.1), 5 фото",https://www.cian.ru/sale/commercial/320524707
313332695,Продажа коммерческой земли,"15.48, сот.","Владимирская область, Гусь-Хрустальный район, Гусь-Хрустальный, Прядильная улица, 9","12500000 руб., УСН",79101810479,"Код объекта: 1149982.
 Предлагаю Вашему внимаю земельный участок общей площадью 1548 кв. метров в г. Гусь-Хрустальный по ул. Прядильная. Рядом находится ""хрустальный"" рынок, ТЦ Радуга, крупная медицинская клиника. На участке свой колодец с водой, центральная канализация, газовая труба - 3 метра от забора (малого и среднего давления) свет на участке 120 кВт, отдельный фильтр на прямую, личный счетчик на ТП. Все тех. условия соблюдены и согласование получены. Разрешены следующие виды строения: АЗС, автомойка на 10 постов, гостиница, склады, магазины, рынки, общепит, бытовое обслуживание, общественное управление, деловое управление, банковская и страховая деятельность, развлечения, спорт.
Также подходит под индивидуальную жилую застройку, в том числе под малоэтажную многоквартирную застройку, многоэтажную жилую застройку и др.
Отличное предложение для инвестирования и роста бизнеса. Звоните, пишите, оперативный показ., 25 фото",https://www.cian.ru/sale/commercial/313332695
316820816,Продажа коммерческой земли,"15.0, сот.","Владимирская область, Гусь-Хрустальный район, Гусь-Хрустальный, улица Чапаева, 7","14000000 руб., УСН",79157504667,"Продается земельный участок 15 соток и на нем кирпичное здание площадью 650 кв.м с крепким фундаментом. Есть канализация и рядом точки для подключения воды, газа и электричества. Отличное расположение. Удобная парковка для машин. Торг уместен., 3 фото",https://www.cian.ru/sale/commercial/316820816
