ID  объявления,Тип,Площадь,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
272271821,Продажа коммерческой земли,"2.0, га","Тульская область, Донской, Новоугольный мкр","40000000 руб., УСН",79819691145,"Предлагается на продажу земельный участок от собственника без комиссии. Есть все коммуникации.

ЗУ расположен по адресу: 
Тульская область, г. Донской, микрорайон Новоугольный. Выезд на Заводскую улицу.

Кадастровый номер: 71:26:070107:260.
Площадь: от 2 до 14 га.
Разрешенное использование: для размещения промышленных объектов, эксплуатации объектов недвижимости в производственных целях.

Стоимость:
от 20 млн руб. за 1 га.
Возможно обсуждение конечной цены. 
Услуги сопровождения сделки. Консалтинг, DueD. 

Подписание договора купли-продажи с собственником.
Без комиссии, процентов и надбавок.

Звоните, мы оперативно организуем просмотр участка в удобную для вас дату и ответим на все интересующие вопросы., 2 фото",https://www.cian.ru/sale/commercial/272271821
272272406,Продажа коммерческой земли,"4.0, га","Тульская область, Донской, Новоугольный мкр","80000000 руб., УСН",79819691145,"Предлагается на продажу земельный участок от собственника без комиссии. Есть все коммуникации.

ЗУ расположен по адресу: 
Тульская область, г. Донской, микрорайон Новоугольный. Выезд на Заводскую улицу.

Кадастровый номер: 71:26:070107:260.
Площадь: от 2 до 14 га.
Разрешенное использование: для размещения промышленных объектов, эксплуатации объектов недвижимости в производственных целях.

Стоимость:
от 20 млн руб. за 1 га.
Возможно обсуждение конечной цены. 
Услуги сопровождения сделки. Консалтинг, DueD. 

Подписание договора купли-продажи с собственником.
Без комиссии, процентов и надбавок.

Звоните, мы оперативно организуем просмотр участка в удобную для вас дату и ответим на все интересующие вопросы., 2 фото",https://www.cian.ru/sale/commercial/272272406
272272497,Продажа коммерческой земли,"6.0, га","Тульская область, Донской, Новоугольный мкр","120000000 руб., УСН",79819691145,"Предлагается на продажу земельный участок от собственника без комиссии. Есть все коммуникации.

ЗУ расположен по адресу: 
Тульская область, г. Донской, микрорайон Новоугольный. Выезд на Заводскую улицу.

Кадастровый номер: 71:26:070107:260.
Площадь: от 2 до 14 га.
Разрешенное использование: для размещения промышленных объектов, эксплуатации объектов недвижимости в производственных целях.

Стоимость:
от 20 млн руб. за 1 га.
Возможно обсуждение конечной цены. 
Услуги сопровождения сделки. Консалтинг, DueD. 

Подписание договора купли-продажи с собственником.
Без комиссии, процентов и надбавок.

Звоните, мы оперативно организуем просмотр участка в удобную для вас дату и ответим на все интересующие вопросы., 2 фото",https://www.cian.ru/sale/commercial/272272497
272272818,Продажа коммерческой земли,"8.0, га","Тульская область, Донской, Новоугольный мкр","160000000 руб., УСН",79819691145,"Предлагается на продажу земельный участок от собственника без комиссии. Есть все коммуникации.

ЗУ расположен по адресу: 
Тульская область, г. Донской, микрорайон Новоугольный. Выезд на Заводскую улицу.

Кадастровый номер: 71:26:070107:260.
Площадь: от 2 до 14 га.
Разрешенное использование: для размещения промышленных объектов, эксплуатации объектов недвижимости в производственных целях.

Стоимость:
от 20 млн руб. за 1 га.
Возможно обсуждение конечной цены. 
Услуги сопровождения сделки. Консалтинг, DueD. 

Подписание договора купли-продажи с собственником.
Без комиссии, процентов и надбавок.

Звоните, мы оперативно организуем просмотр участка в удобную для вас дату и ответим на все интересующие вопросы., 2 фото",https://www.cian.ru/sale/commercial/272272818
272272936,Продажа коммерческой земли,"10.0, га","Тульская область, Донской, Новоугольный мкр","200000000 руб., УСН",79819691145,"Предлагается на продажу земельный участок от собственника без комиссии. Есть все коммуникации.

ЗУ расположен по адресу: 
Тульская область, г. Донской, микрорайон Новоугольный. Выезд на Заводскую улицу.

Кадастровый номер: 71:26:070107:260.
Площадь: от 2 до 14 га.
Разрешенное использование: для размещения промышленных объектов, эксплуатации объектов недвижимости в производственных целях.

Стоимость:
от 20 млн руб. за 1 га.
Возможно обсуждение конечной цены. 
Услуги сопровождения сделки. Консалтинг, DueD. 

Подписание договора купли-продажи с собственником.
Без комиссии, процентов и надбавок.

Звоните, мы оперативно организуем просмотр участка в удобную для вас дату и ответим на все интересующие вопросы., 2 фото",https://www.cian.ru/sale/commercial/272272936
272273071,Продажа коммерческой земли,"12.0, га","Тульская область, Донской, Новоугольный мкр","240000000 руб., УСН",79819691145,"Предлагается на продажу земельный участок от собственника без комиссии. Есть все коммуникации.

ЗУ расположен по адресу: 
Тульская область, г. Донской, микрорайон Новоугольный. Выезд на Заводскую улицу.

Кадастровый номер: 71:26:070107:260.
Площадь: от 2 до 14 га.
Разрешенное использование: для размещения промышленных объектов, эксплуатации объектов недвижимости в производственных целях.

Стоимость:
от 20 млн руб. за 1 га.
Возможно обсуждение конечной цены. 
Услуги сопровождения сделки. Консалтинг, DueD. 

Подписание договора купли-продажи с собственником.
Без комиссии, процентов и надбавок.

Звоните, мы оперативно организуем просмотр участка в удобную для вас дату и ответим на все интересующие вопросы., 2 фото",https://www.cian.ru/sale/commercial/272273071
272272192,Продажа коммерческой земли,"14.0, га","Тульская область, Донской, Новоугольный мкр","280000000 руб., УСН",79819691145,"Предлагается на продажу земельный участок от собственника без комиссии. Есть все коммуникации.

ЗУ расположен по адресу: 
Тульская область, г. Донской, микрорайон Новоугольный. Выезд на Заводскую улицу.

Кадастровый номер: 71:26:070107:260.
Площадь: от 2 до 14 га.
Разрешенное использование: для размещения промышленных объектов, эксплуатации объектов недвижимости в производственных целях.

Стоимость:
от 20 млн руб. за 1 га.
Возможно обсуждение конечной цены. 
Услуги сопровождения сделки. Консалтинг, DueD. 

Подписание договора купли-продажи с собственником.
Без комиссии, процентов и надбавок.

Звоните, мы оперативно организуем просмотр участка в удобную для вас дату и ответим на все интересующие вопросы., 2 фото",https://www.cian.ru/sale/commercial/272272192
320565310,Продажа коммерческой земли,"8.06, сот.","Тульская область, Донской, улица Мирная","56718 руб., УСН",79190707442,"Данные получены с сайта ГИС Торги.
кадастровый номер 71:26:020202:314; местоположение: Российская Федерация, Тульская область,  г. Донской, мкр. Центральный,  ул. Мирная; площадь: 806,0 кв.м; разрешенное использование: для ведения садоводства для собственных нужд, 1 фото",https://www.cian.ru/sale/commercial/320565310
312361613,Продажа коммерческой земли,"16.5, сот.","Тульская область, Донской, Северо-Задонск мкр","1350000 руб., УСН",79847033449,"892947  Продается земельный участок с кирпичным зданием для коммерческого использования

Категория земли: Индивидуальное жилищное строительство (ИЖС)
Площадь участка: 16.5 соток
Категория: Земли населенных пунктов
Разрешение: Для эксплуатации нежилого здания в коммерческих целях
Площадь здания: 508.8 м²
Материал здания: Кирпич

Транспортная доступность:
Новомосковск - 9,1км
М4 - 29,7 км

Компания A2 REALTY гарантирует своим клиентам безопасность сделки.
Звоните!, 10 фото",https://www.cian.ru/sale/commercial/312361613
308916526,Продажа коммерческой земли,"1.5, га","Тульская область, Донской, улица Октябрьская, 107В","1950000 руб., УСН",79105504658,"Земля пром назначения , продаётся земельный участок 1.5 га по улице октябрьская , на участке есть здание 2000 кв. Возможно межевание на меньшие площади,  так же рассмотрю вариант сдачи в долгосрочную аренду. 
Все сети,  электричество  газ,водопровод, канализация, вдоль участка. 
Звоните расскажу подробнее,  собственник, 3 фото",https://www.cian.ru/sale/commercial/308916526
294177407,Продажа коммерческой земли,"67.93, сот.","Тульская область, Донской, улица Молодцова, 2А","6800000 руб., УСН",79101502186,"Продам земельный участок 6793 кв. м. с двумя зданиями (общей площадью 674,60 кв. м. и 90,10 кв. м.) для коммерческих целей., 19 фото",https://www.cian.ru/sale/commercial/294177407
235029349,Продажа коммерческой земли,"2.15, га","Тульская область, Донской, улица Герцена, 60Б","29500000 руб., УСН",79105502423,"Продаётся территория промышленного назначения. Земля находится в собственности, имеются: 1 административное здание, 4 гаража по 24 кВ.м, 1 гараж 100 кВ.м, 1 помещение 200 кВ.м, 2 помещения по 50 кВ.м, 1 помещение 300 кВ.м, 1 помещение 70 кВ.м, бетонированная площадка, подъезд на территорию осуществляется с двух сторон, стоянка для легковых, грузовых и строительных машин. Через подъездную дорогу проходит оживленный трафик автомобилей. Оплата возможна как наличным, так и без наличным расчетом.Все остальные вопросы по телефону., 12 фото",https://www.cian.ru/sale/commercial/235029349
313585826,Продажа коммерческой земли,"6550.0, сот.","Тульская область, Донской, улица Совхозная","60000000 руб., УСН",79156803686,"Арт. 94852486 Продается земельно-имущественный комплекс в г. Донском.
Перечень недвижимого имущества КН:
71:26:000000:282
71:26:000000:1854
71:26:000000:284
71:26:000000:1351
71:26:000000:1303
71:26:000000:641
71:26:000000:1796
71:26:000000:642
71:26:000000:1652
71:26:000000:640
71:26:000000:1159
71:26:000000:1797
71:26:000000:1852
71:26:000000:1308
71:26:000000:1302
71:26:000000:247
71:26:000000:243
71:26:000000:834
Комплекс может быть использован для организации автомобильного строительного рынка в городе Донском., 1 фото",https://www.cian.ru/sale/commercial/313585826
