ID  объявления,Тип,Площадь,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
294144279,Продажа коммерческой земли,"34.33, сот.","Кемеровская область, Кемерово, Мичуринские Сады АО КОКС СНТ","13000000 руб., УСН",+79810865961,"HА ПEРВОЙ ЛИHИИ НОВОГО ЖИЛOГО KВАРТАЛА
Г. КEMEPOBO, УЛ. ДРУЖБЫ - В.ВОЛОШИНОЙ
КАTEГOРИЯ ЗEMEЛЬ: ЗЕMЛИ HACEЛЁННЫХ ПУНKТОВ
РАЗРEШЕHHOЕ ИСПOЛЬЗОBAНИЕ: ДЛЯ МНОГОЭТAЖHОГO ЖИЛИЩНOГO CTРOИТEЛЬСТВА
Участки расположены на первой линии бывшего садового товарищества, которая вошла в
территорию перспективной жилой застройки. Разрешенное использование всех участков
переведено под строительство многоэтажных жилых домов. Жилыми домами и социально?
культурными объектами будет застраиваться вся территория садового товарищества.
РАСПОЛОЖЕНИЕ:
? УЧАСТОК 1 расположен напротив ЖК ""7 Высот"" и ЖК ""Квартал Дружбы"" по адресу ул. Веры Волошиной д.40 с кад. номером 42:24:0101060:3336;
? УЧАСТКИ 2 ( кад.номер 42:24:0101060:3335), 3 (кад.ном. 42:24:0101060:827) , 4 (кад.ном. 42:24:0101060:824) расположены рядом с ЖК ""Южный"" напротив дома по адресу ул. Дружбы д.29
Градостроительным планом предусмотрено расширение дорожного полотна по ул. Дружбы.
Пешеходная зона будет примыкать непосредственно к участкам, что являетс ..., 2 фото",https://www.cian.ru/sale/commercial/294144279
298149327,Продажа коммерческой земли,"44.0, сот.","Кемеровская область, Кемерово, Мичуринские Сады АО КОКС СНТ","16000000 руб., УСН","+79832103385, +79134011251","- продам земельный участок в черте города, площадью 4 400 кв. м. (44 сотки) под коммерческую застройку, категория земель - земли населенных пунктов, виды разрешенного использования - для многоэтажного жилищного строительства, для многоквартирной застройки в заводском районе города с развитой инфраструктурой - (на южном), в непосредственной близости с застройкой нового жилого комплекса комфорт  класса КВАРТАЛ ДРУЖБЫ от застройщика ООО СПИК, и нового жилого комплекса комфорт  класса ЮЖНЫЙ от застройщика  ИФК Мера, также возможен перевод данного земельного участка под нежилую застройку - строительство торгового центра, документы подготовлены к продаже, один собственник, обременений нет, 7 фото",https://www.cian.ru/sale/commercial/298149327
294144280,Продажа коммерческой земли,"48.1, сот.","Кемеровская область, Кемерово, Мичуринские Сады АО КОКС СНТ","17000000 руб., УСН",+79810865961,"HА ПEРВОЙ ЛИHИИ НОВОГО ЖИЛOГО KВАРТАЛА
Г. КEMEPOBO, УЛ. ДРУЖБЫ  УЛ. ВЕРЫ BОЛОШИНOЙ
КАTEГOРИЯ ЗEMEЛЬ: ЗЕMЛИ HACEЛЁННЫХ ПУНKТОВ
РАЗРEШЕHHOЕ ИСПOЛЬЗОBAНИЕ: ДЛЯ МНОГОЭТAЖHОГO ЖИЛИЩНOГO CTРOИТEЛЬСТВА
Участки расположены на первой линии бывшего садового товарищества, которая вошла в
территорию перспективной жилой застройки. Разрешенное использование всех участков
переведено под строительство многоэтажных жилых домов. Жилыми домами и социально
культурными объектами будет застраиваться вся территория садового товарищества.
РАСПОЛОЖЕНИЕ:
- УЧАСТОК 1 расположен напротив ЖК ""7 Высот"" и ЖК ""Квартал Дружбы"" по адресу ул. Веры Волошиной д.40 с кад. номером 42:24:0101060:3336;
- УЧАСТКИ 2 ( кад.номер 42:24:0101060:3335), 3 (кад.ном. 42:24:0101060:827) , 4 (кад.ном. 42:24:0101060:824) расположены рядом с ЖК ""Южный"" напротив дома по адресу ул. Дружбы д.29
Градостроительным планом предусмотрено расширение дорожного полотна по ул. Дружбы.
Пешеходная зона будет примыкать непосредственно к участкам, что яв ..., 2 фото",https://www.cian.ru/sale/commercial/294144280
320058445,Продажа коммерческой земли,"0.38, га","Кемеровская область, Кемерово, Советский проспект, 1","25000000 руб., УСН","+79390381491, +79810861452","Продаётся земельный   участок  промышленного назначения s=0,38 га. Пр. Советский 1. проведены все коммуникации: центральное отопление , электричество, вода, горячая и холодная. На участке есть здания, боксы, автомойки , офисы, цеха, склады.  Есть подъездные ж/д пути.  Можете по-своему распорядиться участком:  на первое время есть возможность сдавать помещения в аренду и получать прибыль с первого же дня после приобретения. Чем выгодно будет ваше приобретение  - это прекрасное месторасположение: проспект Советский ! Часть участка находится на ул. Рудничная 3, там находятся несколько помещений. Хорошая логистика, транспортная развязка. Этим многое сказано! Открываются большие перспективы для творческих начинаний ! Звоните, договаривайтесь о встрече, посмотрите сами! Документы готовы к продаже!, 6 фото",https://www.cian.ru/sale/commercial/320058445
278924561,Продажа коммерческой земли,"9.41, сот.","Кемеровская область, Кемерово, улица Правая Гавань","32000000 руб., УСН",+79810865961,"В продаже действующее кафе на берегу р.Томь.
Уютное место с красивым видом.
Земля 941 кв.м., в собственности, разрешенное использование: занятый зданием водно-спортивного клуба и необходимый для его эксплуатации.
На участке расположены кафе 400кв.м., беседки, отдельно-стоящее вспомогательное помещение в котором: мангальная, блок для разделки мяса, охрана.
Коммуникации: вода - скважина, канализация - выгребная яма, электроэнергия -15кВт, отопления нет.
Подробнее по тел., 20 фото",https://www.cian.ru/sale/commercial/278924561
320126822,Продажа коммерческой земли,"6.5, сот.","Кемеровская область, Кемерово, Боровой жилрайон, улица Углегорская, 8А","291663 руб., УСН",+79856582507,"Данные получены с сайта ГИС Торги.
Земельный участок общей площадью 650 кв.м, Кемеровская область - Кузбасс, Кемеровский городской округ, г. Кемерово, ул. Углегорская, 8а, Кадастровый номер:42:24:0401018:1202. Категория земель: земли населенных пунктов. Разрешенное использование: для индивидуального жилищного строительства., 4 фото",https://www.cian.ru/sale/commercial/320126822
320126824,Продажа коммерческой земли,"10.0, сот.","Кемеровская область, Кемерово, Боровой жилрайон, улица Углегорская, 8А","416394 руб., УСН",+79856582507,"Данные получены с сайта ГИС Торги.
Земельный участок общей площадью 1000 кв.м,Кемеровская область, г. Кемерово, ул. Углегорская, д.8а , Кадастровый номер: 42:24:0401018:445. Категория земель: земли населенных пунктов. Разрешенное использование: для индивидуального жилищного строительства., 6 фото",https://www.cian.ru/sale/commercial/320126824
320304253,Продажа коммерческой земли,"15.0, сот.","Кемеровская область, Кемерово, Восход СНТ, 29","477105 руб., УСН",+79138106077,"Данные получены с сайта ГИС Торги.
Поручение  1101/Т. Вторичные торги с понижением цены на 15%: Земельный участок, площадью 1500 кв.м., кадастровый номер 42:24:0101039:665, ограничение (обременение) права: запрет. Собственник имущества: Сапурин Е.А. Местонахождение имущества: Кемеровская область, г. Кемерово, СНТ ""Восход"", участок  35., 1 фото",https://www.cian.ru/sale/commercial/320304253
319678126,Продажа коммерческой земли,"13.95, сот.","Кемеровская область, Кемерово, улица Мозжухинская, 30А","526110 руб., УСН",+79856582507,"Данные получены с сайта ГИС Торги.
Земельный участок общей площадью 1 395 кв.м, кадастровый номер: 42:24:0101017:592, реестровый  840281, расположенный по адресу: Кемеровская область,  г. Кемерово,  ул. Мозжухинская, д. 30а. Категория земель: земли населенных пунктов. Разрешенное использование:под жилую застройку индивидуальную., 1 фото",https://www.cian.ru/sale/commercial/319678126
319641618,Продажа коммерческой земли,"9.17, сот.","Кемеровская область, Кемерово, Учитель СНТ, 125","524000 руб., УСН",+79131309117,"Данные получены с сайта ГИС Торги.
Земельный участок, пл.917 кв.м, кадастровый 42:04:0208010:186, разрешенное использование: для ведения садоводства, по адресу: Кемеровская область, р-н Кемеровский, СНТ ""Учитель"", участок 125, 2 фото",https://www.cian.ru/sale/commercial/319641618
