ID  объявления,Тип,Площадь,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
283904141,Продажа коммерческой земли,"2.5, га","Мурманская область, Мурманск, Кольский проспект, 120","119000000 руб., УСН",+79113411738,"Лучшее предложение среди конкурентов! 2,6 гектара в черте города с подведенным электричеством и водой + участок 5751 м.кв! А помимо земли в стоимость входит  8 (восемь!) объектов недвижимости и бизнес(!) занимаясь которым, можно окупить свои инвестиции через 4-5 лет! (Можем подтвердить документально)

Итак, Переуступка права аренды на 2,6 Га , + участок 5751 м.кв.+ 8 объектов недвижимости + готовый бизнес! (Если есть желание заниматься именно этим видом деятельности) но можно использовать под свои цели.

Земельный участок площадью 25950 кв.м. В аренде до 2067г.
Земельный участок площадью 5751 кв.м. в аренде до 2066 года.

Назначение: Земли с/х назначения и земли поселений.

Электроснабжение: 180 квт

Централизованное отопление и водоснабжение.

Действующее предприятие, производственная база цветов и деревьев.

Все сотрудники на сдельной оплате. 

Прогнозируемая окупаемость - 4 года.

Продажа вместе с Акционерным обществом

АО Цветы заполярья. Работает с 2000 года.

Имущественный компле ..., 50 фото",https://www.cian.ru/sale/commercial/283904141
297144467,Продажа коммерческой земли,"44.0, га","Мурманская область, Мурманск, улица Огни Мурманска, 1","750000 руб., УСН",+79813035331,"К продаже предлагается инвестиционный проект в черте Мурманска — действующий центр отдыха и туризма Огни Мурманска.
 
Земля и здания в собственности одного владельца, проведены все коммуникации, налажен стабильный поток гостей. Комплекс является одним из крупнейших туристических объектов региона, с ежегодным ростом числа иностранных туристов.
 
Основная информация:
 15 минут езды от центра города.
 4 участка общей площадью 44 Га
 Выделенная линия электроснабжения второй категории с пониженным тарифом.
 4 артезианские скважины с чистой питьевой водой.
 Собственный маршрут общественного транспорта.
 Горнолыжный комплекс с 5 трассами, прокатом снаряжения и ратраком.
 Трёхзвёздочная гостиница на 41 номер.
 Оздоровительный комплекс с бассейном, аквапарком, тропическим баром и тремя саунами. Своя лаборатория для контроля качества воды.
 Панорамный ресторан на 100 мест, конференц-зал на 40 мест, бар и переговорная комната. Дополнительно два кафе на 100 и 50 гостей.
 Всесезонный парк отдыха с  ..., 21 фото",https://www.cian.ru/sale/commercial/297144467
310253839,Продажа коммерческой земли,"18.41, сот.","Мурманская область, Мурманск, Три Ручья жилрайон","15000000 руб., УСН",+79113411560,"Арт. 83110791 г. Мурмаснск, жил район Три Ручья, на улице Три ручья. Продаётся земельный участок категории: земли населенных пунктов с назначением строительная промышленность.
 

Торг присутствует, открыты к предложениям.
 
Документы готовы, рассмотрим любые формы оплаты.

АН Гарант Надёжности, команда профессионалов.
Нашей основной целью является оказание качественной и безопасной услуги по операциям с недвижимым имуществом.
Оказываем современную и своевременную поддержку своих клиентов, начиная с 2016 года.
Всегда рады помочь, обращайтесь!, 9 фото",https://www.cian.ru/sale/commercial/310253839
197363400,Продажа коммерческой земли,"1.0, га","Мурманская область, Мурманск, улица Папанина, 17","10000 руб., УСН",+79113317863,"Земельный участок, расположенный в центральной части города Мурманска на ул. Папанина (кадастровый номер ЗУ 51:20:0002402:58). Площадь участка 9926 кв метров. Категория земли -земли населенных пунктов. Разрешенное использование -магазины, 1 фото",https://www.cian.ru/sale/commercial/197363400
320399041,Продажа коммерческой земли,"4.8, сот.","Мурманская область, Мурманск","302462 руб., УСН",+79113321867,"Данные получены с сайта ГИС Торги.
Земельный участок с кадастровым номером 51:20:0003045:859 площадь 480 по адресу Российская Федерация, Мурманская область, городской округ город Мурманск, город Мурманск, 1 фото",https://www.cian.ru/sale/commercial/320399041
320399039,Продажа коммерческой земли,"9.77, сот.","Мурманская область, Мурманск","938565 руб., УСН",+79113321867,"Данные получены с сайта ГИС Торги.
Земельный участок с кадастровым номером 51:20:0001318:403 площадь 977 по адресу Российская Федерация, Мурманская область, городской округ город Мурманск, город Мурманск, 1 фото",https://www.cian.ru/sale/commercial/320399039
320399040,Продажа коммерческой земли,"9.97, сот.","Мурманская область, Мурманск","957628 руб., УСН",+79113321867,"Данные получены с сайта ГИС Торги.
Земельный участок с кадастровым номером 51:20:0001318:402 площадь 997 по адресу Российская Федерация, Мурманская область, городской округ город Мурманск, город Мурманск, 1 фото",https://www.cian.ru/sale/commercial/320399040
320399038,Продажа коммерческой земли,"9.98, сот.","Мурманская область, Мурманск","958529 руб., УСН",+79113321867,"Данные получены с сайта ГИС Торги.
Земельный участок с кадастровым номером 51:20:0001318:399 площадь 998 по адресу Российская Федерация, Мурманская область, городской округ город Мурманск, город Мурманск, 1 фото",https://www.cian.ru/sale/commercial/320399038
256420303,Продажа коммерческой земли,"2.3, сот.","Мурманская область, Мурманск, проспект Ленина, 15","3500000 руб., УСН",+79812512486,"Предлагается к продаже земельный участок под строительство торгового павильона в центре города (разрешенное использование: предприятие розничной торговли (до 250 кв.м.), предприятия общественного питания (до 50 человек). Площадь участка 229 кв.м. + 180 кв.м. под парковку/погрузоразгрузочная зона.
Разработан проект строительства павильона, получены технические условия (электричество 150 кВт), в том числе проект благоустройства прилегающей территории с парковочными местами.
На данный момент на участке расположен гараж  можно использовать по назначению., 5 фото",https://www.cian.ru/sale/commercial/256420303
299885868,"Продажа коммерческой земли, здание","3000.0, м2","Мурманская область, Мурманск, дорога Восточно-Объездная, 212","5000000 руб., УСН",+79113018928,"Участок находится в аренде ,все вопросы по телефону !, 24 фото",https://www.cian.ru/sale/commercial/299885868
