ID  объявления,Тип,Площадь,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
315448510,Продажа коммерческой земли,"19.67, сот.","Свердловская область, Нижний Тагил, Красногвардейская улица, 1","1750000 руб., УСН",79826904157,"ПРЕДЛОЖЕНИЕ ДЛЯ ИНВЕСТОРОВ! Удобное месторасположение
в центре города: ул.Красногвардейская. Рядом с торговым центром ""Малина"" и управлением железной дороги.
Земельный участок 1967 кв.м под строительство (в территориальной зоне Ц-1)
С большим количеством видов разрешенного использования:
- многоквартирные жилые дома;
- многофункциональные комплексы общественного назначения;
- многоквартирные жилые дома со встроенными объектами обслуживания населения, торговли и офиса.
 Участок ровный, сухой, на участке кирпичное строение под снос на фундаменте. 
Звоните! Торг уместен. Показ в любое удобное время. 




Код пользователя: 22553
Номер в базе: 4742507, 16 фото",https://www.cian.ru/sale/commercial/315448510
317360383,Продажа коммерческой земли,"11.85, сот.","Свердловская область, Нижний Тагил, Черноисточинский тракт, 5","7900000 руб., УСН",79826904157,"ПРЕДЛОЖЕНИЕ ДЛЯ ПРЕДПРИНИМАТЕЛЕЙ, ИНВЕСТОРОВ

Удобное место расположение 

Земельный участок
1185 м2 под строительство (в территориальной зоне Ц-1)

с большим количеством видов разрешенного использования:

- Основные виды разрешенного использования
Среднеэтажная жилая застройка;
Многоэтажная жилая застройка (высотная застройка);
Предоставление коммунальных услуг;
Оказание социальной помощи населению;
Амбулаторно-поликлиническое обслуживание;
Дошкольное, начальное и среднее общее образование;
Объекты культурно-досуговой деятельности;
Государственное управление; Магазины;
Общественное питание; Гостиничное обслуживание;
Обеспечение занятий спортом в помещениях
.
- Вспомогательные виды использования земельного участка
Административные здания организаций
Площадки для занятий спортом;
Земельные участки (территории) общего пользования;
Служебные гаражи;
Обеспечение внутреннего правопорядка.
- Хранение автотранспорта; Религиозное использование;
Условно разрешенные виды использования земельного ..., 10 фото",https://www.cian.ru/sale/commercial/317360383
312458424,Продажа коммерческой земли,"20.0, сот.","Свердловская область, Нижний Тагил, Лисогорская улица, 35","9990000 руб., УСН",79827521322,"Арт. 91563150 Продается земельный участок 20 соток под комерцию, 
Черноисточинское шоссе, ул Лисогорская 33-35, земельный участок переведен. По границе участка есть Газ и канализация, идеально подойдет под любой вид коммерческой деятельности. Высокий автомобильный трафик. . Возможно увеличение земельного участка, за счет покупки ещё одного дома. Торопитесь место востребованно., 5 фото",https://www.cian.ru/sale/commercial/312458424
315446295,Продажа коммерческой земли,"15.41, сот.","Свердловская область, Нижний Тагил, улица Бондина, 26","12000000 руб., УСН",79826904157,"Продается земельный участок, прямоугольной формы общей площадью 1541 квадратных метра.Есть готовый проект и разрешение на строительство магазина. Объект расположен вдоль дороги связывающая центр города и Вагонку. Весь поток автомобилей проезжает этот участок. Разрешенное использование: средне этажная, многоэтажная жилая застройка, дошкольное и среднее общее образование, магазины, общепит, гостиничное обслуживание, обеспечение занятий спортом в помещениях. Звоните отвечу на все интересующие вопросы! Согласуем удобное время для показа и добро пожаловать на показ 




Код пользователя: 22553
Номер в базе: 4634702, 11 фото",https://www.cian.ru/sale/commercial/315446295
312217571,Продажа коммерческой земли,"66000.0, м2","Свердловская область, Нижний Тагил, шоссе Свердловское","40000000 руб., УСН",79827401868,"Предлагаем для строительства Гипермаркета, ТРЦ, Логистического центра и т.п.

*****

-Земельный участок в собственности (кад. номер- 66:56:0502017:1), расположен на первой линии Свердловского шоссе (главный въезд/выезд в г. Нижний Тагил).

Предлагаемый Участок находится рядом с ТЦ "" ДЕПО РИТЭЙЛ ПАРК"" площадью 48 тыс. кв.м. (вкл. гипермаркет ЛЕНТА , магазины популярных массовых брендов, электроники и бытовой техники, фудкорт, развлекательную зону, кинотеатр и тп.) и ТЦ Озон площадью 10 тыс. кв.м., на расстоянии около 1000 м. и 500 м. соответственно. Данное местоположение ЗУ обеспечивает высокий трафик в зоне расположения земельного участка, предлагаемого для строительства гипермаркета. Участок примыкает к автодороге на выезде из г. Нижний Тагил в южном направлении (в сторону Екатеринбурга). Участок имеет правильную прямоугольную форму. Генплан земельного участка предусматривает возможность строительства торгового комплекса на 16 000 кв.м. и авто парковки на 911 машиномест. 

Тех.условия ..., 11 фото",https://www.cian.ru/sale/commercial/312217571
303675166,Продажа коммерческой земли,"70.0, сот.","Свердловская область, Нижний Тагил, Муринские Пруды мкр","57000000 руб., УСН",79827521322,"Арт. 68327094 Продается земельный участок под коммерцию, на ГГМ, на пересечении улиц Уральский проспект-Удовенко, район 100 школы, площадь 0,7 ГА, в собственности, разрешенное использование под строительство автопаркинга, а также разрешенные виды деятельности 
можно увидеть в Фото Градостроительного плана земельного участка., 3 фото",https://www.cian.ru/sale/commercial/303675166
316523632,Продажа коммерческой земли,"110.0, сот.","Свердловская область, Нижний Тагил, ГГМ мкр","70000000 руб., УСН",79827521322,"Арт. 101075300 Предлагаем участок под многоэтажную застройку, 
кадастровый номер:66:56:0000000:25135
площадь участка 1.1 Гектара со всеми коммуникациями по границе участка, в самом дорогом и новом перспективном  районе Гальяно-Горбуновского Массива, по Улице Уральский проспект в районе дома 56 с очень развитой инфраструктурой:(Гипермаркет продуктовый ""Лента"", Новой спортивный  комплекс""Президентский"", рядом с парком ""Победа""
в окружении двух школ и детских садов. 
 О застройке: Планируемая застройка два этапа 
1 очередь-трехсекционный многоквартирный жилой дом с подземным паркингом и коммерческими помещениями 
1 секция 5 этажей
2 секция 16 этажей
3 секция семь этажей 
Общая площадь  капртир 8600 м2,
площадь Мест Общего пользования 1900 м2
Подземный паркинг -3000 м2, 
Коммерческих помещений 1200 м2
2я очередь
Трехсекционный дом 9-ти этажный
общая площадь квартир 6500 м2
Общая площадь Мест общего пользования 1500 м2
Продается Юридическое лицо имеющее на Балансе обьект незавершенного стро ..., 10 фото",https://www.cian.ru/sale/commercial/316523632
319678218,Продажа коммерческой земли,"6.43, сот.","Свердловская область, Нижний Тагил","212000 руб., УСН",79126526436,"Данные получены с сайта ГИС Торги.
Лот  1. Земельный участок для индивидуального жилищного строительства. Категория земель  земли населенных пунктов. Кадастровый номер  66:56:0208009:165. Местоположение: Свердловская область, муниципальный округ город Нижний Тагил, город Нижний Тагил, улица Субботняя, земельный участок 12. Площадь земельного участка  643 кв. метра. Разрешенное использование земельного участка  для индивидуального жилищного строительства. Начальная цена (рыночная стоимость земельного участка)  212 000 (двести двенадцать тысяч) рублей. ""Шаг аукциона""  6 300 (шесть тысяч триста) рублей. Размер задатка  42 400 (сорок две тысячи четыреста) рублей, 1 фото",https://www.cian.ru/sale/commercial/319678218
320088193,Продажа коммерческой земли,"7.33, сот.","Свердловская область, Нижний Тагил, Полярная улица, 68","799000 руб., УСН",79126526436,"Данные получены с сайта ГИС Торги.
Лот  1. Земельный участок для индивидуального жилищного строительства. Категория земель  земли населенных пунктов. Кадастровый номер  66:56:0106001:797. Местоположение: Российская Федерация, Свердловская область, муниципальный округ город Нижний Тагил, город Нижний Тагил, улица Полярная, з/у 68. Площадь земельного участка  733 кв. метра. Разрешенное использование земельного участка  для индивидуального жилищного строительства. Начальная цена (рыночная стоимость земельного участка)  799 000 (семьсот девяносто девять тысяч) рублей. ""Шаг  аукциона""  39 900 (тридцать девять тысяч девятьсот) рублей. Размер  задатка  159 800 (сто пятьдесят девять тысяч восемьсот) рублей, 1 фото",https://www.cian.ru/sale/commercial/320088193
319678221,Продажа коммерческой земли,"11.01, сот.","Свердловская область, Нижний Тагил, улица Семейная, 26","1306000 руб., УСН",79126526436,"Данные получены с сайта ГИС Торги.
Лот  3. Земельный участок для индивидуального жилищного строительства. Категория земель  земли населенных пунктов. Кадастровый номер  66:56:0106002:276. Местоположение: Свердловская область, городской округ город Нижний Тагил, город Нижний Тагил, улица Семейная, з/у 22. Площадь земельного участка  1101 кв. метр. Разрешенное использование земельного участка  для индивидуального жилищного строительства. Начальная цена (рыночная стоимость земельного участка)  1 306 000 (один миллион триста шесть тысяч) рублей. ""Шаг аукциона""  65 200 (шестьдесят пять тысяч двести) рублей. Размер задатка  261 200 (двести шестьдесят одна тысяча двести) рублей, 1 фото",https://www.cian.ru/sale/commercial/319678221
