ID  объявления,Тип,Площадь,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
315537705,Продажа коммерческой земли,"28000.0, сот.","Кемеровская область, Новокузнецк, Ферросплавный проезд, 7А","75000000 руб., УСН",+79138919253,"Комиссия для Покупателя 0%
Преимущества локации :
Участок расположен в г. Новокузнецк по адресу ул.Ферросплавный проезд, 9 (в карте сайта нет этго адреса)
Удобная автотранспортная логистика
Хорошие подъездные пути 


Привлекательность объекта:
Можно использовать под любой вид деятельность на ваше усмотрение, или в качестве арендного бизнеса 


Описание объекта :
Земельный участок площадью 2,8 га
На территории участка также расположены 7 теплиц и здание АБК общей площадью 14400 кв.м
Отопление - центральное 
Электрическая мощность 600 кВт
Водоснабжение - скважина
Территория огорожена забором, 18 фото",https://www.cian.ru/sale/commercial/315537705
320044043,Продажа коммерческой земли,"26.0, сот.","Кемеровская область, Новокузнецк, проспект Строителей, 67","7000000 руб., УСН",+79810865263,"Код объекта: 1692463.
 Интересная  возможность для инвесторов и застройщиков — продаётся земельный участок площадью 2594 м2  по адресу: Россия, Кемеровская область — Кузбасс, Новокузнецк, проспект Строителей, 67.  Удобный подъезд по асфальтированной дороге гарантирует лёгкий доступ в любое время года.
2.2. Информация о видах разрешенного использования земельного участка:
Основные виды разрешенного использования земельного участка:
Хранение автотранспорта (2.7.1);
Размещение гаражей для собственных нужд (2.7.2);
Предоставление коммунальных услуг (3.1.1);
Административные здания организаций, обеспечивающих предоставление коммунальных услуг (3.1.2);
Дома социального обслуживания (3.2.1);
Оказание социальной помощи населению (3.2.2);
Оказание услуг связи (3.2.3);
Бытовое обслуживание (3.3);
Амбулаторно-поликлиническое обслуживание (3.4.1);
Дошкольное, начальное и среднее общее образование (3.5.1);
Среднее и высшее профессиональное образование (3.5.2);
Объекты культурно-досуговой деятельнос ..., 2 фото",https://www.cian.ru/sale/commercial/320044043
215224376,Продажа коммерческой земли,"10.0, сот.","Кемеровская область, Новокузнецк, пос. Притомский, улица Дорстроевская","150000 руб., УСН",+79132807690,"Земельный участок, пос Притомский",https://www.cian.ru/sale/commercial/215224376
316740831,Продажа коммерческой земли,"5300.0, сот.","Кемеровская область, Новокузнецк, улица Технологическая","600000 руб., УСН","+79333168308, +79333167806","Продам: земельный участок, общей площадью 5300 кв.м. Границы земельного участка установлены в соответствии с законом. Категория земель: сельскохозяйственное использование; Разрешенное использование: Ведение садоводства. Территориальная зона: Зона застройки жилыми дачными и садовыми домами высотой не выше трех надземных этажей (Ж3 4), 1 фото",https://www.cian.ru/sale/commercial/316740831
314083933,Продажа коммерческой земли,"2.0, сот.","Кемеровская область, Новокузнецк","2000000 руб., УСН","+79832410064, +79149518118","Продается земельный участок для целей не связанных со строительством площадью 200 кв.м, вид разрешенного использования: стоянка транспортных средств,, 1 фото",https://www.cian.ru/sale/commercial/314083933
309843537,Продажа коммерческой земли,"73.0, сот.","Кемеровская область, Новокузнецк, Кавказская улица, 5/22","4850000 руб., УСН",+79131105408,"Готовое решение для Вашего бизнеса:

Организация продает комплекс объектов недвижимости расположенных в г.Новокузнецке, ул. Кавказская, 5 корпус 22:
1. Земельный участок, КН 42:30:0508070:46, S=6432 кв.м.
2. Земельный участок, КН 42:30:0508070:52, S=853 кв.м.

На участке расположено несколько объектов в частично разрушенном состянии, площадь объектов около 500 кв.м.

Основные преимущества площадки:
• Объекты недвижимости расположены на первой линии, рядом расположен жилой район Абашево.
• Площадка расположена в непосредственной близости к участку Комплексного развития территории г.Новокузнецка, на котором в перспективе планируется построить 200 000 квадратных метров жилья, на территории 48 га. Новостройки будут располагаться на территории снесенных домов в треугольнике между улицами Тузовского, Толбухина и Кольской.
• Площадка спланирована, все коммуникации расположены вдоль границы участка.
• Площадка может использоваться под размещение базы стройматериалов, автостоянки, объектов торг ..., 11 фото",https://www.cian.ru/sale/commercial/309843537
310186045,"Продажа коммерческой земли, здание","2500.0, м2","Кемеровская область, Новокузнецк, Рудокопровая улица, 26А","9000000 руб., УСН",+79131105665,"Прeдлагаeм к пpиoбpетению один земeльный учаcтк, котoрый идeально подойдет для paзмeщeния пpомышленных объeктoв. Учaстки нахoдятcя в paйoнe c paзвитой инфрacтруктурой и выгодным мecтoположeниeм в Hoвокузнeцкe, что создaет oптимaльные условия для инвeстирoвания в прoизвoдcтвенныe или склaдcкиe мoщнocти.Характеристики участков:Площадь: 25003000 кв. мКатегория земель: земли населенных пунктовВид разрешенного использования: под промышленные предприятияМесторасположение: Кемеровская область-Кузбасс, Новокузнецкий городской округ, г. Новокузнецк, ул. Рудокопровая.Преимущества:Стоимость земельного участока составляет всего 9 000 000 рублей, что делает это предложение уникальным. Данный ценовой уровень обеспечивает выгодную инвестиционную привлекательность для покупателей, планирующих промышленное использование.Участок удобно расположен, что гарантирует хорошую транспортную доступность и минимизирует затраты на логистику.Возможность оформления сервитута, имеется возможность получения права огр ..., 2 фото",https://www.cian.ru/sale/commercial/310186045
305868638,Продажа коммерческой земли,"2.0, га","Кемеровская область, Новокузнецк, Северное шоссе, 16А","10500000 руб., УСН",+79134106672,"Продаются 2 земельных участка граничащих друг с другом по адресу Северное Шоссе 16А, общей площадью 19 678 кв.м.:
1. кадастровый номер 42:30:0410070:70, площадь 11 868 кв.м. - в собственности
2. кадастровый номер 42:30:0410070:72, площадь 7 810 кв.м. - в аренде 49 лет с 2019 года.
Соседи через забор - ЦОФ КУЗНЕЦКАЯ
Земельные участки включают в себя комплекс следующих объектов недвижимости: 
1.	Склад металлический под ГСМ, 1  этажный, площадь 547,6 кв.м.
2.	Склад  2, 1  этажный, площадь 345,4 кв.м.
3.	Склад пожаротушения, 1  этажный, площадь 968,8 кв.м.
4.	Склад  1, 1  этажный, площадь 871,9 кв. м.
5.	Склад металлический, 1  этажный, площадь 515 кв.м.
В случае ненадобности зданий и сооружений, готовы произвести демонтаж и уборку территории за свой счет., 7 фото",https://www.cian.ru/sale/commercial/305868638
305867545,Продажа коммерческой земли,"8.0, га","Кемеровская область, Новокузнецк, Космическое шоссе, 3","15000000 руб., УСН",+79134106672,"Продам земельные участки граничащие друг с другом общей площадью 79 930 кв.м.
Земельные участки в собственности. 
Мощность электроэнергии 380 кВа, с возможностью увеличения.
На территории скважина с водой.
Весь участок отсыпан граншлаком.

Также возможна продажа двух въездных зданий общей площадью 1214,4 кв.м., где 360 кв.м. - помещение склада с кран-балкой; 570,7 кв.м. - офисные помещения с КПП; 283,7 кв. м. - здание гаража. 

Адрес расположения (2ГИС): г. Новокузнецк, Промплощадка Шахты Юбилейная 1.
На Яндекс и Гугл картах адрес не отображается., 6 фото",https://www.cian.ru/sale/commercial/305867545
223199009,Продажа коммерческой земли,"3.75, га","Кемеровская область, Новокузнецк, Хлебозаводская улица","155000000 руб., УСН",+79810868847,"К продаже предлагается Земельный участок общей площадью 3,75 га, кадастровый номер: 42:30:0303090:2507, назначение участка  для размещения объектов торговли.  Форма собственности  частная. 
Нагрузки для подключения объекта: 
Водоснабжение: 45 м3/сут; 
Водоотведение: 60 м3/сут; 
Теплоснабжение: 2,5 Гкал/час; 
Электроэнергия: 1 800 кВт.
Участок расположен в Центральном районе города на территории Ритейл  парка (общ.площадь 17,3га), на первой линии магистральной объездной дорогой с интенсивным транспортным потоком. В Ритейл парке действуют: Гипермаркет Leroy Merlin; Гипермаркет ЛЕНТА; официальный дилер промышленной спецтехники Тимбермаш Байкал; Автомойка самообслуживания Амиго; Ресторан быстрого питания KFC. Для дополнительной транспортной доступности и проезда на грузовые дворы торговых объектов, со стороны северной и западной границ построена объездная дорога, проходящая вокруг территории ритейл-парка., 6 фото",https://www.cian.ru/sale/commercial/223199009
317127816,Продажа коммерческой земли,"1.32, га","Кемеровская область, Новокузнецк, улица Конева, 3","180000000 руб., УСН",+79133002757,"Участок 1,32Га. Ровный. Отличное расположение, вся социальная инфраструктура в шаговой доступности. Взносов на строительство социалки или обременений в виде ее строительства нет. Все сети на границе участка. Предварительная посадка без подземных парковок 14800м2 продаваемой площади. Эскизник проектировщика с квартирографией соответствующей текущему спросу. 
Эффективная продажная цена квартир в этой локации без комиссии банка 140-145т.р./м2. по состоянию на май 2025г. Конкурентов-застройщиков в локации нет. Продажа участка от собственника. Хороший торг.

18.03.2025 утверждены новые ПЗЗ г. Новокузнецка (Решение Новокузнецкого городского Совета народных депутатов от 18.03.2025  4/19 ""Об утверждении Правил землепользования и застройки Новокузнецкого городского округа""). Земля из зоны Общественно-делового и коммерческого назначение (ОД-1) переведена в Общественно-жилую зону (ОЖ) Многоэтажная жилая застройка в основных ВРИ зоны ОЖ, 2 фото",https://www.cian.ru/sale/commercial/317127816
