ID  объявления,Тип,Площадь,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
314142281,Продажа коммерческой земли,"22.67, сот.","Ямало-Ненецкий автономный округ, Новый Уренгой, улица Промысловая, 29","4000000 руб., УСН",79822606736,"Вашему вниманию предлагается переуступка прав аренды
земельного участка в Восточной промзоне города. На земельном участке имеется - автостоянка. Объект располагается в южной части города. Общая площадь территории 2267 квадратных метров. Хорошие подъездные пути. На территории базы расположены три вагончика. Электроснабжение - есть. Газ - отсутствует. Территория огорожена забором. Вид разрешенного использования - обслуживание автотранспорта. Срок аренды земельного участка до 2065 года. Звоните! 




Код пользователя: 24296
Номер в базе: 2920180, 14 фото",https://www.cian.ru/sale/commercial/314142281
320321660,Продажа коммерческой земли,"50.0, сот.","Ямало-Ненецкий автономный округ, Новый Уренгой, 2-й мкр, улица Интернациональная","7000000 руб., УСН",79120720755,"Продается коммерческий участок площадью 5000 кв.м., находящийся в долгосрочной аренде. Участок имеет вид разрешенного использования под склады, что делает его идеальным для логистических и складских операций.
На территории установлен надежный металлический забор, обеспечивающий безопасность и защиту. Это важное преимущество для бизнеса, так как позволяет контролировать доступ на участок и защищает имущество от возможных угроз.
Также на участке установлена электростанция, что гарантирует бесперебойное электроснабжение. Это особенно важно для складской деятельности, где необходима стабильная работа оборудования, а также для обеспечения безопасности товаров.
Участок расположен в удобном месте с развитой транспортной инфраструктурой, что позволяет легко доставлять и отправлять грузы. Близость к основным транспортным магистралям и ключевым логистическим узлам делает данное предложение особенно привлекательным для бизнеса.
Таким образом, данный коммерческий участок представляет собой отличну ..., 14 фото",https://www.cian.ru/sale/commercial/320321660
316357706,Продажа коммерческой земли,"178.26, сот.","Ямало-Ненецкий автономный округ, Новый Уренгой, Ж панель","8000000 руб., УСН",79822602525,"Продаётся земельный участок под коммерческую деятельность площадью 17 826 квадратных метров (1,78 Га). Этот участок идеально подходит для различных видов производства и бизнеса. 

Расположение участка идеальное: рядом проходят железнодорожные пути, что открывает перед вами огромные перспективы. На территории уже есть площадка с твёрдым покрытием, оформленная в собственность, где вы можете организовать свой железнодорожный тупик, заключив соглашение на аренду ж/д путей, а также Площадка для складирования металлолома, также оформленная в собственность, что может помочь в развитии вашего бизнеса. Это значительно упростит логистику и сделает ваш бизнес более эффективным.

Участок находится в локации с удобным доступом к основным транспортным магистралям, что обеспечивает лёгкость доставки материалов и отгрузки готовой продукции. Это идеальное место для роста и развития вашего бизнеса!
Газовая труба находится от участка в 290 метрах, можно завести 73 диаметр трубы, мощность 500 м3 в час. Эт ..., 6 фото",https://www.cian.ru/sale/commercial/316357706
314142255,Продажа коммерческой земли,"17.64, сот.","Ямало-Ненецкий автономный округ, Новый Уренгой","8300000 руб., УСН",79120725223,"БЕЗ КОМИССИИ ДЛЯ ПОКУПАТЕЛЯ! Компания Этажи предлагается к продаже земельный участок в южной части города, расположенный в районе бывшей воинской части, общей площадью 17,64 сотки. Хорошие подъездные пути. Электроснабжение - столб подведен к участку. Газ - отсутствует. Большая территория, можно хранить строительную технику, использовать под строительство общежития. На участке есть строительные материалы плиты имеет один въезд. Рядом находится живописная местность. Реальному покупателю Торг. 




Код пользователя: 24319
Номер в базе: 2884577, 32 фото",https://www.cian.ru/sale/commercial/314142255
314142355,Продажа коммерческой земли,"18.77, сот.","Ямало-Ненецкий автономный округ, Новый Уренгой, Северная Коммунальная Зона мкр","15000000 руб., УСН",79129106193,"БЕЗ КОМИССИИ ДЛЯ ПОКУПАТЕЛЯ! Компания Этажи предлагает к продаже инвестиционно-привлекательный земельный участок в черте города со своей парковкой. Участок в собственности площадью 1 877 м2. Отличное месторасположение участка в северной части города, обеспечивает отличный автомобильный трафик. На участке располагается недостроенный объект. 
Свободная продажа. Звоните, записывайтесь на показ. 




Код пользователя: 168269
Номер в базе: 3113763, 14 фото",https://www.cian.ru/sale/commercial/314142355
314142288,Продажа коммерческой земли,"10.0, сот.","Ямало-Ненецкий автономный округ, Новый Уренгой, Таежная улица, 206","15500000 руб., УСН",79821603761,"БЕЗ КОМИССИИ ДЛЯ ПОКУПАТЕЛЯ! СРОЧНО продамим! Компания Этажи предлагает к продаже инвестиционно привлекательный асфальтированный земельный участок с помещением в черте города со своей парковкой. Участок в собственности 10 соток, помещение в собственности. Отличное месторасположение участка на первой линии в непосредственной близости к рынку ПТТ и СТ, обеспечивает отличный автомобильный трафик. На участке располагается капитальное помещение площадью 130 м.кв. Помещение подключено к сетям электроснабжения, водоснабжения, водоотведения и теплоснабжения (центральное). В помещении установлены счётчики ХВС и ГВС, а так же счётчик контроля расхода электроэнергии. Помещению требуется капитальный ремонт. Новому владельцу участка в качестве бонуса, продавец предоставит проект авто мойки на 8-10 боксов, отправим эскизный план по запросу. Свободная продажа. Данное помещение можно приобрести в ипотеку по цене ниже ключевой ставки! Звоните, записывайтесь на показ. Готовы к диалогу по цене. 




Код  ..., 14 фото",https://www.cian.ru/sale/commercial/314142288
315247350,Продажа коммерческой земли,"8.98, сот.","Ямало-Ненецкий автономный округ, Новый Уренгой, проспект Мира, 30","26500000 руб., УСН",79821605226,"Уникальное предложение, предлагается к продаже земельный участок, расположенный по проспекту Мира, на первой линии, земельным участк общей площадью 1930 кв.м. Без комиссии для покупателя. Земельный участок находится в собственности. Мы уверены, вы оцените удобное расположение этого участка и возможность строительства новых объектов. Кроме того, данный объект доступен по очень привлекательной цене! Купив этот участок, Вы получаете идеальное место для дальнейшего развития своего бизнеса! Без комиссии для покупателя! Помогу купить в ипотеку-консультация ипотечного брокера бесплатно, полное юридическое сопровождение сделки. Звоните! Отвечу на все вопросы. 




Код пользователя: 71371
Номер в базе: 3126865, 8 фото",https://www.cian.ru/sale/commercial/315247350
314142300,Продажа коммерческой земли,"40.44, сот.","Ямало-Ненецкий автономный округ, Новый Уренгой, Созидателей мкр, 1к1","30000000 руб., УСН",79822606843,"Предлагается земельный участок из земель населённых пунктов, общей площадью 4044 квадратных метров, расположенный в Южной части города, в микрорайоне Созидателей. Земельный участок находится в аренде. Возле земельного участка имеются все необходимые коммуникации для возведения здания. Сам земельный участок расположен в инфраструктурно развитом районе. Возводятся новые многоквартирные дома. Торг. 




Код пользователя: 24280
Номер в базе: 2957127, 15 фото",https://www.cian.ru/sale/commercial/314142300
314142323,Продажа коммерческой земли,"396.31, сот.","Ямало-Ненецкий автономный округ, Новый Уренгой, улица Промысловая","36000000 руб., УСН",79822606843,"Продаётся участок земли под строительство, расположенный возле Федеральной трассы Салехард - Сургут, удаленность от города Новый Уренгой порядка 20 км. Вид разрешенного использования  производственная
деятельность (код 6.0), целевое использование  для размещения (строительства) объекта производственной деятельности. Площадь участка 39 631 м2. Земельный участок не огорожен. Покрытие - грунтовое (участок отсыпан). Рядом с участком проходят линия электропередачи. Торг. 




Код пользователя: 24280
Номер в базе: 3007890, 6 фото",https://www.cian.ru/sale/commercial/314142323
320321655,Продажа коммерческой земли,"480.0, сот.","Ямало-Ненецкий автономный округ, Новый Уренгой","43000000 руб., УСН",79120720356,"Продается пpоизвoдcтвенная база 4,8 Гa., для рaзмещeния (стpоительcтвa) oбъeктoв кoммунaльнo-складного назначeния. Тeрpитopия oгopoжена пoлностью нoвым пpофнастилoм.Ha теppитoрии пocтроен новый бокc-склaд(узaконенный 80кв.м). Так же нa тeppитоpии вылoжeнa площадка из плит для oткрытoго хранение, либо для постройки ангара, размер площадки составляет 380 кв.м. На сегодняшний день заключён договор с АО ""УЭСК"" на выделенную линию для данной производственной базы. Цена кв.м 20 рублей. Условия обсуждаются при осмотре участка. 




Код пользователя: 84096
Номер в базе: 2910846, 17 фото",https://www.cian.ru/sale/commercial/320321655
