ID  объявления,Тип,Площадь,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
319529663,Продажа коммерческой земли,"16.0, сот.","Омская область, Омск, Городок Нефтяников мкр, улица Малунцева, 34","28000000 руб., УСН",+79139614704,"ПРЯМАЯ ПРОДАЖА ОТ СОБСТВЕННИКА!

Продается земельный участок с видом разрешенного использования для строительства многоквартирного жилого дома средней этажности (8 этажей), расположенный по адресу: г. Омск, ул. Малунцева, д. 34 (р-н ДК им.Малунцева, старые Нефтяники). Общая площадь земельного участка  16 соток. Электроэнергия  260 кВт.

Идеальное место для точечной застройки жилого дома, есть вся инфраструктура, по соседству - Советский рынок, Советский исполком, пересечение проспекта Мира и улицы Нефтезаводской, сквер им. 50-летия ВЛКСМ, школы, Омский университет (ОмГУ).

Земельный участок оформлен в собственность. Один собственник. Обременения отсутствуют.

Звоните, чтобы узнать более подробную информацию., 3 фото",https://www.cian.ru/sale/commercial/319529663
295972543,Продажа коммерческой земли,"203.7, сот.","Омская область, Омск, улица 2-я Солнечная, 25","45000000 руб., УСН",+79131421001,"Участок с Кадастровым номером 55:36:130101:7731, расположен на границе Кировского административного округа г. Омска, на пересечении крупных транспортных магистралей: ул. Волгоградская, ул. Дианова, 2-я Солнечная, Тюкалинский тракт соединяющие Кировский Административный округ с городом и являющиеся выездом на федеральную трассу р 402 ( последней частью европейского транспортного коридора e 30, одновременно это участок трассы р 254 Иртыш (бывшая м 51) (челябинск  Новосибирск) автомагистрали Байкал (челябинск  Чита). В качестве одного из участков трассы р 254 входит в азиатский транспортный маршрут ah 6 (граница с Белоруссией  Пусан, Южная Корея). 
Участок расположен в непосредственной близости от крупного жилого микрорайона с застройкой в 5-16 этажей, крупного коттеджного поселка, в зоне 10-15 минутной транспортной доступности проживает более 150 000 чел. 
Видимость с дороги оценивается как отличная, Объект находится в непосредственной близости от магистрали, препятствующие видимости фак ..., 7 фото",https://www.cian.ru/sale/commercial/295972543
310309859,Продажа коммерческой земли,"7.0, сот.","Омская область, Омск, пос. Армейский","10000 руб., УСН",+79136029775,Ровный ЗУ для посадки склада или производства.,https://www.cian.ru/sale/commercial/310309859
315958687,Продажа коммерческой земли,"3.7, сот.","Омская область, Омск, улица Гусарова, 83","3330000 руб., УСН",+79136602332,"УНИКАЛЬНОЕ ПРЕДЛОЖЕНИЕ: предлагаем к продаже угловой участок  3.7 соток в собственности по ул. Гусарова 83 угол 5 Армии 134,  участок и дом 100 кв.м в собственности, размеры участка условно 25 на 15 метров, назначение ИЖС, перевод в мфц под магазин , автомойку, сто по градплану.                         55:36:040103:14312, 14 фото",https://www.cian.ru/sale/commercial/315958687
306248262,Продажа коммерческой земли,"4.1, га","Омская область, Омск, проспект Комарова, 13к3","3500000 руб., УСН",+79139617379,"На продаже участок , 4.1 сотки в районе дома  на Комарова .Точный адрес земельного участка Комарова 13.корпус 2 . Можно использовать под строительство малоэтажных сооружений, торговых центров , офисных помещений ., 2 фото",https://www.cian.ru/sale/commercial/306248262
319963186,Продажа коммерческой земли,"3.7, сот.","Омская область, Омск, переулок 1-й Лесной, 12","4200000 руб., УСН",+79836209963,"На продаже земельный участок на первой линии к трассе. Подъезд к объекту -асфальт. На земельном  участке расположено капитальное  строение , ранее используемое под СТО. Пристроено жилое помещение. Водопровод, электричество. Межевание земельного участка имеется, документы оформленны для выхода на сделку. В шаговой доступности находятся:  остановка муниципального транспорта, есть работающие торговые точки с продуктами. Один собственник. Звоните , договоримся на просмотр. 




Код пользователя: 13307
Номер в базе: 9118911, 21 фото",https://www.cian.ru/sale/commercial/319963186
319823952,Продажа коммерческой земли,"57.0, сот.","Омская область, Омск, улица Конева, 38","10000000 руб., УСН",+79136807401,"Прекрасная возможность для застройщиков и инвесторов! Продается земельный участок площадью 57 соток в одном из самых динамично развивающихся районов города. Это уникальное предложение открывает широкие горизонты для реализации ваших амбициозных проектов! 
Участок расположен в удобной транспортной доступности, что обеспечит высокую проходимость и привлекательность для будущих клиентов. В непосредственной близости от участка активно строится престижный жилой комплекс, что гарантирует рост цен на недвижимость в этом районе и создаст дополнительный поток потенциальных клиентов.
Не упустите шанс стать частью этого перспективного проекта! Свяжитесь с нами для получения дополнительной информации и организации просмотра. Ваш успешный бизнес начинается здесь! 




Код пользователя: 115110
Номер в базе: 4179720, 20 фото",https://www.cian.ru/sale/commercial/319823952
303366418,Продажа коммерческой земли,"107.0, сот.","Омская область, Омск, улица Воровского","21000000 руб., УСН",+79136319714,"Предложение для развития вашего бизнеса!

Земельный участок промышленного назначения с Производственно-складским комплексом в отличной локации.

параметры предложения:

земельный участок - 10608 квм (4849 квм в собственности (желтый контур), 5759 квм - потенциал для увеличения (зеленый контур))

строения - 1746,6 квм

преимущества локации:

+ удобные подъездные пути (въезд с улицы Воровского)

+ высокий доступ к трудовым ресурсам

+ выезд на федеральную трассу ( в 3 км выезд на федеральную трассу)

+ в 10 минутах езды от центра Омска

преимущества предложения:

+ возможность формирования земельного участка площадью более 1Га с необходимым для строительства коммуникациями (ЭЭ более 200 кВт, водоснабжение, доступ к газификации)

+ стабильный арендный доход (в данный момент все площади сданы в аренду. Доходность более 13% годовых)

+ широкие возможности в назначении (высокий спрос на аренду, удобство ведения собственной деятельности)

Продажа от собственника! Без комиссии агентства!, 9 фото",https://www.cian.ru/sale/commercial/303366418
307560617,Продажа коммерческой земли,"11.85, сот.","Омская область, Омск, улица Булатова, 71А","24000000 руб., УСН",+79136503467,"Уникальное предложение для застройщиков и инвесторов: земельный участок в самом центре города площадью 11,85 соток. Виды разрешенного использования: многоквартирная жилая застройка, хранение автотранспорта,  амбулаторно-поликлиническое обслуживание, образование и просвещение, объекты культурно-досуговой деятельности, деловое управление, магазины, банковская и страховая деятельность, общественное питание, гостиничное обслуживание и многое другое.
   Удобная транспортная доступность, отличное месторасположение. Перспективная локация: напротив участка ведется активное строительство престижного жилого комплекса.
   Возможность размещения вместительного наземного паркинга у здания (со стороны ул.Рабиновича).
   Ограничений и обременений нет, оперативный выход на сделку.
   Дополнительная информация по телефону., 8 фото",https://www.cian.ru/sale/commercial/307560617
320623266,Продажа коммерческой земли,"57.3, сот.","Омская область, Омск, улица 2-я Солнечная, 40","26750000 руб., УСН",+79136402450,"Компания  ""Регион Бизнес Недвижимость ""

Предлагает приобрести,  земельный участок в собственности,  все коммуникации ( вода,газ,канализация) по линии участка, асфальтированная территория, есть строение. Возможно использование под строительство базы, автокомплекса, автомойки и тд. В данный момент на участке расположена стоянка грузового транспорта.  
Возможно рассматривать,как готовый арендный бизнес. 
Звоните, ответим на все, ваши вопросы и покажем в удобное для вас время. 

Арт. 113031115, 11 фото",https://www.cian.ru/sale/commercial/320623266
