ID  объявления,Тип,Площадь,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
302897633,Продажа коммерческой земли,"73.0, сот.","Республика Карелия, Петрозаводск, проезд Черемуховый","20000000 руб., УСН",79814008596,"Код объекта: 1128163.
 Предлагается к продаже уникальный земельный участок, представляющий собой промышленную площадку с хорошей транспортной доступностью, подъездными путями и железнодорожной веткой, с железнодорожным тупиком для осуществления разгрузки/погрузки Ж/Д транспортом.

Общая вместимость Ж/Д тупика, около 30-ти вагонов.
Вся протяженность Ж/Д путей, вдоль всех границ участков, составляет около 600 метров.

Площадку можно использовать под различные задачи:
- Производство.
- Обработка камня.
- Склад.
- Распределительный центр.
- Установка завода.
и т.п.

Земельный участок 73 сотки.
Кадастровый номер: 10:01:0210105:50
Назначение земли: для эксплуатации производственной базы.

Коммуникации:
- Электричество от 100 кВт.

Хорошие подъездные пути для грузового и легкового автотранспорта, железнодорожная ветка + ж/д тупик, позволяющие осуществлять разгрузку/погрузку ж/д транспортом. 

Полное и платное сопровождение сделки!, 18 фото",https://www.cian.ru/sale/commercial/302897633
315390305,Продажа коммерческой земли,"20.13, сот.","Республика Карелия, Петрозаводск, улица Сусанина, 8","30000000 руб., УСН",79814008596,"Код объекта: 1516476.
 Предлагаем к покупке, земельный участок, расположенный в густонаселенном районе и окруженный, жилыми домами. 

Кадастровый номер: 10:01:0170121:868

Участок подойдет под строительство жилого многоквартирного дома или торгового центра.

Площадь участка: 2013 кв.м.

Разрешенное использование:
- Административные здания.
- Офисные объекты. 
- Территориальная зона Жм. 
- Зона застройки многоэтажными жилыми домами.

Полное и платное сопровождение сделки!, 25 фото",https://www.cian.ru/sale/commercial/315390305
302897622,Продажа коммерческой земли,"83.0, сот.","Республика Карелия, Петрозаводск, проезд Черемуховый","45000000 руб., УСН",79814008596,"Код объекта: 1128178.
 Предлагается к продаже уникальный земельный участок, представляющий собой промышленную площадку с хорошей транспортной доступностью, подъездными путями и железнодорожной веткой, с железнодорожным тупиком для осуществления разгрузки/погрузки Ж/Д транспортом.

Общая вместимость Ж/Д тупика, около 30-ти вагонов.
Вся протяженность Ж/Д путей, вдоль всех границ участков, составляет около 600 метров.

Земельный участок 1.1 Га.
Совокупная площадь из двух участков.
Кадастровый номер:10:01:0210105:49
Кадастровый номер:10:01:0210105:325
Назначение земли: для эксплуатации производственной базы.

Использовать объект можно:
- Склад.
- Логистический центр.
- Производство.
- и т.п.

На земельном участке расположены;
1. Склад кирпичный - 1375 кв.м.
2. Административное здание 428 кв.м.

Помещение склада требует обслуживания и его можно использовать. Так же его можно реконструировать, нарастить высоту и т.п.

Коммуникации:
- Электричество от 100 кВт.

Хорошие подъездные пути для гру ..., 24 фото",https://www.cian.ru/sale/commercial/302897622
302897644,Продажа коммерческой земли,"160.0, сот.","Республика Карелия, Петрозаводск, проезд Черемуховый","50000000 руб., УСН",79814008596,"Код объекта: 1128184.
 Предлагается к продаже уникальный земельный участок, представляющий собой промышленную площадку с хорошей транспортной доступностью, подъездными путями и железнодорожной веткой, с железнодорожным тупиком для осуществления разгрузки/погрузки Ж/Д транспортом.

Общая вместимость Ж/Д тупика, около 30-ти вагонов.
Вся протяженность Ж/Д путей, вдоль всех границ участков, составляет около 600 метров.

Максимальная длинна маневрового состава при  подаче и уборке вагонов не должна превышать 30 условных вагонов, 25 физических (100 осей).
Максимальный вес маневрового состава не должен превышать:
- ПРИ ПОДАЧЕ ВАГОНОВ - 2250 ТОНН;
- ПРИ ПОДАЧЕ ВАГОНОВ, В СЛУЧАЕ ЗАСНЕЖЕННОСТИ ПУТИ ДО УРОВНЯ ГОЛОВКИ РЕЛЬСА И ВЫШЕ - 1000 ТОНН;
- ПРИ УБОРКЕ ВАГОНОВ - 700 ТОНН.

В данный момент объект сдан в аренду, под разгрузку и хранения угля.

Его можно использовать как и по прямому назначению, так и полностью его переформатировать под иную задачу.
- Производство.
- Обработка камня.
- Склад.
-  ..., 26 фото",https://www.cian.ru/sale/commercial/302897644
315089142,Продажа коммерческой земли,"66.0, сот.","Республика Карелия, Петрозаводск, улица Плеханова, 2","108000000 руб., УСН",79814008596,"Код объекта: 1515401.
 Продаётся земельный участок площадью 66 соток по адресу: Республика Карелия, город Петрозаводск, улица Плеханова, дом 2.
Участок имеет статус промышленного назначения и расположен в угловой части города. Подъезд к участку асфальтированный, что обеспечивает удобный доступ в любое время года. Все необходимые коммуникации — электричество, водоснабжение и канализация — уже подведены. Возможность подключения природного газа. Это позволит вам быстро приступить к использованию участка без дополнительных вложений.
Расположение участка особенно удобно для бизнеса, так как он находится в городе Петрозаводске, а значит, обеспечен хорошей транспортной доступностью и подключением к городской инфраструктуре. В то же время он имеет достаточную площадь для реализации различных проектов.

Кадастровый номер: 10:01:0100104:56 и  10:01:0100104:59

Мы гарантируем безопасную сделку и юридическую поддержку нашим Клиентам. 

Позвоните нам прямо сейчас, чтобы узнать больше!, 9 фото",https://www.cian.ru/sale/commercial/315089142
307533617,Продажа коммерческой земли,"130.0, сот.","Республика Карелия, Петрозаводск, Район Северная промзона, Вороний Наволок тер., Талоярви мкр","239000000 руб., УСН",79814008596,"Код объекта: 537181.
 Самородок уникального характера, участок земли на берегу Онежского Озера с собственным пирсом для яхт и катеров, а также песчаным пляжем для отдыха, загара и купания. 

Продаётся земельный участок на берегу Онежского озера на улице Зайцева, в городе Петрозаводск, Республика 
Карелия.

По текущему ген.плану это прибрежная рекреация, не промзона. Покупатель потом сможет изменить назначение даже на жилое, внесением изменения назначение через Корпорацию эк развития РК. Бесплатно!
 
Уникальное местоположение участка, первая береговая линия, свой пирс, в нескольких метрах от участка расположен песчаный пляж. 
Данный участок может быть использован под жилую, многоквартирную застройку, ген.планом утверждено развитие данной местности и на соседнем участке уже возводятся жилые дома  жилой комплекс Talojarvi. 

Так же земельный участок можно использовать для строительства отеля высокого уровня, с собственным пирсом для катеров и песчаным пляжем.

Потенциал застройки - это пр ..., 19 фото",https://www.cian.ru/sale/commercial/307533617
294164302,Продажа коммерческой земли,"18.45, сот.","Республика Карелия, Петрозаводск, улица Онежской Флотилии, 37А","5000000 руб., УСН",79114205866,Продаётся объект незавершённого строительства на земельном участке 1845 м.кв. Земля в аренде.,https://www.cian.ru/sale/commercial/294164302
314086554,"Продажа коммерческой земли, здание","13700.0, м2","Республика Карелия, Петрозаводск, проезд Автолюбителей","40000000 руб., УСН",79114018993,"Общая площадь земельного участка с дополнительным землеотводом — 13770 м²: основной участок — 8756 м² (аренда на 49 лет, стоимость 89 000 руб. /год), доп. Участки: 2504 м² (аренда на 3 года, стоимость 260000 руб. /год), 1708 м² (аренда на 3 года, стоимость 206000 руб. /год), 802 м ² (аренда на 3 года, стоимость 21600 руб. /год). Имеются все коммуникации (водоснабжение, канализация, природный газ, электричество 450 квт). Имеется готовый универсальный проект под застройку.
Без торга., 1 фото",https://www.cian.ru/sale/commercial/314086554
319176034,"Продажа коммерческой земли, здание","2760.0, м2","Республика Карелия, Петрозаводск, улица Чапаева, 1А","41000000 руб., УСН",79190511719,"Пpoдаeтcя дейcтвующая автозапрaвочнaя станция в Пeтрозавoдскe

Гoтoвый бизнec c высоким трафиком в пеpcпективном paйонe



 Лoкация:

г. Пeтрозaвoдcк, район Перевалкa, ул. Чапaeва, учacтoк 1А

 Pазвитaя инфрaстpуктуpа paйонa

 Удoбный подъeзд с оcновныx тpанcпортныx нaпpавлений

 Высокая проходимость автотранспорта



 Технические характеристики:

• Общая площадь: 2 755 кв.м

• Кадастровый номер: 10:01:0110148:33

• Категория: земли населенных пунктов

• Разрешенное использование: эксплуатация стационарной АЗС





 Бизнес-преимущества:

 Готовая инфраструктура для бесперебойной работы

 Легализованная деятельность (разрешение на АЗС)

 Возможность расширения услуг (магазин, кафе, СТО)

 Стабильный поток клиентов



 Инвестиционные показатели:

• Работающий бизнес с налаженными поставками топлива

• Возможность увеличения доходности за счет дополнительных сервисов

• Перспективы роста в связи с развитием района





Собственник. Серьезным покупателям - полный пакет документов.

Возможе ..., 7 фото",https://www.cian.ru/sale/commercial/319176034
319176238,"Продажа коммерческой земли, здание","13000.0, м2","Республика Карелия, Петрозаводск, шоссе Суоярвское, 51","41000000 руб., УСН",79190511719,"Пpoдается дейcтвующaя АЗС с комплeксoм услуг в Петрозaвoдcке



 Cтpaтeгичecкое располoжeние:

Земeльный учaстoк плoщадью 13 060 кв.м нaходитcя в г. Пeтpозаводск (Республикa Кapелия), Cуoяpвскoе ш., 51. Удoбная тpанcпoртнaя дoступнocть и перспективнoe мecтопoложениe для paзвития бизнеса.



 Ключевые параметры:

Кадастровый номер: 10:01:0240103:91



Категория земель: земли населённых пунктов



Разрешенное использование:

 Эксплуатация автозаправочной станции (АЗС)

 Организация платной стоянки

 Очистные сооружения





 Бизнес-потенциал:

 Готовая инфраструктура  участок уже используется как АЗС, что подтверждает его рентабельность.

 Дополнительные сервисы  возможность расширения за счет платной стоянки, мойки, магазина или кафе.

 Высокий трафик  расположение в городе обеспечивает стабильный поток клиентов.



 Инвестиционная привлекательность:

Петрозаводск  крупнейший город Карелии с развитой логистикой и туристическим потоком. Участок подходит как для продолжения работы АЗС, та ..., 5 фото",https://www.cian.ru/sale/commercial/319176238
