ID  объявления,Тип,Площадь,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
318127810,Продажа коммерческой земли,"4.46, сот.","Республика Мордовия, Саранск, Отдых СНТ","3600000 руб., УСН",+79875703433,"Продается 3 земельных участка общей площадью 13,21 соток, одним лотом.
Находится возле пруда Глинка в СНТ Отдых.
Замечательное место для отдыха, склада, беседок под сдачу. Очень зеленое место.
Участок ровный, можно разбить на три разных.

Подъезд асфальт, дальше грунт.
Место пользуется спросом у отдыхающих в любое время года.

Категория земель: Земли населённых пунктов (Для размещения объектов предпринимательской деятельности)

Электричество проходит возле участков.
Земля в собственности.

Юридически чистая, без залогов и обременений. 




Код пользователя: 132133
Номер в базе: 2679935, 15 фото",https://www.cian.ru/sale/commercial/318127810
317692715,Продажа коммерческой земли,"140.0, сот.","Республика Мордовия, Саранск, площадь Тысячелетия","8500000 руб., УСН",+79197870739,"Предлагаем вашему вниманию коммерческий участок в черте города Саранска (за ""Семейным Магнитом"" на Химмаше), который станет идеальным местом для вашего успешного бизнеса!
Участок разделен на две части: 140 соток (1,4 га)  в собственности, и есть возможность оформить в собственность еще 95 соток или взять в аренду. 
Отлично подойдет для размещения производственных помещений, складов, ведения крестьянско-фермерского хозяйства и т.д.
Ранее на участке много лет успешно велось фермерское хозяйство, так как участок ровный и очень плодородный.
Удобный подъезд, недалеко от участка вся необходимая инфраструктура. 
Газ проходит рядом с участком, а электричество расположено в непосредственной близости от участка, что значительно упростит процесс подключения коммуникаций.

Не упустите шанс стать владельцем этого уникального предложения! Рассмотрим обмен на квартиру!
Звоните прямо сейчас, чтобы узнать подробности и записаться на просмотр!
#рассрочкаэтажи. 




Код пользователя: 117413
Номер в базе: ..., 14 фото",https://www.cian.ru/sale/commercial/317692715
318058366,Продажа коммерческой земли,"33.63, сот.","Республика Мордовия, Саранск, проспект 70 лет Октября, 40","16000000 руб., УСН",+79170682305,"Отличное предложение!
Участок находится в Октябрьском районе с большим жилым массивом. В 100 метрах находится новый микрорайон. Потенциал района, безусловно, требует строительства новых образовательных учреждений. Участок включает в себя три граничащих участка земли населенных пунктов (склады, производство, деловое управление) 0,12 га. Первая линия, отличный заезд. Рядом все городские коммуникации. Идеально подходит под: школу, жилую застройку (ввиду наличия коммуникаций и активного жилого строительства вокруг), склады, производство, автосалон, автобазу (ввиду удобной транспортной логистики), торгово-развлекательный центр с зонами отдыха, спортивными клубами и детскими центрами. В непосредственной близости огромная новая жилая застройка, конкуренты отсутствуют. Остальную информацию предоставим по вашему запросу. Документы готовы к продаже.  




Код пользователя: 124114
Номер в базе: 3926110, 9 фото",https://www.cian.ru/sale/commercial/318058366
303584487,"Продажа коммерческой земли, здание","500.0, м2","Республика Мордовия, Саранск, Экскаваторщик СНТ","2830000 руб., УСН",+79197875084,"Месторасположение участка с очень высоким трафиком! Первая линия, идеально подойдет для любой сферы бизнеса!Продажа от собственника!Возможна аренда.5 соток Кадастровый номер 13:23:0909107:280, 2 фото",https://www.cian.ru/sale/commercial/303584487
167313120,Продажа коммерческой земли,"18.8, сот.","Республика Мордовия, Саранск, улица Лодыгина, 7В","3200000 руб., УСН",+79176902011,"Земельный участок 18800 кв.м. , вода, электроэнергия 380 v, асфальтированный подъезд, ангар 500 кв.м., участок огорожен. Торг при осмотре.",https://www.cian.ru/sale/commercial/167313120
315864066,Продажа коммерческой земли,"25.0, сот.","Республика Мордовия, Саранск, улица Титова, 4с7","5000000 руб., УСН",+79123068630,"продажа земельного участка коммерческого назначения в центральной части города.
удобные подъездные пути
возможно увеличить до 50 соток.
спрашивайте, ответим, 1 фото",https://www.cian.ru/sale/commercial/315864066
203629828,Продажа коммерческой земли,"1.04, га","Республика Мордовия, Саранск, Пролетарская улица, 130/2","12000000 руб., УСН","+79197870849, +79876901919","В собственности. Коммуникации по границе участка, 2 фото",https://www.cian.ru/sale/commercial/203629828
302380645,"Продажа коммерческой земли, здание","5640.0, м2","Республика Мордовия, Саранск, улица Терешковой, 65А","40000000 руб., УСН",+79870105343,"Цена договорная. Торг уместен.- Продается земельный участок с кадастровым номером 13:23:1004132:202 общей площадью 5 638 кв.м., расположенный по адресу: Республика Мордовия, г. Саранск, ул. Терешковой, д. 65 а, категория земель: земли населенных пунктов, разрешенное использование: для размещения объекта связи  производственной базы.
Одновременно продаются, находящиеся на земельном участке здания: 
- здание гаража с кадастровым номером 13:23:1004132:262, общей площадью 441,80 кв.м., 
- здание железобетонного цеха с кадастровым номером 13:23:1004132:259, общей площадью 426,10 кв.м.,
- здание теплопункта с кадастровым номером 13:23:1004132:255, общей площадью 27,70 кв.м., 
- здание столярной мастерской с кадастровым номером 13:23:1004132:256, общей площадью 172,40 кв.м., 
 - административное здание с кадастровым номером 13:23:1004132:261, общей площадью 153,1 кв.м., 
- здание гаража с кадастровым номером 13:23:1004132:254, общей площадью 161,40 кв.м., 6 фото",https://www.cian.ru/sale/commercial/302380645
315708351,Продажа коммерческой земли,"4.6, га","Республика Мордовия, Саранск, улица Титова, 4","51000000 руб., УСН",+79123068630,"продаётся земельный участок промышленного назначения в центральной части города.
Территория огорожена жб забором., 2 фото",https://www.cian.ru/sale/commercial/315708351
319935015,Продажа коммерческой земли,"14.1, сот.","Республика Мордовия, Саранск, Александровское шоссе","4400000 руб., УСН",+79170035842,"продаётся участок промышленного назначения 14,07 соток. прямоугольный 30м. х 40метров.
все коммуникации есть.
или в аренду на долго, с правом выкупа.",https://www.cian.ru/sale/commercial/319935015
