ID  объявления,Тип,Площадь,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
319688503,Продажа коммерческой земли,"1.5, га","Краснодарский край, Сочи, КСМ мкр","90000000 руб., УСН",+79189726399,"Земельный участок для строительства склада.

Продается 1,5 гектара земли в районе КСМ. Отличное место для организации склада.

Целевое назначение - промышленное использование!

Разработан проект освоения территории, визуализация проекта представлена на фото.

Удобное месторасположение и назначение земли делают этот участок идеальным предложением в Сочи для данного бизнеса., 5 фото",https://www.cian.ru/sale/commercial/319688503
315741056,Продажа коммерческой земли,"11.55, сот.","Краснодарский край, Сочи, Сириус пгт, улица Цимлянская, 31","165000000 руб., УСН",+79186294205,"Продается участок , 1-я береговая линия, ровный, все центральные коммуникации, рядом со всеми знаковыми обьектами, шикарная набережная пгт Сириус!, 1 фото",https://www.cian.ru/sale/commercial/315741056
293386923,Продажа коммерческой земли,"120.0, сот.","Краснодарский край, Сочи, Культурное Уч-Дере мкр","430000000 руб., УСН",+79883854672,"В продаже участок вытянутый вдоль береговой линии между морем и национальным парком общей площадью 2 га, можно поделить по 10-30 соток. Подойдет для коттеджной застройки или строительства жилого комплекса., 1 фото",https://www.cian.ru/sale/commercial/293386923
316681528,Продажа коммерческой земли,"1.5, га","Краснодарский край, Сочи, Верхнеимеретинская Бухта мкр","450000000 руб., УСН",+79186204502,"Продается участок с прямым видом на Сириус.

Рельеф ровный, с уклоном. 
Хорошие подъездные пути - асфальт.
Разрешение: многоэтажная застройка до 76 м. 

Граничит с трассой федерального значения А-147 Джубга - Адлер - граница с абхазией. Дорога входит в состав европейского маршрута Е 97.

Есть градостроительный план, с указанием всех видов использования. 

Письма о предварительном разрешение на подключение водоснабжения, водоотведения, электроэнергии - получены.

видео скину по запросу! 
звоните!, 7 фото",https://www.cian.ru/sale/commercial/316681528
292612743,Продажа коммерческой земли,"7.8, сот.","Краснодарский край, Сочи, улица Яна Фабрициуса, 14/1","37000000 руб., УСН",+79183337964,"В продаже земля с капитальным строением в собственности. Земля в аренде на 49 лет. Нежилое строение - 285,8 кв.м.  Удобный подъезд . Возможен обмен. Остальные вопросы по телефону., 11 фото",https://www.cian.ru/sale/commercial/292612743
313275746,Продажа коммерческой земли,"7.0, сот.","Краснодарский край, Сочи, Мамайка мкр, улица Крымская, 11/1","50000000 руб., УСН",+79186253995,"Предлагаем уникальную возможность приобрести ровный земельный участок площадью 7 соток с потрясающим видом на море. Это идеальное место для реализации ваших бизнес-идей — от строительства гостиницы или ресторана до создания уютного курортного комплекса.

Преимущества данного участка:

• Уникальное месторасположение: Участок находится в живописном районе, что привлечет туристов и местных жителей.

• Ровная поверхность: Удобные условия для строительства без дополнительных затрат на выравнивание.

• Вид на море: Наслаждайтесь великолепными панорамами, которые станут дополнительным преимуществом для вашего бизнеса.

• Развита инфраструктура: В шаговой доступности находятся все необходимые коммуникации и удобства.

Звоните прямо сейчас, чтобы узнать больше и организовать просмотр!, 3 фото",https://www.cian.ru/sale/commercial/313275746
319897206,Продажа коммерческой земли,"26.0, сот.","Краснодарский край, Сочи, Мамайка мкр, улица Крымская","59000000 руб., УСН",+79184358837,"Арт. 111203874 Продам в отличном районе участок под коммерцию в Сочи
 Район Мамайка

-Участок 26 соток
-Под коммерцию (назначение под многоквартирный жилой дом)
-Практически ровный
-Находится возле главной дороги 
-Отлично подойдет под сетевиков
-Коммуникации по меже. 
Звоните!, 6 фото",https://www.cian.ru/sale/commercial/319897206
314020856,Продажа коммерческой земли,"44.0, сот.","Краснодарский край, Сочи","95000000 руб., УСН",+79883122554,"Продаю земельный участок в г Сочи. 44 сотки.
 Рядом с санаторием ""Магадан "".
На руках Градплан , ИСОГД.
Назначение: Гостиницы, Мотель, Апартотель, Пансионат
Пятно застройки 40 %
Площадь озеленения 30 %, 6 фото",https://www.cian.ru/sale/commercial/314020856
317298864,Продажа коммерческой земли,"47.0, сот.","Краснодарский край, Сочи, улица Марата, 7","165000000 руб., УСН",+79883122554,"Продаю санаторий Прогресс,  с готовым проектом реконструкции.
 Г. Сочи, Лазаревский р-н п. Якорная Щель. 
Площадь участка: 4 700 м² (47 соток или 0,5 Га)
23:49:0119003:5
ВРИ: земли населенных пунктов.
Зона лечебно-оздоровительных учреждений: санатории, отели, АпартОтели, гостиницы.

Текущая площадь строений: 1 861,4 м²
Назначение: нежилые помещения
Проектируемая площадь: 4 000 м²
Расстояние до моря: 300 м

Продаётся с готовым проектом реконструкции под Medical SPA. 
Под проект подписан договор с COSMOS GROUP о сопровождении и дальнейшем управлении., 12 фото",https://www.cian.ru/sale/commercial/317298864
319815502,Продажа коммерческой земли,"150.0, сот.","Краснодарский край, Сочи, Сириус пгт, улица Казачья","450000000 руб., УСН",+79184358837,"Арт. 110916735 Участок с живописным видом на Сириус, отличный вариант для инвестирования.

Площадь 1.5 Га
 Разрешённое использование:
база / логистический центр
 Категория земель:
Земли населённых пунктов
 
Аренда на 49 лет
 В собственности 26 строений
Территориальная зона - Ж6. Звоните!, 1 фото",https://www.cian.ru/sale/commercial/319815502
