ID  объявления,Тип,Площадь,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
295073891,Продажа коммерческой земли,"100.0, сот.","Белгородская область, Старооскольский район, Старый Оскол, улица Токарева","28000000 руб., УСН",79155605429,"Продается готовый бизнес - охраняемая автостоянка на 220 м/мест в Юго-Западной части города Старый Оскол на улице Токарева (возле путепровода, рядом с храмом Александра Невского), расположенная на земельном участке площадью 10 000 кв.м.
По периметру автостоянка огорожена 2х метровым металлическим забором, въезд/выезд осуществляется через регулируемый шлагбаум, внутри имеются специализированные места с навесом (более 70 шт.). 
У автостоянки удобное месторасположение (рядом рынок ""Восточный""), с подъездными путями для любого транспорта. Доступ к территории 24/7. Свободная парковка. Построено помещение для обслуживающего персонала с отоплением и кондиционером.
На территории автостоянки расположена вышка связи (имеющая свою дополнительную стоимость аренды).
 Оперативный показ в любое время. 
Торг уместен., 22 фото",https://www.cian.ru/sale/commercial/295073891
229284622,Продажа коммерческой земли,"5.5, сот.","Белгородская область, Старооскольский район, Старый Оскол, улица Сталеваров, 133","3500000 руб., УСН",79803203024,"Продается земельный участок для строительства нежилого здания, строительный проект, согласование  АГО, собственность, отличное месторасположение. Возможна продажа совместно смежного участка (ижс) 8 сот. с гаражом и фундаментом (+ 3000000 р.), 4 фото",https://www.cian.ru/sale/commercial/229284622
258674639,Продажа коммерческой земли,"45.0, сот.","Белгородская область, Старооскольский район, Старый Оскол, Карьерная промплощадка тер.","6000000 руб., УСН",79803706197,"Продаётся производственная территория свободного назначения! Площадь земли 4500 м2, на участке два отдельно стоящих здания. Первое 540 м2, состоит из 5 отдельных помещений, четыре по 80 м2 и одно 220 м2. Второе здание 420 м2, состоит из четырёх отдельных помещений по 105 м2. На территории автомобильная эстакада, металлическая смотровая вышка, все коммуникации. К участку примыкают ж/д пути. Для въезда на территорию действует пропускная система, круглосуточная охрана!, 22 фото",https://www.cian.ru/sale/commercial/258674639
313295156,Продажа коммерческой земли,"25.0, сот.","Белгородская область, Старооскольский район, Старый Оскол, улица Ленина","6900000 руб., УСН",79803706576,"Продам участок, 25 соток ( в аренде, вид разрешенного использования - магаины), по улице Ленина, 
 Полная информация по телефону., 3 фото",https://www.cian.ru/sale/commercial/313295156
319588702,Продажа коммерческой земли,"9.0, сот.","Белгородская область, Старооскольский район, Старый Оскол, улица Прядченко, 231","7000000 руб., УСН",79107367305,"Заключается договор просмотра!
СРОЧНО!!! Продается земельный участок назначение земли под строительство магазина по адресу ул. Прядченко 231. Общей площадью 9 соток.Коммуникации:Электричество.
Газ по улице
Вода на участкеВ собственности, без обременения.Улица социально развита, освещена и асфальтирована, полностью жилая.Агентство сертифицировано и аттестовано в Российской Гильдии Риэлторов;
Специалисты агентства аттестованы;
Деятельность компании застрахована;
Юридический отдел с опытом работы более 15 лет;
Ипотечный отдел с опытом работы более 5 лет;
Свыше 500 успешных сделок за 2023 г.АБСОЛЮТНО БЕСПЛАТНО ОТ НАШЕЙ КОМПАНИИ:* *При заключении договора с покупателем.Подбор выгодных ипотечных программ с наилучшей процентной ставкой;Подробности по указанному в профиле номеру. Звоните!!!11:00, 4 фото",https://www.cian.ru/sale/commercial/319588702
296303693,Продажа коммерческой земли,"15.0, сот.","Белгородская область, Старооскольский район, Старый Оскол, улица Вешняя, 10","10000000 руб., УСН",79100230342,"Продаётся ровный участок 15 соток вдоль проезжей части, ул. Вешняя, д.6.
Назначение: Для строительства магазина. 
В собственности!
Рядом с участком расположены точки доступа для коммуникаций., 1 фото",https://www.cian.ru/sale/commercial/296303693
300600959,Продажа коммерческой земли,"10.0, сот.","Белгородская область, Старооскольский район, Старый Оскол, Буденного мкр","11000000 руб., УСН",79100230342,"Продаётся ровный участок 10 соток вдоль моста, м-н Буденного, д.6.          
В собственности!
    Первая линия. Отлично просматривается. Жилой массив.  
Рядом с участком расположены точки доступа для коммуникаций., 6 фото",https://www.cian.ru/sale/commercial/300600959
302543875,"Продажа коммерческой земли, здание","1480.0, м2","Белгородская область, Старооскольский район, Старый Оскол, Надежда мкр, 12","15000000 руб., УСН",79803922216,"Земля коммерческого назначения., 2 фото",https://www.cian.ru/sale/commercial/302543875
311613559,"Продажа коммерческой земли, здание","70000.0, м2","Белгородская область, Старооскольский район, Старый Оскол, Промплощадки Оскольский электрометаллургический комбинат тер.","60000000 руб., УСН",79897140518,"Пpoдаeтcя земельный участок, к/н 31:05:1604001:29 Объект pаcполoжeн в прoмышлeнной зонe нa удaлeнии oт Cтарого Ocкoлa pайoн пpoмплoщадки OАO ОЭМК в юго-вoстoчнoм нaпpaвлeнии. Paзрeшеннoe иcпользованиe: Для размeщeния промышленныx объектoв. Teppитopия пo пepимeтру огoрожена забором. Электричество, Газ (большие мощности). Торг. Возможна аренда, обмен, 9 фото",https://www.cian.ru/sale/commercial/311613559
287767069,Продажа коммерческой земли,"50.0, сот.","Белгородская область, Старооскольский район, Старый Оскол, Советская улица, 11Б","72000000 руб., УСН",79100230342,"Продается земельный участок 50 соток, в Центре города. Первая линия, рядом с ТЦ БОШЕ. 
Коммуникации: газ заведен, электричество заведено 50кВт., 5 фото",https://www.cian.ru/sale/commercial/287767069
