ID  объявления,Тип,Площадь,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
318067171,Продажа коммерческой земли,"45.88, сот.","Томская область, Томск, Ракетная улица, 4Б","81999999 руб., УСН",+79832302917,"Земельный участок с отдельно стоящим зданием.
Продам Земельный участок площадью 45,88 сот. ( г Томск ул Ракетная 4б). Участок ровный, прямоугольной формы, заасфальтированный. Все коммуникации. Прямой выезд на Ракетную.
Территория огорожена капитальным забором.
Здание площадью 489 кв. метров. После реконструкции и капитального ремонта. Сквозной проезд, сдвижные ворота под еврофуру с каждой стороны. В помещение заведены все коммуникации. Внутри оборудованы комната для персонала, офис, санузел.
Цена за всё  - 81 999 999 рублей., 9 фото",https://www.cian.ru/sale/commercial/318067171
308160439,Продажа коммерческой земли,"15.0, сот.","Томская область, Томск, пос. Родионово, улица Российская, 33","1500000 руб., УСН",+79131104576,"Собственник. Поселок входит в программу газификации. Есть центральные коммуникации: электричество. 
Документы готовы

Неподалеку будут строить студенческий кампус,  развитие района не заставит себя ждать., 5 фото",https://www.cian.ru/sale/commercial/308160439
319927897,Продажа коммерческой земли,"4.0, сот.","Томская область, Томск, переулок Плеханова, 36","3100000 руб., УСН",+79131004748,"Продается участок в самом центре города, но в то же время в стороне от городской суеты. До участка асфальтированная дорога, рядом проходят трамвайные пути. В пешей доступности не только магазины, поликлиники, аптеки, а вообще все блага цивилизации нашего города. Данный участок отлично подойдет под строительство индивидуального жилого дома. Так же можно использовать землю для строительства бани-беседки для сдачи. Приобретая данный участок вы сможете воплотить в жизнь любые идеи, связанные с недвижимостью.

Арт. 111309252, 5 фото",https://www.cian.ru/sale/commercial/319927897
265724986,Продажа коммерческой земли,"12.5, сот.","Томская область, Томск, пос. Степановка, переулок Богдана Хмельницкого, 6","6000000 руб., УСН",+79138523431,"Земельный участок расположенный на Степановке, возможное использование для строительства многоквартирных домов 5-10 этаж, магазина,промышленного объекта, 4 фото",https://www.cian.ru/sale/commercial/265724986
320137793,Продажа коммерческой земли,"8.21, сот.","Томская область, Томск, улица Челюскинцев, 4В","6978500 руб., УСН",+79850418992,"Продам земельный участок по адресу Челюскинцев 4б (пересечение с ул. Степана Разина, напротив домов  11а и 14), площадью 821 кв.м, кадастровый номер: 70: 21: 0200006: 302.
Участок полностью расположен в зоне Ж-1, что позволяет использовать его практически под любые виды деятельности.
Хорошая транспортная доступность.
Рассмотрю адекватные варианты обмена на недвижимость или авто с доплатой в обе стороны., 9 фото",https://www.cian.ru/sale/commercial/320137793
304521879,Продажа коммерческой земли,"22.0, сот.","Томская область, Томск, улица Александра Угрюмова, 7/1","8200000 руб., УСН",+79131004508,"Производственная бетонная площадка, с козловым краном грузоподъёмностью 12.5тн ( под восстановление, лишь нет кабеля), вагончик для охраны. холодный ангар 100м.кв с кран балкой 2 тн, холодный склад 30 м.кв, помещение под офис 20 м.кв в рядом стоящем здании, удобный проезд/заезд., 10 фото",https://www.cian.ru/sale/commercial/304521879
313288996,Продажа коммерческой земли,"50.0, сот.","Томская область, Томск, улица Владимира Высоцкого","9000000 руб., УСН",+79833405631,"Земельный участок в районе приборного завода. Кад. 70:14:0300092:11861 площадь 5000м2,  Земли промышленности, энергетики, транспорта, связи, радиовещания, телевидения, информатики, земли для обеспечения космической деятельности, земли обороны, безопасности и земли иного специального назначения.Вид разрешённого использования: для строительства и эксплуатации  промышленно-производственных и складских помещений., 1 фото",https://www.cian.ru/sale/commercial/313288996
311184860,Продажа коммерческой земли,"53.0, сот.","Томская область, Томск, улица 2-я Усть-Киргизка, 23с3","9999999 руб., УСН",+79131004508,"Промка. Зона производственно-коммунальных объектов IV-V классов вредности. Открытая площадка, частичное ограждение, ж/д ветка. Неограниченные электро/мощности.  Благоприятный подъезд, в близи городской инфраструктуры., 5 фото",https://www.cian.ru/sale/commercial/311184860
320463826,Продажа коммерческой земли,"63.0, сот.","Томская область, Томск, улица Ивановского, 8/5","12000000 руб., УСН",+79131004508,"Продажа участка под промышленно-производственное использование, с удобным подъездом и коммуникациями по границе используемой территории, по оценочной стоимости адекватная относительно данной локации. На остальные вопросы, могли бы ответить по мере запроса., 3 фото",https://www.cian.ru/sale/commercial/320463826
318997684,Продажа коммерческой земли,"56.0, сот.","Томская область, Томск, улица 2-я Усть-Киргизка, 23/1","12999000 руб., УСН",+79131004508,"Промка. Зона производственно-коммунальных объектов IV-V классов вредности. Открытая площадка, ж/д ветка, кран башенный БКСМ-14 ПМ-2  5тн/гр с подкрановыми путями и ж/д тупиком. Неограниченные электро/мощности.  Благоприятный подъезд, в близи городской инфраструктуры., 4 фото",https://www.cian.ru/sale/commercial/318997684
319958487,Продажа коммерческой земли,"15.0, сот.","Томская область, Томск, Черемошники мкр, улица Строевая, 14","13000000 руб., УСН",+79138106223,"Oтличный участок c огpомным коммерчеcким потeнциалом. 
Удoбная фоpмa позвoляeт cтpoить пpоекты рaзнoго направления и фoрмы. 
Pядoм центрaльная вода, гaз и кaнaлизация. 
За зeмельным учaстoк еcть pека, кoтopая укрaсит вaш прoeкт (апapтамeнты, панcионaт, дeтcкo\спoртивнoе нaпpавлeние) 
В шаговой доступности остановка общественного транспорта, вокруг огромный жилой массив. 
Зона ж-2 ( в том числе многоквартирные дома), ограничений на участке для строительства нет. Звоните, отвечу на ваши вопросы!, 8 фото",https://www.cian.ru/sale/commercial/319958487
304828235,Продажа коммерческой земли,"100.0, сот.","Томская область, Томск, Причальная улица, 1","15000000 руб., УСН",+79833405631,"Земельный участок на первой линии  по ул.Мостовой  с кад.номером 70:21:0100093:771 предназначен для строительства и последующей эксплуатации накопительной и складской площадки. Все коммуникации на границы. Ориентир  кафе  ""У фонтана"", 5 фото",https://www.cian.ru/sale/commercial/304828235
303896361,Продажа коммерческой земли,"50.0, сот.","Томская область, Томск, Березовая улица","16000000 руб., УСН",+79131004508,"Территория муниципального образования 50 соток, с капитальным строением(640m), высота потолков достигает 9м, наличие коммуникаций. Электричество 100 кВт, с возможность увлечения, с большим объемом скважина на 120м, центральная канализация., 20 фото",https://www.cian.ru/sale/commercial/303896361
