ID  объявления,Тип,Площадь,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
320321087,Продажа коммерческой земли,"15.44, сот.","Республика Бурятия, Улан-Удэ, Лысогорская улица, 83Б","7800000 руб., УСН",+79836302647,"Код объекта: 1707782.
  Продается уникальный земельный участок! 

Ищете идеальное место для вашего бизнеса? У нас есть то, что вам нужно! Продается ровный земельный участок площадью 15,44 сотки в экологически чистом районе по адресу ул. Лысогорская. 

 Преимущества:
• Отличный вид на город  вдохновляющие пейзажи каждый день!
• Подходит под строительство: служебные гаражи, магазины, деловое управление, общественное питание, гостиницы, развлекательные мероприятия, автомобильные мойки и ремонт автомобилей.
• Рядом лес и дацан  идеальное место для отдыха и вдохновения.

 Обратите внимание: коммуникации не проведены, что дает вам возможность реализовать проект по своему усмотрению.

 Один взрослый собственник  быстрая сделка без лишних хлопот!

 Звоните в любое время для быстрого показа! Не упустите шанс инвестировать в перспективное место для вашего бизнеса!, 6 фото",https://www.cian.ru/sale/commercial/320321087
320573641,Продажа коммерческой земли,"51.7, сот.","Республика Бурятия, Улан-Удэ, Поселок полигон","39000000 руб., УСН",+79149802775,"Арт. 112778301 Продам участок в районе Стрелки за ТЦ Кэпитал молл, площадь 51,7 соток. Есть возможность расширить участок.

От трамвайной остановки 10-15 минут пешком. 
Удобный подьезд большегрузного транспорта.

На участке расположены две скважины с питьевой водой (глубиной по 70 метров) и два резервуара по 500 кубов.
Имеются технические паспорта на скважины и резервуары.

В собственности. Звоните, ответим на все интересующие вопросы., 2 фото",https://www.cian.ru/sale/commercial/320573641
199520098,Продажа коммерческой земли,"8.0, сот.","Республика Бурятия, Улан-Удэ, Солдатский мкр","300000 руб., УСН","+79835302492, +79149803508","огорожен с 3-х сторон кругом хорошие соседи, до остановки минут 10-12 ходьбы",https://www.cian.ru/sale/commercial/199520098
320180229,Продажа коммерческой земли,"8.0, сот.","Республика Бурятия, Улан-Удэ, Тулунжа мкр, улица Юбилейная, 3","363120 руб., УСН",+79834504938,"Данные получены с сайта ГИС Торги.
Земельный участок площадью 800,00 кв. м, кадастровый номер 03:24:011411:95, категория земель -  земли населенных пунктов, вид разрешенного использования — под строительство индивидуального жилого дома. Местоположение установлено относительно ориентира, расположенного за пределами участка. Ориентир жилой дом. Участок находится примерно в 630 м, по направлению на северо-восток от ориентира. Почтовый адрес ориентира: Республика Бурятия, г. Улан-Удэ, п. Тулунжа, ул. Юбилейная, д. 3. Согласно сведениям из ЕГРН от 21 февраля 2025 г. земельный участок расположен в границах зоны приаэродромной территории аэродрома Улан-Удэ (Мухино)., 5 фото",https://www.cian.ru/sale/commercial/320180229
203112579,Продажа коммерческой земли,"4.0, сот.","Республика Бурятия, Улан-Удэ, Восточный мкр","1000000 руб., УСН",+79835303118,"продаю земельный участок,  в очень проходимом месте.  400 м2. обмен",https://www.cian.ru/sale/commercial/203112579
202675896,Продажа коммерческой земли,"13.0, га","Республика Бурятия, Улан-Удэ, Талецкий СНТ","1000000 руб., УСН",+79834503823,"Продам участок сельскохозяйственного назначения на берегу реки Уда с возможностью перевода в другую категорию земель площадью 13 га в СПК Талецкий Заиграевского района республики Бурятия, участок расположен вблизи трассы Улан-Удэ-Романовка-Чита., 1 фото",https://www.cian.ru/sale/commercial/202675896
320180000,Продажа коммерческой земли,"36.31, сот.","Республика Бурятия, Улан-Удэ","5463375 руб., УСН",+79834504938,"Данные получены с сайта ГИС Торги.
Земельный участок площадью 3631 кв. м, кадастровый номер 03:24:034301:120, категория земель — земли населенных пунктов, вид разрешенного использования — для размещения подъездных железнодорожных путей. Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Республика Бурятия, г. Улан-дэ, ст. Медведчиково. Согласно сведениям из ЕГРН от 30 апреля 2025 г. земельный участок расположен в зоне приаэродромной территории Аэродрома Улан-Удэ (Мухино)., 3 фото",https://www.cian.ru/sale/commercial/320180000
299918863,"Продажа коммерческой земли, здание","450.0, м2","Республика Бурятия, Улан-Удэ, улица Трубачеева, 26","7500000 руб., УСН",+79834300882,"Земельный участок промназначения. Возможен обмен по предложению, 6 фото",https://www.cian.ru/sale/commercial/299918863
299099775,Продажа коммерческой земли,"17.0, сот.","Республика Бурятия, Улан-Удэ, Красногвардейская улица, 12","22000000 руб., УСН",+79149803488,Земельный участок находится на углу улиц Бабушкина и Трубачеева.,https://www.cian.ru/sale/commercial/299099775
186278699,Продажа коммерческой земли,"60.0, сот.","Республика Бурятия, Улан-Удэ","24000000 руб., УСН",+79140502496,"Продается база на Проспекте автомобилистов, 502 километр, расположена на земельном участке общей площадью 6000 квадратных метров.На территории расположены здание склада и теплой стоянки площадью 421,1 квадратный метр.Есть своя подстанция. Территория базы охраняется камерами видео наблюдения.Так же имеется два небольших тех.помещения для хоз.нужд персонала.На данный момент действующая-находится база хранения и ремонта. База подойдет под различные виды деятельности., 7 фото",https://www.cian.ru/sale/commercial/186278699
314185151,Продажа коммерческой земли,"15.0, сот.","Республика Бурятия, Улан-Удэ, Ключевская улица, 6А","30000000 руб., УСН","+79834304718, +79140506599","Продается участок под застройку. На данный момент автостоянка., 4 фото",https://www.cian.ru/sale/commercial/314185151
320484315,Продажа коммерческой земли,"5.0, сот.","Республика Бурятия, Улан-Удэ, Советская улица","31000000 руб., УСН",+79836302607,"Продается отличный участок в самом центре города! Расположен напротив ТЦ ""Сибирь"" и остановки ""Советская"", что обеспечивает удобную транспортную доступность. Общая площадь — 5 соток, участок полностью подготовлен к застройке или использованию под коммерческие или жилые цели. 

Все коммуникации — центральные: водопровод, канализация, электричество. Участок ровный, хорошо огорожен, что обеспечивает безопасность и приватность.
 Обширный перечень разрешенных видов использования позволяет реализовать различные проекты — от жилых домов до коммерческих объектов. Идеальное место для реализации ваших строительных или бизнес-идей в самом сердце города. 

Не упустите возможность стать владельцем этого выгодного объекта! Звоните прямо сейчас для получения дополнительной информации и организации просмотра! 




Код пользователя: 91711
Номер в базе: 9154987, 13 фото",https://www.cian.ru/sale/commercial/320484315
318932711,Продажа коммерческой земли,"15.0, сот.","Республика Бурятия, Улан-Удэ, 18-й кв-л","50000000 руб., УСН",+79141277413,"Продаётся участок под высотную застройку, все городские коммуникации проходят рядом. Хорошее месторасположение, рядом проходит трамвайная линия, развитая инфраструктура, школы, сады, остановки общественного транспорта, 5 фото",https://www.cian.ru/sale/commercial/318932711
308972830,Продажа коммерческой земли,"1.0, га","Республика Бурятия, Улан-Удэ, Амбулаторная улица, 1к1","52500000 руб., УСН",+79835303833,"Продаётся участок- производственная база. Есть холодное водоснабжение, отопление, септик, электроснабжение., 7 фото",https://www.cian.ru/sale/commercial/308972830
