ID  объявления,Тип,Площадь,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
320524599,Продажа коммерческой земли,"8.81, сот.","Приморский край, Уссурийск, Инженерная улица, 23","490000 руб., УСН",+79147123397,"Данные получены с сайта ГИС Торги.
Продажа земельного участка площадью 881 кв.м., 1 фото",https://www.cian.ru/sale/commercial/320524599
320524586,Продажа коммерческой земли,"7.79, сот.","Приморский край, Уссурийск, улица Теодора Тихого, 17","467400 руб., УСН",+79147123397,"Данные получены с сайта ГИС Торги.
Продажа земельного участка площадью 779 кв.м., 1 фото",https://www.cian.ru/sale/commercial/320524586
320268261,Продажа коммерческой земли,"8.53, сот.","Приморский край, Уссурийск, Инженерная улица, 20","470000 руб., УСН",+79147123397,"Данные получены с сайта ГИС Торги.
Продажа земельного участка площадью 853 кв.м., 1 фото",https://www.cian.ru/sale/commercial/320268261
320268257,Продажа коммерческой земли,"8.36, сот.","Приморский край, Уссурийск, Общественная улица, 196","460000 руб., УСН",+79146617565,"Данные получены с сайта ГИС Торги.
Продажа земельного участка площадью 836 кв.м., 1 фото",https://www.cian.ru/sale/commercial/320268257
319922418,Продажа коммерческой земли,"9.04, сот.","Приморский край, Уссурийск, Инженерная улица, 23","497200 руб., УСН",+79147123397,"Данные получены с сайта ГИС Торги.
Продажа земельного участка площадью 904 кв.м., 1 фото",https://www.cian.ru/sale/commercial/319922418
320268260,Продажа коммерческой земли,"9.28, сот.","Приморский край, Уссурийск, улица Теодора Тихого, 21","556800 руб., УСН",+79147123397,"Данные получены с сайта ГИС Торги.
Продажа земельного участка площадью 928 кв.м., 1 фото",https://www.cian.ru/sale/commercial/320268260
320268256,Продажа коммерческой земли,"10.5, сот.","Приморский край, Уссурийск, Волховская улица, 2А","735000 руб., УСН",+79147123397,"Данные получены с сайта ГИС Торги.
Продажа земельного участка площадью 1050 кв.м., 1 фото",https://www.cian.ru/sale/commercial/320268256
320524590,Продажа коммерческой земли,"15.61, сот.","Приморский край, Уссурийск, Волховская улица, 2А","1092700 руб., УСН",+79147123397,"Данные получены с сайта ГИС Торги.
Продажа земельного участка площадью 1561 кв.м., 1 фото",https://www.cian.ru/sale/commercial/320524590
309718242,Продажа коммерческой земли,"3.6, га","Приморский край, Уссурийск","1800000 руб., УСН",+79143209622,"Продается большой земельный участок 3,6 га.
Категория земли: Земли поселений (земли населенных пунктов), находится в стороне от села Нагорное.
Разрешение земли: животноводство, возможно поменять на другое. 
Участок расположен в зоне П-2 — зона промышленных предприятий II класса вредности. В ней разрешено развитие вспомогательных и сопутствующих основным производств, производств меньшего класса вредности. 

В такой зоне могут находиться, например:

административные и офисные здания; 
ведомственные научно-исследовательские институты и их производственные лаборатории; 
предприятия общественного питания; 
склады; 
объекты инженерного обеспечения предприятий; 
пожарные депо; 
открытые наземные стоянки; 
подземные и наземные паркинги.
Размер санитарно-защитной зоны (СЗЗ) от предприятий в такой зоне составляет 500 метров. 

На территории стоит тп на 150 кВт.
Есть фундамент от ангара на 1000 кв.м.
Несколько подъездных путей, можно огородить себя полностью от проездных дорог.

Остались вопросы? ..., 4 фото",https://www.cian.ru/sale/commercial/309718242
220388931,Продажа коммерческой земли,"10.0, сот.","Приморский край, Уссурийск, улица Муданьцзянская, 5","13000000 руб., УСН","+79149623890, +79143305920","Продаю автостоянку рядом с торговым центром Зелёный зал, центральный въезд на Китайский рынок. Земля выведена в нежилое использование. Отличное расположение, полноценный бизнес в виде автостоянки, рядом с которой торговый центр и гостиница. Участок подходит для любого вида коммерческой деятельности. Торг уместен., 8 фото",https://www.cian.ru/sale/commercial/220388931
212200952,Продажа коммерческой земли,"68.0, сот.","Приморский край, Уссурийск, улица Афанасьева","14000000 руб., УСН",+79143307862,"Продается земельный участок в перспективной зоне застройки, в центре города! Категория земли: Земли населенных пунктов. Находиться в зоне Ж3. Участок проходит вдоль дороги по ул. Афанасьева, есть подъездные пути. Данный земельный участок даёт возможность реализовать Ваши идеи для строительства, бизнеса. Все коммуникации к участку подведены. Все вопросы по телефону!, 7 фото",https://www.cian.ru/sale/commercial/212200952
204862946,Продажа коммерческой земли,"50.0, сот.","Приморский край, Уссурийск, улица Некрасова, 266А","32000000 руб., УСН",+79143310508,"Виды разрешенного использования: Объекты коммунально - складского назначения. 800 кв. М. Помещения на территории. 
Район расположения объекта 6-ой кл., дальше, чем китайский рынок, рядом база КПС
на территории:
- есть помещения (боксы и административное здание) - 200кв.м, 200кв.м.и 422кв.м.
- стоянка для большегрузных машин, френчей.
-территория огорожена
-общий въезд на территорию
-охрана
-видео наблюдения
-база действующая (есть арендаторы)

Все дополнительные вопросы по телефону., 6 фото",https://www.cian.ru/sale/commercial/204862946
307690273,Продажа коммерческой земли,"117.94, сот.","Приморский край, Уссурийск, улица Штабского, 18В","40000000 руб., УСН",+79143307267,"Код объекта: 1248631.
 Продаётся земельный участок с жд тупиком под коммерческую деятельность. На территории имеется  склад со своей котельной, общей площадью 282,8 кв. м. 
Площадь участка 11 794 кв. м. 
Электричество есть,
Техническая вода есть , канализация есть.

Адрес земельного участка ул. Штабского , д.18 в, 13 фото",https://www.cian.ru/sale/commercial/307690273
