ID  объявления,Тип,Площадь,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
307143926,Продажа коммерческой земли,"15.92, сот.","Чувашская Республика, Чебоксары, Вурнарское шоссе, 44","16000000 руб., УСН",+79876603102,"Продается земельный участок площадью 15,9 соток на территории промзоны, свободный заезд как со стороны города, так и федеральной трассы.

Категория земель: Земли поселений (земли населенных пунктов)
Назначение: склады, магазины

Участок ровный, покрытие - асфальт. Есть оборудованный съезд с дороги. 

ОПИСАНИЕ УЧАСТКА:
— Чувашская Республика - Чувашия, г Чебоксары, ш Вурнарское, д 44
— Площадь земельного участка 15,9 соток;
— Коммуникации — есть подключение к электричеству;
— есть оборудованный съезд с дороги.


Все дополнительные вопросы — по телефону! Звоните!

Арт. 73576095, 6 фото",https://www.cian.ru/sale/commercial/307143926
315019427,Продажа коммерческой земли,"27.49, сот.","Чувашская Республика, Чебоксары, Северо-Западный жилрайон, Университет мкр","46733000 руб., УСН",+79176601768,"Арт. 97452313 ВЫГОДНОЕ ПРЕДЛОЖЕНИЕ!
ПРОДАЕТСЯ ЗЕМЕЛЬНЫЙ УЧАСТОК 27,5 соток!
АДРЕС: г. Чебоксары, ул. Университетская

ИНФРАСТРУКТУРА: Земельный участок расположен в районе с хорошей транспортной развязкой,  развитой инфраструктурой с качественным потоком (трафиком) автомобилей и общественного транспорта. Земельный участок ровный, без строений. Асфальтированные  подъездные пути.

КОММУНИКАЦИИ:
Все коммуникации проходят в  плотную к участку. Электрические и газовые коммуникации,  с возможностью подключения достаточных объемов мощностей.
Вид разрешенного использования: для строительства объектов торговли. 

СТОИМОСТЬ продажи  46 733 000 руб.
НИКАКИХ КОМИССИЙ при покупке!
Гарантия юридической чистоты сделки от компании
Звоните! Записывайтесь на показ объекта прямо сейчас!
Рады будем ответить на все ваши вопросы с 9:00 до 21:00., 8 фото",https://www.cian.ru/sale/commercial/315019427
317458432,Продажа коммерческой земли,"55.62, сот.","Чувашская Республика, Чебоксары, Новоюжный мкр","55000000 руб., УСН",+79176601768,"Арт. 104230145 ВЫГОДНОЕ ПРЕДЛОЖЕНИЕ!
ПРОДАЕТСЯ ЗЕМЕЛЬНЫЙ УЧАСТОК 55,6 соток!
АДРЕС: г. Чебоксары, ул. Кукшумская, д.4В.

ИНФРАСТРУКТУРА: Земельный участок расположен  в 5 км от  автодороги М7. 
Удобные подъездные пути.
Земельный участок огорожен забором.
Построено и зарегистрировано помещения для охраны.
На участке залита монолитная плита - пятно застройки - 1400 кв.м. Имеется проект.

КОММУНИКАЦИИ:
Заведено 50 кВт с возможность увеличения до 300 кВт.
В плотную к участку проходят газовые коммуникации с возможностью подключения.

Концепция застройки земельного участка:
Принимая во внимание месторасположение земельный участок рассматривается под строительство производства, складских помещений. 

СТОИМОСТЬ продажи  55 млн.руб.
НИКАКИХ КОМИССИЙ при покупке!
Гарантия юридической чистоты сделки от компании  
Звоните!  Записывайтесь на показ объекта прямо сейчас! 
Рады будем ответить на все ваши вопросы с 9:00 до 21:00., 15 фото",https://www.cian.ru/sale/commercial/317458432
318653260,Продажа коммерческой земли,"12.0, сот.","Чувашская Республика, Чебоксары, улица Еловая, 5Б","4000000 руб., УСН",+79875750048,"Участок 12 соток со всеми коммуникациями. 
Длина 50 метров, ширина 26 метров.
Согласно градостроительному регламенту, есть возможность применить много видов разрешенного использования к данному участку.

Арт. 107339863, 4 фото",https://www.cian.ru/sale/commercial/318653260
300315249,Продажа коммерческой земли,"3.0, сот.","Чувашская Республика, Чебоксары, проспект Ивана Яковлева","5500000 руб., УСН",+79199728162,"Продаю земельный участок с кадастровым номером 21:01:020908:1004 по пр. И.Яковлева. Идеальное месторасположение под автосервис, автомойку, автомагазин, шиномонтаж., 6 фото",https://www.cian.ru/sale/commercial/300315249
291623080,Продажа коммерческой земли,"104.5, сот.","Чувашская Республика, Чебоксары, Марпосадское шоссе, 7А","9600000 руб., УСН","+79199725107, +79170676296","Продаются земельные участки, расположенные в промышленной зоне г. Чебоксары по адресу: Марпосадское шоссе, 7, общей площадью 104,5 сотки (единый лот), в том числе: 
-земельный участок с кадастровым номером 21:01:030206:311, площадью 2951 кв.м., участок свободен от построек.
-земельный участок с кадастровым номером 21:01:030206:314, площадью 672 кв.м., участок свободен от построек.
-земельный участок с кадастровым номером 21:01:030206:316, площадью 707 кв.м. На территории земельного участка располагается цементобетонный проезд площадью 707 кв.м.
-земельный участок с кадастровым номером 21:01:030206:315, площадью 6120 кв.м. На территории данного земельного участка располагается кирпичное здание площадью 66,3 кв.м. и асфальтобетонная площадка площадью 868,40 кв.м. 
Основная площадь участка свободна от построек. Въезд на территорию участков возможен со стороны гаражного кооператива Энергетик (г. Чебоксары, ш. Марпосадское, д. 3в)., 4 фото",https://www.cian.ru/sale/commercial/291623080
309796925,Продажа коммерческой земли,"59.18, сот.","Чувашская Республика, Чебоксары, проезд Гремячевский","11710000 руб., УСН",+79128224057,"Продаются ЕДИНЫМ ЛОТОМ следующие объекты недвижимого имущества, расположенные в промзоне г.Чебоксары по адресу: Марпосадское ш.: Земельный участок площадью 5918 кв.м. с кадастровым номером 21:01:030206:694, на котором располагаются следующие объекты: - подъездной железнодорожный путь станции Гремячево (рельс типа Р-65) протяженностью 412 п.м. (сооружение с кадастровым номером 21:01:030206:752); - подъездной железнодорожный путь станции Гремячево (рельс типа Р-65) протяженностью 373 п.м. (сооружение с кадастровым номером 21:01:030206:754) . Собственник ПАО ""Т Плюс"". Подробная информация на офиц. сайте ПАО Т Плюс в разделе Продажи, подраздел Аукционы, выбрать в списке Филиал Марий Эл и Чувашии., 1 фото",https://www.cian.ru/sale/commercial/309796925
310513330,Продажа коммерческой земли,"31.15, сот.","Чувашская Республика, Чебоксары, Березовый проезд","17100000 руб., УСН",+79199728162,"Земельный участок с видом разрешенного использования: производственная деятельность. Кадастровый номер: 21:01:021203:412. В собственности. Прямая продажа., 3 фото",https://www.cian.ru/sale/commercial/310513330
312870902,Продажа коммерческой земли,"25.0, сот.","Чувашская Республика, Чебоксары, Марпосадское шоссе, 10","19000000 руб., УСН",+79877354940,"Учacтoк 25 сoт. По цене от Собственника! Расположенный рядом с АЗС, 1 линия от дороги!
ВРИ: объекты придорожного сервиса
Общая площадь: 2500 м2

Kaдаcтpoвый нoмеp: 21:01:030303:129
Адрес: Чувашия, гор. Чебоксары, Марпосадское шоссе, 10. 

 Звоните или пишите, проконсультируем Вас по всем вопросам!

Преимущества:
- Расположен вдоль дороги
- Напротив Мегастрой и Метро
- Земельный участок ровный
- Есть въезд с главной дороги
- Находится в собственности

Коммуникации: 
- Электричество
- Водоснабжение
- Канализация
- Газ

Идеально под:
- Центр придорожного сервиса
- Автосервис
- Производство
- Логистический центр и тд.


Плюсы участка рядом с АЗС:
-Высокая проходимость
-Развитые подъездные пути
-Коммуникации

Поможем купить участок: Прозрачные условия сделки и помощь в оформлении документов! Собственник ООО, с НДС., 9 фото",https://www.cian.ru/sale/commercial/312870902
320180190,Продажа коммерческой земли,"3.11, сот.","Чувашская Республика, Чебоксары, 50 лет Октября СНТ, 748","250260 руб., УСН",+79170783249,"Данные получены с сайта ГИС Торги.
земельный участок, местоположение: Чувашская Республика-Чувашия, г. Чебоксары, р-н Ленинский, Садоводческое товарищество ""50 лет Октября"",уч-к 748, кадастровый номер 21:01:021004:855, общая площадь: 311 кв. м, разрешенное использование: ведение садоводства, 1 фото",https://www.cian.ru/sale/commercial/320180190
