ID  объявления,Тип,Площадь,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
320255926,Продажа коммерческой земли,"16.7, сот.","Архангельская область, Архангельск, набережная Северной Двины, 1А","8100000 руб., УСН",+79115603040,"Объект 15516. 

Перспективный объект в центре Архангельска — уникальная возможность для инвесторов!
Улица Парижской коммуны /перекресток Набережная Северной Двины, прямо у моста.
Шикарный вид на реку. Рядом научно-технологический IT-парк ""Digital Arctic"". Его разместили в реконструированном здании бывшего Штаба армии.
Ключевые параметры:
- Площадь участка: 16,74 сотки.
- Площадь объекта незавершенного строительства: 995 м² (2 этажа).
- Потенциал застройки: до 34 этажей.
- Кадастровый номер земельного участка: 29:22:050516:68.
Описание объекта:
Участок расположен на пересечении улиц Набережной Северной Двины и Парижской Коммуны, в шаговой доступности от главной городской набережной. Район отличается высокой пешеходной и автомобильной активностью, что делает его особенно привлекательным для реализации коммерческих проектов.
На участке уже выполнены работы по свайному основанию и получено разрешение на строительство, действительное до 18.07.2025. Проект предусматривает строительство объек ..., 9 фото",https://www.cian.ru/sale/commercial/320255926
317955135,Продажа коммерческой земли,"17420.0, сот.","Архангельская область, Архангельск, Талажское шоссе","17500000 руб., УСН","+79115901449, +79110551587","Адрес :  г. Архангельск, Талажское шоссе, 22.

Продажа земельного участка общей площадью -  17 420 кв.м.,  
Вид разрешённого использования - для размещения производственно-складского комплекса, 
хорошие подъездные пути.  Все документы готовы.

Цена продажи -  17 500 000 рублей.",https://www.cian.ru/sale/commercial/317955135
284925368,Продажа коммерческой земли,"179.2, сот.","Архангельская область, Архангельск, Окружное шоссе, 35к1","50000000 руб., УСН","+79115901449, +79110551587","Продам земельный участок 17916 м2 (1,8 Га) Окружное шоссе 35/1 в собственности. Земельный участок отсыпан, выложен плитами 1700 шт. (1,2 Га). Огорожен забором. Есть въезд с Окружного шоссе. Подведены коммуникации э/э 150 кВт и вода. На участке кирпичное здание 300 м2, здание кафе метал с утеплением 200 м2 и незавершённое строительство склада из легковозводимых конструкций 1500 м2. Удобное расположение. Возможна продажа части ЗУ. Цена продажи 50 млн., 1 фото",https://www.cian.ru/sale/commercial/284925368
282937484,Продажа коммерческой земли,"1.7, га","Архангельская область, Архангельск, Окружное шоссе","50000000 руб., УСН","+79110551587, +79115901449","Продам земельный участок 1,7 Га Окружное шоссе",https://www.cian.ru/sale/commercial/282937484
303904438,Продажа коммерческой земли,"1.0, га","Архангельская область, Архангельск, Окружное шоссе","60000000 руб., УСН","+79110551587, +79115901449","Продам земельный участок, собственность, на Окружном шоссе площадью 1 Га, первая линия свой въезд. Участок отсыпан и уложен ж/б плитами, огорожен. Подведены все коммуникации (центральные), э/э 130 кВт. На территории построены и работают склады. Площади сданы в аренду, окупаемость 7,5 лет. Цена продажи 60 млн., 1 фото",https://www.cian.ru/sale/commercial/303904438
319520661,Продажа коммерческой земли,"5.51, га","Архангельская область, Архангельск, Окружное шоссе, 33","140000000 руб., УСН","+79115901449, +79110551587","Продам два смежных земельных участка общей площадью 55135 м2 (5,5 Га) Земельные участки отсыпаны, частично выложены плитами. Огорожены забором. Первая линия. Есть въезд с Окружного шоссе. Подведены коммуникации э/э и вода.
На участках расположено кирпичное здание 300 м2, здание кафе металл с утеплением 200 м2, незавершённое строительство склада из легковозводимых конструкций 1500 м2,
ангар 1300 м2, кирпичное здание 1000 м2.
Удобное расположение для большегрузного транспорта. Возможность быстро добраться из города по Московскому проспекту. 
Рассмотрю продажу земельных участков по частям. 
Цена продажи двух участков 140 млн. руб., 3 фото",https://www.cian.ru/sale/commercial/319520661
315882260,Продажа коммерческой земли,"4.78, га","Архангельская область, Архангельск","4700000 руб., УСН",+79116807089,"Под строительство пром.и прочих объектов. ЗУ 29:22:040214:109. Уступка, продажа чистого юрлица. Соинвестирование., 1 фото",https://www.cian.ru/sale/commercial/315882260
318502760,Продажа коммерческой земли,"155.0, сот.","Архангельская область, Архангельск","10000000 руб., УСН","+79115806152, +79115901076","возможен небольшой торг, 1 фото",https://www.cian.ru/sale/commercial/318502760
317381883,Продажа коммерческой земли,"0.6, га","Архангельская область, Архангельск, Талажское шоссе, 3к3","12000000 руб., УСН",+79811889061,"УНИКАЛЬНЫЙ ЛОГИСТИЧЕСКИЙ ХАБ В Архангельске — 0,6 Га с инфраструктурой, 200 кВт, готовый проект! Идеально под склад, оптовую-розничную торговлю, производство, автосервис, металлоторг со стоянкой для грузовых, легковых автомобилей и спецтехники. Цена ниже рынка —  всего 12 млн ₽ 

 Преимущества локации:
 Мгновенный доступ во все районы города — Окружное шоссе, выезд на аэропорт, Нефтебазу, Соломбалу, Маймаксу и центр через Кузнечевский мост.  
 Развязка у областной больницы — быстрый заезд на Привокзальный район и Троицкий проспект.  
 Трафик грузового и легкового транспорта — идеально для бизнеса с высокой посещаемостью.  

 Готовый участок под запуск бизнеса под ключ:
 0,6 Га с ж/б плитами — ровная площадка, ограждение, освещение.  
 Подключенные коммуникации — электричество 200 кВт, технические условия на воду, тепло и канализацию.  
 Полный пакет документов — градплан, рабочий проект — никаких скрытых обременений!  
2 заезда на участок

 5 прибыльных вариантов использования: 
1. Скл ..., 3 фото",https://www.cian.ru/sale/commercial/317381883
314950259,Продажа коммерческой земли,"3.3, га","Архангельская область, Архангельск, пос. Новый","250000000 руб., УСН",+79815505845,"Агентство недвижимости,Наш дом Архангельск,предлагает эксклюзивный,инвестиционный объект недвижимости.

  !!! Напрямую от собственника Месторасположение земельного массива, 2 Ленинградский переулок 16. Общая площадь участка: 3.3 га Количество земельных участков 8 шт. Основные преимущества: 1.Объект находится на стадии фундаментных работ. 2.На территории располагается трансформаторная подстанция ТМ-400/6 площадью 6,4 кв.м. 3.В наличии имеется вся готовая проектная сметная и техническая документация на 55000 кв.м. полезной площади.
 Территория участка позволяет постройку: 1.Восьмиэтажного двухсекционного жилого дома-4 здания 2.Трехэтажного двухсекционного жилого дома-4 здания 3.Трехэтажного трехсекционного жилого дома-1 здания
 Рассмотрим предложения от застройщиков на обмен кв.метрами., 9 фото",https://www.cian.ru/sale/commercial/314950259
