ID  объявления,Тип,Площадь,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
317409195,Продажа коммерческой земли,"5.5, сот.","Астраханская область, Астрахань, улица Джона Рида, 12В","10000000 руб., УСН",+79390433271,"Арт. 104142013 В продаже земельный участок для эксплуатацию склада в черте города. Асфальт. Коммуникации имеются рядом. Звоните для уточнения., 2 фото",https://www.cian.ru/sale/commercial/317409195
303572187,"Продажа коммерческой земли, здание","1000.0, м2","Астраханская область, Астрахань, улица Рождественского, 17/10","650000 руб., УСН",+79170903153,"Продаю участок от 5 соток до 16сот Участок  первая линия от дороги ул рождественского 2й проезд Цена за 1 сотку 650000 рублей, 8 фото",https://www.cian.ru/sale/commercial/303572187
307455005,Продажа коммерческой земли,"3.5, га","Астраханская область, Астрахань, Имени Бабаевского мкр","735000 руб., УСН",+79880603129,"Земельный участок 3,5 Га, 1-я линия. Категория земель: Земли населенных пунктов. Разрешенное использование: для строительства производственно-складского комплекса.
Возможно увеличение площади участка или продажа части площади участка. Любая форма оплаты. Торг. Стоимость 210 тыс. руб. за 1 га.",https://www.cian.ru/sale/commercial/307455005
320088180,Продажа коммерческой земли,"6.0, сот.","Астраханская область, Астрахань, Ореховая улица","1375344 руб., УСН",+79886003735,"Данные получены с сайта ГИС Торги.
Земельный участок площадью 600 кв.м., расположенный по адресу: Российская Федерация, Астраханская область, г Астрахань, Кировский район, ул Ореховая  с кадастровым номером 30:12:010451:533, с видом разрешенного использования - для индивидуального жилищного строительства, 4 фото",https://www.cian.ru/sale/commercial/320088180
320088179,Продажа коммерческой земли,"5.92, сот.","Астраханская область, Астрахань, Алтайская улица","1357006 руб., УСН",+79886003735,"Данные получены с сайта ГИС Торги.
Земельный участок площадью 592 кв.м., расположенный по адресу: Российская Федерация, Астраханская область, г Астрахань, ул Алтайская  с кадастровым номером 30:12:020884:358, с видом разрешенного использования - для индивидуального жилищного строительства, 6 фото",https://www.cian.ru/sale/commercial/320088179
320088181,Продажа коммерческой земли,"8.0, сот.","Астраханская область, Астрахань, улица Головина","1833792 руб., УСН",+79886003735,"Данные получены с сайта ГИС Торги.
Земельный участок площадью 800 кв.м., расположенный по адресу: Астраханская область, г. Астрахань, Ленинский район, ул. Головина  с кадастровым номером 30:12:020026:191, с видом разрешенного использования - для индивидуального жилищного строительства, 6 фото",https://www.cian.ru/sale/commercial/320088181
317332206,Продажа коммерческой земли,"5.0, сот.","Астраханская область, Астрахань, Городок Бумажников кв-л","2000000 руб., УСН",+79170805409,"продаю участок Трусовский  район, ул. Механошина 2 в
кадастровый номер : 30:12:040291:1140
назначение установка гаражей, автосервиса, 1 фото",https://www.cian.ru/sale/commercial/317332206
319227400,Продажа коммерческой земли,"1.52, сот.","Астраханская область, Астрахань, улица 2-я Виноградная, 12",3582920 руб.,+79886003358,"Данные в объявлении обновляются раз в сутки. Подробные параметры объекта, актуальные данные и НДС посмотрите на сайте электронных торгов.",https://www.cian.ru/sale/commercial/319227400
315236044,Продажа коммерческой земли,"1.9, га","Астраханская область, Астрахань, Энергетическая улица","5000000 руб., УСН",+79171903527,"Пpoдaeтcя земельный участок производственного назначения площадью 1,9 га, собственность, Бабаевского. Вдоль участка проходят: железнодорожные пути, имеется электpо-линия, заезд с трассы на участок. 
Стоимость участка 5 000 000 рублей, 1 фото",https://www.cian.ru/sale/commercial/315236044
314925800,Продажа коммерческой земли,"8.0, га","Астраханская область, Астрахань, пос. Морской","9000000 руб., УСН",+79881700519,"Участок площадью 8 га, состоит из двух участков по 4 га в собственности расположен в доль трассы, в 400 м от рязвязки Элиста-Астрахань, 1 км от города, по границе участка проходят железнодорожные пути, эллектросети, имеется асвальтовый заезд.
Хорошее место под логистику, имеется трафик грузоперевозок со стороны порта ""Оля""!
Возможен перевод в ИЖС.
Также рассматривается аренда., 5 фото",https://www.cian.ru/sale/commercial/314925800
315248624,Продажа коммерческой земли,"5.0, га","Астраханская область, Астрахань, Станции Болдинской пристани мкр","10000000 руб., УСН",+79171903625,"Продаю земельный участок производственного назначения. Площадь 5 га.
Электричество. Газ в 800 метрах от участка. Все в собственности, документы в порядке. Ограничений никаких не имеется. Возможно изменение вида разрешённого строительства.
Цена 10 млн. руб.
Ленинский район., 3 фото",https://www.cian.ru/sale/commercial/315248624
320279058,Продажа коммерческой земли,"10.0, сот.","Астраханская область, Астрахань, Набережная Золотого затона 1-я улица, 8","11000000 руб., УСН",+79885904850,"Арт. 111917123 Продаю два земельных участка (980 кв м и 134 кв м). Категория земель - земли населенных пунктов с видом разрешенного использования - для эксплуатации садов. Идеальное местоположение, рядом находится Дом офицеров Каспийской флотилии и гостиница Золотой затон. В прибрежной зоне располагается причал (место стоянки водных судов). Идеальное место для развития Вашего бизнеса., 2 фото",https://www.cian.ru/sale/commercial/320279058
316424263,Продажа коммерческой земли,"2.0, сот.","Астраханская область, Астрахань, улица Чернышевского, 5А","12000000 руб., УСН",+79880605982,"id:2312. 
Предлагается к продаже участок земли (террасу) в центре города длиной 65 м, ширина 8,35 м
Идеальное местоположение для строительства  коммерческих объектов, благодаря близости к главным торговым и деловым центрам, а также хорошей транспортной доступности.
Участок земли предлагает уникальную возможность для развития крупных инвестиционных проектов.
Это идеальный вариант для тех, кто хочет вложить средства в недвижимость в перспективном районе с развитой инфраструктурой.
Это прибыльное место предоставляет возможность постройки здания, которое можно сдавать по 1500 рублей за квадратный метр.
Прекрасная проходимость и высокий поток людей в этом районе делают этот участок земли выгодным вложением для коммерческих целей.
Независимо от того, планируете ли вы строить торговый центр или офисное здание, данный участок земли открывает огромные возможности для развития вашего бизнеса.
Не упустите возможность стать владельцем участка земли в самом центре города и воплотить в жизнь свои ам ..., 3 фото",https://www.cian.ru/sale/commercial/316424263
