ID  объявления,Тип,Площадь,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
269485960,Продажа коммерческой земли,"455.0, сот.","Амурская область, Благовещенск, улица Мухина","500000000 руб., УСН","+79145716043, +79145716034","Продается земельный участок пром назначения! г. Благовещенск,ул. Промышленная имеет выход на улицы Мухина, Студенческую, Кантемирова, в районе ЗПУ- 5.

Через улицу Мухина объект имеет выход на мост через реку Зея (менее 4,7 километров по автодорогам) с выходом на международную мостовую переплаву через реку Амур (менее 22 км по автодорогам). Улицы Мухина и Студенческая являются магистральными улицами города Благовещенск, через которые имеется доступ к любому району как в центре города, так и в пригороды, с выходом на территорию амурской области (федеральные трассы).

Общая площадь земельного участка  45 527 кв. м (4,55 га).

Имеется возможность выделить участок 22500-25000 кв. м вдоль улицы Промышленная
Вид права - СОБСТВЕННОСТЬ.
Разрешенное использование: для размещения объекта для хранения транспорта
Перед участком (с улицы Промышленная) расположен городской участок. Можно использовать для открытой стоянки.

На участке проведены значительные работы, связанные с отсыпкой инертными мате ..., 1 фото",https://www.cian.ru/sale/commercial/269485960
320398731,Продажа коммерческой земли,"3.46, сот.","Амурская область, Благовещенск","289674 руб., УСН",+79146023048,"Данные получены с сайта ГИС Торги.
Земельный участок с кадастровым номером 28:01:170068:125, площадью 346 кв.м., расположенный на территории с/т ""Кварц"" г. Благовещенска, вид разрешенного использования  для садоводства., 1 фото",https://www.cian.ru/sale/commercial/320398731
320398732,Продажа коммерческой земли,"7.95, сот.","Амурская область, Благовещенск","427952 руб., УСН",+79146023048,"Данные получены с сайта ГИС Торги.
Земельный участок с кадастровым номером 28:01:110039:148, площадью 795 кв.м., расположенный в с/о ""Связист"" г. Благовещенска, вид разрешенного использования  для ведения садоводства, 1 фото",https://www.cian.ru/sale/commercial/320398732
320398724,Продажа коммерческой земли,"15.0, сот.","Амурская область, Благовещенск","630000 руб., УСН",+79146023048,"Данные получены с сайта ГИС Торги.
Земельный участок с кадастровым номером 28:01:110031:157, площадью 1500 кв.м., расположенный в кадастровом квартале 28:01:110031 города Благовещенска, вид разрешенного использования  для ведения садоводства, 1 фото",https://www.cian.ru/sale/commercial/320398724
320398727,Продажа коммерческой земли,"8.0, сот.","Амурская область, Благовещенск","1060640 руб., УСН",+79146023048,"Данные получены с сайта ГИС Торги.
Земельный участок с кадастровым номером 28:01:020498:455, площадью 800 кв.м., расположенный в квартале 498,вид разрешенного использования - для индивидуального жилищного строительства, 1 фото",https://www.cian.ru/sale/commercial/320398727
320398728,Продажа коммерческой земли,"10.0, сот.","Амурская область, Благовещенск","1286600 руб., УСН",+79146023048,"Данные получены с сайта ГИС Торги.
Земельный участок с кадастровым номером 28:01:020498:456, площадью 1000 кв.м., расположенный в квартале 498,вид разрешенного использования - для индивидуального жилищного строительства, 1 фото",https://www.cian.ru/sale/commercial/320398728
320398726,Продажа коммерческой земли,"9.31, сот.","Амурская область, Благовещенск","2086742 руб., УСН",+79146023048,"Данные получены с сайта ГИС Торги.
Земельный участок с кадастровым номером 28:01:040739:30, площадью 931 кв.м, расположенный в квартале 739, вид разрешенного использования  для индивидуального жилищного строительства, 1 фото",https://www.cian.ru/sale/commercial/320398726
189418293,Продажа коммерческой земли,"300.0, сот.","Амурская область, Благовещенск, Игнатьевское шоссе, 6","2500000 руб., УСН",+79140607073,"Участок назначение земли промназначения 3 га,  Игнатьевское шоссе 8 км, свет.",https://www.cian.ru/sale/commercial/189418293
320398730,Продажа коммерческой земли,"12.39, сот.","Амурская область, Благовещенск","2692970 руб., УСН",+79146023048,"Данные получены с сайта ГИС Торги.
Земельный участок с кадастровым номером 28:01:020003:35, площадью 1239 кв.м., расположенный в квартале 492 г. Благовещенска, вид разрешенного использования  для размещения индивидуального жилого дома, 1 фото",https://www.cian.ru/sale/commercial/320398730
299794709,Продажа коммерческой земли,"0.1, га","Амурская область, Благовещенск, Связной переулок","15000000 руб., УСН",+79145927616,"Земельный участок 10 соток,с гаражным боксом ., 5 фото",https://www.cian.ru/sale/commercial/299794709
252832674,Продажа коммерческой земли,"36.0, сот.","Амурская область, Благовещенск, Зейская улица, 235","30000000 руб., УСН",+79145710205,"Продается земельный участок 36 сот, ИЖС, в центре Благовещенска в районе ул. Зейской-Б.Хмельницкого, внутри квартала. Цена 30 млн.руб. Срочно. Звонить после обеда",https://www.cian.ru/sale/commercial/252832674
315534708,"Продажа коммерческой земли, здание","10.0, м2","Амурская область, Благовещенск, Конная улица, 117/101","35000000 руб., УСН",+79146021437,"Продам угловой земельный участок. Категория земель: земли населенных пунктов, вид разрешенного использования: магазины. На территории имеется жилой дом 36 кВ.м и зарегистрированный в соответствии с законом объект незавершенного строительства
Продажа свободная, 3 фото",https://www.cian.ru/sale/commercial/315534708
296631928,"Продажа коммерческой земли, здание","2200.0, м2","Амурская область, Благовещенск, Студенческая улица, 19Б","50000000 руб., УСН",+79145928968,"Предлагаем Вашему вниманию земельный участок на первой линии одной из самых загруженных улиц Благовещенска- Студенческой:

-11,5 соток в собственности.

-11 соток парковка в пользовании.

- пром назначение земельного участка.

-здание 176м2  реновация прошла в 2022 году, офис +4 бокса, ремонт 2022 года.

- собственная подстанция 240ква+15 ква дополнительно подключённых.

-центральное водоснабжение 120м3/сутки.

-септик 63м3.

- отопление  корейский котёл на всех видах топлива, площадь обогрева -700м2.

-есть возможность подключения центрального водоотведения и отопления.

- участок огорожен по периметру, выполнено благоустройство., 1 фото",https://www.cian.ru/sale/commercial/296631928
319241697,Продажа коммерческой земли,"30.0, сот.","Амурская область, Благовещенск, Магистральная улица, 100/1","55000000 руб., УСН",+79145716570,"Продам производственную базу
либо
Сдам варенду
площадь 30 соток, расположена практически в центрегорода
жД тупик в 1О метрах
Разрешение на строительство Ангара, Навеса, Конторы (уже стоит)
Вода скважина, электричество 380 подойдет подлюбые виды деятельности., 12 фото",https://www.cian.ru/sale/commercial/319241697
