ID  объявления,Тип,Площадь,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
208427265,Продажа коммерческой земли,"492.0, сот.","Нижегородская область, Богородский район, Богородск, улица Ленина, 206","350000 руб., УСН",79870841763,"Земельный участок в собственности, рядом газ, электричество, вода, граничит  с д. Дубенки Богородского района, 5 км до реки Ока (д. Хабарское горно-лыжная база). Земли сельскохозяйственного использования., 1 фото",https://www.cian.ru/sale/commercial/208427265
179098577,Продажа коммерческой земли,"290.0, сот.","Нижегородская область, Богородский район, Богородск, улица Володарского, 33","29661017 руб., УСН",79101376764,"Продаем земельный участок со всеми коммуникациями и имеющимися строениями в центре города Богородск, что весьма удобно и привлекательно. Земельный участок по градостроительному плану предназначен под ИЖС. Существующие здание на земельном участке, можно использовать под торгово-развлекательные центры, магазины и т.д.
1.	Площадь земельного участка 2,9 ГА.
2.	5500 кв.м площадей (зданий и сооружений).
3.	Собственная проходная.
4.	Весь периметр огорожен забором из железобетонных плит и профнастила.
5.	Энергоемкости: 2 трансформатора по 400квт/час, суммарная мощность    800квт/час. Возможность увеличения энергоемкости, через ТП проходит кабель на 6000 квт.
6.	Отопление: 3 газовые котельные.
7.	Ранее выделены лимиты по газу 2 000 000 м3 в год. По существующим документам имеется возможность поставки любого объема газа.
8.	Две водозаборные скважины  действующая и резервная.
9.	Лимиты по городской воде и водоотведению без ограничений.
10.	Три ввода городского водоснабжения, расположены с трех ст ..., 1 фото",https://www.cian.ru/sale/commercial/179098577
