ID  объявления,Тип,Площадь,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
314167413,Продажа коммерческой земли,"50.0, сот.","Новгородская область, Великий Новгород, Лужское шоссе, 12к2","6000000 руб., УСН",+79116404977,"Продаётся земельный участок в промышленой части города.
Назначение: для эксплуатации производственной базы.
Удобная траспортная доступность. 
Площадь участка 50 соток.На участке находится двух этажное здание для охраны., 4 фото",https://www.cian.ru/sale/commercial/314167413
316057359,Продажа коммерческой земли,"1.1091, га","Новгородская область, Великий Новгород, Победы-Софийская площадь","9999000 руб., УСН",+79810019527,"ID: 831762
Продаем  участок земли промышленного назначения в Великом Новгороде. Относится к землям населенных пунктов. Для эксплуатации производственной базы. Сто десять соток.
Землю сейчас выравнивают, очищают, те вам достанется ровный участок. 
На территории находятся мастерские. 
Электричество и вода есть.  Через три месяца проведут газ..
Фактически готовое производство. Обращайтесь!, 9 фото",https://www.cian.ru/sale/commercial/316057359
320466499,Продажа коммерческой земли,"43.87, сот.","Новгородская область, Великий Новгород, Рабочая улица","10000000 руб., УСН",+79116404977,"Продам участок - назначение: для эксплуатации производственных помещений, склада, производственных площадей.
Есть жд тупик.

кад.номер: 53:23:8523403:794, 6 фото",https://www.cian.ru/sale/commercial/320466499
320059986,Продажа коммерческой земли,"28.29, сот.","Новгородская область, Великий Новгород, 14-й кв-л","10000000 руб., УСН",+79116404977,"Участок в Великом Новгороде 
Локация: ул. Нехинская, г. Великий Новгород перспективный район с развитой инфраструктурой и отличной транспортной доступностью.
Характеристики участка:
Площадь: 28,29 соток достаточно места для реализации любых коммерческих идей

Категория земель: земли населенных пунктов

Вид разрешенного использования: объекты дорожного сервиса


Потенциал участка:
Строительство современной автозаправочной станции

Создание автомойки или автосервиса

Организация придорожного кафе или ресторана

Строительство магазина придорожного сервиса

Размещение пункта технического обслуживания

Открытие торгового павильона


Преимущества расположения:
Высокая проходимость благодаря расположению (большой поток людей едет на дачу)

Перспективный район для развития бизнеса

Удобный доступ для всех видов транспорта



 Звоните прямо сейчас для уточнения деталей и организации просмотра!, 1 фото",https://www.cian.ru/sale/commercial/320059986
307989552,Продажа коммерческой земли,"0.69, га","Новгородская область, Великий Новгород, Псковская улица, 171к2","40000000 руб., УСН",+79116109531,"Предлагается земельный участок в Великом Новгород, ул. Псковская 171к2, З/У - 6933 м². На данный момент используется под автостоянку. Район активно застраивается. Территориальная зона ЗУ - АТ-2 (зона обслуживания населения).

Характеристики и преимущества участка:
- подведены все коммуникации: газ, септик, вода, эл-во 90кВт;
- на земле располагается зарегистрированное административное здание;
- рядом располагается пожарная часть, от которой возможен врез трубы под воду большего диаметра, при необходимости;
- рядом автобусная остановка.

Рядом с земельным участком располагаются крупные организации, такие как: Лента, автосалон Haval, автозаправка, спорт. комплекс и другие. На участке арендованы 8 м² на долгосрочный период под вышки сотовой связи.

Стоимость 40 000 000 рублей. Предоставляем юридическое сопровождение сделки.

Звоните, покажем в любое время!

""АГЕНТСТВО РЕГИОНАЛЬНОГО РАЗВИТИЯ""
Вся коммерческая недвижимость Великого Новгорода., 28 фото",https://www.cian.ru/sale/commercial/307989552
320398906,Продажа коммерческой земли,"9.82, сот.","Новгородская область, Великий Новгород","674000 руб., УСН",+79116321889,"Данные получены с сайта ГИС Торги.
Земельный участок с кадастровым номером 53:23:9120000:2895, площадью 982 расположенный  на землях населенных пунктов в территориальной зоне Ж.1 - зона застройки индивидуальными жилыми домами по адресу: Российская Федерация, Новгородская область, городской округ Великий Новгород, город Великий Новгород, переулок Командирский, земельный участок 9, с видом разрешенного использования:  для индивидуального жилищного строительства., 1 фото",https://www.cian.ru/sale/commercial/320398906
320398899,Продажа коммерческой земли,"10.01, сот.","Новгородская область, Великий Новгород","698000 руб., УСН",+79116321889,"Данные получены с сайта ГИС Торги.
Земельный участок с кадастровым номером 53:23:9120000:2915, площадью 1001 кв.м., по адресу: Российская Федерация, Новгородская область, городской округ Великий Новгород, город Великий Новгород, улица Лётчика Журавлёва, земельный участок 13, вид разрешенного использования: для индивидуального жилищного строительства, 1 фото",https://www.cian.ru/sale/commercial/320398899
320398905,Продажа коммерческой земли,"10.05, сот.","Новгородская область, Великий Новгород","701000 руб., УСН",+79116321889,"Данные получены с сайта ГИС Торги.
Земельный участок с кадастровым номером 53:23:9120000:2897, площадью 1005 кв.м. по адресу: Российская Федерация, Новгородская область, городской округ Великий Новгород, город Великий Новгород, улица Лётчика Журавлёва, земельный участок 12, с видом разрешенного использования - для индивидуального жилищного строительства, 1 фото",https://www.cian.ru/sale/commercial/320398905
173298729,Продажа коммерческой земли,"2.7, га","Новгородская область, Великий Новгород","1600000 руб., УСН",+79116422844,"Великий Новгород, деревня Зайцево
Участок 2.7 га, земля сельхозназначения.  
Цена - 1 600 000 руб
Расстояние до города Великий Новгород 15 км, до Санкт-Петербурга 180 км, до Москвы 52 км. Участок примыкает к федеральной трассе, имеет широкий асфальтированный въезд. В настоящее время используется как автостоянка и кафе, шиномонтаж., 1 фото",https://www.cian.ru/sale/commercial/173298729
289728511,Продажа коммерческой земли,"10.36, сот.","Новгородская область, Великий Новгород, Сырковское шоссе, 3с1","1700000 руб., УСН",+79116422773,"Продажа земельного участка площадью 10,36 сот. (земли населённых пунктов).  Расположенного по адресу Сырковское шоссе 3 .Удобный подъезд. На территории есть помещения приспособленные для производственной и хозяйственной деятельности. Электричество - отдельный кабель.  Видеонаблюдение. Применялся для изготовления памятников. Возможна продажа как готовый бизнес или просто как участок для другого вида деятельности. Цена по согласованию. 
Стоимость продажи 1,7 млн.рублей., 9 фото",https://www.cian.ru/sale/commercial/289728511
