ID  объявления,Тип,Площадь,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
319004081,Продажа коммерческой земли,"3.5, га","Свердловская область, Верхняя Пышма","185000000 руб., УСН",79827512570,"Продается промучасток 3,5 Га (собственность) в промзоне Верхней Пышмы! Участок расположен в развивающемся промышленном узле Верхней Пышмы с удобным подъездом к ключевым магистралям (Серовский тракт, ЕКАД).

 Ключевые параметры:

Площадь: 34 969 кв.м. (350 соток)

Категория: Земли населенных пунктов

ВРИ: Промплощадка, призаводская площадь, подъездная дорога, электрическая подстанция

Зона: МЦ (Многоцелевая) — идеально для производств, складов и логистики

 Главные преимущества:

Транспортный хаб:

Примыкание к пр. Успенский
1 км до развязки Серовского тракта (на Екатеринбург, Нижний Тагил)
5-6 км до ЕКАД, 21 км до центра Екатеринбурга

Энергомощности:
Подключение 1 МВт электроэнергии + газ
Возможно размещение ТП

Инфраструктура:
•	Непосредственное примыкание к проспекту Успенский (главная дорога в город с запада).
•	1 км до развязки Серовского тракта (направления: Нижний Тагил, Среднеуральск, Екатеринбург).
•	5-6 км до выезда на ЕКАД (кольцевая автодорога Екатеринбурга).
•	21 км до цен ..., 4 фото",https://www.cian.ru/sale/commercial/319004081
320463513,Продажа коммерческой земли,"23.0, сот.","Свердловская область, Верхняя Пышма","4300000 руб., УСН",79193634589,"Продается земельный участок в г. Верхняя Пышма.
Земли населенных пунктов
Разрешенное использование: под производственную деятельность.
Техусловия на газ получено
Электрсонабжение
Стоимость от 185 тысяч за сотку. Участки от 40 соток до 2 Га (возможно перемежевание)
Ипотека на строительство объекта 16-17% (Промышленная ипотека)
ID объекта в нашей базе: 721, 6 фото",https://www.cian.ru/sale/commercial/320463513
315624771,Продажа коммерческой земли,"46.0, сот.","Свердловская область, Верхняя Пышма","8500000 руб., УСН",79193634589,"Продается земельный участок в г. Верхняя Пышма к/н 66:36:3002001:644
Земли населенных пунктов
Разрешенное использование: под производственную деятельность.
Техусловия на газ получено
Электрсонабжение
Стоимость от 185 тысяч за сотку. Участки от 40 соток до 2 Га (возможно перемежевание)
Ипотека на строительство объекта 16-17% (Промышленная ипотека)
ID объекта в нашей базе: 667, 6 фото",https://www.cian.ru/sale/commercial/315624771
315624765,Продажа коммерческой земли,"56.0, сот.","Свердловская область, Верхняя Пышма","10365550 руб., УСН",79193634589,"Продается земельный участок в г. Верхняя Пышма к/н 66:36:3002001:652
Земли населенных пунктов
Разрешенное использование: под производственную деятельность.
Техусловия на газ получено
Электрсонабжение
Стоимость от 185 тысяч за сотку. Участки от 40 соток до 2 Га (возможно перемежевание)
Ипотека на строительство объекта 16-17% (Промышленная ипотека)
ID объекта в нашей базе: 665, 6 фото",https://www.cian.ru/sale/commercial/315624765
315624768,Продажа коммерческой земли,"66.0, сот.","Свердловская область, Верхняя Пышма","12150000 руб., УСН",79193634589,"Продается земельный участок в г. Верхняя Пышма к/н 66:36:3002001:630
Земли населенных пунктов
Разрешенное использование: под производственную деятельность.
Техусловия на газ получено
Электрсонабжение
Стоимость от 185 тысяч за сотку. Участки от 40 соток до 2 Га (возможно перемежевание)
Ипотека на строительство объекта 16-17% (Промышленная ипотека)
ID объекта в нашей базе: 666, 6 фото",https://www.cian.ru/sale/commercial/315624768
315624780,Продажа коммерческой земли,"71.0, сот.","Свердловская область, Верхняя Пышма","13040000 руб., УСН",79193634589,"Продается земельный участок в г. Верхняя Пышма к/н 66:36:3002001:659
Земли населенных пунктов
Разрешенное использование: под производственную деятельность.
Техусловия на газ получено
Электрсонабжение
Стоимость от 185 тысяч за сотку. Участки от 40 соток до 2 Га (возможно перемежевание)
Ипотека на строительство объекта 16-17% (Промышленная ипотека)
ID объекта в нашей базе: 671, 6 фото",https://www.cian.ru/sale/commercial/315624780
315624785,Продажа коммерческой земли,"75.0, сот.","Свердловская область, Верхняя Пышма","13905000 руб., УСН",79193634589,"Продается земельный участок в г. Верхняя Пышма к/н 66:36:3002001:641
Земли населенных пунктов
Разрешенное использование: под производственную деятельность.
Техусловия на газ получено
Электрсонабжение
Стоимость от 185 тысяч за сотку. Участки от 40 соток до 2 Га (возможно перемежевание)
Ипотека на строительство объекта 16-17% (Промышленная ипотека)
ID объекта в нашей базе: 673, 6 фото",https://www.cian.ru/sale/commercial/315624785
315624773,Продажа коммерческой земли,"75.0, сот.","Свердловская область, Верхняя Пышма","13875000 руб., УСН",79193634589,"Продается земельный участок в г. Верхняя Пышма к/н 66:36:3002001:657
Земли населенных пунктов
Разрешенное использование: под производственную деятельность.
Техусловия на газ получено
Электрсонабжение
Стоимость от 185 тысяч за сотку. Участки от 40 соток до 2 Га (возможно перемежевание)
Ипотека на строительство объекта 16-17% (Промышленная ипотека)
ID объекта в нашей базе: 668, 6 фото",https://www.cian.ru/sale/commercial/315624773
315624788,Продажа коммерческой земли,"82.0, сот.","Свердловская область, Верхняя Пышма","15250000 руб., УСН",79193634589,"Продается земельный участок в г. Верхняя Пышма к/н 66:36:3002001:651
Земли населенных пунктов
Разрешенное использование: под производственную деятельность.
Техусловия на газ получено
Электрсонабжение
Стоимость от 185 тысяч за сотку. Участки от 40 соток до 2 Га (возможно перемежевание)
Ипотека на строительство объекта 16-17% (Промышленная ипотека)
ID объекта в нашей базе: 675, 6 фото",https://www.cian.ru/sale/commercial/315624788
315624764,Продажа коммерческой земли,"90.0, сот.","Свердловская область, Верхняя Пышма","16650000 руб., УСН",79193634589,"Продается земельный участок в г. Верхняя Пышма к/н 66:36:3002001:649.
Земли населенных пунктов
Разрешенное использование: под производственную деятельность.
Техусловия на газ получено
Электрсонабжение
Стоимость от 185 тысяч за сотку. Участки от 40 соток до 2 Га (возможно перемежевание)
Ипотека на строительство объекта 16-17% (Промышленная ипотека)
ID объекта в нашей базе: 664, 6 фото",https://www.cian.ru/sale/commercial/315624764
315624778,Продажа коммерческой земли,"92.0, сот.","Свердловская область, Верхняя Пышма","17000000 руб., УСН",79193634589,"Продается земельный участок в г. Верхняя Пышма к/н 66:36:3002001:658
Земли населенных пунктов
Разрешенное использование: под производственную деятельность.
Техусловия на газ получено
Электрсонабжение
Стоимость от 185 тысяч за сотку. Участки от 40 соток до 2 Га (возможно перемежевание)
Ипотека на строительство объекта 16-17% (Промышленная ипотека)
ID объекта в нашей базе: 670, 6 фото",https://www.cian.ru/sale/commercial/315624778
315624782,Продажа коммерческой земли,"99.0, сот.","Свердловская область, Верхняя Пышма","18376050 руб., УСН",79193634589,"Продается земельный участок в г. Верхняя Пышма к/н 66:36:3002001:635
Земли населенных пунктов
Разрешенное использование: под производственную деятельность.
Техусловия на газ получено
Электрсонабжение
Стоимость от 185 тысяч за сотку. Участки от 40 соток до 2 Га (возможно перемежевание)
Ипотека на строительство объекта 16-17% (Промышленная ипотека)
ID объекта в нашей базе: 672, 6 фото",https://www.cian.ru/sale/commercial/315624782
320110381,Продажа коммерческой земли,"43.0, сот.","Свердловская область, Верхняя Пышма, 12-й километр мкр","22000000 руб., УСН",79122835080,"Земельный участок 0,43 Га.
Газ, электричество 150 кВт (возможно до 300 добавить), вода (скважина), 
котельная на газу (на 3 объекта).
Весь участок за забором. Все сооружения на участке в собственности.
На участке есть будка охранника, круглогодичного использования.
ВРИ: для использования в производственных целях (под станцию технического обслуживания)
Также есть еще ПРЕДЛОЖЕНИЯ, с другими земельными участками., 11 фото",https://www.cian.ru/sale/commercial/320110381
315624775,Продажа коммерческой земли,"140.0, сот.","Свердловская область, Верхняя Пышма","25950000 руб., УСН",79193634589,"Продается земельный участок в г. Верхняя Пышма к/н 66:36:3002001:636
Земли населенных пунктов
Разрешенное использование: под производственную деятельность.
Техусловия на газ получено
Электрсонабжение
Стоимость от 185 тысяч за сотку. Участки от 40 соток до 2 Га (возможно перемежевание)
Ипотека на строительство объекта 16-17% (Промышленная ипотека)
ID объекта в нашей базе: 669, 6 фото",https://www.cian.ru/sale/commercial/315624775
312070235,Продажа коммерческой земли,"140.2, сот.","Свердловская область, Верхняя Пышма","26000000 руб., УСН",79126915218,"Продается земельный участок в г. Верхняя Пышма к/н 66:36:3002001:636. 
Земли населенных пунктов
Разрешенное использование: под производственную деятельность. 
Техусловия на газ получено
Электрсонабжение 
Стоимость от 185 тысяч за сотку. Участки от 40 соток до 2 Га (возможно перемежевание)
Ипотека на строительство объекта 16-17% (Промышленная ипотека)
ID объекта в нашей базе: 625, 6 фото",https://www.cian.ru/sale/commercial/312070235
320180310,Продажа коммерческой земли,"6.05, сот.","Свердловская область, Верхняя Пышма","2356383 руб., УСН",74048001042,"Данные получены с сайта ГИС Торги.
Продажа земельного участка с кадастровым номером 66:36:0111075:176, площадью 605 кв. м, расположенного по адресу: Российская Федерация, Свердловская область, городской округ Верхняя Пышма, г. Верхняя Пышма, ул. Электролитная, земельный участок  58А, категория земель: земли населенных пунктов, разрешённое использование: для индивидуального жилищного строительства, находящегося в жилой зоне индивидуальной застройки (территориальная зона Ж-1)., 1 фото",https://www.cian.ru/sale/commercial/320180310
316595196,Продажа коммерческой земли,"2.36, сот.","Свердловская область, Верхняя Пышма, улица Петрова, 57","2850000 руб., УСН",79826884002,"Продается земельный участок город Верхняя Пышма, ул. Петрова, д. 57 (во дворе улиц Победы-Петрова), 236 м.кв.

Информация о видах разрешенного использования земельного участка:
Основные виды разрешенного использования земельного участка:
	2.1	Для индивидуального жилищного строительства
	2.2	Для ведения личного подсобного хозяйства (приусадебный ЗУ)
	2.3	Блокированная жилая застройка
	2.7	Обслуживание жилой застройки
	3.1	Коммунальное обслуживание
	3.1.1	Предоставление коммунальных услуг
	3.1.2	Административные здания организаций, обеспечивающих предоставление коммунальных услуг
	3.2.2	Оказание социальной помощи населению
	3.2.3	Оказание услуг связи
	3.2.4	Общежития
	3.3	Бытовое обслуживание
	3.4.1	Амбулаторно-поликлиническое обслуживание
	3.5	Образование и просвещение
	3.5.1	Дошкольное, начальное и среднее общее образование
	3.5.2	Среднее и высшее профессиональное образование
	3.6.1	Объекты культурно-досуговой деятельности
	3.6.2	Парки культуры и отдыха
	3.8	Общественное управление
	3. ..., 8 фото",https://www.cian.ru/sale/commercial/316595196
312968280,Продажа коммерческой земли,"0.65, га","Свердловская область, Верхняя Пышма","16000000 руб., УСН",79193919162,"Участок  66:36:3203001:1036 площадью 0,65 га
Участок расположен на ЕКАД  в TПК Beрхнeпышминcкий — мнoгоцелевые зeмeльные участки. 
В июле 2025 будет подключение электричества 150 кВт (услуга по подключению оплачена в полном объеме). 
Участок идеально подходит для размещения складского комплекса. 
Вид разрешенного использования  для производственных, административных зданий, строений и пр. 
Документы по запросу., 1 фото",https://www.cian.ru/sale/commercial/312968280
