ID  объявления,Тип,Площадь,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
274744159,Продажа коммерческой земли,"150.0, сот.","Республика Северная Осетия - Алания, Владикавказ, улица 1-я Промышленная","100000000 руб., УСН",+79890401823,"Продаем базу с проищводственными и складскими помещениями на 150 сот земли.
Своя подстанция ЛЭП
ЛИНИЯ Ж/Д ЗАХОДИТ НА УЧАСТОК, 14 фото",https://www.cian.ru/sale/commercial/274744159
318303376,Продажа коммерческой земли,"8.0, сот.","Республика Северная Осетия - Алания, Владикавказ, Учитель СТ, 1-я линия","7000000 руб., УСН",+79897498598,"Продается участок 8 соток в СНО ""Учитель"". Участок расположен вдоль Московского шоссе, что делает его идеальным объектом для коммерции.
Коммуникации проведены. 



Отв. Марина П.

Арт. 105830956, 6 фото",https://www.cian.ru/sale/commercial/318303376
318107529,Продажа коммерческой земли,"2.04, сот.","Республика Северная Осетия - Алания, Владикавказ, шоссе Архонское, 5","31000000 руб., УСН",+79187014764,"Продается кирпичное капитальное строение 1450 кв. м. Здание из 2х этажей ,все коммуникации подведены ,газ ,электричество производственное,вода,есть центральная  канализация.                                                   Строение находится на 24 сот.земли.                                                                                     Подойдет под производство,склады и тд.                                                                            Территория охраняется,заезд для любого вида транспорта.                                          Район с развитой инфраструктурой.                                                                                         По всем вопросам звоните,пишите .
В АН ""ЭТАЖИ"" Проверенная база актуальных объектов недвижимости. Мы предоставляем нашим клиентам полное юридическое сопровождение сделки, безопасные расчеты, электронную регистрацию сделок без очередей в МФЦ
Обращайтесь по указанному телефону и смс, с удовольствием ответим на все Ваши вопр ..., 20 фото",https://www.cian.ru/sale/commercial/318107529
315802381,Продажа коммерческой земли,"5.0, сот.","Республика Северная Осетия - Алания, Владикавказ, улица Максима Горького","50000000 руб., УСН",+79890401823,"Продаю в самом центре города зем участок на 1 линии центральной улицы под застройку. На участке имеется капит фундамент с подведенными коммуникациями: 11 канализационных шахт, водоснабжение, свет, газ.
Есть разрешение на строительство , подключение всех коммуникаций, на парковочные места в количестве 33 мест., 2 фото",https://www.cian.ru/sale/commercial/315802381
318301403,Продажа коммерческой земли,"5.0, сот.","Республика Северная Осетия - Алания, Владикавказ, Весна садоводческое товарищество","1200000 руб., УСН",+79188316155,"Продаются 2 земельных участка в садоводческом товариществе ""Весна "" площадь 5 соток и 4 соток...имеются все коммуникации свет, вода рядом...5 сот 120000 4 сот 850 тысяч.  Земли в разных местах друг от друга...., 1 фото",https://www.cian.ru/sale/commercial/318301403
320304702,Продажа коммерческой земли,"6.0, сот.","Республика Северная Осетия - Алания, Владикавказ, улица Долорес Билаоновой","3926000 руб., УСН",+79188302464,"Данные получены с сайта ГИС Торги.
РСО-Алания, г. Владикавказ, ул.Долорес Билаоновой, площадью            600 кв.м, кадастровый номер 15:09:0031607:2668. Вид разрешенного использования: для индивидуального жилищного строительства. Категория земель: земли населенных пунктов., 1 фото",https://www.cian.ru/sale/commercial/320304702
310987918,Продажа коммерческой земли,"10.1, сот.","Республика Северная Осетия - Алания, Владикавказ, Черменское шоссе, 99","6500000 руб., УСН",+79188301977,"Внимание! Если не дозвонились, пишите сообщение с Вашим номером.
Для тех, кто ищет участок во Владикавказе, для строительства нежилого здания под различный вид деятельности.
Участок в собственности. Легко добраться. Коммуникации недалеко от участка. 
Более подробно на фото, а также могу прислать видео., 3 фото",https://www.cian.ru/sale/commercial/310987918
192581684,Продажа коммерческой земли,"107.0, сот.","Республика Северная Осетия - Алания, Владикавказ, Гизельское шоссе, 4","8000000 руб., УСН",+79890402952,"Земля в собственности. Все документы оформлены., 1 фото",https://www.cian.ru/sale/commercial/192581684
317904007,Продажа коммерческой земли,"7.63, сот.","Республика Северная Осетия - Алания, Владикавказ, Московская улица, 55к1","22000000 руб., УСН","+79890404665, +79897416822","Арт. 105443879 - В продаже земельный участок коммерческого назначения .
-  Общая площадь 763 кв.м. 
-  Расположен по ул. Московской, район ф/ц ""Асик"".
-  Все коммуникации.
-  Спальный район.
-  Первая линия.
-  Идеально подходит практически под любой вид коммерческой деятельности. 
-  Идеальное расположение, рядом остановка общественного транспорта, жилые дома.
-  Развитая инфраструктура, отличный пеший и автомобильный трафик.
-  Документы полностью готовы к сделке. 
-  Оперативный показ. 
-  Онлайн-показ.
-  Адекватный торг.
-  Отв. Хатуна и Владимир., 22 фото",https://www.cian.ru/sale/commercial/317904007
315821031,Продажа коммерческой земли,"1.0, га","Республика Северная Осетия - Алания, Владикавказ, улица Пожарского","29000000 руб., УСН",+79187076736,"продается участок под любое производство, есть цех по производству шлакоблоков , есть все коммуникации , есть поездные железнодорожные пути, 3 фото",https://www.cian.ru/sale/commercial/315821031
316815903,Продажа коммерческой земли,"25.0, сот.","Республика Северная Осетия - Алания, Владикавказ, улица Гадиева, 58","47000000 руб., УСН",+79891303840,"Участок расположен в оживленном месте города на пересечении улиц Гадиева и Доватора. Можно использовать под различные виды коммерческой деятельности с разрешенной высотой возводимых строений до 10 м. На участке есть здание площадью 600 кв.м. с подведенными коммуникациями (электричество, газ, водопровод, канализация), требующее капитального ремонта.
Один собственник - физическое лицо. 
Торг уместен., 4 фото",https://www.cian.ru/sale/commercial/316815903
316758795,Продажа коммерческой земли,"1.0, га","Республика Северная Осетия - Алания, Владикавказ, улица 1-я Промышленная, 2","150000000 руб., УСН","+79897404886, +79890400779","Общей площадью 1 гектар. 
Это место привлекательно тем, что расположенно в районе с развитой инфраструктурой и удобной транспортной схемой со своими железнодорожными путями, протяженностью 165 метров , находящийся на данный момент на консервации. 
Также на территории стоит действующий БРУ , где производится широкий спектр марок бетонной смеси,
Часть территории занимают складские помещения : 5 складов площадью 300 м2 каждый, с гладкой шлифованной стяжкой пола и высотой 7 метров, большими воротами, что позволяет без препятствия заезжать большегрузного транспорта . 
 Также имеется 2 помещения общей площадью по 200 м2 и помещение площадью 60 м2. 
На въезде на территорию расположены 2 ангара , каждый ангар площадью 70 м2 под мойку грузовых авто и второй ангар по смазку и замену масло грузовых автомобилей. 
Большая территория позволяет производить беспрепятственное движение любого вида транспорта. 
На территории также расположены два административных здания под офисы, площадью 160м2 и 150 м2 ..., 10 фото",https://www.cian.ru/sale/commercial/316758795
