ID  объявления,Тип,Площадь,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
320276242,Продажа коммерческой земли,"182.0, сот.","Волгоградская область, Волгоград, шоссе Авиаторов, 8","85000000 руб., УСН",+79394088244,"Продается Земельный участок 1.8 га и расположенный на нем производственно-складской комплекс площадью 5887 м²!

город Волгоград, ул. шоссе Авиаторов 8Б.

Отличное месторасположение. Соседние улицы, Ангарская, Жигулевская, Лесогорская, Землячки, 3-я продольная магистраль.

 Основные характеристики:
- Площадь комплекса: 5887 м², состоит из производственно-складского помещения 3000м2 и 4х этажного здания.
- Участок: 1.8 га.

Коммуникации

Газ- на участке, есть ТУ , ДУ 150, среднее давление, максимальная мощность 702м3/час

Холодное водоснабжение - на участке, есть ТУ на подключение, мощность 480м3/сут

Электричество - есть ТУ на подключение, максимальная мощность 4000кВТ

Канализация - на участке.
Преимущества:
- Идеально подходит под любой вид деятельности
- Удобные подъезды для легкового и грузового транспорта
- Развитая инфраструктура и отличная транспортная доступность

 Возможности:
- Подходит для производства, складирования или логистики
- Распределительный центр
 Не упустите свой ш ..., 15 фото",https://www.cian.ru/sale/commercial/320276242
314594426,Продажа коммерческой земли,"4.76, сот.","Волгоградская область, Волгоград, Окружная улица, 4","2590000 руб., УСН",+79894371298,"Продаётся земельный участок по адресу: улица Окружная, 6 в Кировском районе.

Общая площадь: 476 кв. метров.

Выгодно отличается удачным расположением. Имеется план проекта автостоянка. Все коммуникации — центральные, которые проходят по границе участка, что обеспечивает удобство подключения и использования всех необходимых инженерных систем. Имеются все документы с ""Концессии водоснабжения"".

Имеет удобный подъезд со второй продольной, что облегчит доступ к вашей территории для потенциальных клиентов.

Участок находится на территории, где развита инфраструктура, что позволяет всем необходимым объектам быть в непосредственной близости. На участке есть ларёк (под снос/владелец демонтирует сам). Объект 873793, 9 фото",https://www.cian.ru/sale/commercial/314594426
315175851,Продажа коммерческой земли,"13.16, сот.","Волгоградская область, Волгоград, улица 64-й Армии, 145В","4500000 руб., УСН",+79894371298,"Продается коммерческая земля по адресу: улица 64-й Армии в Кировском районе.

Площадь участка: 1316 кв. метров.

Земля для размещения административных зданий, общественных объектов. Кадастровый номер: 34:34:070001:6716.

Удобные подъездные пути, можно со стороны Продольной или с Горной поляны. Участок ровный, отличное место для автомойки, шиномонтажки и похожих объектов. Объект 876146, 7 фото",https://www.cian.ru/sale/commercial/315175851
320549260,Продажа коммерческой земли,"6.0, сот.","Волгоградская область, Волгоград, улица Алехина, 20","5500000 руб., УСН",+79197916031,"Участок, 6 соток,
Земли населенных пунктов,
Вид разрешенного использования - магазины
Все коммуникации: вода, газ, канализация.
В соответствии с ПЗЗ, участок расположен в зоне объектов общественно-делового и жилищного назначения за пределами исторического центра Волгограда (Д2-1).
Рядом расположен еще один участок, который можно присоединить., 4 фото",https://www.cian.ru/sale/commercial/320549260
292705076,Продажа коммерческой земли,"8.2, сот.","Волгоградская область, Волгоград, Морозовская улица, 8","7000000 руб., УСН",+79394088935,"Земельный участок под коммерческую застройку, S - 826 кв.м, в Советский р-не ("" пятак ""СХИ), расположенный в непосредственной близости от второй продольной магистрали , в густонаселенном массиве , по адресу : г. Волгоград, ул.Морозовская 8 ""а"" (пересечение. пр. Университетский и ул.Чебышева).


Участок собственности. 34:34:060025:947

Коммуникации : городская канализация, электричество, центральное газоснабжение . 

Асфальтированный подъезд и территория земельного участка.

ИНФРАСТРУКТУРА :
- отличный проездной автомобильный и пешеходный трафик.
- 50 м от ул. Чебышева и проспекта Университетский, ост. ""СХИ""
- Два районных торговых комплекса, с якорными арендаторами ; "" Магнит "", "" Магнит косметик "", "" DNS "" "" Чижик ""
- удобная транспортная развязка.

Отлично подойдет под строительство офиса, мойки, мед.центра и т.д......., 13 фото",https://www.cian.ru/sale/commercial/292705076
303378508,Продажа коммерческой земли,"5.3, сот.","Волгоградская область, Волгоград, улица имени Хорошева, 147","7500000 руб., УСН","+79394087694, +79894373186","Продается земельный участок, площадью 5,3 сот в Дзержинском районе по ул. им. Хорошева

Участок правильной формы, находится на первой линии, что сделает вашу рекламу заметной, а ваш бизнес доступным для потребителей.
Торг уместен
На участке центральная канализация, вода, электричество 3 фазы, газ.

Разрешенная площадь строительства: 14*19м

Виды разрешенного использования:

- магазин, общественное питание;

- коммунальное и бытовое обслуживание;

- дошкольное, начальное и среднее образование;

- социальное обслуживание и культурное развитие;

- амбулаторно - поликлиническое обслуживание;

- банковская и страховая деятельность;

- ветеринарная клиника;

- хранение автотранспорта;

- услуги связи;

В двух шагах пр-т им. маршала Жукова, это обеспечит вам высокий транспортный и пешеходный трафик.

В пешей доступности остановка общественного транспорта(трамвай, автобус, троллейбус, маршрутное такси) в любую точку города. В непосредственной близости находятся школы, сады, рынок, магазины. 

 ..., 4 фото",https://www.cian.ru/sale/commercial/303378508
254357407,Продажа коммерческой земли,"10.0, сот.","Волгоградская область, Волгоград, Кубинская улица, 1а","10000000 руб., УСН","+79881922385, +79881922676","Продаётся земельный участок:
- Центральный район, ул. Кубинская 1а
- площадь 10 соток
- категория земель: Земли населенных пунктов
- виды разрешённого использования: для разрешения индивидуального строительства без права содержания скота и птицы, для размещения объектов торговли, для размещения административно-управленческих и общественных объектов, для иных видов использования характерных для населенного пунктов.
- подъезд асфальтированная дорога
- большой автомобильный трафик
- 500 метров остановка общественного транспорта Площадь Возрождения  (1-ая продольная), 1 км до 2-ой продольной (ул. Менделеева).
-Рядом РАНХиГС, ВолГМУ, продуктовый рынок, спортивный зал, автомойка, автосервис, Оздоровительный центр Дворик, центр Хирургии глаза, семейный центр, ЖК Олежкина Слобода и частный сектор, 7 фото",https://www.cian.ru/sale/commercial/254357407
320549155,Продажа коммерческой земли,"12.0, сот.","Волгоградская область, Волгоград, улица Алехина, 22","10500000 руб., УСН",+79197916031,"Участок 12 соток
Земли населенных пунктов
Вид разрешенного использования: деловое управление, амбулаторно-поликлиническое обслуживание.
Все коммуникации: вода, газ, канализация.
Рядом расположен еще один участок, который можно присоединить (за дополнительную плату).
По ПЗЗ участок расположен в Зоне Д2-1, зона объектов общественно-делового и жилого назначения за пределами исторического центра Волгограда, в соответствии с которой при необходимости возможно изменение вида разрешенного использования., 5 фото",https://www.cian.ru/sale/commercial/320549155
314566893,Продажа коммерческой земли,"12.0, га","Волгоградская область, Волгоград, Рабочий поселок Горьковский тер.","15000000 руб., УСН",+79894372993,"Продается земельный участок коммерческого назначения вдоль трассы Р-260. расположенный в непосредственной близости от п. Горьковский (1 км) и новой объездной трассы
Кадастровый номер земельного участка: 34:03:180004:1638
Категория и виды разрешенного использования: Земли промышленности, энергетики, транспорта, связи, радиовещания, телевидения, информатики, земли для обеспечения космической деятельности, земли обороны, безопасности и земли иного специального назначения; ври: склад.
Правовой статус земельного участка-собственность. Получен ГПЗУ.
Участок ровный, примыкает вплотную к дороге. Рядом ж/д пути.
Земельный участок идеально подходит для размещения промышленных и коммерческих объектов. Оптимальный для логистического центра, складов, фулфилмента. Подойдёт для торгово-логистических объектов, баз, промышленных предприятий, автохозяйств, предприятий снабжения и придорожного сервиса.Отличный автомобильный трафик.
Он выгодно отличается удачным расположением и имеет удобные подъездные пу ..., 23 фото",https://www.cian.ru/sale/commercial/314566893
204397066,Продажа коммерческой земли,"6.4, сот.","Волгоградская область, Волгоград, пос. Водный","45000 руб., УСН",+79894373622,"продаю земельный участок под ИЖС с разрешением на строительство  в советском районе, ул. Дагомысская 29 6,5 соток....есть электричество по линии,рядом варваровское водохранилище.....Дачный массив....",https://www.cian.ru/sale/commercial/204397066
