ID  объявления,Тип,Площадь,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
306313206,Продажа коммерческой земли,"7850.0, сот.","Воронежская область, Воронеж, улица Шехерева, 1","130000000 руб., УСН","+79818676059, +79818678834","Продам участок 7855 соток (78,55 Га) земли сельхозназначения- можно перевести в земли промышленного назначения. С потенциальным покупателем торг уместен. Все документы готовы для продажи земельного участка. Также есть анализ градпроработки, при запросе можем отправить. Кадастровый номер  36:34:0118001:18, 3 фото",https://www.cian.ru/sale/commercial/306313206
304364517,Продажа коммерческой земли,"2.0, сот.","Воронежская область, Воронеж, улица Заповедная, 1/25","493128 руб., УСН",+79807816212,"Предлагается к продаже земельный участок без коммуникации расположен по адресу: Воронежская обл, г. Воронеж, ул. Заповедная, 1 (ст. Графская)

По вопросам предоставления дополнительной информации, а также организации осмотра, Вы можете обратиться по телефону, указанному в разделе ""Принять участие в торгах"".
Продажа объекта осуществляется на аукционе. 
Дата проведения аукциона: 11 сентября 2025 года 
Дата окончания приема заявок: 08 сентября 2025 года 

Место и форма проведения аукциона: электронная торговая площадка РТС-Тендер

Номер процедуры на сайте РТС-Тендер: 151338
https://i. rts-tender. ru/main/auction/Trade/Privatization/View. aspx?Id=151338&Guid=7c6307f3-fe3e-4e70-97ec-05a31 f7a2004, 4 фото",https://www.cian.ru/sale/commercial/304364517
304366407,Продажа коммерческой земли,"11.0, сот.","Воронежская область, Воронеж, улица Заповедная, 1/25","5125913 руб., УСН",+79807816212,"Предлагается к продаже земельный участок площадью 1117 кв. м (КН 36:34:0116003:75), расположенный по адресу: Воронежская обл, Воронеж г, Заповедная ул, 1.

По вопросам предоставления дополнительной информации, а также организации осмотра, Вы можете обратиться по телефону, указанному в разделе ""Принять участие в торгах"".
Продажа объекта осуществляется на аукционе. 
Дата проведения аукциона: 11 сентября 2025 года 
Дата окончания приема заявок: 08 сентября 2025 года 

Место и форма проведения аукциона: электронная торговая площадка РТС-Тендер.

Номер процедуры на сайте РТС-Тендер: 167849
https://i. rts-tender. ru/main/auction/Trade/Privatization/View. aspx?Id=167849&Guid=56f41cd3-e47a-4a13-b0b5-8c677 0463f3b, 3 фото",https://www.cian.ru/sale/commercial/304366407
294356492,Продажа коммерческой земли,"40.0, сот.","Воронежская область, Воронеж, улица 9 Января","7200000 руб., УСН","+79856571790, +79805307716","Срочно! Участок вдоль улицы 9 Января. 36:34:0502026:3080. Расположен между микрорайоном с домами по улице 9 Января номера 241 и мостом через улицу Антонова-Овсеенко. Размер вдоль дороги 80м, в глубину 50м. Подведено электричество 100 кВт. Газ рядом. Центральная канализация рядом. Возможна скважина, вода на уровне 70-120 м. Земли лесного фонда. Для осуществления рекреационной деятельности. Продается право аренды на 49 лет. На данный момент согласовано размещение кафе. Есть оборудованный съезд с дороги., 9 фото",https://www.cian.ru/sale/commercial/294356492
319897971,Продажа коммерческой земли,"9.37, сот.","Воронежская область, Воронеж, Новосибирская улица, 88И","9300000 руб., УСН",+79107441731,"Срочно продам земельный участок 9,4 сот коммерческого назначения в черте города Воронеж.

Категория земель: земли населённых пунктов.
Вид разрешённого использования: складской комплекс.

Отличная локация и удобные подъездные пути с двух сторон.

Все коммуникации.

Электрическая мощность на 15 кВт с возможностью увеличения до 50 кВт.

Развитая инфраструктура.

Идеально подходит для размещения видеоэкрана, автомойки, складского помещения.

Гарантия юридической чистоты сделки.
Полное юридическое сопровождение.

Звоните! Покажем в удобное для Вас время по предварительной договорённости. 




Код пользователя: 90764
Номер в базе: 8182034, 8 фото",https://www.cian.ru/sale/commercial/319897971
286080183,Продажа коммерческой земли,"20.0, сот.","Воронежская область, Воронеж, А-134, 11-й км","10000000 руб., УСН",+79805305531,"Продам землю на Московском проспекте у Грин Парка!
Участок находится в аренде у города. Подойдёт под любой вид деятельности, съезды согласованы.
На данном участке можно сделать готовый арендный бизнес, состоящий из двух зданий. Есть потенциальные арендаторы на большую часть торговой площади.
1. Первое здание из сэндвич панелей площадью 600 м.кв. шириной 12 метров, длинной 50 метров. В котором можно разместить якорного арендатора по 650 рублей м.кв. + 3,5% РТО ( приблизительно 400 000 рублей). Лицензию на алкоголь поможем.
2. Второе здание из сэндвич панелей площадью 1000 м.кв. шириной 10 метров, длинной 50 метров, в 2-х этажах. В котором можно разместить арендаторов придорожного сервиса (кафе, магазины, пиво и тп.). Арендная ставка 1-го этажа по 1200 рублей м.кв. (вал 600 000 рублей), 2-й этаж по 1000 рублей м.кв. (вал 300 000 рублей (т.к. коридоры не оплачиваемые).
3. Также на участке можно сдать в аренду под шиномонтаж (примерно за 100 000  150 000 рублей), шашлычку (35000-50000 рубл ..., 4 фото",https://www.cian.ru/sale/commercial/286080183
305586125,Продажа коммерческой земли,"37.68, сот.","Воронежская область, Воронеж, Новосибирская улица, 13","24000000 руб., УСН",+79102803081,"Арт. 71041651 ЗЕМЕЛЬНЫЙ УЧАСТОК ПРОМЫШЛЕННОГО НАЗНАЧЕНИЯ.
ПЛОЩАДЬ 37, 68 соток.

Категория земельного участка: Земли поселений (земли населенных пунктов).
Вид разрешенного использования: Производственные сооружения.

Расположен участок в промышленной зоне Левобережного района г. Воронеж.
120 метров от красной линии улицы Новосибирская. Ориентир автомобильная заправка Татнефть (на перекрёстке улиц Новосибирская и Саврасова).
Коммуникации: на электричество есть техусловие, вода будет скважина, канализация септик, газ возможно подключить.
Заезд с двух сторон по асфальтированной дороге.

Земли промышленного назначения наиболее востребованная категория, этих земель всегда не хватает. Такие территории непригодны для ведения сельского хозяйства и постоянного проживания граждан. Земли промышленности или земли специального назначения это участки для работы предприятий. Кадастровая стоимость данных участков выше по сравнению с другими землями, а налог 1, 5% от кадастровой стоимости. Редко приобр ..., 20 фото",https://www.cian.ru/sale/commercial/305586125
319890592,Продажа коммерческой земли,"17.4, сот.","Воронежская область, Воронеж, проспект Труда, 77","39000000 руб., УСН",+79155806866,"Уникaльнoe пpeдлoжение, достойноe внимания! Учaсток 17.37 сотки по красной линии Проспекта Труда (На остановке общественного транспорта)с двух этажным Административным зданием под реконструкцию или снос, оживленный пеpeкрecтoк. Меcто очень перспективное, пpaктичеcки всe стpоeния pядoм иcпoльзуютcя под коммеpцию. Данный учacток имeeт большoй потенциал - под поcтpoйку oтдeльноcтоящего мeдцентра, гостиницы, автомагазина, а так же под многоквартирный дом - как вариант. Участок отдельный, не долевая собственность, Размежёван. Важно: участок имеет прямоугольную форму., 8 фото",https://www.cian.ru/sale/commercial/319890592
318489012,Продажа коммерческой земли,"40.0, сот.","Воронежская область, Воронеж, улица Захарченко","45000000 руб., УСН",+79102818056,"Продажа земельного участка (промназначения)

От собственника! Без комиссии!
Воронежская область, г Воронеж, земельный участок расположен в юго-западной части кадастрового квартала 36:34:0508001

Характеристика месторасположения:
- Участок расположен на красной линии ул. Захарченко 
- Размер 50х80 м. Сторона вдоль дороги - 50 м.
- Рельеф ровный
- Подъездные пути - асфальт

Возможно cтрoитeльствo: магазин, AЗC, автосервис, автомойка, склады, производство и т.д.
ПЗЗ - Зона производственно-коммунальной застройки ( ПК-19 ).

По всем вопросам обращайтесь к специалисту по недвижимости: Олейникову Дану.


Арт. 107058013, 5 фото",https://www.cian.ru/sale/commercial/318489012
317795924,Продажа коммерческой земли,"40.0, сот.","Воронежская область, Воронеж, проспект Труда, 48","85000000 руб., УСН","+79802309619, +79100391125","Продается земельный участок в промышленной части Воронежа на улице проспект Труда, 48/14 ( территория бывшего Станкостроительного завода)
В 2015 году построено офисное двухэтажное здание, площадью 173 кв.м. 
На территории имеется холодный склад - площадью 170 кв.м. И Козловой кран - грузоподъемностью 30 т.
Выделенная электрическая мощность 75 кВт.
Офисное здание частично сдаётся в аренду.
Охраняемая территория. 
Возможен небольшой торг., 21 фото",https://www.cian.ru/sale/commercial/317795924
