ID  объявления,Тип,Площадь,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
314942604,Продажа коммерческой земли,"9.0, сот.","Свердловская область, Дегтярск, Озерная улица, 6","5000000 руб., УСН",79126923798,"Продается земельный участок под магазин, ТЦ, офисный центр. 
Расположен в общественной части г. Дегтярск.
Общая площадь - 9 соток.
ВРИ готовы поменять под Ваши востребования. 
ID объекта в нашей базе: 1453, 12 фото",https://www.cian.ru/sale/commercial/314942604
314941322,Продажа коммерческой земли,"100.0, сот.","Свердловская область, Дегтярск, Уральская улица, 70","6000000 руб., УСН",79126923798,"Продается земельный участок, площадь - 1Га (состоит из 4-х участков по 25 соток).
Расположен вдоль проезжей части, все 4 участка примыкают к дороге.
ВРИ участка можем поменять под Ваши востребованности. 
ID объекта в нашей базе: 1452, 14 фото",https://www.cian.ru/sale/commercial/314941322
312854949,Продажа коммерческой земли,"390.0, сот.","Свердловская область, Дегтярск","8500000 руб., УСН",79126930899,"Продается земля  3,9 га рекреационного назначения рядом с городом Дегтярск на берегу водохранилища с потрясающими видами природой Урала. Земельные участок,  предназначен для  организации культурно-оздоровительной, спортивной деятельности граждан, а также  для отдыха и туризма. На земельном участке возможно организовать дома отдыха, пансионаты, кемпинги, объекты физической культуры и спорта, туристические базы, стационарные и палаточные туристско-оздоровительные лагеря, детские туристические станции, туристские парки, учебно-туристические тропы, трассы, детские и спортивные лагеря, другие аналогичные объекты. Отличное инвестиционное предложение для инициативных и креативных людей.  Находится в непосредственной близости с городом. Берег водохранилища и интересный ландшафт делает это место уникальным. 
ID объекта в нашей базе: 10747, 14 фото",https://www.cian.ru/sale/commercial/312854949
320602589,Продажа коммерческой земли,"10.08, сот.","Свердловская область, Дегтярск, Водосточная улица, 29","297500 руб., УСН",79826102023,"Данные получены с сайта ГИС Торги.
Должник: Беляева А.М. Лот: Земельный участок, площадью 1008 +/- 11 кв.м., кадастровый номер 66:40:0101003:262, адрес: г. Дегтярск, ул. Водосточная, 39. Собственник: Беляева А.М. Н/ц: 297500 руб., з/к: 44625 руб., ш/а: 2975 руб. Уведомление  07-974/25,, 1 фото",https://www.cian.ru/sale/commercial/320602589
319788605,Продажа коммерческой земли,"10.5, сот.","Свердловская область, Дегтярск","315609 руб., УСН",79126561742,"Данные получены с сайта ГИС Торги.
Категория земельного участка - земли населенных пунктов. Кадастровый номер 66:21:1401001:21. Местоположение: Свердловская область, г. Дегтярск, ул. Юбилейная, 21, 1 фото",https://www.cian.ru/sale/commercial/319788605
319788603,Продажа коммерческой земли,"15.0, сот.","Свердловская область, Дегтярск","379335 руб., УСН",79126561742,"Данные получены с сайта ГИС Торги.
Кадастровый номер 66:21:1101001:470. Местоположение: Свердловская область, городской округ Дегтярск, п. Чусовая, ул. Ясная, 4. Площадь земельного участка  1500 кв.м., 1 фото",https://www.cian.ru/sale/commercial/319788603
317577261,Продажа коммерческой земли,"8.9, сот.","Свердловская область, Дегтярск, Озерная улица, 6","2990000 руб., УСН",79126921008,"Объект 1358. 

Продаётся коммерческий земельный участок с кадастровым номером 66:40:0101020:112, площадью 889 кв.м. Участок идеально подходит для строительства таких объектов, как:


Торговые центры;

Магазин-склад;

Административные здания;

Рынки, магазины, выставочные комплексы;

Придорожный сервис: CТO, автомойки;

Гостиницы, хостелы, мотели;

Ветеринарное обслуживание.


Активно развивающаяся зона делового, общественного и коммерческого назначения.


Участок ровный, сухой, свободный подъезд к участку с асфальта. 

Электричество подключено!Есть возможность подключения газа!

Документы в полном порядке. Это отличная возможность для реализации ваших бизнес-идей!


Не упустите шанс! Звоните для

получения дополнительной информации и организации просмотра!, 6 фото",https://www.cian.ru/sale/commercial/317577261
320212646,"Продажа коммерческой земли, здание","49800.0, м2","Свердловская область, Дегтярск, Водосточная улица, 27","8900000 руб., УСН",79826204788,"Пpодается большoй земeльный учacтoк в гopoде Дегтярск по улице Bодоcточной.Участок кoммeрчeскогo назнaчения 4,9 га, кaдастpовый нoмeр 66:40:0101004:309К участку нескoлькo подъездных дopог, c тpаccы 3 заезда, один из них нaш.Сoбcтвeнный зaезд на участок с трассы отсыпанный. Участок идет вдоль трассы 515 метров, если нужен еще заезд можно отсыпать.Строится можно в любом месте, сети (канализация) идет под землей и обходит наш участок по краю.Линии ЛЭП расположены рядом, за пределами участка.Полностью по участку все сети центральные (водопровод и канализация).Трансформаторная подстанция находится рядом с участком, недалеко автозаправка и выезд на автодорогу Федерального значения.Участок не расчищен, лес. Лес срубить можно, разрешение получено.

Звоните в любое удобное для Вас время ответим на все вопросы., 10 фото",https://www.cian.ru/sale/commercial/320212646
310811115,Продажа коммерческой земли,"1.2, га","Свердловская область, Дегтярск","12000000 руб., УСН",79126418254,"Продам производственную базу на земельном участке площадью 1,2ГА +ООО  с действующей лицензией на заготовку, хранение, переработку и реализацию лома черных и цветных металлов.
Участок имеет высокую степень строительной готовности для размещения производственных объектов, находится в собственности более 10 лет, имеет выгодное географическое расположение с собственным выездом на объездную дорогу города Дегтярск. Транспортная инфраструктура участка позволяет быстро добраться до города Екатеринбург, расстояние до центра 50 км,  до города Полевской 35 км.
Участок отсыпан, имеет ровную, огороженную металлическим забором территорию. В 12,5 км находится карьер по добыче и производству щебня и отсева высокого качества, для производства бетона и асфальта.

Участок электрифицирован, установлена ТП РУ-04кВ, которая находится в собственности.
 По границе участка проходит газопровод.
На территории участка установлены автомобильные весы Альфа АВ-А-80, 18м, г/п 80тн.
Для работы имеются станки для разд ..., 1 фото",https://www.cian.ru/sale/commercial/310811115
303903915,"Продажа коммерческой земли, здание","10800.0, м2","Свердловская область, Дегтярск","15000000 руб., УСН",79122910120,"Продаётся земельный участок 1,08 Га в г.Дегтярске на берегу городского пруда. На участке сосны, берёзы. Категория земли населённых пунктов, для строительства рекреационно-оздоровительного гостинично-санаторного комплекса. Участок в собственности., 7 фото",https://www.cian.ru/sale/commercial/303903915
