ID  объявления,Тип,Площадь,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
318567957,Продажа коммерческой земли,"80.0, сот.","Нижегородская область, Дзержинск, шоссе Гавриловское","2250000 руб., УСН",+79812982257,"Код объекта: 1633565.
 Продаётся земельный участок 80 сот. В районе Дзержинска. Пром зонна Синтез. Участок ровный но вытянутый. Есть два подъезда с основной дороги. С одного конца, и с другого конца. Участок не подтапливантся, сухой.  Отлично подойдёт под коммерческую деятельность. В планах было сделать площадку автодрома. Линия электропередач ни как не мешает. Так же и заезду грузовой техники. Кадастровый номер 52:21:0000013:218  
Звоните, задавайте вопросы., 11 фото",https://www.cian.ru/sale/commercial/318567957
307885209,Продажа коммерческой земли,"2.0, сот.","Нижегородская область, Дзержинск, Гаражный переулок","5600000 руб., УСН",+79918990401,"Продается земельный участок 200 кв. м, с гаражами, каждый по 70 кв. м. на красной линии пер. Гаражный, 3 фото",https://www.cian.ru/sale/commercial/307885209
319142122,Продажа коммерческой земли,"8.4, сот.","Нижегородская область, Дзержинск, улица Гайдара, 40А","10000000 руб., УСН",+79101383096,"продам участок земли в центре города для эксплуатации нежилого отдельно стоящего здания. 
Уже выкопан котлован 3,5 м глубина, 650 кв. м, общая площадь здания по проекту 1450 кв. м. -2этажа. 
торг реальному покупателю.",https://www.cian.ru/sale/commercial/319142122
298453060,Продажа коммерческой земли,"151.0, сот.","Нижегородская область, Дзержинск, Восточный промрайон тер.","12000000 руб., УСН",+79101462852,"Продаю земельный участок в промрайон ""Восточный"" на территории завода ""Синтез"" общей площадью 1,5 га. На земельном участке есть 3-х этажное здание под снос или восстановление. Участок имеет разрешенное использование - для эксплуатации производственной площадки, подходит под   производство любого класса опасности, также возможно строительство складских помещений, эстакады. Хорошие подъездные пути, территория охраняемая, пропускная система. Возможно подключение электричества до 3-х МВт и газа. Прямая продажа. Есть также другие варианты на этой территории. Звоните, обязательно что-нибудь подберем., 10 фото",https://www.cian.ru/sale/commercial/298453060
304162640,Продажа коммерческой земли,"24.0, сот.","Нижегородская область, Дзержинск, Новомосковская улица","21000000 руб., УСН",+79812982257,"Код объекта: 1159893.
 Продается земельный участок промышленного назначения, общей площади 2400м2
Кадастровый номер: 52:21:0000043:679

Участок находится на оживленной дороге, рядом с выездом из города. Он заасфальтирован, огражден забором. Имеет удобные подъездные пути.

Хорошо подойдет под следующие виды деятельности: 
- АЗС
- Автосервис, шиномонтаж, автомойка
- Склады
- Автодром для автошколы
- Мелкое производство, 5 фото",https://www.cian.ru/sale/commercial/304162640
317699902,Продажа коммерческой земли,"95.0, сот.","Нижегородская область, Дзержинск, проспект Ленина, 117А","30000000 руб., УСН",+79108954130,"Продаю право аренды на земельный участок по адресу: г. Дзержинск, пр-т Ленина 117. Участок 95 сот. На участке расположен действующий подьездной железнодорожный путь с разгрузочными зонами для вагонов, двумя тупиками в весовой зоной для автотранспорта. Идеально подходит для логистических компаний, производственных предприятий и других организации, нуждающихся в удобной железнодорожной разгрузке., 3 фото",https://www.cian.ru/sale/commercial/317699902
313579335,Продажа коммерческой земли,"106600.0, сот.","Нижегородская область, Дзержинск, улица Лермонтова, 18Бк1","4500000 руб., УСН",+79108862085,"Нижегородская область, г.Дзержинск, ул.Лермонтова, завод  Заря.Вьезд по пропускам, охраняемая территория, видеонаблюдение, Продается земля коммерческого назначения площадью 10.6 сотки в отличном месте для размещения вашего бизнеса или инвестиций. Эта земля имеет отличный потенциал для развития и роста стоимости. С каждым годом цены на недвижимость в этом районе увеличиваются, что делает ее привлекательным объектом для инвестиций. Приобретение этой земли сегодня может принести вам высокую прибыль в будущем.
Земля коммерческого назначения для размещения производственных и административных зданий, строений, сооружений.газ проходит по соседнему участку , все центральные коммуникации расположены рядом. Деятельность агенства застрахована. Звоните , покажем в любое удобное для вас время.

Номер объекта: #1/1608280/11523, 2 фото",https://www.cian.ru/sale/commercial/313579335
188233574,Продажа коммерческой земли,"14.0, сот.","Нижегородская область, Дзержинск, дорога Заревская объездная","4990000 руб., УСН",+79812983521,"Продается земельный участок - 0,14 Га
в р-не Заревской объездной дороги.

 Очень перспективная территория, рядом начинается строительство автокомплекса и спортивно-оздоровительного комплекса. 

 Развитая инфраструктура
 Плотный транспортный поток
 Хорошая транспортная развязка
 Возможность подключения к коммуникациям

 Возможна рассрочка без банка.
Возможен обмен на недвижимость, автотранспорт.

 При покупке в Апреле / Мае - гарантирую хороший торг.

 Звоните, проконсультирую и отвечу на все вопросы!

 Компания Люмпекс-НН оказывает полный спектр услуг в области приобретения и оформления прав на земельные участки, как для индивидуального жилищного строительства, так и коммерческого назначения.

 Позвоните сейчас, и мы бесплатно проконсультируем.

 Благодарим Вас за интерес, проявленный к нашей Компании!, 4 фото",https://www.cian.ru/sale/commercial/188233574
311154359,Продажа коммерческой земли,"4.3, сот.","Нижегородская область, Дзержинск, пос. Имени Я.М. Свердлова","5500000 руб., УСН",+79877413161,"Продаётся право аренды (право оформлено на ООО) на земельный участок под строительство ветеринарной клиники, в черте города, в начале коттеджного посёлка Хуторок. Есть возможность подключения ко всем коммуникациям, участок ровный, с фундаментом, готовый к началу строительства., 3 фото",https://www.cian.ru/sale/commercial/311154359
313044306,Продажа коммерческой земли,"42.0, сот.","Нижегородская область, Дзержинск, улица Лермонтова, 17","17400000 руб., УСН",+79108862085,"Нижегородская область, г.Дзержинск, ул.Лермонтова, завод  Заря.Вьезд по пропускам, охраняемая территория, видеонаблюдение, Продается земля коммерческого назначения площадью 42.00 сотки в отличном месте для размещения вашего бизнеса или инвестиций.  Эта земля имеет отличный потенциал для развития и роста стоимости. С каждым годом цены на недвижимость в этом районе увеличиваются, что делает ее привлекательным объектом для инвестиций. Приобретение этой земли сегодня может принести вам высокую прибыль в будущем.
Земля коммерческого назначения для размещения производственных и административных зданий, строений, сооружений.газ проходит по участку, все центральные коммуникации расположены рядом. Деятельность агенства застрахована. Звоните , покажем в любое удобное для вас время.

Номер объекта: #1/1608278/11523, 2 фото",https://www.cian.ru/sale/commercial/313044306
308452965,Продажа коммерческой земли,"822.0, сот.","Нижегородская область, Дзержинск, Октябрьская улица, 15к2","18900000 руб., УСН","+79344800801, +79812982805","Продаётся земельный участок в Зоне исторической застройки города ЦОИ выделена в границах исторического поселения для целей обеспечения сохранности
объектов, включенных в единый государственный реестр объектов культурного наследия, и развития существующих территорий,
предназначенных для размещения общественно-деловой и жилой застройки.  Земля площадью 822 кв.м. 
- земля в собственности. 
- имеется вода, электричество, канализация
- есть возможность газификации
На земле находится строение 400 кв. м. 
Разрешена застройка здания под любой вид деятельности площадью 5000 квадратных метров. 
Земля находится по адресу г. Дзержинск, ул. Октябрьская, дом 15.
ТОРГ, 2 фото",https://www.cian.ru/sale/commercial/308452965
320574179,Продажа коммерческой земли,"220.0, сот.","Нижегородская область, Дзержинск, Восточный промрайон тер., шоссе Автозаводское","21599999 руб., УСН",+79108862085,"Нижегородская область, город Дзержинск, промзона, Автозаводское шоссе, продается земля коммерческого назначения (земли населенных пунктов, для производственной деятельности, площадь 2.2 Га. Кадастровый номер 52:21:0000012:1272. 

Номер объекта: #1/1630863/11523, 9 фото",https://www.cian.ru/sale/commercial/320574179
291571083,Продажа коммерческой земли,"1.0, га","Нижегородская область, Дзержинск, Восточный промрайон тер., 1","26515548 руб., УСН",+79867554343,"Это Имущество Банкротов! 

Реализуется Только Через Аукцион И В Том Составе, В Котором Оно Представлено! 

Прием заявок: до 13/09/2023 10:00.

Оборудование продается с торгов арбитражным упраляющим в соответствии с Федеральным законом ФЗ-127 О несостоятельности (банкротстве).

Имеем аккредитацию на 52 электронных площадках по банкротству и более 10 лет профессионально занимается торгами по продаже имущества должников (банкротов). 

Подготавливаем документы от Вашего имени или имени Вашей организации. 

Проводим Вашу аккредитацию, при необходимости, и подаём заявку на участие в торгах. 

Участвуем в заключении договора с арбитражным управляющим. 

Осуществляем юридическую поддержку сделки: с арбитражным управляющим, в Уфас, в арбитражных судах при покупке данного вида имущества.

1. Земельный участок, площадь 11 926 +/- 38 кв. М, кадастровый номер 52:21:0000012:2093;
2. Корпус 351 А, Г, Д, площадь 5 кв. М, кадастровый номер 52:21:0000012:1613;
3. Здание, площадь 1891,4 кв. М, кадастровы ..., 6 фото",https://www.cian.ru/sale/commercial/291571083
313871093,Продажа коммерческой земли,"68.0, сот.","Нижегородская область, Дзержинск, улица Лермонтова, 7","28100000 руб., УСН",+79108862085,"Нижегородская область, г.Дзержинск, ул.Лермонтова, завод  Заря.Вьезд по пропускам, охраняемая территория, видеонаблюдение, Продается земля коммерческого назначения площадью 68 сотки в отличном месте для размещения вашего бизнеса или инвестиций. Эта земля имеет отличный потенциал для развития и роста стоимости. С каждым годом цены на недвижимость в этом районе увеличиваются, что делает ее привлекательным объектом для инвестиций. Приобретение этой земли сегодня может принести вам высокую прибыль в будущем.
Земля коммерческого назначения для размещения производственных и административных зданий, строений, сооружений.газ проходит по соседнему участку , все центральные коммуникации расположены рядом. Деятельность агенства застрахована. Звоните , покажем в любое удобное для вас время.


Номер объекта: #1/1608283/11523, 3 фото",https://www.cian.ru/sale/commercial/313871093
319600703,Продажа коммерческой земли,"89.94, сот.","Нижегородская область, Дзержинск, Западный мкр","34942000 руб., УСН",+79159316267,"Данные получены с сайта ГИС Торги.
В соответствии с Извещением., 2 фото",https://www.cian.ru/sale/commercial/319600703
318009824,Продажа коммерческой земли,"40.0, га","Нижегородская область, Дзержинск, Восточный промрайон тер.","200000000 руб., УСН",+79122311430,"Проведена смена зонирования в ГПЗУ на категорию П1 (промышленного назначения для размещения объектов 1 класса опасности)

Участок подготовлен к строительству, огорожен, завершена рекультивация участка и вертикальная планировка.

Утвержден проект санитарно защитной зоны, пройдены все необходимые экологические, геологические, геодезические, кастовые изыскания, в том числе ОВОС. Проведен строительный аудит всех расположенных на территории зданий и сооружений.

Ранее на участке планировалось строительство Завода по глубокой переработке тяжелых нефтяных остатков, на который получено положительное заключение Главгосэкспертизы и разрешение на строительство.
Возможно продажа юр лица. 

Получены технические условия на электроснабжение, водоснабжение, водоотведение, пар высокого давления и другие энергоресурсы

Завершен монтаж внешней сети газоснабжения
Проведена пробная забивка свай и свайные испытания;
Заключен долгосрочный договор аренды на подъездную автодорогу, 2 фото",https://www.cian.ru/sale/commercial/318009824
312969976,Продажа коммерческой земли,"930.0, сот.","Нижегородская область, Дзержинск, Игумновское шоссе","200000000 руб., УСН",+79875304910,"Продам земельный участок в Дзержинской промзоне на шоссе Игумновского, площадь 93413  107 м2 (Кадастровый номер 52:21:0000012:4288)
Сведения о местоположении земельного участка в структурированном в соответствии с федеральной информационной адресной системой виде (при отсутствии адреса земельного участка): Российская Федерация, Нижегородская область, город Дзержинск, территория Восточный промрайон Оргстекло, дом здание 1/1245.
Дополнительные сведения о местоположении земельного участка: обл. Нижегородская, г. Дзержинск, Восточный промрайон Оргстекло, 3км+700м Игумновского шоссе 4.
Категория земель: Земли населенных пунктов.
Вид (виды) разрешенного использования земельного участка: под незаконченным строительством зданием ""ЗКПД-6"".
Возможность подключения к газопроводу, электросетям (есть Технические условия)., 3 фото",https://www.cian.ru/sale/commercial/312969976
319884168,Продажа коммерческой земли,"65.0, сот.","Нижегородская область, Дзержинск","8000000 руб., УСН",+79101332473,"Продаю участок 65 соток
в собственности, красная линия,
есть жд ветка
зона-П3 (склады, производство и тд)
участок ровный, 
электричество на участке 15кв
возможность подключения к Газу,
есть возможность увеличения площади участка до 1.5 Га
есть возможность увеличения электричества., 4 фото",https://www.cian.ru/sale/commercial/319884168
