ID  объявления,Тип,Площадь,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
308559899,Продажа коммерческой земли,"4.61, сот.","Челябинская область, Златоуст, улица 5-я Нижне-Вокзальная, 80","991611 руб., УСН",79823951637,"Земельный участок, площадь 461,00 кв.м
Аукцион 42П24, процедура 175172. 
дата окончания приёма заявок 18.07.2025
дата проведения аукциона 23.07.2025




Площадка РТС Тендер., 2 фото",https://www.cian.ru/sale/commercial/308559899
320398758,Продажа коммерческой земли,"5.98, сот.","Челябинская область, Златоуст, Машиностроитель-4А СНТ","105039 руб., УСН",79127709908,"Данные получены с сайта ГИС Торги.
ЛОТ 6. Аукцион по продаже земельного участка с кадастровым номером 74:25:0000000:17512, с кадастровой стоимостью 105 038,70 рублей, площадью 598  кв.м., расположенного по адресу: Российская Федерация, Челябинская область, город Златоуст, юго-восточнее СНТ ""Машиностроитель"", ЗУ:278. Разрешенный вид использования  ведение садоводства., 1 фото",https://www.cian.ru/sale/commercial/320398758
320398759,Продажа коммерческой земли,"5.93, сот.","Челябинская область, Златоуст, Машиностроитель-4А СНТ","104160 руб., УСН",79127709908,"Данные получены с сайта ГИС Торги.
ЛОТ 7. Аукцион по продаже земельного участка с кадастровым номером 74:25:0301101:924, с кадастровой стоимостью 104 160,45 рублей, площадью 593 кв.м., расположенного по адресу: Российская Федерация, Челябинская область, город Златоуст, юго-восточнее СНТ ""Машиностроитель"", ЗУ:279. Разрешённый вид использования  ведение садоводства., 1 фото",https://www.cian.ru/sale/commercial/320398759
320037504,Продажа коммерческой земли,"5.41, сот.","Челябинская область, Златоуст, улица Им. Г.К. Жукова, 4","172584 руб., УСН",79127709908,"Данные получены с сайта ГИС Торги.
ЛОТ 14. Аукцион по продаже земельного участка с кадастровым номером 74:25:0308503:666, с кадастровой стоимостью 172 584,41 рубля, площадью 541 кв.м., расположенного по адресу: Российская Федерация, г Златоуст, ул им Г.К. Жукова, участок 14А. Разрешенный вид использования - для индивидуального жилищного строительства., 1 фото",https://www.cian.ru/sale/commercial/320037504
320037505,Продажа коммерческой земли,"5.78, сот.","Челябинская область, Златоуст, улица Им. Г.К. Жукова","184388 руб., УСН",79127709908,"Данные получены с сайта ГИС Торги.
ЛОТ 15. Аукцион по продаже земельного участка с кадастровым номером 74:25:0308503:665, с кадастровой стоимостью 184 387,78 рублей, площадью 578 кв.м., расположенного по адресу: Российская Федерация, г Златоуст, ул Г.К.Жукова, участок 21А. Разрешенный вид использования - для индивидуального жилищного строительства., 1 фото",https://www.cian.ru/sale/commercial/320037505
320340793,Продажа коммерческой земли,"3.43, сот.","Челябинская область, Златоуст, Родник СНТ","214500 руб., УСН",79823010376,"Данные получены с сайта ГИС Торги.
19. Д-к, с-к: Ягудина Н.А. Лот: Нежилое здание площадью 12 кв.м., кадастровый номер 74:25:0311102:78, Земельный участок, площадью 343 кв.м., расположенные по адресу: г. Златоуст, СНТ ""Родник"", участок  46, кадастровый номер 74:25:0303401:19. Нач. цена: 214 500 р., з/к: 32 175 р. Рег. номер  74-14466, 1 фото",https://www.cian.ru/sale/commercial/320340793
320304212,Продажа коммерческой земли,"5.4, сот.","Челябинская область, Златоуст, улица Красина, 22","224170 руб., УСН",79127709908,"Данные получены с сайта ГИС Торги.
ЛОТ 6. Продажа земельного участка с кадастровым номером 74:25:0301515:143, с кадастровой стоимостью 224 170,2 рублей, площадью 540 кв.м., расположенного по адресу: Челябинская область, г Златоуст, ул им Л.Б.Красина, 22. Разрешенный вид использования  Для ведения личного подсобного хозяйства с возведением жилого дома на приусадебном земельном участке., 1 фото",https://www.cian.ru/sale/commercial/320304212
320037507,Продажа коммерческой земли,"6.72, сот.","Челябинская область, Златоуст, улица Имени П.Д. Осипенко, 82","223138 руб., УСН",79127709908,"Данные получены с сайта ГИС Торги.
ЛОТ 16. Аукцион по продаже земельного участка с кадастровым номером 74:25:0311415:21, с кадастровой стоимостью 223 137,6 рублей, площадью 672 кв.м., расположенного по адресу: Российская Федерация, Челябинская область, городской округ Златоустовский, город Златоуст, улица им П.Д. Осипенко, земельный участок 80. Разрешенный вид использования - для размещения индивидуального жилого дома и ведения личного подсобного хозяйства., 1 фото",https://www.cian.ru/sale/commercial/320037507
319870027,Продажа коммерческой земли,"5.72, сот.","Челябинская область, Златоуст","230775 руб., УСН",79823010376,"Данные получены с сайта ГИС Торги.
41. Д-к, с-к: Бондарь Н.Д. Лот: Земельный участок, площадью 572 кв.м., расположенный по адресу: г. Златоуст, CHT ""Булат  6"", участок  185, кадастровый номер 74:25:0000000:16348. Нач. цена: 230 775 р., з/к: 34 617 р. Рег. номер  74-13816, 1 фото",https://www.cian.ru/sale/commercial/319870027
319685948,Продажа коммерческой земли,"0.23, сот.","Челябинская область, Златоуст",211400 руб.,79821051872,"Данные в объявлении обновляются раз в сутки. Подробные параметры объекта, актуальные данные и НДС посмотрите на сайте электронных торгов.",https://www.cian.ru/sale/commercial/319685948
318422369,Продажа коммерческой земли,"0.31, сот.","Челябинская область, Златоуст",286875 руб.,79821051872,"Данные в объявлении обновляются раз в сутки. Подробные параметры объекта, актуальные данные и НДС посмотрите на сайте электронных торгов.",https://www.cian.ru/sale/commercial/318422369
320602977,Продажа коммерческой земли,"10.25, сот.","Челябинская область, Златоуст, улица Береговая Балашиха, 14","300602 руб., УСН",79123133076,"Данные получены с сайта ГИС Торги.
ЛОТ 9. Аукцион по продаже земельного участка с кадастровым номером 74:25:0311416:391, с кадастровой стоимостью 300 601,75 рублей, площадью 1025 кв.м., расположенного по адресному ориентиру: Российская Федерация, Челябинская область, городской округ Златоустовский, город Златоуст, улица Береговая Балашиха, восточнее земельного участка с кадастровым номером 74:25:0311416:14. Разрешенный вид использования земельного участка  для индивидуального жилищного строительства., 1 фото",https://www.cian.ru/sale/commercial/320602977
320304218,Продажа коммерческой земли,"11.4, сот.","Челябинская область, Златоуст, улица Короленко","521219 руб., УСН",79127709908,"Данные получены с сайта ГИС Торги.
ЛОТ 12. Продажа земельного участка с кадастровым номером 74:25:0302723:343, с кадастровой стоимостью 521 219,40 рублей, площадью 1 140 кв.м., расположенного по адресу: Российская Федерация, Челябинская область, г. Златоуст, ул им В.Г.Короленко, северо-восточнее земельного участка с кадастровым номером 74:25:0302723:22. Разрешённый вид использования  для ведения личного подсобного хозяйства (приусадебный участок)., 1 фото",https://www.cian.ru/sale/commercial/320304218
320602974,Продажа коммерческой земли,"10.98, сот.","Челябинская область, Златоуст, Красноармейская улица, 104","590966 руб., УСН",79123133076,"Данные получены с сайта ГИС Торги.
ЛОТ 7. Аукцион по продаже земельного участка с кадастровым номером 74:25:0301301:464, с кадастровой стоимостью 590 965,56 рублей, площадью 1 098 кв.м., расположенного по адресному ориентиру: Российская Федерация, Челябинская область, городской округ Златоустовский, город Златоуст, улица Красноармейская, земельный участок 110. Разрешенный вид использования земельного участка  для индивидуального жилищного строительства., 1 фото",https://www.cian.ru/sale/commercial/320602974
320304216,Продажа коммерческой земли,"19.48, сот.","Челябинская область, Златоуст, улица Имени Олега Кошевого, 2","641145 руб., УСН",79127709908,"Данные получены с сайта ГИС Торги.
ЛОТ 10. Продажа земельного участка с кадастровым номером 74:25:0308601:476, с кадастровой стоимостью 641 145,24 рублей, площадью 1 948 кв.м., расположенного по адресу: Российская Федерация, Челябинская область, г. Златоуст, ул. Олега Кошевого, 2. Разрешённый вид использования  для ведения личного подсобного хозяйства (приусадебный земельный участок)., 1 фото",https://www.cian.ru/sale/commercial/320304216
318488169,Продажа коммерческой земли,"11.76, сот.","Челябинская область, Златоуст, улица Труда, 116","632947 руб., УСН",79823205495,"Данные получены с сайта ГИС Торги.
ЛОТ 3. Аукцион по продаже земельного участка с кадастровым номером 74:25:0301301:482, с кадастровой стоимостью 632 946,72 рубля, площадью 1176 кв.м., расположенного по адресу: Российская Федерация, Челябинская область, городской округ Златоустовский, г. Златоуст, ул. Труда, земельный участок 119. Разрешенный вид использования  для индивидуального жилищного строительства., 1 фото",https://www.cian.ru/sale/commercial/318488169
318488166,Продажа коммерческой земли,"11.58, сот.","Челябинская область, Златоуст, 126","622877 руб., УСН",79823205495,"Данные получены с сайта ГИС Торги.
ЛОТ 1. Аукцион по продаже земельного участка с кадастровым номером 74:25:0301301:491, с кадастровой стоимостью 622 876,62 рублей, площадью 1158 кв.м., расположенного по адресу: Российская Федерация, Челябинская область, городской округ Златоустовский, г. Златоуст, ул. 8-го Марта, земельный участок 126. Разрешенный вид использования  для индивидуального жилищного строительства., 1 фото",https://www.cian.ru/sale/commercial/318488166
