ID  объявления,Тип,Площадь,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
303776733,Продажа коммерческой земли,"0.037, га","Удмуртская Республика, Ижевск, Железнодорожный переулок, 18","3700000 руб., УСН",79829921159,"От собственника! Без комиссии!
Характеристики:
- 1 линия
- Назначение земли - ИЖС
- Имеются строения на участке
- Подъездные пути: Удобные подъездные пути, Транспортная развязка
- Виды дорожного покрытия: Асфальт
- Покрытие участка - грунт

Дополнительная информация:
Земельный участок под коммерцию. Почти центр города. Можно использовать под гараж, бокс, склад.
По всем вопросам можете обращаться к представителю собственника: Ульяна

Добавьте это объявление в ""избранное"" - чтобы не потерять., 4 фото",https://www.cian.ru/sale/commercial/303776733
301643211,Продажа коммерческой земли,"0.07, га","Удмуртская Республика, Ижевск, Кирзаводская улица, 12","6825000 руб., УСН",79829921159,"От собственника! Без комиссии!
ЗУ 7 соток промназначения в центре города - удобные подъездные пути без пробок. 
По сути продаётся возможность реконструкции цеха - склада в границах участка ( 700м2). 
Есть фундамент под здание - можно строить легковозводимую конструкцию и с пользовать под производственное помещение, склад и тд. 
Все коммуникации в наличии - электричество, газ, вода. 
Звоните - обо всём можно договориться
По всем вопросам можете обращаться к представителю собственника: Невоструев, 4 фото",https://www.cian.ru/sale/commercial/301643211
298364152,Продажа коммерческой земли,"0.25, га","Удмуртская Республика, Ижевск, Воткинское шоссе, 280","12500000 руб., УСН",79829921159,"От собственника! Без комиссии!
Продается земельный участок, земли промышленного назначения
Кирпичное капитальное теплое здание
2 км от Воткинского шоссе ( поворот у ИжСинтез)
30кВт электричество с возможностью расширения до 130кВт
Вода
Отопление от котельной соседей - очень недорогое
Дороги чистят в 2-3 полосы
Высота потолков 3,4м
ЖД ветка 50 метров
Капитальный забор с 2ух сторон
Окна - пластиковые стеклопакеты
Покрытие пола - беспылевой бетон.материал стен - кирпич
Использовалось как склад
Возможность использовать как производственное, офисное, складское и тд
Возможность построения на территории ангара, производственного- ремонтного цеха любой высоты
Соседние земли охраняются
Возможность расшириться за счёт неиспользуемых земель соседей при договоренности покупки (аренды)
Возможность постройки ангара или производственного цеха в границах участка общей площадью 800м2
Возможность размещения стоянки для сотрудников и покупателей за пределами земли северной стороны (8соток), и с западной  ..., 14 фото",https://www.cian.ru/sale/commercial/298364152
299561126,Продажа коммерческой земли,"0.0739, га","Удмуртская Республика, Ижевск, Красноармейская улица, 60","16000000 руб., УСН",79829921159,"От собственника! Без комиссии!
Категории и виды разрешённого использования:
-Земли населённых пунктов
-1 линия
-Участок правильной формы
-Отличная локация для вашего бизнеса
-Прекрасная транспортная доступность
-Все коммуникации: вода, газ, электричество
-Центр города
-Высокий автомобильный трафик

По всем вопросам можете обращаться к представителю собственника:  Алексей

Добавьте это объявление в ""избранное"" - чтобы не потерять., 6 фото",https://www.cian.ru/sale/commercial/299561126
299335145,Продажа коммерческой земли,"0.47, га","Удмуртская Республика, Ижевск, улица Дружбы, 19","24000000 руб., УСН",79829921159,"От собственника! Без комиссии!
Продается земля промышленного назначения в непосредственной близости от жд вокзала. 
Общая площадь земли 47 соток. 
Земля в длительной аренде на 49 лет. 
На земле 3 недостроенных здания (1500кв м.)- есть проект. 
Разрешение на строительство сделаем согласно пожеланиям реального покупателя ( или на три отдельно стоящих здания, либо объединил здания по первому этажу). 
Есть документы на подключения к газу - обновим. 
Вода, канализация - центральные. 
Возможность дополнительной стройки - разрешается пятно застройки до 2/3.
Двое ворот - в\езды со стороны жд путей (ул. Дружбы) и со стороны ул. Гагарина. 
Готовы обсуждать и узаконивать все ваши пожелания в случае серьёзности намерений по приобретению.

По всем вопросам можете обращаться к представителю собственника: Невоструев

Добавьте это объявление в ""избранное"" - чтобы не потерять., 9 фото",https://www.cian.ru/sale/commercial/299335145
303245823,Продажа коммерческой земли,"0.72, га","Удмуртская Республика, Ижевск, улица Большая Крестьянская, 38","32000000 руб., УСН",79829921159,"От собственника! Без комиссии!
Подаётся 72 сотки земли в Пазелах с постройками с возможностью продолжить и расширить бизнес сдачи в аренду посуточно для торжеств, корпоративов и тд. 
Большая земля в престижном месте - Пазелы 72 сотки, где одна сотка стоит 300 тыс руб. 
Постройки:
1. Круглый дом с баней готовый к приему гостей 272м2
2. Дом дальний с баней ( нужен косметический ремонт) 229м2
3. Гараж - производственные помещения - 274м2
4.Большой дом ( не завершённое строительство) 600м.
5. Многочисленные зоны барбекю в различных стилях. 

Возможность строить ещё свежие домики в аренду. 
Рассмотрим продажу по частям - особенно интересно будет купить дом незавершенного строительства. Он не дорогой и ищет хорошие руки и правильного хозяина. 
Мы все устаем от обыденной архитектуры - а в этом пространстве воплощены самые необычные архитектурные решения в деревянном исполнении - легче дышится и можно набраться сил. 
Звоните, обо всем можно договориться
По всем вопросам можете обращаться к пре ..., 46 фото",https://www.cian.ru/sale/commercial/303245823
318817940,Продажа коммерческой земли,"1.0, га","Удмуртская Республика, Ижевск, Мельничная улица, 45","50000000 руб., УСН",79829921159,"Характеристики:
- 1 линия
- Земли специального назначения
- Коммуникации: Вода, Электричество, Централизованная система водоотведения
- Имеются строения на участке
- Подъездные пути: Ж/д ветка, Удобные подъездные пути, Транспортная развязка
- Виды дорожного покрытия: Асфальт, Грунт
- Твердое покрытие участка

Дополнительная информация:
В продаже 1 га земли промназначения 
Имеется жд тупик
Газораспределительный узел
Ээ 150 кВт 
Участок правильной формы.
Звоните сейчас, не упустите возможность стать обладателем места в шикарной локации.

По всем вопросам можете обращаться к представителю собственника: Ульяна, 11 фото",https://www.cian.ru/sale/commercial/318817940
315204626,Продажа коммерческой земли,"0.709, га","Удмуртская Республика, Ижевск, Воткинское шоссе, 31","70000000 руб., УСН",79829921159,"Характеристики:

- Коммуникации: Газ, Вода, Электричество
- Имеются строения на участке
- Подъездные пути: Удобные подъездные пути, Транспортная развязка
- Виды дорожного покрытия: Асфальт, Дорожные плиты

Дополнительная информация:
Участок с ангаром и вышкой , огорожен с двух сторон бетонным забором. Ангар можно использовать под холодный склад , общая площадь данного участка 70.9 соток. На участок есть возможность вывести воду, вода от городского водоснабжения, провести отопление от газовой котельной, которая есть на территории. Также есть хорошие мощности, порядка 300 кВт.

По всем вопросам можете обращаться к представителю собственника: Анжелика, 6 фото",https://www.cian.ru/sale/commercial/315204626
189023525,Продажа коммерческой земли,"6.0, сот.","Удмуртская Республика, Ижевск, улица Васнецова","3030000 руб., УСН",79120218739,"Продам участок в черте города  6 соток, Сад-во Восток-3, номер участка 25 , массив расположен между ул.Ленина- 40 лет победы-10 лет октября-ул.Совхозная,  в 20-ти метрах пройдет проспект Калашникова.. Имеется градостроительный план - разрешенное строительство -
многоэтажные жилые дома, торговые центры, магазины, объекты соц.назначения и т.д.",https://www.cian.ru/sale/commercial/189023525
302898078,"Продажа коммерческой земли, здание","1000.0, м2","Удмуртская Республика, Ижевск, улица Тростниковая","6000000 руб., УСН",79124625796,"Продам под коммерцию у оживленной дороги , зона Ж 2-2 , градплан ВРИ отдельно стоящие здание до 1000м2 , газ электричество по границе, 4 фото",https://www.cian.ru/sale/commercial/302898078
