ID  объявления,Тип,Площадь,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
206789327,Продажа коммерческой земли,"40.0, сот.","Калининградская область, Калининград, Старосаперная улица","6000000 руб., УСН",+79118617911,"Продам участок промназначения ул.Орудийная (в конце ул.Старосаперная п.Невское) ,площадью 40 соток,в собственности,расположен в конце улицы,вытянут между жел.дорогой и базой,слева примыкает к окончанию ул.Старосаперная, справа к окончанию Орудийной,сделан заезд со стороны Старосаперной.Зона П ,коммуникации по границе участка протянут новый коллектор.Кадастровый номер 39:03:030203:130. Цена 6 млн. рублей. Схема на фото., 6 фото",https://www.cian.ru/sale/commercial/206789327
306428030,Продажа коммерческой земли,"7.96, сот.","Калининградская область, Калининград, улица Аллея Смелых, 164","5650000 руб., УСН",+79114737326,"Арт. 64066315 Продается находящийся в собственности земельный участок c КН 39:15:142016:422, площадью 796,0 м2, расположенный в территориальной зоне Ж-3 (Зона застройки малоэтажными жилыми домами) с широким списком основных видов разрешенного использования земельного участка и объектов капитального строительства, в т. ч. коммерческого назначения. 

Участок расположен на 1-й линии ул. Аллеи Смелых в Балтийском районе г. Калининграда, являющейся одной из основных магистралей района. Подъезд к участку асфальтированный. 
В наличии действующий ГПЗУ. Участок свободен от обременений и готов к продаже. 

Готовы ответить на любые вопросы и обсудить условия приобретения объекта.

Также к Вашим услугам полное юридическое сопровождение  при проведении сделки и осуществлении расчетов., 7 фото",https://www.cian.ru/sale/commercial/306428030
309136259,Продажа коммерческой земли,"269.02, сот.","Калининградская область, Калининград, Двинская улица, 81","17900000 руб., УСН",+79114737326,"Арт. 75399642 Предлагается к продаже земельный участок площадью 26902 м2, расположенный в квартале ул. Щаденко - ул. Двинская - пер. Двинской, в Московском районе г. Калининграда, недалеко от пруда Шенфлис и ж/д станции Дзержинская-Новая. 
Согласно Генерального плана города Калининграда земельный участок находится в границах Коммунально-складской функциональной  зоны, а согласно Правил землепользования и застройки (ПЗЗ) - в границах Коммунально-складской территориальной зоны (П-4), которая предусматривает широкий перечень основных видов разрешенного использования земельного участка и назначений объектов капитального строительства.

Транспортная доступность к участку обеспечивается как со стороны  Южного Обхода, так и со стороны центра городской агломерации г. Калининграда. К участку имеется подъезд с ул. Двинской.

Поблизости расположены объекты промышленно-складского кластера и районы частной жилой застройки.
 
Есть возможность выделения до 400 кВт электрической мощности.

В наличии д ..., 3 фото",https://www.cian.ru/sale/commercial/309136259
290328351,Продажа коммерческой земли,"97.09, сот.","Калининградская область, Калининград, улица Александра Суворова, 54","19900000 руб., УСН",+79114821670,"Асфальтовое замощение в собственности площадью 97 соток, на участке ангар металлический площадью 1000 м НКС, договор аренды земли со множеством лиц на стороне арендатора с Теримуществом. Объект   194361

 

Номер объекта: #1/194361/3808, 12 фото",https://www.cian.ru/sale/commercial/290328351
319051254,Продажа коммерческой земли,"15.0, сот.","Калининградская область, Калининград, Можайская улица, 19","21999999 руб., УСН","+79118512520, +79114545172","Мечтаете о прибыльном бизнесе в самом сердце Калининграда? Ваш шанс здесь!

Продается эксклюзивный объект коммерческой недвижимости на одной из самых оживленных улиц города  улице Можайской! Идеальное расположение, высокая проходимость и все необходимые коммуникации делают это предложение идеальным для воплощения ваших бизнес-идей.

Что вы получаете?

•  Превосходное местоположение: Улица Можайская  это динамично развивающийся район с отличной транспортной доступностью и высоким трафиком. Ваша реклама будет работать 24/7!

•  Готовые строения:
  •  Двухэтажный дом площадью 217 кв.м: Идеально подходит для размещения офиса, магазина, кафе, гостиницы или любого другого бизнеса. Просторные помещения с возможностью перепланировки под ваши нужды.
  •  Гараж с подсобными помещениями общей площадью 161,8 кв.м: Отличное решение для складских нужд, производственного цеха или автосервиса.

•  Подключенные коммуникации:
  •  Электричество: 15 кВт (готово к использованию)
  •  Водоснабжение: Центра ..., 4 фото",https://www.cian.ru/sale/commercial/319051254
294950219,Продажа коммерческой земли,"27.0, сот.","Калининградская область, Калининград, Чкаловск мкр","25000000 руб., УСН",+79114531494,"Арт. 55124468 Продается земельный участок на Советском проспекте в Центральном районе города Калининграда (ориентиры - микрорайон Чкаловск, Северный обход Калининграда, Люблинское шоссе).

Участок общей площадью 27,02 сотки расположен на первой линии Советского проспекта в направлении из Калининграда в сторону побережья Балтийского моря (Светлогорск, Зеленоградск, Янтарный). Рядом расположены АЗС, автомойка самообслуживания, кафе, магазины. Участок сухой ровный. Коммуникации рядом с участком: есть скважина и 100 кВт электроэнергии.

Большой автомобильный трафик. Идеально подойдет под строительство ТЦ, магазина, автосервиса. Территориальная зона П-4, вид разрешенного использования - объекты придорожного сервиса, категория земель - земли населенных пунктов. Есть ГПЗУ.

—-
Поможем оформить ипотеку в любом банке. 
Специальные условия на ипотечное страхование. 
Все виды безопасных расчетов. 
Полное сопровождение сделки. 
Услуга выездной регистрации без похода в МФЦ. 
Ваша сделка пройдёт лег ..., 9 фото",https://www.cian.ru/sale/commercial/294950219
300349940,Продажа коммерческой земли,"38.73, сот.","Калининградская область, Калининград, улица Павлика Морозова, 94","31500000 руб., УСН",+79114533053,"Арт. 62213621 Продаётся КОММЕРЧЕСКИЙ земельный участок, с очень широким спектром разрешённого использования по ГПЗУ  !!! Участок, площадью 3873 кв.м., ровный, почти правильной формы, с пятном застройки практически совпадающим с границами участка. Заведены следующие коммуникации : электроэнергия : напряжение  220 + 380 В, мощность 90 кВт, с возможностью увеличения до 200 кВт, центральное холодное водоснабжение и водоотведение, а также дождевое водоотведение. Газ рядом.  Хорошая транспортная доступность, Прямой, достаточно широкий, заезд с ул. Павлика Морозова. Практически прямой, быстрый  доступ к Южному обходу по ул. Печатная.  Вокруг хорошо развитая инфраструктура. Все документы в полном порядке. Объект готов к продаже. Полное юридическое сопровождение ДКП ! Абсолютная финансовая безопасность !, 31 фото",https://www.cian.ru/sale/commercial/300349940
305737977,Продажа коммерческой земли,"10.3, сот.","Калининградская область, Калининград, улица Васнецова, 2","39500000 руб., УСН",+79114531494,"Арт. 71277600 УЧАСТОК ПОД МАЛОЭТАЖНЫЙ МНОГОКВАРТИРНЫЙ ДОМ.

Продается земельный участок по ул. Васнецова в Ленинградском районе города Калининграда (ориентиры - ул. Артиллерийская, Орудийная, Шахматная, Аэропортная).

Участок продается с проектом малоквартирного жилого дома на 19 квартир (1-, 2-комнатные) и 19 подвальных помещений. Получено разрешение на строительство.

Участок общей площадью 10.3 сотки расположен на первой линии улицы Васнецова. Категория земель - земли поселений (земли населенных пунктов), вид разрешенного использования - малоэтажная многоквартирная жилая застройка.

Центральные коммуникации: вода, газ, канализация, электричество - 40 кВт.

Подъездные пути - асфальт.
—-
Поможем оформить ипотеку в любом банке. 
Специальные условия на ипотечное страхование. 
Все виды безопасных расчетов. 
Полное сопровождение сделки. 
Услуга выездной регистрации без похода в МФЦ. 
Ваша сделка пройдёт легко и комфортно! 
АН ""АЛЬTERRA"" - Ваш эксперт по недвижимости., 12 фото",https://www.cian.ru/sale/commercial/305737977
317810511,Продажа коммерческой земли,"40.0, сот.","Калининградская область, Калининград, улица Подполковника Емельянова, 234","52000000 руб., УСН",+79814715997,"Код объекта: 1389249.
 Уникальное предложение, готовое стать вашим новым бизнес-начинанием! 

Продаётся земельный участок площадью 40 соток на улице Подполковника Емельянова в Калининграде. Этот участок с промышленным назначением идеально подойдёт для того, чтобы реализовать проекты различной направленности — от строительства производственных объектов до коммерческих площадок.

На участке уже имеется административное двухэтажное здание 160 кв.м., которое предназначено для использования в коммерческих целях и отлично подходит как для офисов, так и для административных нужд. Здание уже использовалось в работе и готово к новому собственнику . Проведены так же все необходимые коммуникации.

Участок подключен ко всем необходимым коммуникациям: электричеству, водоснабжению, канализации, что существенно упростит процесс начала строительства и обеспечит комфортное использование. Развитая инфраструктура и удобный подъезд делают это место привлекательным для бизнеса.

Локация участка обеспечит х ..., 3 фото",https://www.cian.ru/sale/commercial/317810511
268108193,Продажа коммерческой земли,"150.0, сот.","Калининградская область, Калининград, улица Подполковника Емельянова","70000000 руб., УСН","+79893367582, +79114602877","Продается земельный участок 15 000 кв.м., 15 фото",https://www.cian.ru/sale/commercial/268108193
