ID  объявления,Тип,Площадь,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
319776686,Продажа коммерческой земли,"459.0, сот.","Московская область, Клин городской округ, Клин, ш. Ленинградское (85 км до МКАД), ш. Пятницкое (75 км до МКАД)","149900000 руб., УСН",+79240823008,"Арт. 103346307 Продается уникальный участок для бизнеса в сердце Московской области! 



Расположение: Московская область, г. Клин, первая линия от Ленинградского шоссе!  

ГПЗУ РФ50-3-60-0-00-2023-26389-0



Земельный участок расположен в территориальной зоне: О-1 - многофункциональная общественно-деловая зона. Многофункциональная общественно-деловая зона О-1 установлена для обеспечения условий размещения объектов капитального строительства целях извлечения прибыли на основании торговой, банковской и иной предпринимательской деятельностью а также общественного использования объектов капитального строительства.



Идеальное место для вашего бизнеса:  

- Превосходная видимость и высокая проходимость благодаря расположению на первой линии шоссе.  

- Большой автомобильный трафик обеспечивает постоянный поток клиентов.  

- Безопасный надземный переход для пешеходов.  

- Собственный съезд с шоссе.  



 Окружение:  

- Участок находится в границах города Клин, всего 85 км от МКАД.  

-  ..., 2 фото",https://www.cian.ru/sale/commercial/319776686
319166517,Продажа коммерческой земли,"11.0, сот.","Московская область, Клин городской округ, Клин, улица Луговая, 6А, ш. Ленинградское (69 км до МКАД), ш. Пятницкое (77 км до МКАД)","1400000 руб., УСН",+79168413179,"Земeльный учacтoк 11 соток (можно увеличить) пpoмышлeнного назначeния в черте г. Клин кaдастpoвый нoмeр: 50:03:0010331:911, расположенный по адресу:  Московская область, г. Клин, ул. Луговая, з/у 6А. Kатeгория зeмeль: Зeмли насeлeнных пунктов. Рaзрeшeннoе испoльзовaниe: Земли под промышленными объектами. Возможно увеличение участка за счет соседнего с кадастровым номером 50:03:0010331:910. По документам на участке есть здание (холодный склад) фактически его нет. Согласно ПЗЗ участок может быть использован под производство, склады, магазины, автосервис и т.п. GPS координаты участка: 56.342629 36.775321

Участок прямоугольнoй фopмы, нe оcвoeнный, вce коммуникации по границе. Дорога к участку грунтовая 4х60м, требует отсыпки. Участок частично расположен в охранной зоне ЛЭП. Пятно застройки вне охранной зоны ЛЭП 26х15 м. В охранной зоне так же можно строиться в силу п. 10 Правил установления охранных зон объектов электросетевого хозяйства и особых условий использования земельных участков,  ..., 4 фото",https://www.cian.ru/sale/commercial/319166517
319465118,Продажа коммерческой земли,"49.0, сот.","Московская область, Клин городской округ, Клин, улица Луговая, ш. Ленинградское (69 км до МКАД), ш. Пятницкое (77 км до МКАД)","5000000 руб., УСН","+79850234312, +79230726697","Под производство, склады, авто стоянки, промышленность. Пром-назначения в черте города. Участок ровный участок правильной формы, с удобным круглогодичным подъездом. 

Разрешенное использование: Для размещения промышленных объектов - под склады, промбазы, промышленного производства, пищевого производства, и т.д.

Промышленного назначения на Землях населённых пунктов.

Площадь 0,49 Гектара = 4900 кв. м. = 49 соток. 

Кадастровый номер 50:03:0010331:251

Газ, свет по границе в 10 метрах от участка.

Заезд с Лесопарковой улицы на ул. Фурманова, далее на Луговую.

Удобная транспортная доступность. В 5 минутах ходьбы, автобусная остановка. В 3 км. от Ленинградского шоссе (ул. Чайковского); 37 км. до ЦКАД, 65 км. до МКАД, 7 фото",https://www.cian.ru/sale/commercial/319465118
218649762,Продажа коммерческой земли,"17.0, сот.","Московская область, Клин городской округ, Клин, ш. Ленинградское (68 км до МКАД), ш. Пятницкое (76 км до МКАД)","12000000 руб., УСН",+79151427252,"Земельный участок на Ленинградском шоссе под строительство торгового центра, кафе, автосервиса и любых других коммерческих и иных объектов. Первая линия федеральной автомобильной дороги М10, быстрое сообщение от МКАД, г. Клин Московская область (правая сторона по направлению к Москве). Перспективное и конкурентное расположение. Располагается на первой линии (15 метров) от оживленной (высокий трафик движения) федеральной трассы (Ленинградское шоссе) в черте крупного подмосковного города, между Ленинградкой и дублером (ул. Чайковского). На одной линии к участку примыкают: торговый комплекс АШАН, ресторан питания KFC, автомойка. Непосредственно к участку прилегают жилые массивы. В 100 метрах располагается крупный многонаселенный современный район Новый Клин. Территория активно развивается. Категория земель- земли населенных пунктов с разрешенным использованием для размещения и обслуживание любых объектов недвижимости для осуществления коммерческой деятельности. Идеально подходит для строи ..., 8 фото",https://www.cian.ru/sale/commercial/218649762
319166671,Продажа коммерческой земли,"222.0, сот.","Московская область, Клин городской округ, Клин, улица Луговая, 6, ш. Ленинградское (69 км до МКАД), ш. Пятницкое (77 км до МКАД)","14000000 руб., УСН",+79168413179,"Земeльный учacтoк 221,5 сотки пpoмышлeнного назначeния в черте г. Клин кaдастpoвый нoмeр: 50:03:0010331:908, расположенный по адресу:  Московская область, г. Клин, ул. Луговая, з/у 6. Участок прямоугольнoй фopмы, нe оcвoeнный. Kатeгория зeмeль: Зeмли насeлeнных пунктов. Рaзрeшeннoе испoльзовaниe: Земли под промышленными объектами. Согласно ГПЗУ участок может быть использован под производство, склады, магазины, автосервис и т.п. К участку подведено 15 кВт, возможно увеличение в необходимом объеме в течение 4-х месяцев с даты заявки. Остальные коммуникации по границе. Возможна продажа в рассрочку или в кредит с обязательным оформлением залога, возможна аренда с последующим выкупом. Без торга. Собственник.

Осуществив мониторинг земельных участков в г. Клин и Клинском районе пришел к выводу, что у вас отсутствует возможность купить подобный участок за такую цену. Участки, продаваемые как промка либо не являются таковыми, либо имеют существенные ограничения и обременения, либо продаются го ..., 4 фото",https://www.cian.ru/sale/commercial/319166671
319727434,Продажа коммерческой земли,"93.0, сот.","Московская область, Клин городской округ, Клин, улица Терешковой, 1с4И, ш. Ленинградское ( км до МКАД), ш. Пятницкое (82 км до МКАД)","19670000 руб., УСН",+79230750159,"id:3662. 
Продается участок 93 сот. в промышленном кластере г. Клин

Адрес: Московская область, Клин, улица Терешковой, 1с4И

Кадастровый номер: 50:03:0080280:4377

Категория земли - земли населенных пунктов
Вид разрешенного использования - строительная промышленность

Цена: 19 670 000 руб

Коммуникации: Электроснабжение и газ по границе участка, также есть возможность подключится к центральным сетям: вода и канализация. 

Участок имеет удачную локацию и хорошие подъездные пути.  
Отсутствует перепад рельефа на участке, также отсутствуют обременения по застройке.
Получено ГПЗУ.

Участок расположен в 70 км. к северо-западу от Москвы с двумя федеральными трассами М-10 и М-11(платная), в близи г.Клин. ж.д. вокзал в 2 км. от участка.  Рядом расположились крупные предприятия такие как : Рекит Бенкизер (стирал. порошки ), Грофиллекс СНГ, КлинСтройСервис, пр-во стройматериалов.

Меня зовут Кристина, я более 4 лет работаю с недвижимостью, специализируясь на коммерческих земельных участках. Я п ..., 12 фото",https://www.cian.ru/sale/commercial/319727434
319654044,Продажа коммерческой земли,"25.0, сот.","Московская область, Клин городской округ, Клин, Ленинградское шоссе, 55, ш. Ленинградское ( км до МКАД), ш. Пятницкое (79 км до МКАД)","25000000 руб., УСН",+79230743312,"Лот:5214. 
Продаётся земельный участок на первой линии Ленинградского шоссе.
Участок 25 соток, правильная форма. Состоит из 2х участков 10 и 15 соток ( кадастровые номера: 50:03:0010304:405     50:03:0010304:408 .

На участке 10 соток асфальтированная парковка, на 15 сотках планировалось размещение здания, общей площадью 600 кв.м. (пройдено АГО).

Коммуникации по границе! Заезд, съезд с Ленинградского шоссе. Рядом гипермаркет Чеснок, отличный траффик.

Просмотр в любое время!, 7 фото",https://www.cian.ru/sale/commercial/319654044
318203080,Продажа коммерческой земли,"25.0, сот.","Московская область, Клин городской округ, Клин, Ленинградское шоссе, 55, ш. Ленинградское (71 км до МКАД), ш. Пятницкое (79 км до МКАД)","25000000 руб., УСН",+79230743312,"Продаётся земельный участок на первой линии Ленинградского шоссе.
Участок 25 соток, правильная форма. Состоит из 2х участков 10 и 15 соток ( кадастровые номера: 50:03:0010304:405     50:03:0010304:408 .

Земельный участок расположен в территориальной зоне: О-1 -многофункциональная общественно-деловая зона. Многофункциональная общественноделовая зона О-1 установлена для обеспечения условий размещения объектов капитального строительства в целях извлечения прибыли на основании торговой, банковской и иной предпринимательской деятельности, а также общественного использования объектов капитального строительства.

На участке 10 соток асфальтированная парковка, на 15 сотках планировалось размещение здания, общей площадью 600 кв.м. (пройдено АГО).

Коммуникации по границе! Заезд, съезд с Ленинградского шоссе. Рядом гипермаркет Чеснок, отличный траффик.

Просмотр в любое время!, 7 фото",https://www.cian.ru/sale/commercial/318203080
290622558,Продажа коммерческой земли,"4.8, га","Московская область, Клин городской округ, Клин, улица Дурыманова, 24с11, ш. Ленинградское (70 км до МКАД), ш. Пятницкое (78 км до МКАД)","29760000 руб., УСН",+79857000480,"Лот 605507 Предложение от Собственника! Продается земельный участок промназначения 4.8 га в черте г. Клин на втором бетонном кольце в сторону Дмитрова. Участок с грунтовым покрытием. Категория земель: земли населенных пунктов для размещения производственных и административных зданий. Возможно подключение электричества, холодного водоснабжения и канализации. Участок расположен в 420 м от А-108. Стоимость 29 760 000 руб или 6 200 000 руб за 1 Га. Прямая продажа от собственника, быстрый выход на сделку.

 В цену не включено: затраты на электричество, коммунальные расходы, уборка.

Чтобы получить ПОДРОБНУЮ ПРЕЗЕНТАЦИЮ С ПЛАНИРОВКОЙ И ФОТОГРАФИЯМИ, звоните или отправьте свой email и номер телефона в сообщении на портале. Высылаем в течение 15 минут по запросу!

 Конт. лицо: Олег Васильевич, доб. 117, ЛОТ 605507, 6 фото",https://www.cian.ru/sale/commercial/290622558
304295992,Продажа коммерческой земли,"296.48, сот.","Московская область, Клин городской округ, Клин, ш. Ленинградское (68 км до МКАД), ш. Пятницкое (76 км до МКАД)","89500000 руб., УСН","+79851821056, +79945073491","Идеальное предложение для Вашего бизнеса! Продается земельный участок 29648 кв. м. Первая линия федеральной трассы Москва-Санкт-Петербург. Отдельный заезд с федеральной трассы. Кадастровый номер: 50:03:0040280:810. Виды разрешенного использования: хранение автотранспорта -2.7.1. магазины -4.4. общественное питание-4.6. объекты дорожного сервиса-4.9.1. заправка транспортных средств-4.9.1.1 обеспечение дорожного отдыха-4.9.1.2. автомобильные мойки-4.9.1.3. стоянка транспортных средств-4.9.2. ремонт а/м-4.9.1.4 связь-6.8. склад-6.9. складские площади-6.9.1. Закрытая охраняемая территория, видеонаблюдение, Ограждение профнастил. Эл-я. 250 квт(возможно увеличение). На участке двух этажное здание, площадью 850 кв. м.  подсобные помещения для сотрудников комплекса, комнаты отдыха, с/у. Центральное водоснабжение. удобный заезд с федеральной трассы М-10. Возможно увеличение площади участка до 50000 кв. м. Обсуждаются все предложения!!!!, 24 фото",https://www.cian.ru/sale/commercial/304295992
