ID  объявления,Тип,Площадь,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
318102447,Продажа коммерческой земли,"410.0, сот.","Челябинская область, Копейск","400000 руб., УСН",+79823010114,"Арт. 105932591 К вашему вниманию представлены два участка каждый 4.1 Га.
Лучшее местоположение.

74:30:0911007:10 земли сельскохозяйственного назначения - для сельскохозяйственного использования. 

74:30:0911007:11 земли населенных пунктов - для сельскохозяйственного использования.
 
450 м на северо-запад от северо-восточной части с. Калачево. 

Торг уместен.

Звоните, ответим на все вопросы., 2 фото",https://www.cian.ru/sale/commercial/318102447
316169812,Продажа коммерческой земли,"259.0, сот.","Челябинская область, Копейск","6549000 руб., УСН","+79193310294, +79821011123","Отличный участок для вашего бизнеса!
Бешенный трафик мимо участка!
Участок расположен на протяжении 600 м, вдоль федеральной трассы М5 (федеральная автодорога А310, ЕВРОПЕЙСКИЙ МАРШРУТ Е123).
Трасса ведущая в Казахстан.
Ориентир-развязка Синеглазово-Еткуль.
До границы Челябинска 5 минут на авто.
Рядом газовая магистраль, две электроподстанции, водоканалы.
Участок расположен в зоне П-2.
Коммунально-складская зона (Производственная зона).
Возможно строительство-зданий и сооружений дорожного сервиса, автозаправочных станций, магазинов, зданий для организаций общественного питания в качестве дорожного сервиса, зданий для предоставления гостиничных услуг(мотелей), объектов энергетики, складов и другое.
Кадастровый номер-74:30:0805002:47
Все документы готовы, один собственник., 16 фото",https://www.cian.ru/sale/commercial/316169812
320268629,Продажа коммерческой земли,"10.0, сот.","Челябинская область, Копейск","242310 руб., УСН",+79823413663,"Данные получены с сайта ГИС Торги.
Земельный участок с кадастровым номером 74:30:0201024:644 площадь 1000 по адресу Российская Федерация, Челябинская область, г Копейск, ул Октябрьская, 2Б, 1 фото",https://www.cian.ru/sale/commercial/320268629
320268627,Продажа коммерческой земли,"10.0, сот.","Челябинская область, Копейск","277330 руб., УСН",+79823413663,"Данные получены с сайта ГИС Торги.
Земельный участок с кадастровым номером 74:30:0701025:401 площадь 1000 по адресу Российская Федерация, Челябинская область, г Копейск, пер Березовый, участок 11, 1 фото",https://www.cian.ru/sale/commercial/320268627
320268626,Продажа коммерческой земли,"10.0, сот.","Челябинская область, Копейск, переулок Щепкина","257930 руб., УСН",+79823413663,"Данные получены с сайта ГИС Торги.
Земельный участок с кадастровым номером 74:30:0701024:222 площадь 1000 по адресу Российская Федерация, Челябинская область, городской округ Копейский, город Копейск, переулок Щепкина, земельный участок 33, 1 фото",https://www.cian.ru/sale/commercial/320268626
320268628,Продажа коммерческой земли,"10.2, сот.","Челябинская область, Копейск, Салютная улица","333326 руб., УСН",+79823413663,"Данные получены с сайта ГИС Торги.
Земельный участок с кадастровым номером 74:30:0301019:657 площадь 1020 по адресу Российская Федерация, Челябинская область, г. Копейск, ул. Салютная, 14А, 1 фото",https://www.cian.ru/sale/commercial/320268628
319328980,Продажа коммерческой земли,"8.25, сот.","Челябинская область, Копейск, улица Рубинштейна","320009 руб., УСН",+79823413663,"Данные получены с сайта ГИС Торги.
Российская Федерация, Челябинская область, городской округ Копейский, город Копейск, улица Рубинштейна, земельный участок 1""в"", 1 фото",https://www.cian.ru/sale/commercial/319328980
319328979,Продажа коммерческой земли,"10.0, сот.","Челябинская область, Копейск, улица Высоцкого","470520 руб., УСН",+79823413663,"Данные получены с сайта ГИС Торги.
Российская Федерация, Челябинская область, г Копейск, ул Высоцкого, 8, 1 фото",https://www.cian.ru/sale/commercial/319328979
319169404,Продажа коммерческой земли,"7.0, га","Челябинская область, Копейск, Краснодонская улица","700000 руб., УСН",+79193411304,"продается  земля сельхоз назначения,7га. расположена по Еткульскому тракту., 2 фото",https://www.cian.ru/sale/commercial/319169404
309424198,Продажа коммерческой земли,"500.0, сот.","Челябинская область, Копейск, Шахтер СНТ","1000150 руб., УСН","+79128911473, +79127712569","продам участок скирпичным  домиком и местом для хранения инвентаря,из построек есть временная беседка,из посадок яблоня,жимолость,кружовник,клубника.все остальное по телефону,реальному покупателю нормальный торг",https://www.cian.ru/sale/commercial/309424198
