ID  объявления,Тип,Площадь,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
320114969,Продажа коммерческой земли,"18.1, сот.","Красноярский край, Красноярск, улица Вейнбаума, 30","35000000 руб., УСН",+79135609884,"Земля под строительство в центре Красноярска, в 300 метрах пешком от строящейся станции метро Карла Маркса.
 2 участка 1810 м² в зоне деловой застройки

 ЛОКАЦИЯ:
 300м до строящейся станции метро ""Карла Маркса"" (открытие 2026-2027г.)
 Ул. Вейнбаума, 30 и 34 - исторический центр
 Окружение: ресторанный кластер на Мира, драматический театр имени Пушкина, театр оперы и балета, администрация, банки
 ПАРАМЕТРЫ:
 2 Участка: 1350м² + 460м² = 1810м²
 Высота застройки: до 15 метров
 Коммуникации: электричество, вода, канализация
 Документы: в собственности 15+ лет, готовы к сделке

 ВАРИАНТЫ ИСПОЛЬЗОВАНИЯ УЧАСТКОВ:
 РЕКОМЕНДУЕМЫЙ ВАРИАНТ - КОМПЛЕКСНЫЙ ПРОЕКТ:
1.  ПАРКОВКА - самый быстрый старт:
200+ мест, доходность от 800 тыс руб/мес
После метро до 1,1 млн руб/мес
Окупаемость 7-10 лет

2. С учетом выкупа и включение дома Вейнбаума 32 в проект (сейчас есть возможность забрать в аренду с правом выкупа от 9 млн руб):
 Бутик-отель на 40-50 номеров - современные корпуса + историческая часть
 Бизне ..., 15 фото",https://www.cian.ru/sale/commercial/320114969
314821990,Продажа коммерческой земли,"200.0, сот.","Красноярский край, Красноярск, Норильская улица","39900000 руб., УСН","+79831604977, +79135109624","Продам уникальный земельный участок общей площадью 2 га ( кадастровый  номер 24:11:0290109;1894)  все коммуникации централизованы , перспективный развивающийся микрорайон Западный  

Цена 39 900 000, 1 фото",https://www.cian.ru/sale/commercial/314821990
313015583,Продажа коммерческой земли,"1500000.0, м2","Красноярский край, Красноярск, улица Острожная","40000000 руб., УСН",+79831507589,"Продам 1.5 га земли , первая линия. Водопровод центральный, 3 фото",https://www.cian.ru/sale/commercial/313015583
310342025,Продажа коммерческой земли,"4.74, сот.","Красноярский край, Красноярск, улица Вильского, 14Ж","9000000 руб., УСН",+79831603380,"Участок земли 4,7 соток находится на улице Вильского около дома 14ж в парковой зоне, рядом с озером Ивашечкинское, разрешённое использование под магазин, можно кафе, игротеку, код 4.4. Открытие парка планируется 10 августа, сделали набережную, красивые дорожки, посадят хвойные деревья и поставят красивые фонари. Парковка, подъездные пути - за счёт города, электричество, вода,   канализация и тепло, возможности подключения есть. Адресация будет улица Вильского 14 с буквой. Есть предложения по внешнему виду магазина/кафе, есть схема планировочной организации участка в парковой зоне. Застраивать разрешено 60% участка, есть ГПЗУ градплан участка, вышлю по запросу., 25 фото",https://www.cian.ru/sale/commercial/310342025
319039954,Продажа коммерческой земли,"35.7, сот.","Красноярский край, Красноярск, улица Борисевича, 14Б","22500000 руб., УСН",+79131806695,"Предлагaю уникальную возмoжность приобрeсти зeмельный учaсток ,идеально подxoдящий для cтpoитeльства торгoвого комплeкcа

. Oплaчeны и получeны вce тех.уcлoвия( свeт, вoдa, тепло,канализация)

Участок рacполoжен в перcпективнoм pайoнe с выcoким пeшeхoдным трaфикoм ,

paзвитой инфpaструктурой .

Инвестиционная привлекательность данного проекта(уже существующие

договоренности с сетью федеральных арендаторов) гарантирует окупаемость

данного проекта с первого месяца запуска.

 Рабочий Проект торгового комплекса с привязкой коммуникаций передается.

Разрешение на строительство-получено!


Фактически- продажа юр.лица!(- выигран аукцион)

После окончания строительства- выкуп за процент от кадастра.

Для получения дополнительной информации и организации просмотра пожалуйста звоните., 1 фото",https://www.cian.ru/sale/commercial/319039954
299690570,Продажа коммерческой земли,"0.55, га","Красноярский край, Красноярск, улица Калинина, 175с30","50000000 руб., УСН",+79135804065,"Продаётся земельный участок с жд. тупиком, расположенный по адресу: Красноярск, ул. Калинина.
 
 Общие характеристики:
 
 Участок площадью 0,55 Га.
 Огорожен забором, имеется теплая бытовка площадью 35 кв. м.
 Склад площадь 180 кв. м, с пандусом.
 Металлический каркас склада площадь 650 кв. м.
 Железнодорожный тупик граничит с участком.
 
 Технические условия:
 
 Электричество 400 кВт. 
 Отопление автономное (электричество).
 Возможность подключения к центральным сетям по водоснабжению и водоотведению и теплу.
 
 Привлекательные стороны:
 
 Участок расположен рядом с остановкой общественного транспорта.
 Рядом жилая застройка и оживленная автомобильная трасса.
 
 
 Дополнительная информация:
 
 Назначение: размещение складских обьектов.
 Железнодорожный тупик вмещает 7 вагонов.
 
 Персональное мнение:
 
 Считаем данный лот весьма перспективным. Расположение в жилой застройке - хороший бонус., 7 фото",https://www.cian.ru/sale/commercial/299690570
310396484,Продажа коммерческой земли,"350000.0, м2","Красноярский край, Красноярск, 9 Мая улица, 77","80000000 руб., УСН",+79135607076,"Приветствую вac доpогие покупатели!B прoдаже уникальный oбъект нeдвижимоcти Kaдacтpoвый номер 24:11:310611:0065- тeppитория общeй плoщaдью 350 000 кв.м.;- aдpеc Poccия ,Kpacноярский кpай ,Емельянoвский райoн, 30 й км пo Енисeйскoму тракту( тpaсса P409 )- категopия земель: зeмли пpoмышлeннocти, энеpгeтики, тpaнспорта, связи, радиовещания, телевидения, информатики, земли для обеспечения космической деятельности, земли обороны, безопасности и земли иного специального назначения, для нужд обороны;- площадь помещений почти 12 500 кв.м. Помещения: склады, боксы, гаражи и прочее;- имеется водо- и электроснабжение, открытые площадки;- огороженная бетонным забором закрытая территория.Очень важный факт 2 линии электропередач в собственности каждая способна передавать до 1 МГВТ ( сейчас 250 кВ) Звоните более подробная информация по телефону!, 9 фото",https://www.cian.ru/sale/commercial/310396484
308292432,Продажа коммерческой земли,"2.0, га","Красноярский край, Красноярск, улица Пограничников, 16","200000000 руб., УСН",+79135804065,"Продается производственная база расположенная: г. Красноярск, ул. Пограничников.
 
 Общие технические характеристики:
Площадь земельного участка -19878 кв. м, в собственности.
 Площадь строений - 335 кв. м.
 
 На участке:
 Бокс площадь - 216 кв. м. Высота потолков 7 м. Ворота 2 шт.(высота 4,2 м, ширина 3 м.) Отопление электрическое.
 Офис площадь - 30 кв. м. Отопление электрическое.
 Два вагончика для рабочих, площадь -25 кв. м, и 18 кв. м. Отопление электрическое.
 Зона отдыха, оборудована теплой беседкой с камином и комнатой для игры в теннис, площадью 45 кв. м. Территория зоны отдыхавыложена брусчаткой.
 Контейнер - 40 тонн, используется как холодный склад.
 Собственная ТП - 400 кВт.
 
 Дополнительное оборудование:
 Асфальтобетонная установка, производительность 60 тонн в час.
 Битумное хранилище на 300 тонн, подогреваемое тэнами.
 
 Дополнительная информация:
 Объект находится в 3.5 км. от крупной дорожной развязки: пересечение ул. Пограничников с автодорогой ""Глубокий обход Красно ..., 6 фото",https://www.cian.ru/sale/commercial/308292432
299870010,Продажа коммерческой земли,"3.5, га","Красноярский край, Красноярск, улица 2-я Брянская, 52","250000000 руб., УСН",+79832011985,"Продается отдельно стоящее здание с земельным участком 3,5 га. категория земли- земли населённых пунктов Здание 1400кв.м состоит из двух этажей кабинетного типа + 3 этаж 800кв.м. свободной планировки + цоколь 800кв.м. На первом этаже два входа. Материал стен  панель. Расположено на земельном участке 3,5га. Назначение, - земли населенных пунктов. Здание расположено на ул. 2-я Брянская, в 300 метрах от здания полка ДПС. 1,5км до ул. Караульная, 7 фото",https://www.cian.ru/sale/commercial/299870010
319995678,Продажа коммерческой земли,"617.64, сот.","Красноярский край, Красноярск, улица 5-й Участок, 1","340000 руб., УСН",+79836104801,"Имущество предлагается к продаже, на ЭТП ALFALOT.RU. Для детального ознакомления с объектом и условиями его продажи, найдите данные торги по номеру в меню поиска на ЭТП. Номер процедуры (торгов): 177152.
Форма реализации: Открытый аукцион.
Дата начала приема заявок: 21.07.2025 20:00
Дата окончания приема заявок: 22.08.2025 20:00
Описание лота от организатора: 
Земельный участок, кадастровый номер 24:11:0310304:69 Виды разрешенного использования объекта недвижимости: для сельскохозяйственного использования, Площадь 61764 +/- 2175, Местоположение установлено относительно ориентира, расположенного в границах участка.Ориентир д. Плоское.Участок находится примерно в 1,5 км метрах, по направлению на север от ориентира. Почтовый адрес ориентира: Красноярский край, Емельяновский район, участок 1.
Имущество принадлежит Продавцу на праве собственности на основании договора дарения земельного участка, принадлежащего Дарителю на праве собственности, выдан 22.11.2010.
 Ознакомление с документами об ...",https://www.cian.ru/sale/commercial/319995678
