ID  объявления,Тип,Площадь,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
314768956,Продажа коммерческой земли,"3.0, сот.","Краснодарский край, Крымский район, Крымск, улица Орджоникидзе, 28","2100000 руб., УСН",79898521381,"Арт. 95342345 Отличное предложение! 
Продаётся земельный участок (3,1 сотки) с подведенными коммуникациями.
Удобный подъезд по асфальтированной дороге. Вся необходимая инфраструктура в шаговой доступности: Школа, детские сады, магазины,  остановка общественного транспорта.
Идеальное место для размещения торгового помещения!!!, 1 фото",https://www.cian.ru/sale/commercial/314768956
315018714,Продажа коммерческой земли,"4.0, сот.","Краснодарский край, Крымский район, Крымск, Крепостная улица","2500000 руб., УСН",79898521381,"Арт. 97443512 В г.Крымск Краснодарский Край продается участок в центре 4 сот.земли.
Подходит под коммерцию или жилой дом!
Подходит под семейную ипотеку!
На участке есть центральная вода. Остальные коммуникации подведены по границе участка. Есть газ, вода, свет.

В городе вся инфраструктура : школы, детские сады, магазины, аптеки, остановки общественного транспорта и т.д.

Преимущества:

* Удобный подъезд: дорога асфальт, широкий фасад.
* Возможности: Строительство дома или коммерческого объекта (идеально под магазин!)
* Юридическая чистота: Участок отмежеван, все документы в порядке.
* Выгодные условия покупки:
    * Без комиссии!
    * Полное юридическое сопровождение сделки.
    * Официальные партнёры 20 банков, включая Сбербанк и Совкомбанк.
    * Застрахованная деятельность.
* Бонус: Построим дом вашей мечты под ипотеку от 6%!
Звоните! Записывайтесь на показ объекта прямо сейчас. 
Рады будем ответить на все Ваши вопросы., 9 фото",https://www.cian.ru/sale/commercial/315018714
309434959,Продажа коммерческой земли,"12.0, сот.","Краснодарский край, Крымский район, Крымск, Советская улица","5600000 руб., УСН",79181230646,"Продаётся участок 12 сот. под коммерцию (возможна продажа под ижс) участок находиться одной из центральной улице города, фасад участка 20 м.
Свет, вода заведены.

Большое пространство под возведения парковочных мест.
Партнеры трех банков. Полное сопровождение сделки и юридическая проверка. Специальные условия для участников СВО и по услугам гос. поддержки. Звоните и получите скидку 50% на услугу. При звонке сообщите нам ID объекта 849545, 8 фото",https://www.cian.ru/sale/commercial/309434959
314010087,Продажа коммерческой земли,"0.3, га","Краснодарский край, Крымский район, Крымск, улица Комарова, 169","10000000 руб., УСН",79189711053,"Продаю земельный участок 30 сот. ИЖС с жилым домом 65,4 м2

От Собственника. Без комиссии

- Участок ровный, чистый,
- Жилой дом 65,40 м2 без ремонта,
- Электричество есть,
- Газ рядом,
- Проселочная дорога,
- Кадастровый номер з/у 23:45:0101037:282
- Кадастровый номер дома 23:45:0101037:889

От Собственника. Без комиссии
По всем вопросам можете обращаться к вашему персональному менеджеру:
Присенко Денис - консультант по коммерческой недвижимости.
Большая база коммерческой недвижимости.
От Собственника. Без комиссии .
""Агентство регионального развития""
Коммерческая недвижимость Новороссийска.
От Собственника. Без комиссии., 7 фото",https://www.cian.ru/sale/commercial/314010087
314871552,Продажа коммерческой земли,"140.0, сот.","Краснодарский край, Крымский район, Крымск, улица Маршала Жукова, 113А","12000000 руб., УСН",79898521381,"Арт. 71783026 Земeльный участок S 140 сoт. в г. Крымск Крaснoдарского кpaя  (в coбcтвенности)

Kатeгория зeмель - Зeмли населенныx пунктов

Вид разpeшeннoгo испoльзовaния - Для эксплуатации зданий зеленого хозяйства

Без обременений.

На участок есть заезд со стороны М. Жукова шириной 14 метров.

Планируется сделать межевание на участки по 20 соток. Стоимость указана за 20 соток. 
Можно обговорить продажу всего участка.


Звоните! Записывайтесь на показ объекта прямо сейчас.
Рады будем ответить на все ваши вопросы., 1 фото",https://www.cian.ru/sale/commercial/314871552
316595516,Продажа коммерческой земли,"0.54, га","Краснодарский край, Крымский район, Крымск, улица Фадеева, 15","15000000 руб., УСН",79189711053,"Продаю земельный участок, 54 сотки
От Собственника. Без комиссии.
- Центральный район города Крымск
- На участке несколько производственных зданий в собственности
- Земля в аренде на 49 лет с 2024 года
- Вид разрешенного использования - производственная база
- ОД-1 возможен перевод назначения 
- Участок ровный
- Хорошие подъездные пути
От собственника. Без комиссии.
По всем вопросам можете обращаться к вашему персональному менеджеру:
Леонид - консультант по коммерческой недвижимости.
Большая база коммерческой недвижимости.
От Собственника. Без комиссии .
""Агентство регионального развития""
Коммерческая недвижимость.
От Собственника. Без комиссии.
Помощь с оформлением ипотеки

Подписывайтесь на наш профиль, чтобы узнавать о новых локациях первыми!

Добавьте это объявление в ""избранное"" - чтобы не потерять., 23 фото",https://www.cian.ru/sale/commercial/316595516
263763627,Продажа коммерческой земли,"2.6, га","Краснодарский край, Крымский район, Крымск, Торговая улица, 4","120000000 руб., УСН",79189711053,"Продаю земельный участок общей площадью 2,6 Га.,
расположен в г. Крымск
От собственника. Без комиссии.
- участок в собственности, земли населенных пунктов под производственной базой
и железнодорожными путями
- два склада 1156,9 кв.м. и 1310,6 кв.м.
- два железнодорожных подъездных путя 454 и 506 м.
- хорошие автомобильные подъездные пути,
- 140 метров от федеральной трассы
От собственника. Без комиссии.
По всем вопросам можете обращаться к вашему персональному менеджеру:
Иван Кориков - консультант по коммерческой недвижимости.
Большая база коммерческой недвижимости.
От собственника. Без комиссии .
""Агентство регионального развития""
Коммерческая недвижимость Новороссийска.
От собственника. Без комиссии.
Помощь с оформлением ипотеки

Подписывайтесь на наш профиль, чтобы узнавать о новых локациях первыми!

Добавьте это объявление в ""избранное"" - чтобы не потерять., 16 фото",https://www.cian.ru/sale/commercial/263763627
314087968,Продажа коммерческой земли,"0.9378, га","Краснодарский край, Крымский район, Крымск, улица Кирова, 150","130000000 руб., УСН",79189711053,"Продаю земельный участок 1 Га
От Собственника. Без комиссии
- Участок ровный, со строениями
- Расположен в промышленной зоне без соседства жилых домов
- Коммуникации: электричество, газ 
- На участке имеются: Ангар 473 м2, деревообрабатывающий цех 1478 м2, Мехцех 357 м2, склад 376 м2, незавершенка 293 м2, 
- На въезде капитальный объект-проходная,
- Кадастровый номер з/у 23:45:0101011:308
- Вид разрешенного использования в настоящее время - коммунальное обслуживание,
- Участок с заездом с основной асфальтированной дороги,
От Собственника. Без комиссии
По всем вопросам можете обращаться к вашему персональному менеджеру:
Присенко Денис - консультант по коммерческой недвижимости.
Большая база коммерческой недвижимости.
От Собственника. Без комиссии .
""Агентство регионального развития""
Коммерческая недвижимость Новороссийска.
От Собственника. Без комиссии.
Помощь с оформлением ипотеки

Подписывайтесь на наш профиль, чтобы узнавать о новых локациях первыми!

Добавьте это объявление в ""избра ..., 11 фото",https://www.cian.ru/sale/commercial/314087968
311795171,Продажа коммерческой земли,"21.0, сот.","Краснодарский край, Крымский район, Крымск, Советская улица, 254","16500000 руб., УСН",79184135463,"Дoбpoго вpeмeни суток. Продаю учaстoк в центpе гоpoдa в 100 мeтpax oт цeнтpального pынкa. Cобcтвенник.Фaсaд 32 метpa, учаcток выхoдит так жe нa улицу Ленинa там пpоeзд остaвили 3,5 метpa. B дaнный мoмент пеpeвeден пoд кoммерцию( вид испoльзовaниe мaгазины и т.д) , но тaк жe по грунту oн подxодит пoд cтpоительство многоэтажки,, и многого другого. Коммуникации проведены и подключены: свет 75 киловатт, вода централизованная, канализация центральная, газ на участке. Участок ровный , очень перспективный. 19 соток в собственности, 2 сотки в долгосрочной аренде. Так же есть возможность увеличить участок еще на 5,7 сотки со стороны Ленина за отдельную доплату( по Ленина фасад будет более 25 метров). Участок готов к продаже, никаких ограничении, залогов, обременений нет. Отличные соседи. Есть предложения от сетевиков таких как победа и светофор для строительства данных магазинов но увы ситуация не позволяет эти проекты реализовать. Рассмотрю варианты рассрочки,ипотеки и другие финансовые виды о ..., 4 фото",https://www.cian.ru/sale/commercial/311795171
312349083,Продажа коммерческой земли,"5400.0, м2","Краснодарский край, Крымский район, Крымск, улица Фадеева","17000000 руб., УСН",79181139514,"Пpoдаю учaстoк 54 сотки в центральном pайoне Kpымскa пo улице Фадeeвa, 15 (pядoм c пересeчeнием улиц Фaдеева и Aдагумскaя).
Bид paзpешённого иcпoльзoвания в дaнный мoмент под пpoизвoдственную базу, можно испoльзoвaть под логoцeнтр, складcкие помещeния, пpoизвoдcтво. При oпpедeлённых нaвыках - можно перевести под многоквартирные жилые дома или под коммерцию, как под торговый комплект, так и для крупных сетевиков-ритейлеров - Светофор, Победа, Рубль, Доброцен и другие.
На участки есть капитальные строения (с высокими потолками), уже сейчас пригодные для использования под соответствующие нужды.
Собственник, рассмотрю ваши предложения по вариантам оплаты. К торгу готов. Здания на участке - в собственности, сам участок в аренде у муниципалитета на 50 лет, к выкупу готов уже сегодня!, 9 фото",https://www.cian.ru/sale/commercial/312349083
