ID  объявления,Тип,Площадь,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
313864490,Продажа коммерческой земли,"4.6, сот.","Курганская область, Курган, улица МАКСИМА ГОРЬКОГО, 80","7500000 руб., УСН",79823953625,"Продается земельный участок в центре города общей площадью 4.6 сот.м предназначен для ИЖС.
Центр города
В шаговой доступности остановки общественного трансопрта
Возможность подключения к городским коммуникациям (водоснабжение, канализация, электричество)
автомобильный и пешеходный трафик
подъездные пути
электроэнергия - 50 кВТ
газ
По всем интересующим вопрсам обращайтесь к специалисту компании Александру.


Арт. 95530111, 1 фото",https://www.cian.ru/sale/commercial/313864490
312871325,Продажа коммерческой земли,"14.0, сот.","Курганская область, Курган, улица Красина, 55","16000000 руб., УСН",79126516975,"Продается земельный участок под застройку. По проекту предполагается магазин продовольственных товаров площадью 450 м2., 3 фото",https://www.cian.ru/sale/commercial/312871325
320161104,Продажа коммерческой земли,"4.04, сот.","Курганская область, Курган, Курганская улица","43000 руб., УСН",79823951947,"Данные получены с сайта ГИС Торги.
земельный участок с кадастровым номером 45:25:020102:1073, площадью 404 кв. м, с разрешенным использованием - ведение садоводства, расположенный по адресу: г. Курган, СНТ ""Малиновка 8"", участок 5, 1 фото",https://www.cian.ru/sale/commercial/320161104
320161107,Продажа коммерческой земли,"3.69, сот.","Курганская область, Курган, Энергостроитель СТ, 39","95000 руб., УСН",79823951947,"Данные получены с сайта ГИС Торги.
земельный участок с кадастровым номером 45:25:080105:530, площадью 369 кв. м, с разрешенным использованием - для ведения садоводства, расположенный по адресу: г. Курган, СНТ ""Энергостроитель"", участок 39., 1 фото",https://www.cian.ru/sale/commercial/320161107
320340690,Продажа коммерческой земли,"4.01, сот.","Курганская область, Курган, с. Зайково","112100 руб., УСН",79129708028,"Данные получены с сайта ГИС Торги.
Поручение: 74/2658. Собственник: Ермакова (Бадертдинова) И.А., 1 фото",https://www.cian.ru/sale/commercial/320340690
320161106,Продажа коммерческой земли,"8.06, сот.","Курганская область, Курган, Земляничная поляна СНТ, 41","125000 руб., УСН",79823951947,"Данные получены с сайта ГИС Торги.
земельный участок с кадастровым номером 45:25:010202:1003, площадью 806 кв. м, с разрешенным использованием - ведение садоводства, расположенный по адресу: г. Курган, СНТ ""Земляничная поляна"" участок 43, 1 фото",https://www.cian.ru/sale/commercial/320161106
320602850,Продажа коммерческой земли,"16.49, сот.","Курганская область, Курган, с. Зайково, Новая улица, 29","285000 руб., УСН",79823951947,"Данные получены с сайта ГИС Торги.
земельный участок с кадастровым номером 45:25:010306:1579, площадью 1649 кв. м, с разрешенным использованием - для индивидуального жилищного строительства, расположенный по адресу: г. Курган, мкр. Зайково, ул. Новая, участок 29а, 1 фото",https://www.cian.ru/sale/commercial/320602850
320602435,Продажа коммерческой земли,"17.56, сот.","Курганская область, Курган, с. Зайково, Запрудная улица, 24","273000 руб., УСН",79823951947,"Данные получены с сайта ГИС Торги.
земельный участок с кадастровым номером 45:25:010306:1582, площадью 1756 кв. м, с разрешенным использованием - для индивидуального жилищного строительства, расположенный по адресу: г. Курган, мкр. Зайково, ул. Запрудная, участок 26, 1 фото",https://www.cian.ru/sale/commercial/320602435
320602428,Продажа коммерческой земли,"10.21, сот.","Курганская область, Курган, пос. Южный, улица Черноморская, 22","256000 руб., УСН",79823951947,"Данные получены с сайта ГИС Торги.
земельный участок с кадастровым номером 45:25:100401:752, площадью 1021 кв. м, с разрешенным использованием - для индивидуального жилищного строительства, расположенный по адресу: г. Курган, пос. Южный, ул. Черноморская, участок 26, 1 фото",https://www.cian.ru/sale/commercial/320602428
320602849,Продажа коммерческой земли,"19.99, сот.","Курганская область, Курган, с. Зайково, Школьная улица, 82А","346000 руб., УСН",79823951947,"Данные получены с сайта ГИС Торги.
земельный участок с кадастровым номером 45:25:010306:1574, площадью 1999 кв. м, с разрешенным использованием - для индивидуального жилищного строительства, расположенный по адресу: г. Курган, мкр. Зайково, ул. Школьная, участок 78а, 1 фото",https://www.cian.ru/sale/commercial/320602849
320161109,Продажа коммерческой земли,"14.71, сот.","Курганская область, Курган, пос. Южный, улица 1-я Камышная, 34","307000 руб., УСН",79823951947,"Данные получены с сайта ГИС Торги.
земельный участок с кадастровым номером 45:25:100401:747, площадью 1471 кв. м, с разрешенным использованием - для индивидуального жилищного строительства, расположенный по адресу: г. Курган, пос. Южный, ул. 1-я Камышная, участок 32, 1 фото",https://www.cian.ru/sale/commercial/320161109
320161108,Продажа коммерческой земли,"13.41, сот.","Курганская область, Курган, улица 8 Райсъезда, 3","394000 руб., УСН",79823951947,"Данные получены с сайта ГИС Торги.
земельный участок с кадастровым номером 45:25:090224:1547, площадью 1341 кв. м, с разрешенным использованием - ведение садоводства, расположенный по адресу: г. Курган, ул. 8 Райсъезда участок 3, 1 фото",https://www.cian.ru/sale/commercial/320161108
320399029,Продажа коммерческой земли,"10.4, сот.","Курганская область, Курган, Микрорайон Чистое Поле, улица Смоленская, 28","448000 руб., УСН",79823951947,"Данные получены с сайта ГИС Торги.
земельный участок с кадастровым номером 45:25:030202:1693, площадью 1040 кв. м, с разрешенным использованием - для индивидуального жилищного строительства, расположенный по адресу: г. Курган, пос. Чистое поле, ул. Смоленская, участок 28, 1 фото",https://www.cian.ru/sale/commercial/320399029
193560420,Продажа коммерческой земли,"20.0, га","Курганская область, Курган","400000 руб., УСН",79125711300,"Разрешенное использование КФХ , 40% можно застроить . Примыкает к деревни Осиновка, на берегу реки Чернавка. Плодородная земля, лес, живописное место. Возможен обмен. Рассмотрим все варианты. Торг.",https://www.cian.ru/sale/commercial/193560420
320602433,Продажа коммерческой земли,"11.26, сот.","Курганская область, Курган, переулок Весенний, 9","493000 руб., УСН",79823951947,"Данные получены с сайта ГИС Торги.
земельный участок с кадастровым номером 45:25:020201:2645, площадью 1126 кв. м, с разрешенным использованием - для индивидуального жилищного строительства, расположенный по адресу: г. Курган, пос. Левашово, пер. Весенний, участок 2а, 1 фото",https://www.cian.ru/sale/commercial/320602433
320399033,Продажа коммерческой земли,"12.09, сот.","Курганская область, Курган, Микрорайон Чистое Поле, улица Мирная, 47","515000 руб., УСН",79823951947,"Данные получены с сайта ГИС Торги.
земельный участок с кадастровым номером 45:25:030202:1698, площадью 1209 кв. м, с разрешенным использованием - для индивидуального жилищного строительства, расположенный по адресу: г. Курган, пос. Чистое поле, ул. Мирная, участок 39, 1 фото",https://www.cian.ru/sale/commercial/320399033
320602431,Продажа коммерческой земли,"15.45, сот.","Курганская область, Курган, переулок Весенний, 9","633000 руб., УСН",79823951947,"Данные получены с сайта ГИС Торги.
земельный участок с кадастровым номером 45:25:020201:2635, площадью 1545 кв. м, с разрешенным использованием - для индивидуального жилищного строительства, расположенный по адресу: г. Курган, пос. Левашово, пер. Весенний, участок 1б, 1 фото",https://www.cian.ru/sale/commercial/320602431
320602434,Продажа коммерческой земли,"8.38, сот.","Курганская область, Курган, улица Крупской, 107","605000 руб., УСН",79823951947,"Данные получены с сайта ГИС Торги.
земельный участок с кадастровым номером 45:25:040613:879, площадью 838 кв. м, с разрешенным использованием - для индивидуального жилищного строительства, расположенный по адресу: г. Курган, ул. Крупской, участок 107, 1 фото",https://www.cian.ru/sale/commercial/320602434
320602430,Продажа коммерческой земли,"15.45, сот.","Курганская область, Курган, пос. Левашово, улица Угловая, 7","633000 руб., УСН",79823951947,"Данные получены с сайта ГИС Торги.
земельный участок с кадастровым номером 45:25:020201:2634, площадью 1545 кв. м, с разрешенным использованием - для индивидуального жилищного строительства, расположенный по адресу: г. Курган, пос. Левашово, ул. Угловая, участок 11, 1 фото",https://www.cian.ru/sale/commercial/320602430
