ID  объявления,Тип,Площадь,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
319735258,Продажа коммерческой земли,"13.0, га","Курская область, Курск, Гремяченская улица, 6","1200000000 руб., УСН",+79230718136,"Предлагаю  в продажу земельный участок под строительство жилого квартала  расположенного по адресу г. Курск, ул. Гремяченская, 6.
Кадастровый номер земельного участка: 46:29:102123:1 (Земля в собственности)
Площадь участка 134 668 кв.м.
Вид разрешенного использования: жилые многоквартирные дома высотой до 75 м. (Ж4) -220 000 кв.м.
Коммуникации электроснабжение, водопровод, канализация, центральное отопление, связь
(действующие договора)
Электроснабжение - фактическое присоединение 12 МВт (несколько ТП).
Отопление будет реализовано через строительство газовой котельной.
Газ подведен на участок для целей отопления из расчета 250 000 м2 застройки жилья .
ГРП на участке с необходимым лимитом на газ.
Как альтернатива - есть труба 900 м для теплоснабжения ( на балансе застройщика ) с
возможностью подключения к городским ресурсным операторам . Данная труба осталась от
отопления завода и ее достаточно для теплоснабжения.
Вода и канализование.
Есть трассы и действующие договоры с городскими ком ..., 16 фото",https://www.cian.ru/sale/commercial/319735258
320318081,Продажа коммерческой земли,"26.0, сот.","Курская область, Курск, улица Софьи Перовской, 18","80000000 руб., УСН",+79102108538,"Продaeтcя земeльный учaсток в цeнтpe г. Куpcкa, расположен на пepесечeнии ул. Гайдара и ул. С.Перовской.
Кадастровый номер: 46:29:102256:894.
Вид разрешенного использования: для размещения, эксплуатации, обслуживания, строительства многоквартирного жилого дома.

Разработана концепция строительства, эскизный проект, объемно-планировочные и архитектурные решения. Согласован АГО. 
Получено ТУ на электроснабжение, теплоснабжение, водоснабжение, водоотведение, сети связи.
Стоимость 80 млн. руб., 1 фото",https://www.cian.ru/sale/commercial/320318081
318894513,Продажа коммерческой земли,"6.0, сот.","Курская область, Курск, Нижняя Набережная улица, 11","5200000 руб., УСН",+79102108145,"Арт. 107973714  Местоположение: Центр города
 Отличная транспортная доступность
 Идеально подходит для производственных предприятий, складских помещений, логистических центров.

На территории участка расположены боксы гаражного типа, оформлены в собственнось. 

 Привлекательная цена — возможность выгодного вложения капитала!

 Преимущества участка:

-  Центральное расположение обеспечивает удобное сообщение с основными магистралями и городскими объектами инфраструктуры.
-  Возможность быстрого подключения к инженерным коммуникациям.
-  Простор для  расширения бизнеса.


Свяжитесь с нами прямо сейчас и узнайте больше деталей о данном участке!, 15 фото",https://www.cian.ru/sale/commercial/318894513
320008041,Продажа коммерческой земли,"184.0, сот.","Курская область, Курск","7700000 руб., УСН","+79103112471, +79183814869","ОБЪЕКТ 63416 Продается участок 1.84 га промназначения! 
Участок правильной формы.находится рядом с асфальтированной дорогой, есть возможность подключения газа и электричества!
Кадастровый номер участка 46:11:121204:54
Быстрый выход на сделку, полное юридическое сопровождение!
Торг присутствует!!!, 1 фото",https://www.cian.ru/sale/commercial/320008041
304463691,Продажа коммерческой земли,"35.0, сот.","Курская область, Курск, Гремяченская улица, 8","8050000 руб., УСН",+79102126365,"Арт. 69112704 Продам земельный участок пром.назначения 35 соток (есть возможность увеличения до 40 соток) по очень  привлекательной цене : 230 000 рублей за 1 сотку!!!!Все коммуникации. Участок огорожен с 3-х сторон.Асфальт. Хорошая транспортная развязка., 6 фото",https://www.cian.ru/sale/commercial/304463691
316629224,Продажа коммерческой земли,"19.6, сот.","Курская область, Курск, улица Карла Либкнехта, 13","19620000 руб., УСН",+79191308565,"Продается земельный участок площадью 19,6 сот., со строениями, по адресу: Курская обл., г. Курск, ул. Карла Либкнехта, 13

Участок расположен в центральной части города;
Первая линия по ул. Карла Либкнехта;
Вид разрешенного использования - для производственно-хозяйственной деятельности;
Участок ровный без перепадов высот, правильной формы;
На земельном участке расположены здания - 152.8 кв.м и 232,6 квм;
Выделено  электрической энергии - 35 кВт;
Газоснабжение - на участке;
Водоснабжение - на участке;
Водоотведение - канализация;
Хорошие подъездные пути., 11 фото",https://www.cian.ru/sale/commercial/316629224
304466375,Продажа коммерческой земли,"104.48, сот.","Курская область, Курск, улица Энгельса","25000000 руб., УСН",+79102126365,"Арт. 69112354 В продаже уникальный земельный участок, площадью 1,05 га, расположенный на 1-й линии по ул. Энгельса в г. Курске!
Описание:
- Участок правильной прямоугольной формы;
- Размеры участка: 80х130 м
;- Круглогодичный асфальтированный подъезд;
- Категория земель - земли населенных пунктов;
- Подходит для строительства предприятий промышленного назначения;для размещение объектов розничной торговли; оптовой торговли; общественного питания; бытового обслуживания; для размещения спортивных комплексов; типографии, издательства и редакционных офисов; объектов культуры, искусства, кроме специальных парков; административных и офисных объектов; общественных туалетов; коммерческих объектов, связанных с обслуживанием населения; коммерческих объектов, не связанных с проживанием населения; для размещения объектов для обслуживания транспорта; для размещения складских объектов, мастерских. сборочных цехов; сооружений связи; комплексов аттракционов, луна-парков, аквапарков, танцзалов, дискотек ..., 6 фото",https://www.cian.ru/sale/commercial/304466375
304788334,Продажа коммерческой земли,"360.0, сот.","Курская область, Курск, проспект Победы","25000000 руб., УСН",+79102126365,"Арт. 69112642 Продажа уникального земельного участка, площадью 3,6 га,расположенного на 1-й линии по ул. Карла Маркса в г. Курске! Направление движения  из г. Курска в Москву. - Участок правильной прямоугольной формы;- Размеры участка 180х200 м;- Круглогодичный асфальтированный подъезд. - Категория земель - земли населенных пунктов;- Подходит для предприятия промышленного назначения.- На участке расположен складской ангар 177 кв м в собственности.- Коммуникации : газ высокого давления, электричество, водоснабжение и водоотведение.  Возможность подключения к центральным сетям водоснабжения.В близкой доступности вся инфраструктура (школы, детские сады, сетевые магазины, отделение Сбербанка, аптеки).Можно перевести в ИЖС для строительства малоэтажной жилой застройки., 4 фото",https://www.cian.ru/sale/commercial/304788334
306822247,Продажа коммерческой земли,"208.2, сот.","Курская область, Курск, Первомайская улица, 141","10000 руб., УСН",+79102135773,"Продается либо сдается в аренду  участок, расположенный в городе Курске, Кадастровый номер 46;29:101045:30 расположенное на нем здание 2963,9 кв. метров, кадастровый номер 46:29:101045:253, скважина 2 шт. и КТП - 500 кв.м. Цена договорная.",https://www.cian.ru/sale/commercial/306822247
307639452,Продажа коммерческой земли,"30.0, сот.","Курская область, Курск, Экспедиционная улица","1650000 руб., УСН",+79107314465,"Продам склад в 30кв.м на участке пром. назначения 30 соток, 2 фото",https://www.cian.ru/sale/commercial/307639452
313619922,Продажа коммерческой земли,"6.0, сот.","Курская область, Курск, Береговая улица","2000000 руб., УСН",+79807003062,"Продам земельный участок в историческом центре г. Курска (ул. Береговая). Долгосрочная аренда, 46:29:102292:95, участок свободный от построек",https://www.cian.ru/sale/commercial/313619922
225214644,Продажа коммерческой земли,"25.0, сот.","Курская область, Курск, Силикатный проезд, 8","3800000 руб., УСН",+79102704261,"Кадастровый номер участка: 46:29:103168:13
Земля промышленного назначения. Площадь 25 соток. 
На участке имеется подвальное помещение 720 кв.м, высота потолков 5 метров, 5 фото",https://www.cian.ru/sale/commercial/225214644
190160308,Продажа коммерческой земли,"11.5, га","Курская область, Курск, улица Энгельса","7000000 руб., УСН",+79102724605,"Продам право действующей аренды до 2023 года на участок ( возможно оформление в собственность )- под строительство базы отдыха, участок находится в 10 минутах езды до центра города Курска, месторасположение в самом живописном месте на берегу реки Сейм, общая площадь 11,5 Га. Рядом с участком асфальтированная дорога и все необходимые коммуникации. Павлов Андрей Владимирович - прямой арендатор, телефон для связи в объявлении., 1 фото",https://www.cian.ru/sale/commercial/190160308
315095208,Продажа коммерческой земли,"33.0, сот.","Курская область, Курск, улица 1-я Прогонная, 44А","10000000 руб., УСН",+79103104189,"Продаётся участок земли. Огорожен ( ЖБ плитами ), установлено видео наблюдение.
Категория земель:земли населённых пунктов.
Разрешённое использование: Для размещения промышленных объектов.
Кадастровый номер: 46:29:103051:15
Рассматриваем все варианты оплаты., 1 фото",https://www.cian.ru/sale/commercial/315095208
320648546,Продажа коммерческой земли,"4.24, сот.","Курская область, Курск, улица 2-я Тихая, 9",10489000 руб.,+79192713678,"Данные в объявлении обновляются раз в сутки. Подробные параметры объекта, актуальные данные и НДС посмотрите на сайте электронных торгов.",https://www.cian.ru/sale/commercial/320648546
284530934,Продажа коммерческой земли,"1.0, га","Курская область, Курск, проспект Победы","15000000 руб., УСН",+79192719836,"Отличный земельный участок вдоль дороги (выезд на федеральную трассу) для автосалона, заправки, автосервиса, придорожной гостиницы, выставки сельхозтехники, либо для размещения производства, завода, складских помещений/ангаров. Есть варианты приобретения с постройками (административное здание, склад) или земельного участка отдельно: площадь и стоимость обговаривается индивидуально при встрече, 1 фото",https://www.cian.ru/sale/commercial/284530934
192864538,Продажа коммерческой земли,"24.0, сот.","Курская область, Курск, переулок 2-й Кирпичный, 1А","19071588 руб., УСН",+79192719834,"Продам земельный участок коммерческого назначения (ИЖС), 24 сотки. Выезд на Карла Маркса. Рядом футбольное поле, волейбольная и детская площадка, остановка в 100 метрах.  Прекрасно подходит для жилой застройки и так же для коммерческой недвижимости. Асфальт и все коммуникации.
Зона Ж3. В собственности.
Кадастровый номер 46:29:102011:175, 3 фото",https://www.cian.ru/sale/commercial/192864538
312589264,Продажа коммерческой земли,"16.2, сот.","Курская область, Курск, квартал Торговый","21999000 руб., УСН",+79859610346,"Продам участок под строительство торгового центра.Кадастровый номер 46:11:111811:15797, 7 фото",https://www.cian.ru/sale/commercial/312589264
206484534,Продажа коммерческой земли,"32.0, сот.","Курская область, Курск, улица 50 лет Октября, 91","22000000 руб., УСН",+79102108107,"Продам земельный участок по адресу: г. Курск, ул. 50 лет октября, 91 Б, разрешение Ж 4 на руках а также (все) иные правоустанавливающие документы, вид использования - для строительства многоэтажного дома, собственность",https://www.cian.ru/sale/commercial/206484534
171225154,Продажа коммерческой земли,"50.0, сот.","Курская область, Курск, Театральная улица, 5А","35000000 руб., УСН",+79192125663,"Продаётся земельный участок! Все коммуникации подведены! 
На земельном участке расположено временное здание площадью 680 м2.
Возможно под многоэтажную застройку!!!
Стоимость земельного участка 1млн.рублей за сотку, ВОЗМОЖНО ЧАСТЯМИ!

На все интересующие вопросы отвечу по телефону!

Кадастровый номер 46:29:101041:6, 46:29:101041:962, 5 фото",https://www.cian.ru/sale/commercial/171225154
317319792,Продажа коммерческой земли,"30.0, сот.","Курская область, Курск, Пески мкр, переулок 2-й Литовский, 10Г","40000000 руб., УСН",+79102106310,"Продаётся земельный участок площадью 28 соток с объектом коммерческого назначения площадью 1258 м², расположенный на первой линии.
Удобный подъезд для коммерческого транспорта и беспрепятственный доступ сотрудников обеспечивают комфортные условия эксплуатации.
Данный объект идеально подходит для размещения офисного здания, магазина, производственного предприятия или иного коммерческого назначения в перспективном и развитом районе.
Ключевые характеристики:
- Земельный участок  28 соток. 
-Вид разрешенного использования;  Для размещения и эксплуатации объектов автомобильного транспорта и объектов дорожного хозяйства, Объекты придорожного сервиса, в соответствии с классификатором, утвержденным приказом Минэкономразвития России.- Помещение коммерческого назначения  1258 м².
- Выезд на центральную улицу с интенсивным трафиком.
- Удобная транспортная доступность, в том числе для грузового транспорта. 

На данный момент объект полностью сдан в аренду и приносит хорошую прибыль!
Объект предлаг ..., 6 фото",https://www.cian.ru/sale/commercial/317319792
260005952,Продажа коммерческой земли,"40.8, сот.","Курская область, Курск, улица Володарского","50000000 руб., УСН",+79103123560,"Продается земельный участок общей площадью 4083 кв. м в историческом центре г. Курска, пересечение ул. Можаевской и ул. Володарского, под строительство многоквартирных жилых домов. Имеется разработанный проект, прошедший экспертизу проектной документации, получено разрешение на строительство. Концепцию проекта можно посмотреть по ссылке ниже по ссылке, 1 фото",https://www.cian.ru/sale/commercial/260005952
286485767,Продажа коммерческой земли,"95.0, сот.","Курская область, Курск, улица Карла Маркса, 79А","57000000 руб., УСН",+79191305039,"Предлагаемый ЗУ площадью 0,95га состоит из нескольких земельных участков с кадастровыми номерами 46:29:102010:0080 и 46:29:102010:216, а так же из частей земельных участков 46:29:102010:0087, 46:29:102010:217, 46:29:102010:0085
Территориальная зона: Ж-3
Основной вид разрешенного использования: малоэтажная многоквартирная жилая застройка
Условно разрешенный вид использования: многоэтажная многоквартирная жилая застройка, 1 фото",https://www.cian.ru/sale/commercial/286485767
300532404,Продажа коммерческой земли,"57.3, сот.","Курская область, Курск, улица Дзержинского, 58","90000000 руб., УСН",+79102724883,"Продам земельный участок. Центр города. Адрес: г. Курск, ул. Дзержинского, д. 56. Кадастровый номер 46:29:102277:651. Вид разрешенного использования: Хранение автотранспорта. Градостроительная зона смешанной общественно-деловой застройки., 1 фото",https://www.cian.ru/sale/commercial/300532404
317917157,Продажа коммерческой земли,"413.0, сот.","Курская область, Курск, улица 1-я Строительная, 9","110000000 руб., УСН",+79102106310,"Продаётся производственный комплекс бывший Молочный завод. 
В собственности находятся земля и здания. Земельный участок общей площадью 41 265 кв.м. имеет разрешённое использование для производственно-хозяйственной деятельности. 

Данный объект также подойдет для любого вида коммерческой деятельности, производства или другого направления связанным с этим. 

На территории комплекса расположены следующие объекты:                                                                       Здания: - Производственное здание, площадью 9589,4 кв.м.                                                                   Производственное здание, площадью 1860,8 кв.м.                                                                                                  Склад I, площадью 882,7 кв.м. - Склад II, площадью 311,4 кв.м.                                                                                   Склад III, площадью 1009,9 кв.м.                                                                         ..., 6 фото",https://www.cian.ru/sale/commercial/317917157
286485106,Продажа коммерческой земли,"320.0, сот.","Курская область, Курск, улица Косухина, 51","192000000 руб., УСН",+79191305039,"Предлагаемый ЗУ площадью 3,2 га является частью земельного участка с кадастровым номером 46:29:102217:629
Территориальная зона: О-1
Основной вид разрешенного использования: для объектов общественно-делового значения
Условно разрешенный вид использования: многоэтажная многоквартирная жилая застройка, 2 фото",https://www.cian.ru/sale/commercial/286485106
