ID  объявления,Тип,Площадь,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
320100829,Продажа коммерческой земли,"5150.0, сот.","Республика Татарстан, Набережные Челны, улица Садоводческая, 16","29000000 руб., УСН",+79178710726,"Земельный участок площадью 5 150 кв.м. (собственность) 
АБК  (113,2 кв.м.) 
 Жд ветка (протяжённость ориентировочно 110 м. вместимость до 5 полувагонов) Бетонированная площадка Ограждение 
Видеонаблюдение 
 Бытовка 
 КПП
КТП 100 кВт, 7 фото",https://www.cian.ru/sale/commercial/320100829
317711270,Продажа коммерческой земли,"0.3, га","Республика Татарстан, Набережные Челны, Промкомзона кв-л","8500000 руб., УСН",+79178613683,"Характеристики:
- 1 линия
- Назначение земли - ИЖС
- Отсутствуют строения на участке
- Подъездные пути: Удобные подъездные пути
- Виды дорожного покрытия: Грунт
- Покрытие участка - грунт

Дополнительная информация:
Продается 2 участка по 30 соток
Цена указана за 1 участок
Земля в собственности 

Кадастровый номер:
1 уч- 16:39:021101:2574
2 уч-16:39:021101:2573
АРР0
По всем вопросам можете обращаться к представителю собственника: Рашитов Н (262), 11 фото",https://www.cian.ru/sale/commercial/317711270
319737666,Продажа коммерческой земли,"0.2, га","Республика Татарстан, Набережные Челны, улица Профильная, 20А","14000000 руб., УСН",+79178613683,"Характеристики:
- 2 линия

Дополнительная информация:
Продается земельный участок 20 соток
Отличная локация
Удобные подъездные пути
Бетонированная площадка
Огороженная территория
ВРИ: 6.0 под производственную деятельность, 6.9 склад
Земля в аренде от 2025года на 49 лет 
Низкая кадастровая стоимость
На участке имеется строение 1979 г. постройки, площадь 470 м.кв., можно сделать реконструкцию, окажем содействие
Выделенная мощность 100 кВт
Так же можно рассмотреть покупку вместе со смежным участком (0,6 га со зданием 1400 м.кв., мощность 100 кВт), цена обсуждается отдельно
АРР0
По всем вопросам можете обращаться к представителю собственника: Оксана Ш (272), 10 фото",https://www.cian.ru/sale/commercial/319737666
307136301,Продажа коммерческой земли,"0.1742, га","Республика Татарстан, Набережные Челны, Казанский проспект, 210А","19250000 руб., УСН",+79178613683,"Характеристики:
- 1 линия
- Имеются строения на участке
- Подъездные пути: Удобные подъездные пути
- Виды дорожного покрытия: Грунт
- Покрытие участка - грунт

Дополнительная информация:
В продаже З/У 1742м2 на первой линии , первой дороги, рядом с поворотом на Жилище.Категория земли:земли населённых пунктов.ВРИ:обслуживание автотранспорта. Подведены 50квт мощностей. Вода центральная, канализация септик. На территории участка уже построен склад 115м2 холодный оформлен в собственность.Земельный участок в аренде.
APP0
По всем вопросам можете обращаться к представителю собственника: Андрей М (256), 14 фото",https://www.cian.ru/sale/commercial/307136301
308894611,Продажа коммерческой земли,"0.12, га","Республика Татарстан, Набережные Челны, улица Машиностроительная, 29","28000000 руб., УСН",+79178613683,"От собственника! Без комиссии!
Характеристики:
- 1 линия

Дополнительная информация:
Продается участок 12 соток, первая линия с трассы М7!!!
Земля в собственности 
ВРИ под торговлю, общепит, быт. обслуживание 
Отличная локация для любого бизнеса!
Удобные подъездные пути
Бетонированная площадка
Электричество заведено
Возможность расширения участка
По всем вопросам можете обращаться к представителям собственника: 
Оксана Ш (272)
Гульнара Н (259)
Подписывайтесь на наш профиль, чтобы узнавать о новых локациях первыми!

Добавьте это объявление в ""избранное"" - чтобы не потерять., 10 фото",https://www.cian.ru/sale/commercial/308894611
320100432,Продажа коммерческой земли,"0.515, га","Республика Татарстан, Набережные Челны, улица Садоводческая, 16","30000000 руб., УСН",+79178613683,"Характеристики:
- 1 линия
- Коммуникации: Вода, Электричество, Централизованная система водоотведения
- Имеются строения на участке
- Подъездные пути: Удобные подъездные пути, Транспортная развязка, Ж/д ветка
- Виды дорожного покрытия: Асфальт, Бетон, Грунт
- Твердое покрытие участка

Дополнительная информация:
Продается земельный участок промышленного назначения, 5 150 кв.м.

- отапливаемый офис 113кв.м
- помещения и санузлы для рабочих
(собственность) 
- Ж/д ветка около 100 м вмещает 4-6 вагонов
 - территория забетонирована
- забор, круглосуточная охрана, камеры видеонаблюдения
- мощность ТП 100 кВт.


Всё в собственности, готово к продаже.
АРР0
По всем вопросам можете обращаться к представителю собственника: Елена Х (267), 12 фото",https://www.cian.ru/sale/commercial/320100432
303761097,Продажа коммерческой земли,"0.18, га","Республика Татарстан, Набережные Челны, проезд Тозелеш, 130","33000000 руб., УСН",+79178613683,"От собственника! Без комиссии!
Продаётся земельный участок площадью 1800м2
На территории
Холодный склад 168м2
Офисное помещение 31м2
Бетонированная площадка 800м2
Назначение земельного участка
4.1 - Деловое управление
6.9 - Склады
Земельный участок в аренде до 2065 года
APP0
По всем вопросам можете обращаться к представителям собственника: Оксана Ш (272)
Подписывайтесь на наш профиль, чтобы узнавать о новых локациях первыми!

Добавьте это объявление в ""избранное"" - чтобы не потерять., 16 фото",https://www.cian.ru/sale/commercial/303761097
312415615,Продажа коммерческой земли,"0.4, га","Республика Татарстан, Набережные Челны, проспект Мусы Джалиля, 7","35000000 руб., УСН",+79178613683,"От собственника! Без комиссии!
Характеристики:
- 1 линия
- Отсутствуют строения на участке
- Подъездные пути: Удобные подъездные пути, Транспортная развязка, Ж/д ветка
- Твердое покрытие участка

Дополнительная информация:
Продается земельный участок слева от ж/д вокзала, есть эскизный проект для строительства торгового центра. Дополнительная информация и эскизный проект предоставим по запросу.
APP0
По всем вопросам можете обращаться к представителю собственника:  Марина М

Подписывайтесь на наш профиль, чтобы узнавать о новых локациях первыми!

Добавьте это объявление в ""избранное"" - чтобы не потерять., 3 фото",https://www.cian.ru/sale/commercial/312415615
302963700,Продажа коммерческой земли,"0.51, га","Республика Татарстан, Набережные Челны, улица Профильная, 15","35000000 руб., УСН",+79178613683,"От собственника! Без комиссии!
Продается земельный участок промназначения.
* с капитальными и некапитальными постройками
* земельный участок 0,5 га в собственности
* на первой линии улицы Профильная
* позволяет покупателю продолжить существующий бизнес или организовать свой

На территории находится:
- производственное помещение 178 кв.м с оборудованием под полимерную покраску;
- большой производственный цех 408 кв.м, отапливаемый печью на дровах;
- производственное помещение 234 кв.м с оборудованием для работ по металлу;
- помещение под торговые точки, кафе, магазин или другое 440 кв.м в черновой отделке;
- отдельное помещение для охраны;
- холодные склады 168 кв.м;
- 2 бетонных бункера по 432 кв.м высотой 6 метров из высокопрочного бетона (подходят как фундамент для дополнительных построек);

По периметру камеры видеонаблюдения;
Территория огорожена.

Так же в стоимость продажи входит оборудование: погрузчик, сварочные станки, гильотина, покрасочная камера, оборудование для кованных и ..., 43 фото",https://www.cian.ru/sale/commercial/302963700
317143743,Продажа коммерческой земли,"0.25, га","Республика Татарстан, Набережные Челны, Казанский проспект, 253В","38000000 руб., УСН",+79178613683,"Продаётся двухэтажное отдельно стоящие здание на первой дороге
Отличные подъездные пути
Парковка
Рядом тц Казанский, магазин Находка, кафе Бахор
Кабинетная нарезка внутри здания
Потребность в косметическом ремонте присутствует
Отопление газ
Вода, канализация, санузел
Кабинеты светлые с окнами
Есть кондиционер
Видеонаблюдение+Земельный участок 2500м2 в аренде.
По всем вопросам можете обращаться к представителю собственника: Андрей М (256), 27 фото",https://www.cian.ru/sale/commercial/317143743
303762579,Продажа коммерческой земли,"2.0, га","Республика Татарстан, Набережные Челны, проезд Автосборочный, 17","39200000 руб., УСН",+79178613683,"Категория и виды разрешенного использования:
* Земли населенных пунктов
* Автомобильная промышленность
Участок ровной прямоугольной формы
Отличная локация для Вашего бизнеса
Объекты капитального строительства отсутствуют
Прекрасная транспортная доступность
Район Промзоны
Вдоль участка проходит асфальтированная дорога
Имеется техническая возможность подключения к сети газораспределения, электрическим сетям, централизованной системе холодного водоснабжения и водоотведения
Непосредственная близость к действующим производствам города
APP0
По всем вопросам можете обращаться к представителю собственника: Венера Ш (271), 10 фото",https://www.cian.ru/sale/commercial/303762579
317689478,Продажа коммерческой земли,"1.0008, га","Республика Татарстан, Набережные Челны, улица Промышленная, 117","50000000 руб., УСН",+79178613683,"Характеристики:
- 1 линия
- Коммуникации: Электричество
- Отсутствуют строения на участке
- Подъездные пути: Удобные подъездные пути
- Виды дорожного покрытия: Грунт
- Покрытие участка - грунт

Дополнительная информация:
В продаже два участка 76сот+32сот .Вид разрешения :Под промобьекты !Своя КТП на 1,2Мегават. Отличные подьездные с улицы Промышленная. Рассмотрим как продажу целиком или один участок отдельно. Можно рассмотреть рассрочку платежа на год с первоначальным взносом 20%.
АРР0
По всем вопросам можете обращаться к представителю собственника: Андрей М (256), Нияз Н (258), 12 фото",https://www.cian.ru/sale/commercial/317689478
316886910,Продажа коммерческой земли,"0.8, га","Республика Татарстан, Набережные Челны, проезд Хлебный, 28","50000000 руб., УСН",+79178613683,"От собственника! Без комиссии!
Характеристики:
- 1 линия
- Подъездные пути: Удобные подъездные пути
- Покрытие участка - грунт

Дополнительная информация:
Продается земельной участок в центре Промзоны г. Набережные Челны 
Пешей и транспортной доступности 
Возможность использования забетонированной площадки на соседней территории для маневра большегрузного транспорта 
Все коммуникации подведены
АРР0
По всем вопросам можете обращаться к представителю собственника: Елена Х (267) 
Подписывайтесь на наш профиль, чтобы узнавать о новых локациях первыми!

Добавьте это объявление в ""избранное"" - чтобы не потерять., 7 фото",https://www.cian.ru/sale/commercial/316886910
317701740,Продажа коммерческой земли,"0.864, га","Республика Татарстан, Набережные Челны, улица Машиностроительная, 84","60000000 руб., УСН",+79178613683,"Характеристики:
- 1 линия
- Коммуникации: Газ, Вода, Электричество, Септик, Централизованная система водоотведения
- Отсутствуют строения на участке
- Подъездные пути: Удобные подъездные пути, Транспортная развязка
- Виды дорожного покрытия: Грунт
- Покрытие участка - грунт

Дополнительная информация:
Первая линия
Коммуникации рядом
Получено разрешение на строительство  действующее
Склады
Можно строиться  все документы в порядке
АРР0
По всем вопросам можете обращаться к представителю собственника: Гульнара Н (259), Оксана Ш (272), Рашитов Н (262), 10 фото",https://www.cian.ru/sale/commercial/317701740
319855669,Продажа коммерческой земли,"1.0, га","Республика Татарстан, Набережные Челны, проезд Ремонтный, 56","61000000 руб., УСН",+79178613683,"Характеристики:
- 1 линия
- Коммуникации: Газ, Вода, Электричество
- Имеются строения на участке
- Подъездные пути: Удобные подъездные пути, Транспортная развязка
- Виды дорожного покрытия: Асфальт, Грунт, Бетон
- Твердое покрытие участка

Дополнительная информация:
Продается земельный участок промышленного назначения общей площадью 2 га, возможно поделить по 1 га

- участок забетонирован
- производственная база огорожена и под охраной
- имеются не капитальные строения
АРР0
По всем вопросам можете обращаться к представителю собственника: Елена Х (267), Оксана Ш (272), 16 фото",https://www.cian.ru/sale/commercial/319855669
317808507,Продажа коммерческой земли,"1.087, га","Республика Татарстан, Набережные Челны, тракт Мензелинский, 38/1","80000000 руб., УСН",+79178613683,"От собственника! Без комиссии!
Характеристики:
- 1 линия
- Коммуникации: Газ, Вода, Электричество, Септик, Централизованная система водоотведения
- Имеются строения на участке
- Подъездные пути: Удобные подъездные пути, Транспортная развязка
- Виды дорожного покрытия: Бетон
- Твердое покрытие участка

Дополнительная информация:
Продается земельный участок 
НА ПЕРВОЙ ЛИНИИ М7, ГАЗ!!! 
Рядом проходят ж/д пути 
Полностью бетонирован 
Включает в себя: 
1. 1 га промназначения под пром.базу 
Полностью бетонирована 
Электричество подведено, 
Мощности можно увеличить под покупателя 
Газ заведен 
По периметру установлено ограждение 
Территория освещена 
КПП 
Откатные ворота 
Заезд с М7 на участок возможен через территории АЗС и Индустриальный проезд 

По всем вопросам можете обращаться к представителям собственника: 
Гульнара (259)
Оксана (272)
Подписывайтесь на наш профиль, чтобы узнавать о новых локациях первыми!

Добавьте это объявление в ""избранное"" - чтобы не потерять., 9 фото",https://www.cian.ru/sale/commercial/317808507
303762580,Продажа коммерческой земли,"4.2, га","Республика Татарстан, Набережные Челны, проезд Автосборочный, 17","82500000 руб., УСН",+79178613683,"Категория и виды разрешенного использования:
* Земли населенных пунктов
* Автомобильная промышленность
Участок ровной прямоугольной формы
Отличная локация для Вашего бизнеса
Объекты капитального строительства отсутствуют
Прекрасная транспортная доступность
Район Промзоны
Вдоль участка проходит асфальтированная дорога
Имеется техническая возможность подключения к сети газораспределения, электрическим сетям, централизованной системе холодного водоснабжения и водоотведения
Непосредственная близость к действующим производствам города
APP0
По всем вопросам можете обращаться к представителю собственника: Венера Ш (271), 10 фото",https://www.cian.ru/sale/commercial/303762580
309862632,Продажа коммерческой земли,"0.5512, га","Республика Татарстан, Набережные Челны, проезд Хлебный","116000000 руб., УСН",+79178613683,"Характеристики:
- 2 линия
- Коммуникации: Газ
- Отсутствуют строения на участке
- Виды дорожного покрытия: Грунт
- Покрытие участка - грунт

Дополнительная информация:
Продается земельный участок в отличной локации, за Леруа Мерлен, имеются все коммуникации - вода, электричество, газ (грп на границе участка), мощность - 150 кВт, рядом действующие склады, производства, два заезда - с машиностроительной и с хлебного проезда
APP0
По всем вопросам можете обращаться к представителям собственника: 
Ленар Г (245), 11 фото",https://www.cian.ru/sale/commercial/309862632
318589818,Продажа коммерческой земли,"1.27, га","Республика Татарстан, Набережные Челны, улица Моторная, 24","127000000 руб., УСН",+79178613683,"Характеристики:
- 1 линия
- Земли специального назначения
- Коммуникации: Газ, Вода, Электричество
- Имеются строения на участке
- Подъездные пути: Удобные подъездные пути, Транспортная развязка

Дополнительная информация:
Топ-локация, напротив кип-мастер, завод двигателей и кузнечный завод, ттс, наиком , возможность разделить зем участок и сделать вторую въездную группу.
АРР0
По всем вопросам можете обращаться к представителю собственника: Рашитов Н (262), 13 фото",https://www.cian.ru/sale/commercial/318589818
199623582,Продажа коммерческой земли,"0.23, га","Республика Татарстан, Набережные Челны, проезд Производственный, 32","5800000 руб., УСН",+79874073386,"База напротив Кип.Мастера, в черте города, отличные подъездные пути , внутри база осфальтиравана, имеются ангары, хоз.блоки, офисное помещение , бытовки. Отличный вариант для производства, ремонта, склада. земля 23 сотки и на 49 лет.
торг уместен., 9 фото",https://www.cian.ru/sale/commercial/199623582
307526104,Продажа коммерческой земли,"3.25, га","Республика Татарстан, Набережные Челны, улица Металлургическая, 121","6000000 руб., УСН","+79872931129, +79872776283","Кадастровый номер 16:39:020901:454, 1 фото",https://www.cian.ru/sale/commercial/307526104
222040841,Продажа коммерческой земли,"1150.0, сот.","Республика Татарстан, Набережные Челны, кольцо Орловское","17849620 руб., УСН",+79872730570,"Перспективное вложение - по генплану будет жилая застройка!
Сейчас назначение с/х
В черте города!!!Остался последний участок!!! Рядом все участки проданы!!!
Кадастровые номера
16:39:100911:246
Земля 12 гектар в черте города на трассе м7 недалеко от орловского кольца и кладбища. За автосалоном БМВ и азс Автодорстрой на 1-й дороге.
Коммуникации все в радиусе 1км, на участке столбы электричества, КТП , газ рядом 300метров, теплотрасса проходит по участку, вода городская 300метров
Сейчас прокладывается дорога
Земля в собственности
Низкий налог!!!
Продается только целиком!
Возможны совместных проекты, инвестиции
Комиссия риэлторам
Варианты обмена. На обмен цена другая!
Возможен бартер на строительные материалы или услуги строительства дома, 1 фото",https://www.cian.ru/sale/commercial/222040841
320119385,Продажа коммерческой земли,"0.7, га","Республика Татарстан, Набережные Челны, улица Машиностроительная, 84В","25000000 руб., УСН",+79196279388,"Участок находится в идеальном месте г.Haбережных Чeлнов по пр. Вахитова и ул Машиностроителей (1 дорога). Готoвоe решение под склады, логистику и базу. Удобные подъездные пути.  Общая площадь земли  0,65 га, два отдельных участка (3330кв.м.+3150кв.м). Установлен частично забор, свои КТП. Получено разрешение на строительство. Звоните прямо сейчас — покажем объект лично. Это редкий вариант вблизи Челнов по такой низкой цене.",https://www.cian.ru/sale/commercial/320119385
314260470,"Продажа коммерческой земли, здание","3550.0, м2","Республика Татарстан, Набережные Челны, Казанский проспект, 51","45000000 руб., УСН",+79874068952,"Продается земля на 1-й линии трассы М-7! Заключен договор с Волго- Вятскуправтодор на съезд ( проект готовиться) Есть проект на здание делового администрирования 1500 м. Есть возможность подключить электричество до двух мегаватт!, 4 фото",https://www.cian.ru/sale/commercial/314260470
319663243,Продажа коммерческой земли,"42.95, сот.","Республика Татарстан, Набережные Челны, проспект Яшьлек, 2","70000000 руб., УСН",+79196474171,"Арт. 97524930 Продается земельный участок на 1 линий, в СОБСТВЕННОСТИ!
Площадь 4295 м2

Участок находится в черте города, на территорий 69 комплекса. На пересечений проспекта Яшьлек и улицы Машиностроительной.

Основные виды разрешенного использования земельного участка:
2.5 среднеэтажная жилая застройка
2.6 многоэтажная жилая застройка (высотная застройка)
2.7.1 хранение автотранспорта
3.1.2 административные здания организации, обеспечивающих предоставление коммунальных услуг
3.2.2 оказание социальной помощи населению
3.2.3 оказание услуг связи
3.2.4 общежития
3.3 бытовое обслуживание
3.4.1 амбулаторно- поликлиническое обсулживание
3.5.1 дошкольное,начальное и среднее общее образование
3.6.1 объекты культурно-досуговой деятельности
3.8.1 государственное управление
4.1 деловое управление
4.4 магазины, 2 фото",https://www.cian.ru/sale/commercial/319663243
316817876,Продажа коммерческой земли,"1.0754, га","Республика Татарстан, Набережные Челны, проспект Мира, 76","150000000 руб., УСН",+79869154898,"Продаются: здание и земельный участок ЧОУ Камский институт.                                                           Здание: 2х этажное, общая площадь 2705,50 кв.м, кадастровый номер: 16:52:070201:4741.                            Земельный участок: 10754 кв.м., категория земель: земли поселений, кадастровый номер: 16:52:070201:10.                                   
Адрес объекта: РТ, г.Набережные Челны, пр-т Мира, д.76., 5 фото",https://www.cian.ru/sale/commercial/316817876
