ID  объявления,Тип,Площадь,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
319318694,Продажа коммерческой земли,"9.5, га","Калужская область, Обнинск","237500000 руб., УСН",+79107076280,"Добрый день!
Предлагаем к приобретению права долгосрочной аренды на земельный участок площадью 9,5 га в промышленно развитом регионе Центральной России.

!!Продажа БЕЗ КОМИССИИ!!
Описание и фотографии соответствуют действительности.

ПРО ДОКУМЕНТЫ

 Права аренды оформлены до 2053 года.
 Договор аренды зарегистрирован, переуступка осуществляется в установленном порядке.
 Без обременений, споров и скрытых условий.
 Полный пакет документов предоставим по запросу.
 Готовы быстро выйти на сделку — юридически всё подготовлено.

*Арендатор не несёт расходы по земельному налогу, которые при 9,5 га могут составлять сотни тысяч рублей ежегодно. Это снижает фискальную нагрузку и упрощает управление активом. При этом, выкупить объекты можно в любой момент по установленной законом цене. (25% от кадастровой стоимости)

ПРО УЧАСТОК

 Площадь: 9,5 гектаров
 Категория: Земли промышленности и специального назначения
 Разрешённое использование: Размещение производственных, логистических и складских объек ..., 2 фото",https://www.cian.ru/sale/commercial/319318694
318300279,Продажа коммерческой земли,"20.0, га","Калужская область, Обнинск","399999999 руб., УСН",+79107076280,"Добрый день!
Предлагаем к приобретению права долгосрочной аренды на земельный участок площадью 20 га в промышленно развитом регионе Центральной России.

!!Продажа БЕЗ КОМИССИИ!!
Описание и фотографии соответствуют действительности.

ПРО ДОКУМЕНТЫ

 Права аренды оформлены до 2053 года.
 Договор аренды зарегистрирован, переуступка осуществляется в установленном порядке.
 Без обременений, споров и скрытых условий.
 Полный пакет документов предоставим по запросу.
 Готовы быстро выйти на сделку — юридически всё подготовлено.

*Арендатор не несёт расходы по земельному налогу, которые при 20 га могут составлять сотни тысяч рублей ежегодно. Это снижает фискальную нагрузку и упрощает управление активом. При этом, выкупить объекты можно в любой момент по установленной законом цене. (25% от кадастровой стоимости)

ПРО УЧАСТОК

 Площадь: 20 гектаров
 Категория: Земли промышленности и специального назначения
 Разрешённое использование: Размещение производственных, логистических и складских объектов ..., 2 фото",https://www.cian.ru/sale/commercial/318300279
314249461,Продажа коммерческой земли,"8.0, сот.","Калужская область, Обнинск, улица Победы, 22","4200000 руб., УСН",+79158926736,"Предлагается к продаже два соседних земельных участка в городе Обнинск, ул Победы, 22.

      Участок расположен на территории бывшего Детского сада. На соседних двух таких же участках уже есть коммерческое двухэтажное здание, возможна покупка и его.

      Коммуникации (свет, вода, газ)  по границе участка.

Площадь двух участков 8 соток. (по 4 сотки)Кадастровые номера: 40:27:030102:2313 и 40:27:030102:2314.

Категория земель: Земли населенных пунктов.Виды разрешенного использования: для строительства административно-офисного здания.

Инфраструктура:Рядом расположены: школа, детский сад, остановка общественного транспорта, торговый центр, офисные здания, налоговая, жд и авто вокзалы в шаговой доступности.

Документы уже проверены нашим юридическим отделом.

Бюро недвижимости ""АдресЪ"" основано в 2007 году. 

Поможем открыть ипотеку, использовать материнский капитал, сертификаты и другие субсидии. Быстрый выход на сделку. 
Звоните и приходите на просмотр!

Арт. 94676079, 5 фото",https://www.cian.ru/sale/commercial/314249461
307685710,Продажа коммерческой земли,"32.0, сот.","Калужская область, Обнинск, Киевское шоссе","21000000 руб., УСН",+79105415867,"Продаётся земельный участок промышленного назначения, расположен на 99-100 километре трассы М-3( киевское шоссе ). Вопросы по телефону. Кадастровый номер 40:03:066902:290, 6 фото",https://www.cian.ru/sale/commercial/307685710
306445747,Продажа коммерческой земли,"13.0, сот.","Калужская область, Обнинск, проспект Ленина, 185А","30000000 руб., УСН",+79107076639,"Продаётся земельный участок 13 соток. 
На нем находится здание автомойки и гараж на 2 подъемника.
Оперативный показ. 
Быстрый выход на сделку.
Олег Иванович- риелтор продавца., 7 фото",https://www.cian.ru/sale/commercial/306445747
254728475,Продажа коммерческой земли,"25.0, сот.","Калужская область, Обнинск, улица Блохинцева, 16","40000000 руб., УСН",+79190319498,"Продается участок земли со зданием в Обнинске.

Участок площадью 25 соток, расположен в старой части города возле Городского парка, между проспектом Ленина и улицей Пирогова. Кадастровый номер 40:27:020401:835.

Категория земель: земли населённых пунктов, разрешенное использование: Для размещения объектов, характерных для населенных пунктов. Возможное использование: под строительство многоквартирного дома.

На участке расположено здание площадью 350кв.м. под снос или реконструкцию. Заведены городские коммуникации: холодное водоснабжение, отопление, электроэнергия. 

Рядом развитая инфраструктура: детский сад, школа, парк, поликлиника, магазины и т.д. 

Для получения дополнительной информации позвоните нам по телефону.

Цена: 40 000 000 рублей. Торг возможен.

БЕЗ КОМИССИИ ! ! ! ООО ЮЗТАН, 9 фото",https://www.cian.ru/sale/commercial/254728475
295451368,Продажа коммерческой земли,"5.0, сот.","Калужская область, Обнинск, ГК Лада-2 тер., 14","2500000 руб., УСН",+79182524081,"Продается зем участок в Г.О Лада. Кабицино. 5 соток.Участок правильной формы примыкает к Гаражному обществу ,огороженный с большими воротами.Есть возможность завести эл-во.Можно использовать под разные виды производственной  деятельности.Заезд круглосуточный, 4 фото",https://www.cian.ru/sale/commercial/295451368
304875751,Продажа коммерческой земли,"7.5, сот.","Калужская область, Обнинск, улица Курчатова","11250000 руб., УСН","+79944435312, +79107076573","Продается участок 7.5 соток в центре города Обнинска Калужской области (остановка ЦИПК)!

Участок: 7.5 соток. Ровный участок, практически правильной формы, с отличным заездом и выездом с него. Категория земель: Земли населённых пунктов. Разрешенное использование по документам: для учебной деятельности. Основные виды разрешённого использования: хранение автотранспорта, предоставление коммунальных услуг, связь, отдых (рекреация), государственное управление, бытовое обслуживание, амбулаторно-поликлиническое обслуживание. КН участка: 40:27:030803:98.

Коммуникации: все центральные коммуникации, по границе участка  электричество, газ, водопровод, отопление. Интернет 4G.

Инфраструктура: участок находится в центре высокотехнологичного города, рядом находится остановка общественного транспорта ЦИПК. В пешей доступности  магазин Пятерочка, поликлиника, аптека, школа и все блага современного города.

Проведена юридическая проверка всех правоустанавливающих документов. Готовность к сделке 1.

Во ..., 13 фото",https://www.cian.ru/sale/commercial/304875751
243535723,Продажа коммерческой земли,"75.0, сот.","Калужская область, Обнинск, М-3 Украина, 103-й км","13500000 руб., УСН",+79182524081,Продаётся земельный участок промышленного назначения в близи киевского шоссе в районе Обнинска в не жилой зоне. Участок можно отмежевать. Эл во по границе газ можно завести .,https://www.cian.ru/sale/commercial/243535723
260016740,Продажа коммерческой земли,"360.0, сот.","Калужская область, Обнинск, М-3 Украина, 100-й км","23000000 руб., УСН",+79182524081,Продается зем участок под производство 3.6 га. в районе Маланьино не далеко от киевской трассы. Под производственный комплекс.,https://www.cian.ru/sale/commercial/260016740
