ID  объявления,Тип,Площадь,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
285695452,Продажа коммерческой земли,"4000.0, сот.","Орловская область, Орел, Новосильское шоссе, 2А","46000000 руб., УСН",79850258458,"Продается земельный участок в городской черте (более 320 тыс. населения). Расположен недалеко от центра города и ЖД вокзала.

Площадь 23 га (2 300 соток)

Зона производственно-коммунальных объектов IV класса опасности.

(Административные здания, Заправка транспортных средств, Автомобильные мойки, Производственная деятельность,Тяжелая промышленность, Автомобилестроительная промышленность, Легкая промышленность, Фармацевтическая промышленность,
Пищевая промышленность, Строительная промышленность,
Энергетика, Склады, Научно-производственная деятельность, Железнодорожные пути, Стоянки транспорта общего пользования, Обеспечение вооруженных сил, Ритуальная деятельность, Магазины, Складские площадки, Стационарное медицинское обслуживание и др.)

Коммуникации по границе участка,есть подъезд в центр участка, возможно строительство второй дороги с Новосильского шоссе 500 метров.

Примерные размеры 300 м на 700 м. Участок ровный перепад высот 2-4 метра на 700 метров протяженности.

Граничит с жел ..., 6 фото",https://www.cian.ru/sale/commercial/285695452
290654167,Продажа коммерческой земли,"1600.0, сот.","Орловская область, Орел, Новосильское шоссе, 10И","84000000 руб., УСН",79850258458,"Продается земельный участок в городской черте (более 320 тыс. населения). Расположен недалеко от центра города и ЖД вокзала.

Площадь 16 га (1 600 соток) возможно уменьшение или увеличение площади

Зона производственно-коммунальных объектов IV класса опасности.

(Административные здания, Заправка транспортных средств, Автомобильные мойки, Производственная деятельность,Тяжелая промышленность, Автомобилестроительная промышленность, Легкая промышленность, Фармацевтическая промышленность,
Пищевая промышленность, Строительная промышленность,
Энергетика, Склады, Научно-производственная деятельность, Железнодорожные пути, Стоянки транспорта общего пользования, Обеспечение вооруженных сил, Ритуальная деятельность, Магазины, Торговые центры, Заводы, Складские площадки, Стационарное медицинское обслуживание и др.)

Коммуникации по границе участка, заезд с Новосильского шоссе.

Примерные размеры 330 м на 550 м. Участок ровный перепад высот 2-4 метра на 550 метров протяженности.

Граничит с железн ..., 2 фото",https://www.cian.ru/sale/commercial/290654167
319181062,Продажа коммерческой земли,"11.6, сот.","Орловская область, Орел, Московское шоссе, 137","7000000 руб., УСН",79107471405,"Арт. 108884776 Продаётся участок под коммерцию 1 165 м²
 г. Орёл, шоссе Московская, 137А — центр деловой активности Северного района
 Уникальное расположение:
 Участок находится в окружении ключевых административных и коммерческих объектов:
 — Центральный офис Налоговой службы г. Орла
 — Администрация Северного района
 — Военкомат, Прокуратура, Соцзащита
 — Жилые дома, частные бизнес-центры, магазины
 — Площадь Содружества и производственные организации
 Видимость и поток: участок хорошо просматривается с площади между Налоговой и Администрацией. Высокий трафик от центра, Пенатов, жилых домов, административных учреждений.
 Идеально под строительство:
 — Торгово-офисный или бизнес-центр
 — Апартаменты, жилой малоэтажный дом
 — Медицинский центр, образовательное учреждение
 — Многофункциональный проект
 Характеристики:
 — Площадь: 1 165 м²
 — Электричество: 150 кВт (в собственности)
 — Центральные коммуникации: вода, канализация
 — Удобный подъезд по сервитуту
 Документы:
 — Собственност ..., 5 фото",https://www.cian.ru/sale/commercial/319181062
317139476,Продажа коммерческой земли,"40.0, сот.","Орловская область, Орел, Новосильское шоссе","8000000 руб., УСН",79123604170,"Арт. 64748303 Продается участок для коммерческой деятельности площадью 40 соток, на второй линии Новосильского шоссе. Вид разрешённого использования: предприятия 4 класса опасности по классификации Сан-Пин. Участок полностью огорожен, круглогодичный подъезд, сделано межевание, проведены топографические работы, имеется план строительства складского-производственного здания на 1000м2. Так же на территории участка расположено кирпичное здание 50м2, с котельной и подсобными помещениями, и недостроенное административное здание, цокольный этаж которого 300м2. Коммуникации: газ, электричество, котельная, скважина.

#объект в нашей базе 13800973#, 36 фото",https://www.cian.ru/sale/commercial/317139476
319664557,Продажа коммерческой земли,"8.53, сот.","Орловская область, Орел, улица Льва Толстого, 8","9900000 руб., УСН",79192004703,"Коммерческий земельный участок площадью 852,79 м² расположен в зоне О-1, что позволяет возведение многоквартирных жилых домов, учебных центров, объектов культуры, аквапарков, магазинов и других коммерческих и социальных объектов. Участок имеет правильную форму и примыкает к дороге, обеспечивая удобный подъезд и высокую проходимость, что особенно важно для торговых и общественных заведений. Рядом ведется строительство многоквартирного дома, что указывает на перспективность локации и рост спроса на инфраструктуру в ближайшие годы.  

Текущие сооружения на участке подлежат сносу, что предоставляет покупателю возможность реализации нового проекта без ограничений, связанных с существующей застройкой. Межевание проведено, кадастровый номер 57:25:0030116:32, все документы в порядке. Участок полностью соответствует градостроительным нормам, а его расположение в зоне О-1 открывает широкие возможности для инвестиций в жилую или коммерческую недвижимость.  

Локация отличается развитой транспортн ..., 11 фото",https://www.cian.ru/sale/commercial/319664557
317552364,Продажа коммерческой земли,"10.0, сот.","Орловская область, Орел, Воскресенский переулок","16290000 руб., УСН",79102007294,"Продам земельный участок по пер.Воскресенский (рядом с банком ВТБ и Авангард), площадью 10 соток, с возможностью строительства Бизнес или торгового центра. Рядом остановки общественного транспорта, большой транспортный и пешеходный трафик., 3 фото",https://www.cian.ru/sale/commercial/317552364
320325016,Продажа коммерческой земли,"50.72, сот.","Орловская область, Орел, Московская улица, 155","22000000 руб., УСН",79192004703,"Продам земельный участок 5072 м2 на первой линии улицы Московская с центральными коммуникациями, газ на участке, вода, электричество 250 кВт, всепогодный асфальтный подъезд с улицы Московской. Участок огорожен бетонным забором. Есть возможность сделать заезд с нескольких сторон. Участок граничит с территорией предприятие оборонно-промышленного комплекса Орёлтекмаш. Подходит под любой вид деятельности. Документы готовы к продаже, обременений нет. Любой вид оплаты. Звоните! 




Код пользователя: 159702
Номер в базе: 3010260, 9 фото",https://www.cian.ru/sale/commercial/320325016
288596398,Продажа коммерческой земли,"1.5, га","Орловская область, Орел, Черепичная улица, 24В","1000000 руб., УСН",79107475379,"Продам земельный участок г.Орел, ул. Спивака, ул.Черепичная (два смежных земельных участка). Отличная транспортная развязка. Фасадный земельный участок с хорошей видимостью с магистрали по ул Спивака с интенсивным транспортным потоком. Возмодная продажа под строительство многоквартирного жилого комплекса, под строительство гипермаркета, автосалона. Площадь 1.5 га. На земельном участке расположено двухэтажное офисное здание на 600 кв.м с коммуникациями, несколько складов по 500-800 кв.м. Закрытая территория со шлагбаумом, КПП. Цена указана за сотку. Участок продается полностью, 1 фото",https://www.cian.ru/sale/commercial/288596398
320161982,Продажа коммерческой земли,"7.0, сот.","Орловская область, Орел, Стрелецкая улица, 13","13500000 руб., УСН",79192606841,"Продаем земельный участок, первая линия у дороги.
Пересечение улиц Стрелецкая и ул.Генерала Родина.
В 100 метрах от развилки дорог  в сторону ул.Колхозной и новая дорога через реку Орлик в направлении нового микрорайона""ЗАРЕЧЕНСКИЙ""---КАРАЧЕВСКОЕ ШОССЕ, ДАЛЛЕЕ Брянское направление.
Место высокой проходимости.
Все коммуникации на участке (газ, свет, вода) центральная городская канализация проходит рядом в 70 метрах от участка.
Мощность электричества 50 кв.т
Рассмотрим все ваши предложения по обмену на дом или квартиру., 7 фото",https://www.cian.ru/sale/commercial/320161982
315059747,Продажа коммерческой земли,"14.0, сот.","Орловская область, Орел, улица Генерала Жадова","17498000 руб., УСН",79192606841,"Продаем земельный участок, первая линия у дороги.
Пересечение улиц Стрелецкая и ул.Генерала Родина.
В 100 метрах от развилки дорог  в сторону ул.Колхозной и новая дорога через реку Орлик в направлении нового микрорайона""ЗАРЕЧЕНСКИЙ""---КАРАЧЕВСКОЕ ШОССЕ, ДАЛЛЕЕ Брянское направление.
Место высокой проходимости.
Все коммуникации на участке (газ, свет, вода) центральная городская канализация проходит рядом в 70 метрах от участка.
Мощность электричества 50 кв.т
Рассмотрим все предложения., 5 фото",https://www.cian.ru/sale/commercial/315059747
