ID  объявления,Тип,Площадь,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
320224490,Продажа коммерческой земли,"3.0, сот.","Пензенская область, Пенза, улица Карпинского","2450000 руб., УСН",+79869403316,"Арт. 67811922 Продается земельный участок в оживленной части города, расположенный по ул. Карпинского.

Параметры и описание:
Общая площадь 300 кв.м. 
Участок ровный, квадратной формы
Расположен в оживленном месте, рядом парк
Огромный пешеходный и автомобильный трафик
Рядом остановка общественного транспорта
Удобные подъездные пути

Легко купить:
Один собственник
Гарантия юридической чистоты сделки
Без долгов и обременений

Звоните! 
Записывайтесь на показ объекта прямо сейчас!, 8 фото",https://www.cian.ru/sale/commercial/320224490
309538382,Продажа коммерческой земли,"1.31, сот.","Пензенская область, Пенза, улица Чехова, 67","2999000 руб., УСН",+79502304091,"Продается земельный участок 1.31 сотки, под коммерцию, в центре города на первой линии, расположен по адресу Чехова, 67 (пересечение улиц Чехова-Сурская).

Место с хорошим транспортным трафиком! Отличный вариант под СТО или шиномонтаж, офис.

Участок в собственности. Кадастровый номер: 58:29:2013005:190

Территориальная зона: ИТ-2 Зона размещения объектов автомобильного транспорта
Виды разрешенного использования: объекты дорожного сервиса (заправка транспортных средств, обеспечение дорожного отдыха, автомобильные мойки, ремонт автомобилей, размещение магазинов сопутствующей торговли), для размещения нежилого здания, хранение автотранспорта, и т.д.

Градостроительный план на участок имеется. Межевание проведено, границы уточнены. 
Ширина фасадной части участка - 9 м; длинна участка - 15 м.

Все коммуникации по границе с участком, разрешения на подключение получены.

На участке располагается помещение общего назначения, площадью 54 кв.м. (6*9м). Требуется ремонт или реконструкция.
* Окаж ..., 9 фото",https://www.cian.ru/sale/commercial/309538382
310874259,Продажа коммерческой земли,"33.0, сот.","Пензенская область, Пенза, улица Парижской Коммуны, 72","11000000 руб., УСН",+79183523796,"Курганинский район ст.Петропавловская продается земельный участок 33 сотки под коммерцию с существующим коммерческим зданием (недострой по ресторан). С разрешением строительства помещения под коммерцию до 1000 кв м. 70 кВт, все коммуникации по меже. Место очень привлекательное возможно под ТЦ, ""5"", Магнит и т.д. Рядом вся инфраструктура. Школа, МФЦ, Храм., 1 фото",https://www.cian.ru/sale/commercial/310874259
318354342,Продажа коммерческой земли,"70.0, сот.","Пензенская область, Пенза, улица Островная","12000000 руб., УСН",+79085305312,"Код объекта: 1396591.
 Продается коммерческий земельный участок 0,7 Га (70 соток) вдоль федеральной трассы М5 возле новой развязки с ул. Островной. (р-он ""Золотого Петушка""). Первая линия от М5. 

Возможно строительство придорожного комплекса, АЗС, автомоек, гаражей боксового типа, автосервиса, автостоянок, складов, рынка, торгового центра, торгового комплекса, и т.д..


Кадастровый номер участка 58:29:0000000:3604. Участок в собственности. 

Территориальная зона ОД-1 многофункциональная общественно-деловая зона.

Для получения более подробной информации по данному объекту  ПРОСТО ПОЗВОНИТЕ., 4 фото",https://www.cian.ru/sale/commercial/318354342
311699367,Продажа коммерческой земли,"11.0, сот.","Пензенская область, Пенза, площадь Привокзальная Станции Пенза-1, 2А","13000000 руб., УСН",+79502304091,"Продается земельный участок в Пензе, по адресу: Привокзальная площадь 1.

Самый центр города, рядом с ЖД вокзалом.

Площадь: 1100 кв.м

Земельный участок расположен в территориальной зоне - ОД-2 Зона специализированной общественной застройки.

Первая линия, рядом учреждения образования,конечная остановка общественного транспорта. 

Огромный пешеходный и автомобильный трафик.

Кадастровый номер участка: 58:29:2011001:83

Номер объекта: #1/549960/14853, 2 фото",https://www.cian.ru/sale/commercial/311699367
307139555,Продажа коммерческой земли,"57.88, сот.","Пензенская область, Пенза, улица Грибоедова, 4","16500000 руб., УСН",+79085305312,"Код объекта: 1232511.
 Продается земельный участок коммерческого назначения общей площадью 57,88 сот, расположенный в курортной и живописной зоне города м-она Ахуны, здание общей площадью 823, 1 кв.м. по адресу ул. Мичурина/Грибоедова 16/2. 

ВРИ зона классификатора Р-3. Коммуникации по границе участка.

Все подробности по телефону 
Объект находятся в собственности. Имущество не обременено правами третьих лиц. В залоге, споре, под арестом не состоит.
Документы готовы к продаже. Простая, быстрая сделка. Гарантирована юридическая чистота.

Просмотр в удобное для Вас время!, 5 фото",https://www.cian.ru/sale/commercial/307139555
316979022,Продажа коммерческой земли,"12.35, сот.","Пензенская область, Пенза, улица Измайлова, 15А","19500000 руб., УСН",+79502303579,"Продается земельный участок площадью 1235 кв. м., расположенный по адресу: г. Пенза, ул. Измайлова, 15А.
БЕЗ КОМИССИИ С ПОКУПАТЕЛЯ !
Территория легко позволяет осуществлять маневры и стоянку грузового транспорта.
Данный участок находится в непосредственной близости от центра города, что дает возможность удобно добраться до любого района города;
Имеется выезд на трассу Москва-Самара;
В шаговой доступности остановки общественного транспорта;
Подведены все коммуникации;
Электрические мощности: 220В-380В (130 кВт. Возможно увеличение);
Имеются две скважины воды;
Канализация городская;
Удобные подъездные пути для всего транспорта; 
На участке есть строение площадью 885 кв.м.

Стоимость участка: 19 500 000 рублей.

Арт. 67432719, 5 фото",https://www.cian.ru/sale/commercial/316979022
316565800,Продажа коммерческой земли,"100.0, сот.","Пензенская область, Пенза, улица Аустрина, 168Т","20000000 руб., УСН","+79870710234, +79875204019","Продаю коммерческие земельные участки вдoль M-5, вoзле новой рaзвязки c ул. Острoвной (p-oн Зoлотoгo Пeтушка).
Участки расположены за газовой заправкой, в активно- развивающейся пром. зоне. Въезд/выезд с федеральной трассы (согласованы). Подъехать к участкам можно в любую погоду: проложена дорога из бетонных плит, шириной 6 м.
Площадь от 1 Га, вид права: собственность- физ. лицо, назначение: коммерческая застройка, зона землепользования: ""ПК-1.2"". Коммуникации городские. На соседних участках расположены логистические центры, склады, стоянки для большегрузов, несколько направлений производства и т.д., 4 фото",https://www.cian.ru/sale/commercial/316565800
303507653,Продажа коммерческой земли,"100.0, сот.","Пензенская область, Пенза, Звездная улица, 200","20000000 руб., УСН","+79875204019, +79870710234","Продаю коммерческие земельные участки за посёлком ЗиФ. 
Участки расположены вдоль дороги, соединяющей улицу Аустрина и п. Нефтянник, с кадастровыми номерами: от 58:29:1003010:181 до 58:29:1003010:212. 
Наличие уточняйте, часть участков уже продана. 
Площадь от 1 Га, вид права: собственность- физ. лицо, назначение: коммерческая застройка, зона землепользования: ""ПК-1.2"". Коммуникации городские, точка подключения к газу в 300 метрах. Участки свободны от обременений, ограничений и охранных зон. Соседние участки осваиваются под крупное производство., 4 фото",https://www.cian.ru/sale/commercial/303507653
318219339,Продажа коммерческой земли,"54.0, сот.","Пензенская область, Пенза, Терновка мкр","25000000 руб., УСН",+79502304091,"В продаже земельный участок площадью 54 сотки, под производство, склад, коммерцию. Расположен в мкр. Терновка (Гидрострой), перекресток ул. Пушанина / ул. Рябова.

Отличное месторасположение: 1-ая линия, угловой, асфальтированная дорога, остановки общественного транспорта в шаговой доступности. Участок расчищен от построек, огорожен забором.
Удобные подъездные пути для любого транспорта. Teрpитopия лeгко позволяeт осуществлять манёвры и стоянку грузового транспорта (+есть возможность увеличить площадь под парковку, стоянку).

Участок в собственности.
Территориальная зона: ПК-1 - производственная зона
Территориальная подзона: ПК-1.2
Виды разрешенного использования: склад (код 6.9), предпринимательство, размещение объектов промышленности, транспорта, объектов коммунально-складского назначения, объектов делового и коммерческого назначения (производственная деятельность, легкая промышленность, тяжелая промышленность, строительная промышленность, пищевая промышленность, нефтехимическая пром ..., 8 фото",https://www.cian.ru/sale/commercial/318219339
