ID  объявления,Тип,Площадь,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
316441093,Продажа коммерческой земли,"3.94, сот.","Пермский край, Пермь, Екатерининская улица","20000000 руб., УСН",+79193501167,"Кадастровый номер  59:01:4410118:2.
Земельный участок находится в самом центре города Перми рядом со зданием Пермского краевого суда, напротив отдел полиции номер 6 по Ленинскому району. Есть возможность подключения (технологического присоединения) к системе Теплоснабжения, к сетям Газораспределения, к сетям Водоснабжения и Водоотведения.
Чистая продажа без долгов и обременений., 6 фото",https://www.cian.ru/sale/commercial/316441093
320277202,Продажа коммерческой земли,"33.0, сот.","Пермский край, Пермь, шоссе Космонавтов, 262","82500000 руб., УСН",+79823200944,"33 сотки на первой линии шоссе Космонавтов — под торговый центр, офисы или многоэтажный дом. 

Редкая возможность — три смежных участка общей площадью 3 312 м² (33,1 сотки) на первой линии ключевой магистрали Перми — шоссе Космонавтов, ведущей к аэропорту Большое Савино. Участки идеально подходят для комплексной застройки: торговый центр, бизнес-центр, туристическая инфраструктура, крупный автосервис и мойка, апартаменты, гостиница или многоэтажный жилой дом.

Характеристики:
Общая площадь: 3 312 м² (33,1 сотки)

Состав объединения:
• 59:01:4613903:6 — 1360 м² (Ц-2)
• 59:01:4613903:219 — 1159 м² (Ц-2)
• 59:01:4613903:217 — 793 м² (Ж-5)

Категория земель: земли населённых пунктов

Статус: один собственник

Возможность комплексного освоения — объединение в единый проект

Преимущества
Первая линия шоссе Космонавтов — максимальная видимость для бизнеса.

Высокий автомобильный трафик — около 1500 машин/час.

Удобная транспортная развязка — рядом съезд на Красавинский мост, прямая связь с це ..., 3 фото",https://www.cian.ru/sale/commercial/320277202
320327265,Продажа коммерческой земли,"23.8, сот.","Пермский край, Пермь, Верхние Муллы мкр","35000000 руб., УСН",+79191108040,"Продается отличный земельный участок площадью 23.8 в привлекательном месте.

Ключевые преимущества:

ПЕРВАЯ ЛИНИЯ !

Участок расположен на первой линии, что гарантирует прекрасный вид и отсутствие соседей спереди.

Полный периметр огорожен:

Участок полностью обнесен надежным забором из профлиста.
Готовый контур, никаких дополнительных затрат на ограждение.

Коммуникации:
 
Электричество: Подведено, выделенная мощность 15 кВт.

Видеонаблюдение: На участке установлена система видеонаблюдения, обеспечивающая дополнительный контроль и безопасность.

Чистый и ухоженный: Участок чистый, готов к началу строительства или обустройства.
Покрытие участка асфальтная крошка.
Подъезд с Шоссе Космонавтов полностью асфальт.

Не упустите возможность приобрести отличный надел на первой линии с готовым ограждением!

Звоните в любое время для просмотра и уточнения деталей !



Арт. 111747463, 7 фото",https://www.cian.ru/sale/commercial/320327265
304550471,Продажа коммерческой земли,"17.17, сот.","Пермский край, Пермь, улица Василия Васильева, 39А","1890000 руб., УСН",+79126219062,"Продается три объекта за общую стоимость 1 990 000 руб.:
- Сооружение (Железнодорожный подъездной путь к складу (лит. Г 1)), протяженность (площадь): 426.4 кв. м., кадастровый номер: 59:01:4411470:323. 

- Земельный участок общей площадью 1 717.22 кв. м. относиться к категории земель: земли населенных пунктов, имеет разрешенное использование  Для размещения железнодорожных путей и их конструктивных элементов (под стрелочный перевод  9 (лит. Г) и железнодорожный подъездной путь к складу (лит. Г 1)), кадастровый номер земельного участка: 59:01:4411458:49, расположенный по адресу: Российская Федерация, Пермский край, город Пермь, Свердловский район, ул. Василия Васильева, 39а.

- Сооружение (Стрелочный перевод  9 (лит. Г)), протяженность (площадь): 33.6 кв. м., кадастровый номер: 59:01:4411470:324.
 Адрес (местоположение): Российская Федерация, Пермский край, город Пермь, Свердловский район, ул. Василия Васильева, 39а.

Объекты расположены возле жд. ст. Бахаревка — железнодорожная станция ..., 5 фото",https://www.cian.ru/sale/commercial/304550471
237362255,Продажа коммерческой земли,"138.4, сот.","Пермский край, Пермь, Камская Долина мкр","1990000 руб., УСН",+79125806446,"Продается земельный участок 13840 кв.м на берегу реки Кама. Промышленное назначение. Кадастровый номер - 59:01:1710007:9.

Зона ПК-5. Виды разрешенного использования: легкая промышленность, фармацевтическая промышленность, пищевая промышленность, нефтехимическая промышленность, склады, целлюлозно-бумажная промышленность, научно-производственная деятельность, деловое управление, связь, питомники, спорт, амбулаторное обслуживание, бытовое обслуживание, магазины, общественное питание, служебные гаражи, автомобильные мойки, ремонт автомобилей, заправка транспортных средств, коммунальное обслуживание.

Возможен обмен на автомобиль, квартиру, а также стройматериалы (арматуру).

- Бесплатные консультации;
- Предоставление полной информации по объекту;
- Юридическое сопровождение сделки.

Звоните! Ответим на Ваши вопросы и организуем показ в удобное для Вас время.







Номер объекта: #1/621409/9738, 5 фото",https://www.cian.ru/sale/commercial/237362255
303476039,Продажа коммерческой земли,"9.32, сот.","Пермский край, Пермь, Заостровка мкр, улица Физкультурников, 9","7000000 руб., УСН",+79120704026,"Земельный участок 932 кв.м.
м/р Заостровка, ул. Физкультурников, 9.
Заезд с ул. Маяковского, ул.Сергея Есенина.
Кадастровый номер: 59:01:4510448:1
.
Земельный участок:
- прямоугольной формы 23х40 метров;
- угловой, заезд на участок с двух сторон;
- можно разделить на два участка;
- между участком и дорогой можно организовать парковку для 25 автомобилей;
- отсутствуют смежные земельные участки.
.
Охранные зоны коммуникаций: отсутствуют.
Водоохранная зона: отсутствует.
.
Территориальная зона: Ц-5 - Зона оптовой торговли, открытых рынков.
Основные виды разрешенного использования:
рынки, склады, объекты торговли, магазины, гостиничное обслуживание, служебные гаражи, автомобильные мойки, ...
Условно разрешенные виды использования:
религиозное использование, развлекательные заведения, ремонт автомобилей ...
.
Можно застраивать все 932 кв.м.:
Максимальный процент застройки установлению не подлежит.
Минимальный отступ от границ земельного участка до места допустимого размещения зданий, строени ..., 2 фото",https://www.cian.ru/sale/commercial/303476039
312206535,Продажа коммерческой земли,"2170.0, м2","Пермский край, Пермь, улица 1905 года, 35Т","7599000 руб., УСН",+79189309696,"Продается земельный участок 28.4 сотки (промназначение) в ПК-4 на берегу Камы!
Всего 2750 ₽/м² — уникальное предложение для бизнеса!

 Ключевые преимущества:
 Промзона Мотовилихинских заводов — идеально для производства, складов, логистики.

 Берег реки Кама — выгодная локация с транспортной доступностью.
 Уже подготовлен: выравнивание, отсыпка, правильная форма — стройте сразу!
 Подключение к коммуникациям: электричество, газ, вода. ТУ получены, в настоящее время ведется строительство линии ЛЭП и ГРП!
 Автодорога с проездом для фур через ул. 1905 года.

 Документы готовы:
• Кадастровый номер: 59:01:3919185:584.
• ГПЗУ — предоставим по запросу.

 Почему выгодно?
• Самая низкая цена в локации для промназначения!
• Возможность строительства любых объектов.
• Индивидуальный подход: рассматриваем все предложения.

 Приезжайте и оцените лично!
• Торг только при встрече на участке — обсудим условия.
• Организуем осмотр в удобное время.

 Звоните прямо сейчас!
Не упустите шанс запустить свой  ..., 17 фото",https://www.cian.ru/sale/commercial/312206535
262834048,Продажа коммерческой земли,"38.42, га","Пермский край, Пермь, Гайва мкр","8000000 руб., УСН",+79823409412,"ПАО Т Плюс продаёт земельный участок площадью 38 425  кв.м с кадастровым номером 59:01:2910313:255 по адресу: г. Пермь, севернее жилого района Гайва, категории земель: земли населённых пунктов, с разрешенным использованием: для размещения промышленных объектов. Участок свободен от застроек, имеет автомобильный подъезд., 4 фото",https://www.cian.ru/sale/commercial/262834048
312206526,Продажа коммерческой земли,"14519.0, м2","Пермский край, Пермь, улица 1905 года, 35Т","36875000 руб., УСН",+79189309696,"Продается земельный массив в промышленной зоне ПК-4 (Мотовилихинские заводы)

Всего 2650 руб./кв.м! — уникальное предложение для вашего бизнеса!

 Главные преимущества:

 Идеальная локация — участки расположены на берегу реки Кама, рядом со станцией Язовая. Отличная транспортная доступность:

- Автодорога с подъездом для большегрузов (ул. 1905 г.);

- Железнодорожный тупик** — удобно для логистики.

 Полная готовность к строительству**:

- Проведено выравнивание и отсыпка;

- Участки правильной формы — легко планировать застройку;

- Подключены коммуникации: электричество и газ (ТУ уже получены!).

 Документы в порядке:

- ГПЗУ готов (отправлю по запросу);

- Кадастровые номера: 59:01:3919185:552, 59:01:3919185:553, 59:01:3919185:593, 59:01:3919185:592.

 Цена ниже рыночной для промышленных земель в такой локации!

 Для кого?

Под организацию складов, цехов, производств, логистических центров или любого другого бизнеса.


 Как действовать?

- Звоните — отвечу на вопросы и организую про ..., 14 фото",https://www.cian.ru/sale/commercial/312206526
319895022,Продажа коммерческой земли,"260.88, сот.","Пермский край, Пермь, улица Верхне-Муллинская, 124","103000000 руб., УСН",+79165913423,"Пpeдлагаeм для покупки прoизводcтвенно-тexнoлoгичeский комплекс (ПТK) Муллинскaя нeфтeбазa 8000 куб.м. pаспoложенный нa земельнoм учаcтке общей площадью 26088 кв.м. по aдpeсу г.Пермь, Индустриальный р-н, ул. Beрxнeмуллинcкая, д. 124, кaдaстровый номеp 59:01:4716141:3.

Категория земель -земли населенных пунктов.

Вид разрешенного использования - под административное здание и производственную территорию.

В cоcтaв ПТК входит:

-Aдминистративнoe здание, этажность -1, площадь 147, 2 кв.м (лит.Б);

-Щитовая (этажность 1, площадь 5,7 кв.м); -

-Оборудование, необходимое для обеспечения технологических процессов и хозяйственной деятельности: резервуарный парк светлых нефтепродуктов РВС-2000: (объем 4 х 2000 куб.м.), резервуар противопожарный (площадь 244,1 кв.м, глубина 2 м.), скважина буровая, насосы (самовсасывающий, центробежные), оборудование для контроля технологических процессов, система концентрации паров, технологические трубопроводы, система регулирования въезда-выезда авто/ц с площ ..., 6 фото",https://www.cian.ru/sale/commercial/319895022
