ID  объявления,Тип,Площадь,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
301154313,Продажа коммерческой земли,"12.0, сот.","Псковская область, Псков, 1-й мкр","6200000 руб., УСН",+79113906051,"Продаётся земельный участок КН 60:27:0050105:4643  по адресу г.Псков, Рижский проспект, д. 45Б под строительство нежилого здания площадью 12 соток. Возможность расширения участка до 18 соток.
Получено разрешение на строительство по разработанной проектной документации на 1-й этап (150 кв.м)
Готовый инвестиционный проект с двухэтапной реализацией!
Возможно размещение: апарт-отеля, гостиницы, торговых и офисных помещений, медицинского центра, фитнес-центра, образовательного центра и другое.
Выкуп участка по окончании строительства ~200т.р. Долги по аренде отсутствуют.
Разработан эскизный проект на 2-й этап строительства (1000 кв.м)
На участке электричество с договором, газ подведен к границе участка, водоснабжение и канализация рядом с участком. 
Асфальтированная дорога проходит в 6-ти метра перед зданием. 
Имеется акт на снос деревьев.
Подробную информацию вышлю по запросу.
Возможно сопровождение данного инвестиционного проекта ПОД КЛЮЧ со стороны продавца., 1 фото",https://www.cian.ru/sale/commercial/301154313
318838676,Продажа коммерческой земли,"25.0, сот.","Псковская область, Псков, Железнодорожная улица","8500000 руб., УСН",+79116904175,"Продается участок земли в промышленной зоне города. Назначение земли : под производственную базу, ""Склады"" (для размещения сооружения (навеса возле мастерских) складского назначения.
К участку хороший подъезд (асфальт). На участке есть недостроенное здание из газобетона, которое планировалось под строительство автосервиса на несколько боксов. Есть возможность подключиться к центральной системе водоснабжения и водоотведения города. 




Код пользователя: 98126
Номер в базе: 8562084, 5 фото",https://www.cian.ru/sale/commercial/318838676
315236820,Продажа коммерческой земли,"6000.0, га","Псковская область, Псков","25000 руб., УСН",+79101706451,"Продаются  земельные участки сельскохозяйственного назначения 6000 га, вся земля обрабатывается.
Имеются участки разные по площади.
Псковская область д. Каляница.
 Цена указана за гектар., 1 фото",https://www.cian.ru/sale/commercial/315236820
300068792,"Продажа коммерческой земли, здание","1000.0, м2","Псковская область, Псков, Запсковье исторический район","200000 руб., УСН",+79118905418,"Ровный участок, проезд хороший, перспективный район, рассмотрю варианты аренды с правом выкупа возможно увеличения участка, есть возможность подключиться к сетям вода, канализация, газ. Цена указана за сотку.",https://www.cian.ru/sale/commercial/300068792
303462513,"Продажа коммерческой земли, здание","2250.0, м2","Псковская область, Псков, Юбилейная улица, 22А","8000000 руб., УСН",+79116903659,"Продается участок 2250 м2. Подробности по телефону. Уступка права аренды с правом выкупа., 1 фото",https://www.cian.ru/sale/commercial/303462513
302717644,"Продажа коммерческой земли, здание","2590.0, м2","Псковская область, Псков, 3-й мкр","20000000 руб., УСН",+79113910454,"Продам земельный участок+ строение 42,2 кв м
Петровская, 18, 1 фото",https://www.cian.ru/sale/commercial/302717644
320268603,Продажа коммерческой земли,"64490.0, сот.","Псковская область, Псков, Земельный переулок, 2","22571500 руб., УСН",+79113914063,"Данные получены с сайта ГИС Торги.
Местоположение земельного участка: Российская Федерация, Тамбовская область,     Мичуринский район,  Жидиловский сельсовет, земельный участок  2.  площадь земельного участка:  6449000,0 кв. м:  кадастровый номер земельного участка: 68:07:0000000:1080  категория земель: земли  сельскохозяйственного назначения. разрешенное использование земельного участка: для сельскохозяйственного использования; обременения, ограничения использования земельного участка: Охранная зона инженерных коммуникаций Охранная зона воздушной линии электропередачи ВЛ 500 кВ Рязанская ГРЭС - Липецкая 2, Ограничение использования объектов недвижимости в границах зоны предусмотрено Постановлением Совета Министров СССР от 26.03.1984 г.  255 ""Об утверждении правил охраны электрических сетей напряжением свыше 1000 вольт"" п.11, 13, 1 фото",https://www.cian.ru/sale/commercial/320268603
300458110,Продажа коммерческой земли,"280.0, сот.","Псковская область, Псков, улица Воровского, 7А","40000000 руб., УСН",+79116908033,"Продается база отдыха и кемпинг в Псковской области в собственности со своим берегом, пляжем у озера

От Пскова 183 км
От Москвы 579 км
От Санкт - Петербурга 450 км

 Основные характеристики:
Форма бизнеса: ООО
Опыт работы: с 2014 года (8 лет)
Обслуживающий персонал: 2 сотрудника
Идеальное место для отдыха и активного времяпрепровождения

 Почему стоит вложиться:
- Уютная база отдыха с разнообразными возможностями для развлечений
- Полностью оборудованная инфраструктура: гостевой дом, хостел, ресторан, кафе, сауна VIP класса, площадка для кемпинга и водных видов спорта
- Имеющийся персональный сайт и система интернет-бронирования
- Положительные перспективы развития: возможность запуска рыболовного дела на территории базы
- При правильном ведении базы быстрая окупаемость
- Можно построить дополнительные дома и увеличить доход

На базе отдыха имеется:
 Земельный участок: ~ 2,8 Га
 Оборудованная площадка для кемпинга с сантехническим блоком
 Гостевой дом  236, 4 кв.м.; 16 мест(8 номеров) ..., 3 фото",https://www.cian.ru/sale/commercial/300458110
308494346,Продажа коммерческой земли,"1.21, га","Псковская область, Псков, улица Ижорского Батальона, 2","45000000 руб., УСН",+79824605356,"Продам земельный участок с имеющимися строениями (1072,9 м2) и со всеми центральными городскими коммуникациями в отличной локации в 5 минутах от центра города. 

Возможное использование: строительство торгового центра, логистического комплекса, производства, офисного центра или жилого комплекса., 6 фото",https://www.cian.ru/sale/commercial/308494346
177833609,Продажа коммерческой земли,"2.8, га","Псковская область, Псков, Советская улица, 51","200000000 руб., УСН",+79813501941,"Продается земля в исторической части Пскова, под застройку малоэтажного жилого квартала бизнес-класса. Есть проект., 7 фото",https://www.cian.ru/sale/commercial/177833609
