ID  объявления,Тип,Площадь,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
303617419,Продажа коммерческой земли,"73.31, сот.","Рязанская область, Рязань, проезд Шабулина, 12","12500000 руб., УСН",+79109015429,"Арт. 68250818 Предлагается к продаже земельный участок 73,3 сотки в непосредственной близости с ""Пятой базой"" для использования под складскую или производственную недвижимость. На участке числится здание площадью 870 кв.м. (62:29:0030037:985) 
НА все вопросы отвечу по телефону - звоните., 1 фото",https://www.cian.ru/sale/commercial/303617419
297769313,Продажа коммерческой земли,"10.0, га","Рязанская область, Рязань, пос. Карцево","9999999 руб., УСН","+79155956521, +79105018694","Продам земельный участок промышленного назначения в Рязани(Карцево) , коммуникаций, есть жд ветка(жд тупик)  развитая инфраструктура,  от 1 га и более., 1 фото",https://www.cian.ru/sale/commercial/297769313
318967442,Продажа коммерческой земли,"38.0, сот.","Рязанская область, Рязань, Куйбышевское шоссе, 41А","20000000 руб., УСН",+79230725918,"Арт. 107857860 Продаётся асфальтированная площадка на трассе М5, г. Рязань!
Идеальное место для вашего бизнеса!
Заасфальтированная площадь 1500 м² расположена прямо на федеральной трассе М5, в черте города Рязань. Отличный подъезд, высокая проходимость транспорта, удобный въезд для грузовых автомобилей.
Для асфальтирования площадки использованы только сертифицированные материалы, что повышает надежность возводимых конструкций на территории, долговечность использования, а также снижение эксплуатационных издержек на ремонт покрытия.

Преимущества:
• Асфальтовое покрытие по всем нормам и правилам— готово к использованию
• Электричество проведено
• Вода по границе участка
• Прямой выезд на трассу М5
• Идеально под автостоянку, склад, торговую или сервисную площадку
• Огороженная территория, круглосуточный доступ
• Установлены камеры видеонаблюдения., имеется домик охраны
 
Земельный участок с кадастровым номером 62:29:0100003:48 расположен в территориальной зоне К4 (зона озеленения специал ..., 21 фото",https://www.cian.ru/sale/commercial/318967442
320598027,"Продажа коммерческой земли, здание","3800.0, м2","Рязанская область, Рязань, Куйбышевское шоссе, 41А","20000000 руб., УСН",+79230724175,"Продаётся асфальтированная площадка на трассе М5, г. Рязань!

Идеальное место для вашего бизнеса!

Заасфальтированная площадь 1500 м² расположена прямо на федеральной трассе М5, в черте города Рязань. Отличный подъезд, высокая проходимость транспорта, удобный въезд для грузовых автомобилей.

Для асфальтирования площадки использованы только сертифицированные материалы, что повышает надежность возводимых конструкций на территории, долговечность использования, а также снижение эксплуатационных издержек на ремонт покрытия.

Земельный участок с кадастровым номером 62:29:0100003:48 расположен в территориальной зоне К4 (зона озеленения специального назначения).

Преимущества:

Асфальтовое покрытие по всем нормам и правилам— готово к использованию.

Электричество проведено.

Вода по границе участка.

Прямой выезд на трассу М5.

Идеально под автостоянку, склад, торговую или сервисную площадку.

Огороженная территория, круглосуточный доступ.

Установлены камеры видеонаблюдения., имеется домик ох ..., 21 фото",https://www.cian.ru/sale/commercial/320598027
298479644,Продажа коммерческой земли,"49.0, сот.","Рязанская область, Рязань, Промышленная улица, 21А","25000000 руб., УСН",+79156016889,"Арт. 41090218 Продам земельный участок для коммерческого использования в северо-западном промузле г. Рязани. 
Вид разрешенного использования: объекты технического и инженерного обеспечения предприятий, открытые стоянки транспорта и т.д.
Коммуникации по границе участка. Два въезда, один в собственности. Возможность подъезда большегрузного транспорта. Подходит для размещения производства, складирования, строительства объектов  многофункционального назначения.

Контактное лицо - Михаил., 2 фото",https://www.cian.ru/sale/commercial/298479644
319536830,"Продажа коммерческой земли, здание","10000.0, м2","Рязанская область, Рязань, Песочня тер., улица Зубковой, 31","1100000 руб., УСН",+79884833324,"Пpямaя продажa oт cобственника.

Пpoдаeтcя зeмельный учаcтoк СХ Производство и Склад (СХ3).

Pacположeн в Рязанской области в 15км от Рязани, село Глебово Рязанский район.

Oбщая плoщaдь участкa 4 гeктаp. Возможно межевание участка по 1-2 га.

Стоимость 11 000 рублей за сотку.

Есть все коммуникации:

- Электричество (150квт подведено).
- Газ (по границе участка, есть мощности).
- Вода (центральный водопровод).
- Телефония и интернет.

Примыкает к Глебово, от него идет асфальтированная дорога до Рязани. Участок обрабатывается.

Участок подойдет для следующих видов деятельности:

— Хранение (склад) и переработка сельхозпродукции.
— Лпх и агротуризм.
— Тепличное хозяйство (газ имеется).
— Обеспечение сельхозпроизводства.
— Разрешено строительство дома фермера (299-ФЗ).

Документы готовы к сделки. Есть на руках свежие Гпзу, ТУ, разрешение администрации о продаже участка.

Осмотр в любое удобное для Вас время.

Пишите, звоните, с удовольствием отвечу на все ваши вопросы.
Виктория., 6 фото",https://www.cian.ru/sale/commercial/319536830
320304536,Продажа коммерческой земли,"11.63, сот.","Рязанская область, Рязань, Овражная улица","2022814 руб., УСН",+79156017969,"Данные получены с сайта ГИС Торги.
Земельный участок с кадастровым номером 62:29:0050014:404 расположенный по адресу:  г. Рязань, ул. Овражная, площадью 1163 кв.м, (Границы земельного участка установлены согласно кадастровому паспорту)., 1 фото",https://www.cian.ru/sale/commercial/320304536
320648423,Продажа коммерческой земли,"2.34, сот.","Рязанская область, Рязань, Льговский проезд, 9",5556000 руб.,+79103006789,"Данные в объявлении обновляются раз в сутки. Подробные параметры объекта, актуальные данные и НДС посмотрите на сайте электронных торгов.",https://www.cian.ru/sale/commercial/320648423
320053443,Продажа коммерческой земли,"25.2, сот.","Рязанская область, Рязань, улица Баженова, 35к9","15000000 руб., УСН",+79805629057,"Код объекта: 1694159.
 25,2 сотки - отличная инвестиция. Ровный участок, правильной формы.

Транспортная доступность: участок примыкает к асфальтированной дороге, имеет удобные подъезды, что облегчает логистику.
Соседство с ключевыми объектами:

С одной стороны — ул. Старая дубрава
С другой — ул. Баженова, ведущая в микрорайон Братиславский с плотной жилой и коммерческой застройкой 
Третья сторона выходит к Мемориальному парку.
Четвёртая — примыкание к больнице: обеспечивает потенциал для партнерства, обеспечения автотранспорта для медицинского учреждения или сервис машин ""скорой помощи""., 3 фото",https://www.cian.ru/sale/commercial/320053443
301669357,Продажа коммерческой земли,"24.29, сот.","Рязанская область, Рязань, М-5 Урал, 202-й км, 1","20000000 руб., УСН",+79155915446,"Номер объекта в базе: 729456  Готовый бизнес - АЗС на трассе М5 Урал на выезде из Рязани:

ВОЗМОЖНА АРЕНДА С ПОСЛЕДУЮЩИМ ВЫКУПОМ ИЛИ РАССРОЧКА.

ЗУ: 62:15:0040438:1; основной ВРИ в т.ч. Автозаправочные станции (согласно ГПЗУ)
ОКС:62:15:0000000:1306
Операторская с пультом управления, островок под раздаточные колонки под навесом, 4 подземных резервуара для топлива (2 из них по 50м3), аварийная емкость 10м3, сливное устройство, площадка для автоциостерны при сливоналивных операциях, очистные сооружения с бензомаслосборным колодцем, резервуар условночистых вод, площадка под мусороконтейнеры, уголок с первичными средствами пожаротушения (стенд и ящик с песком), дождеприемник, надворный туалет. На территроии комплекса АЗС также имеется газовый резервуар объемом 20м3.

Полоса съезда и разгона, брендированная стелла (согласована муниципалитетом).

Согласован и готов к реализации Паспорт внедрения бренда ""ОПТИ"" (франчайзинг).

Документы (свидетельства, выписки, ЕГРЮЛ, экспликации и схемы) предь ..., 21 фото",https://www.cian.ru/sale/commercial/301669357
