ID  объявления,Тип,Площадь,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
284648994,Продажа коммерческой земли,"18.0, сот.","Саратовская область, Саратов, улица Имени Е.Г. Челиева, 23","39000000 руб., УСН",+79172003721,"Два земельных участка расположены в черте города на Усть-Курдюмском шоссе, одной из самых оживленных магистралей города, не доезжая до гипермаркета Лента на стороне движения из города напротив жилого комплекса Победа. Площадь каждого участка 928 кв.м. Назначение земли: ОД2.
Один участок находится в собственности, второй в аренде до 2059 года. Без обременений. На одном из участков расположено 3-х этажное здание площадью 800 кв.м (здание из кирпича, с крышей, без окон). Все коммуникации рядом. Удобный подъезд. Участки отлично просматриваются с дороги. Так же планируется прокладка дороги-дублера вдоль данных участков. 


Нажмите на ""СЕРДЕЧКО"", чтобы не потерять это предложение и первым узнать о снижении цены. 
 ЗВОНИТЕ!!! С удовольствием ответим на все Ваши вопросы., 8 фото",https://www.cian.ru/sale/commercial/284648994
283548806,Продажа коммерческой земли,"0.77, га","Саратовская область, Саратов, улица 5-я Дачная, 33А","53622000 руб., УСН","+79197746918, +79180219872","Принадлежит предприятию и реализуется на электронных торгах, на площадке ЭТПРФ, Номер BNKOA00013283.

Объект включает в себя:
Земельный участок - землепользование Кадастровый номер 64:48:040806:0053, площадь: 7658 кв. м, категория земель: земли населенных пунктов.
Нежилое здание (профилакторий) (условный номер 64-64-01/137/2007-287)
Кадастровый номер: 64:48:010108:1652, площадь: 5347,1
Сооружение канализации:
комплекс объектов недвижимости  внутриплощадочные и внеплощадочные сети и сооружения профилактория Салют (в состав входят:
1. Сооружение  хоз-фекальная канализация протяженностью 542 м, колодцы  7 шт., литер II;
2. Сооружение  ливневая канализация протяженностью 542 м, колодцы  7 шт., литер III) (кадастровый номер 64:48:000000:232342).

Земельный участок расположен на отдалении от крупной автодороги  ул. Гвардейская, на расстоянии около 800 м.

В непосредственной близости от объекта расположены объекты недвижимости СК Кристалл, теннисный корт, индивидуальные жилые дома, ФОК  2 СГЮ ..., 21 фото",https://www.cian.ru/sale/commercial/283548806
319792622,Продажа коммерческой земли,"96.8, сот.","Саратовская область, Саратов, проезд 3-й Московский","15000000 руб., УСН",+79873514122,"Продается земельный участок,с хорошими подъездными путями.

Договор аренды от 16.01.2015 по .16.01.2064

Земли поселений (земли населенных пунктов)

Разрешенное использование: стоянки транспортного грузового автотранспорта.
Возможна долгосрочная аренда!, 1 фото",https://www.cian.ru/sale/commercial/319792622
319992337,Продажа коммерческой земли,"51.0, сот.","Саратовская область, Саратов, Московское шоссе, 130","45000000 руб., УСН",+79813698255,"ПРОДАМ НЕФТЕБАЗУ — ГОТОВЫЙ БИЗНЕС!
Всё готово для работы — инфраструктура, коммуникации, арендаторы!

Участок 5112 м² в собственности:
* Удобный подъезд - асфальт + бетон
* Территория укреплена щебнем — выдержит любую технику.

Производственный комплекс 378 м²:
* 5 боксов по 70 м², утеплены, отапливаются
* Высокие потолки 4 м, ворота 3.5х3.5 м
* Административная часть 97 м² с санузлом и охраной на 2-м этаже.

Отдельное офисное, отапливаемое здание 100 м², 7 кабинетов, санузел, душ, электрощитовая.
Помещение для кладовщика по нефтепродуктам 14 м².

Бетонированная площадка 30 х 20 м, 2000 м2 свободной земли.

Резервуары для ГСМ — 435 м!
14 резервуаров разных объёмов: 5 ёмкостей по 50м3 и 9 ёмкостей по 20м3, традиционно использующиеся под светлые нефтепродукты и масла (М 10г2к,М10г2, И20,И40,Игп38 ...,К-19,Ха-30 и т.д). В настоящее время объекты сдаются в аренду.
Ж/д станция с терминалом — всего в 3 км!

СВОЯ котельная на газу + центральные коммуникации:
* Газ, вода, канализация, электрич ..., 8 фото",https://www.cian.ru/sale/commercial/319992337
319587433,Продажа коммерческой земли,"2.23, сот.","Саратовская область, Саратов, улица Песчано-Уметская, 43","700000 руб., УСН",+79172107431,"Арт. 55227851 Предлагаем к приобретению з/у на Песчаном умете

Площадь: 223 кв.м.
Разрешенное использование: производственная база.
Вид права: частная собственность
Стоимость: 700 000 руб., 2 фото",https://www.cian.ru/sale/commercial/319587433
316477508,Продажа коммерческой земли,"0.1251, га","Саратовская область, Саратов, Утес-1 СНТ","1000000 руб., УСН",+79170212861,"ОТ СОБСТВЕННИКА. БЕЗ КОМИССИИ ДЛЯ ПОКУПАТЕЛЯ.
Предлагается к продаже земельный участок 1251 кв. м.

Основные характеристики и преимущества:

Назначение земли под ведение садового хозяйства, 

Находится в аренде на 25 лет, легко перевести в собственность.

Расположен на берегу р. Волги, откуда открываются замечательный вид на живописные места.

Рядом имеется пляж, пристань, развлекательный комплекс на воде,

В пользование новых владельцев предоставляются гаражные места для катеров, стоянка автомобилей.

Можно использовать под строительство дачных домов или туристического комплекса

Данный участок подходит для любителей природы, рыбалки, пляжного отдыха.


Консультанты нашего федерального агентства всегда рады предоставить Вам следующие услуги:
- бесплатный подбор лучшего объекта коммерческой недвижимости, который будет соответствовать заданным Вами параметрам и роду Вашей деятельности!
- бесплатная консультация по оценке ликвидности объекта, интересующей Вас коммерческой недвижимости!
- ..., 25 фото",https://www.cian.ru/sale/commercial/316477508
316477511,Продажа коммерческой земли,"0.1284, га","Саратовская область, Саратов, Зональный мкр","1265000 руб., УСН",+79170212861,"ОТ СОБСТВЕННИКА. БЕЗ КОМИССИИ ДЛЯ ПОКУПАТЕЛЯ.
Предлагается к продаже земельный участок 1284 кв. м.

Основные характеристики и преимущества:

Назначение земли под ведение садового хозяйства,

Находится в аренде у Администрации г. Саратова на 25 лет до 29.03.2029,

Расположен на берегу р. Волги, откуда открываются замечательный вид на живописные места.

Рядом имеется пляж, пристань, развлекательный комплекс на воде,

В пользование новых владельцев предоставляются гаражные места для катеров, стоянка автомобилей.

Можно использовать под строительство дачных домов или туристического комплекса

Данный участок подходит для любителей природы, рыбалки, пляжного отдыха.

Можно рассмотреть варианты ипотечного займа.

Консультанты нашего федерального агентства всегда рады предоставить Вам следующие услуги:
- бесплатный подбор лучшего объекта коммерческой недвижимости, который будет соответствовать заданным Вами параметрам и роду Вашей деятельности!
- бесплатная консультация по оценке ликвидности о ..., 21 фото",https://www.cian.ru/sale/commercial/316477511
300168939,Продажа коммерческой земли,"33.0, сот.","Саратовская область, Саратов, улица Майская, 10В","3500000 руб., УСН","+79878011722, +79873009267","Продам земельный участок первая линия от Песчано-Уметского тракта 33 сотки (состоит из двух 64:48:040520:131 (130)), в данный момент используется под автостоянку п. Жасминный, Моисеева/ Песчано-Уметский тракт. Аренда на 49 лет, ровный. Чистая продажа, 3 фото",https://www.cian.ru/sale/commercial/300168939
316482715,Продажа коммерческой земли,"0.1325, га","Саратовская область, Саратов, Елшанка мкр, Мещановка мкр","3500000 руб., УСН",+79170212861,"Участок с коммуникациями 13 сот
Характеристики:
- 1 линия
- Назначение земли - ИЖС
- Коммуникации: Вода, Электричество, Септик
- Имеются строения на участке
- Подъездные пути: Удобные подъездные пути, Транспортная развязка
- Виды дорожного покрытия: Асфальт

Дополнительная информация:
Земельный участок с небольшим домом, оформлен в собственность. Имеется незаконченная пристройка. В доме можно жить круглогодично, прописка городская.
В доме все коммуникации, туалет, душ, свет три фазы, мощность 15 кВт. Подана заявка в водоканал на подключение к городской системе водоснабжения.
Комиссия от сделки 3 %.

По всем вопросам можете обращаться к представителю собственника: Екатерина Д., 6 фото",https://www.cian.ru/sale/commercial/316482715
223623235,Продажа коммерческой земли,"12.0, сот.","Саратовская область, Саратов, улица Имени Академика О.К. Антонова, 31","3800000 руб., УСН","+79878011722, +79873009267","Продам действующую автостоянку до 100 м/м, ул. Ак. Антонова, 1-я линия, напротив дома 31, площадь участка 12 соток, огорожен, целевое использование: под автостоянку, на 49 лет аренда. Свет подведен., 2 фото",https://www.cian.ru/sale/commercial/223623235
