ID  объявления,Тип,Площадь,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
320637950,Продажа коммерческой земли,"10.0, сот.","Республика Башкортостан, Сибай, Северный мкр, улица Рябиновая, 20/1","292890 руб., УСН",79872511813,"Данные получены с сайта ГИС Торги.
Земельный участок, государственная собственность на который не разграничена, категория земель: земли населенных пунктов, кадастровый номер 02:61:011701:4369, площадью 1000 кв. м, расположенного по адресу: Российская Федерация, Республика Башкортостан, г. Сибай, ул. Рябиновая, д. 20/1, с видом разрешенного использования ""для индивидуального жилищного строительства""., 1 фото",https://www.cian.ru/sale/commercial/320637950
320637935,Продажа коммерческой земли,"10.0, сот.","Республика Башкортостан, Сибай, Северный мкр, улица Рябиновая, 18/1","292890 руб., УСН",79872511813,"Данные получены с сайта ГИС Торги.
Земельный участок, государственная собственность на который не разграничена, категория земель: земли населенных пунктов, кадастровый номер 02:61:011701:4364, площадью 1000 кв. м, расположенного по адресу: Российская Федерация, Республика Башкортостан, г. Сибай, ул. Рябиновая, д. 18/1, с видом разрешенного использования ""для индивидуального жилищного строительства""., 1 фото",https://www.cian.ru/sale/commercial/320637935
320637930,Продажа коммерческой земли,"10.0, сот.","Республика Башкортостан, Сибай, Северный мкр, улица Рябиновая, 16/1","292890 руб., УСН",79872511813,"Данные получены с сайта ГИС Торги.
Земельный участок, государственная собственность на который не разграничена, категория земель: земли населенных пунктов, кадастровый номер 02:61:011701:4367, площадью 1000 кв. м, расположенного по адресу: Республика Башкортостан, г. Сибай, ул. Рябиновая, д. 16/1, с видом разрешенного использования ""для индивидуального жилищного строительства""., 1 фото",https://www.cian.ru/sale/commercial/320637930
320637914,Продажа коммерческой земли,"10.0, сот.","Республика Башкортостан, Сибай, Северный мкр, улица Рябиновая, 14/1","292890 руб., УСН",79872511813,"Данные получены с сайта ГИС Торги.
Земельный участок, государственная собственность на который не разграничена, категория земель: земли населенных пунктов, кадастровый номер 02:61:011701:4366, площадью 1000 кв. м, расположенного по адресу: Республика Башкортостан, г. Сибай, ул. Рябиновая, д. 14/1, с видом разрешенного использования ""для индивидуального жилищного строительства""., 1 фото",https://www.cian.ru/sale/commercial/320637914
320637865,Продажа коммерческой земли,"10.0, сот.","Республика Башкортостан, Сибай, Северный мкр, улица Рябиновая, 12/1","292890 руб., УСН",79872511813,"Данные получены с сайта ГИС Торги.
Земельный участок с кадастровым номером 02:61:011701:4370 площадь 1000 по адресу Республика Башкортостан, г. Сибай, ул. Рябиновая, д. 12/1, 1 фото",https://www.cian.ru/sale/commercial/320637865
319641966,Продажа коммерческой земли,"5.5, сот.","Республика Башкортостан, Сибай, № 11 КС","277950 руб., УСН",79870217207,"Данные получены с сайта ГИС Торги.
Лот  34 (повторные торги). Земельный участок площадью 550 +/- 8 кв. м, категория земель - земли населенных пунктов, вид разрешенного использования - для ведения садоводства, кадастровый номер 02:61:011702:912, местонахождение: Республика Башкортостан, г. Сибай, сад 11, кв-л 5, участок 64. Обременение - арест, прочие ограничения прав и обременения объекта недвижимости. Собственник - Таржеманов И.Ф. Начальная цена - 277950 руб. (НДС не облагается). Сумма задатка - 69487,50 руб. Шаг аукциона - 2779,50 руб., 1 фото",https://www.cian.ru/sale/commercial/319641966
284954312,Продажа коммерческой земли,"10.0, сот.","Республика Башкортостан, Сибай, площадь Победы","300000 руб., УСН",79876018967,"Продам участок г. Сибай, Горный 2, ул. Гарифуллина, дом 20, 10 соток, участок ровный. Документы готовы к сделке, 1 фото",https://www.cian.ru/sale/commercial/284954312
319641961,Продажа коммерческой земли,"9.82, сот.","Республика Башкортостан, Сибай, улица Вербная, 2","792000 руб., УСН",79870217207,"Данные получены с сайта ГИС Торги.
Лот  20. Земельный участок площадью 982 +/- 11 кв. м, категория земель - земли населенных пунктов, вид разрешенного использования - индивидуальное жилищное строительство, кадастровый номер 02:61:010101:716, местонахождение: Республика Башкортостан, г.о. г. Сибай, г. Сибай, ул. Вербная, земельный участок 2. Обременение - арест, прочие ограничения прав и обременения объекта недвижимости. Собственник - Идельбеков Д.Д. Начальная цена - 792000 руб. (НДС не облагается). Сумма задатка - 198000 руб. Шаг аукциона - 7920 руб., 1 фото",https://www.cian.ru/sale/commercial/319641961
305357454,Продажа коммерческой земли,"10.0, сот.","Республика Башкортостан, Сибай, улица Ленина, 15/1","2300000 руб., УСН",79871302784,"Продаётся земельный участок в мкр Сарматы под любой вид разрешенного использования. Огорожен, есть гараж в собственности 59.6кв.м. Продажа в связи переездом., 4 фото",https://www.cian.ru/sale/commercial/305357454
318770272,"Продажа коммерческой земли, здание","2000.0, м2","Республика Башкортостан, Сибай","10000000 руб., УСН",79177608621,"Земля на красной линии с постройками, боксы, магазин 200кв. Территория земли 1720кв/м., 4 фото",https://www.cian.ru/sale/commercial/318770272
