ID  объявления,Тип,Площадь,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
310933633,Продажа коммерческой земли,"10.0, сот.","Смоленская область, Смоленск, Киевский переулок","3650000 руб., УСН",79107214890,"Продам земельный участок коммерческого назначения. Это платная парковка, которая огорожена забором. Подъезд круглогодичный, асфальт.  Электричество 15 Квт. Есть градостроительный план от 2024 года.
По категории земли подходит для:
-специальная деятельность, магазины, заправка транспортных средств, автомобильная мойка, ремонт автомобилей, стоянка, склад, складские площадки, хранение автотранспорта, гаражи.
Хороший вариант под автосервис.
Над участком проходит ЛЭП, которое дает ограничение на строительство 8 метров по средине участка.
Рядом: Гагарина, Семичевка.

Арт. 87261302, 12 фото",https://www.cian.ru/sale/commercial/310933633
304786615,Продажа коммерческой земли,"80.0, сот.","Смоленская область, Смоленск, пос. Одинцово","10500000 руб., УСН",79156411470,"Продается земельный участок более 8011 кв.м в г. Смоленске в зоне активной жилой застройки многоэтажными домами по левую сторону от Киевского шоссе, 67:27:0031281:135. 
Инвестиционная привлекательность данного участка в будущем увеличится в десятки раз. Возможен перевод в зону Ж3 - (зона застройки среднеэтажными и многоэтажными жилыми домами), Р2 - зона скверов, парков, набережных, производственные зоны. 
В непосредственной близости от участка полностью развитый микрорайон ""Миловидово"", п.Одинцово, удобный выезд на улицу Гагарина, 10 мин от центра города. 
Все документы оформлены, 1 собственник. 

Арт. 69832168, 10 фото",https://www.cian.ru/sale/commercial/304786615
304246652,Продажа коммерческой земли,"60.19, сот.","Смоленская область, Смоленск, Краснинское шоссе, 35кКПВЦ","14500000 руб., УСН",79107805378,"Арт. 68644440 Земельный участок и здание для коммерческого использования в городе!
Продается ровный, правильной прямоугольной формы участок промназначения на Краснинском шоссе общей площадью 6019 кв.м.Разрешенные виды использования: производственная и научно -производственная деятельность, легкая, пищевая и фармацевтическая промышленность, нефтехимия, строительство, энергетика, связь, склады, гаражи и т.д.На земельном участке находится объект незавершенного строительства-трехэтажное нежилое кирпичное здание, площадь застройки 529 кв.м.
Коммуникации: электричество-300 кВт, есть возможность подключение газа.
Отличная транспортная доступность, высокая коммерческая востребованность месторасположения : на прилегающих участках оптовые и розничные торговые, складские и логистические центры, производственные комплексы, автосервисы, гостиницы и предприятия общепита, напротив огромный жилой массив !
Готовы рассмотреть ваши ценовые предложения, звоните!, 8 фото",https://www.cian.ru/sale/commercial/304246652
319094437,Продажа коммерческой земли,"45.7, га","Смоленская область, Смоленск, Феникс индустриальный парк","10000 руб., УСН",79107800638,"Уважаемые предприниматели и инвесторы!

Предлагаем вам рассмотреть возможность размещения производственных объектов на территории индустриального парка ""Феникс"", расположенного в Смоленской области.

Индустриальный парк ""Феникс"" представляет собой территорию с полностью готовой современной инженерной инфраструктурой и комплексной поддержкой со стороны управляющей компании и региональных властей на всех этапах реализации проекта.

Площадь участков подбирается индивидуально в соответствии с потребностями инвестора.

Ключевые преимущества:
• Готовая инженерная инфраструктура: электроснабжение, водоснабжение, водоотведение, газоснабжение, дороги.
• Сопровождение проекта ""под ключ"": от подбора участка до ввода объекта в эксплуатацию.
• Обеспечение режима ""одного окна"" при взаимодействии инвестора с органами власти, местным самоуправлением и организациями разных форм собственности.
• Доступ к налоговым льготам и мерам государственной поддержки.

В рамках объявления представлена основная инфо ..., 5 фото",https://www.cian.ru/sale/commercial/319094437
320416054,Продажа коммерческой земли,"10.0, сот.","Смоленская область, Смоленск","1737000 руб., УСН",79101103494,"Данные получены с сайта ГИС Торги.
земельный участок  площадью 1000 кв. м с кадастровым номером 67:27:0012722:163, расположенный по адресу: Российская Федерация, Смоленская область, городской округ город Смоленск, город Смоленск, улица Академическая, земельный участок  2ж, с видом разрешенного использования: для индивидуального жилищного строительства, 1 фото",https://www.cian.ru/sale/commercial/320416054
314240869,Продажа коммерческой земли,"11.0, сот.","Смоленская область, Смоленск, пос. Одинцово, 96","2500000 руб., УСН",79156505429,"Коммерческий участок 2 линия 90 метров от Киевского шоссе,дорого из железобетонных плит до участка.67:27:0000000:811, 3 фото",https://www.cian.ru/sale/commercial/314240869
318847033,Продажа коммерческой земли,"4.6, сот.","Смоленская область, Смоленск, улица 1-я Восточная, 35Б","3550000 руб., УСН",79805796560,"ПРОДАМ  земельный  участок  под КОММЕРЦИЮ ( разрешенное использование :  объекты  розничной торговли ).  Подъeзд  кpуглoгодичный,  acфaльт.  Электричecтво 15 Kвт.  Городская  канализация ,  водоснабжение,  электричество, газоснабжение.  Есть градостроительный план. участка от 2023 г.  Один собственник.  Документы готовы к сделке.  Любая форма расчета.
       Развитая инфраструктура:  застройка частными домами,  многоэтажная застройка, школы  19,10,30. Отель "" Кристина"".
       Рядом улицы:  Фрунзе, Генерала Лукина, Свердлова, Кутузова.

Арт. 107717511, 9 фото",https://www.cian.ru/sale/commercial/318847033
317803797,Продажа коммерческой земли,"30.0, сот.","Смоленская область, Смоленск, пос. Одинцово","4000000 руб., УСН",79107802164,"П.ОДИНЦОВО В 100 М ОТ КИЕВСКОЕ ШОССЕ
Продам участок общей площадью 30 соток (можно 2 по 15 сот.)
Коммуникации ( газ, опоры электро передач) по границе.
Рядом новый авторынок.
Подъездные пути до самого участка.
ОСНОВНЫЕ ВИДЫ РАЗРЕШЕННОГО ИСПОЛЬЗОВАНИЯ:
- Среднеэтажная жилая застройка
- Многоэтажная жилая застройка
- Общественное питание
- Автомобильная мойка
- Земельные участки (территории) общего пользования
- Заправка транспортных средств
- Гостиничное обслуживание
и многое другое......

Более подробная информация по телефону., 6 фото",https://www.cian.ru/sale/commercial/317803797
317132667,Продажа коммерческой земли,"80.0, сот.","Смоленская область, Смоленск, пос. Одинцово","5300000 руб., УСН",79107805378,"Арт. 102651481 Продается  участок 80 соток в городе Смоленск в активной жилой зоне. 

С документами все в порядке, 1 взрослый собственник.

Подходит под застройку: многоэтажная жилая застройка (высотная застройка); среднеэтажная жилая застройка;малоэтажная многоквартирная жилая застройка; гостиничное обслуживание; общественное питание; магазины; размещение гаражей для собственных нужд; коммунальное обслуживание; предоставление коммунальных услуг; административные здания организаций, обеспечивающих предоставление коммунальных услуг; оказание социальной помощи населению; оказание услуг связи; общежития; бытовое обслуживание; медицинские организации особого назначения; дошкольное, начальное и среднее общее образование; среднее и высшее профессиональное образование; объекты культурно-досуговой деятельности; религиозное использование; государственное управление; обеспечение научной деятельности; деловое управление; банковская и страховая деятельность. 

В непосредственной близости от участк ..., 2 фото",https://www.cian.ru/sale/commercial/317132667
317388929,Продажа коммерческой земли,"15.0, сот.","Смоленская область, Смоленск, шоссе Рославльское, 101","6400000 руб., УСН",79156515697,"Описание объекта:


Продается участок коммерческого назначения площадью 15 соток, расположенный по адресу Рославльское шоссе. На территории участка построены склад и офисное помещение, что делает его идеальным для ведения бизнеса. 


Участок огорожен, что обеспечивает безопасность и приватность. Хороший подъезд к территории позволяет удобно организовать логистику и доставку товаров. 


На участке из коммуникаций электричество , что обеспечивает комфортные условия для работы. Это отличная возможность для инвестиций и развития вашего бизнеса в перспективном месте. 


Не упустите шанс приобрести этот выгодный объект!, 4 фото",https://www.cian.ru/sale/commercial/317388929
