ID  объявления,Тип,Площадь,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
320550702,Продажа коммерческой земли,"10.0, сот.","Тверская область, Тверь, Индустриальная улица, 6Б","5000000 руб., УСН","+79190517857, +79190517849","Земельный участок 1010 кв.м.
Кадастровый номер 69:40:0200011:293
Снижена кадастровая стоимость.
Реальным покупателям по запросу вышлем техпаспорт.
Осмотреть можно в любое время.

На земельном участке расположена водонапорная башня общая площадь 276,4 кв.м. Тверь, ул. Индустриальная, д.6е.

Инженерные коммуникации - два стальных трубопровода 952 метра.
Кадастровый номер 69:40:02:00:011:0126:1/019487/37:10000/А(92).
Оформлена в собственность.

Коммуникации обсуждаются отдельно: расположена ТП 400 кВ, подходят два высоковольтных кабеля пропускная способность каждого 3 МВт, подключенные к фидеру ГРУ ТЭЦ 4 с разрешённой мощностью 6 МВт.

Вопросы по телефону и в сообщениях.
Пишите на ватсап, если не ответят., 15 фото",https://www.cian.ru/sale/commercial/320550702
316415973,Продажа коммерческой земли,"16.0, сот.","Тверская область, Тверь, улица Большевиков, 6","7300000 руб., УСН",+79105304308,"Земельный участок под строительство гостиницы, апартаментов, кафе, больницы  
Земельный участок из категории земель поселений с разрешенным использованием -под прочие промышленные предприятия. Участок располагается на территории объекта археологического наследия  Загородский посад, разрешенная этажность построек-не более трех этажей. Имеется градостроительный план земельного участка и проект мини-гостиницы на 29 номеров общей площадью 1100 кв.м. Коммуникации от городских сетей, электрическая мощность -15 кВт с возможностью увеличения. Объект состоит из двух смежных земельных участков (кадастровые номера  
69: 40: 0300220: 100, 69: 40: 0300220: 227), 15 фото",https://www.cian.ru/sale/commercial/316415973
265613960,Продажа коммерческой земли,"500.0, сот.","Тверская область, Тверь, Октябрьский проспект","20000000 руб., УСН",+79100102169,"Земельный участок 5 га. , расположен на Октябрьском проспекте на развязке на месте выезда на трассу М-10. Коммуникации: электричество, газ.., 2 фото",https://www.cian.ru/sale/commercial/265613960
317470200,Продажа коммерческой земли,"300.0, сот.","Тверская область, Тверь, Южный мкр","150000000 руб., УСН",+79157412605,"Территория под инвестпроекты и многоквартирные дома!!! Город Тверь!
Предлагаются к продаже участки площадью 3 до 25 Га в микрорайоне Южный между ул. Левитана и Бурашевским шоссе.
  Уточняйте наличие участков по телефону!, 1 фото",https://www.cian.ru/sale/commercial/317470200
317312376,Продажа коммерческой земли,"23095.0, сот.","Тверская область, Тверь, Подъездной проезд, 10А","200000000 руб., УСН",+79157002059,"Промышленный участок 2,3095 га. (завод ЖБИ) прямая продажа от собственника

Продается промышленная площадка общей площадью 23 095 м² (2,3095 га).
Локация с отличной транспортной доступностью — асфальтированный подъезд с федеральной трассы.

На территории:

Административно-бытовой корпус

Столярный цех 1000 м²

Арматурный цех и склад металла 224,3 м²

Бетонная установка

Башенный кран

Скважина

Электроподстанция 150 кВт

Идеально подойдёт под производство, склад, логистический комплекс.
Возможен торг и обмен., 2 фото",https://www.cian.ru/sale/commercial/317312376
318302628,Продажа коммерческой земли,"500.0, сот.","Тверская область, Тверь, Бурашевское шоссе","225000000 руб., УСН",+79157412605,"Территория под инвестпроекты, многоквартирные дома, КОТТЕДЖИ и ТАУНХАУСЫ!!! Город Тверь!
Предлагаются к продаже участки площадью 3 до 25 Га в микрорайоне Южный между ул. Левитана и Бурашевским шоссе.
Уточняйте наличие участков по телефону!, 1 фото",https://www.cian.ru/sale/commercial/318302628
287387425,Продажа коммерческой земли,"710.0, сот.","Тверская область, Тверь, Трехсвятская улица","670000 руб., УСН","+79394088133, +79881921086","Гектары вашей мечты с выходом на реку и в лес!!!! Возможность обустройства понтонного пирса с выходом прямо к воде чистых рыбных рек . В продаже два земельных участка общей площадью  7,1 Га (3,3 Га +3.8 Га)  для усадьбы и бизнеса Вид разрешенного использования - земли сельскохозяйственного назначения для ведения личного подсобного хозяйства. Один участок расположен у реки Мостовлянка, вдоль дороги Пено - Слаутино-Рунский. Второй участок  на первой береговой линии реки Руна. Идеальный вариант для кемпинга, глэмпинга или рыболовной базы. Тихий, экологически чистый район. Рядом протекает река Волга, расположены озера Стерж, Селигер. В местных водоемах большое разнообразие рыбы - хариус, стерлядь, уклейка, линь, карп, окунь, плотва и пр. Можно использовать для рыбоводства ( выращииваниия,например,форели), рыболовства , Водные просторы большие Река Руна берет начало с о,Истошня и впадает в о,Стерж Разрешено использование катеров,моторных лодок,водных мотоциклов и т д . Участки находятся в с ..., 4 фото",https://www.cian.ru/sale/commercial/287387425
320341203,Продажа коммерческой земли,"13.5, сот.","Тверская область, Тверь, Сухая улица","2816735 руб., УСН",+79157412959,"Данные получены с сайта ГИС Торги.
Лот  1  Цена находящегося в муниципальной собственности земельного участка из земель населенных пунктов, с кадастровым номером 69:40:0300105:450, площадью 1350 кв. м, в границах, указанных в  выписке из ЕГРН об основных характеристиках и зарегистрированных правах,  на объект недвижимости для индивидуального жилищного строительства. Адрес объекта (описание местоположения): Тверская область, г Тверь, ул. Сухая, 2 фото",https://www.cian.ru/sale/commercial/320341203
320341206,Продажа коммерческой земли,"6.65, сот.","Тверская область, Тверь, набережная Афанасия Никитина, 3","4411550 руб., УСН",+79157412959,"Данные получены с сайта ГИС Торги.
Лот  1  Цена находящегося в муниципальной собственности земельного участка из земель населенных пунктов, с кадастровым номером 69:40:0100275:23, площадью 665 кв. м, в границах, указанных в  выписке из ЕГРН об основных характеристиках и зарегистрированных правах  на объект недвижимости для индивидуального жилищного строительства. Адрес объекта (описание местоположения): Тверская область, городской округ город Тверь, город Тверь, набережная Афанасия Никитина, земельный участок 2., 2 фото",https://www.cian.ru/sale/commercial/320341206
316878136,Продажа коммерческой земли,"8.3, сот.","Тверская область, Тверь, улица Анатолия Маслова","8600000 руб., УСН",+79106401864,"Продается земельный участок ИЖС общей площадью 8,28
Отличное месторасположение, асфальт до дома, тихая улица, рядом есть магазин.
Правильной формы.Газ, электричество, вода по границы участка.
Один собственник, без обременений., 1 фото",https://www.cian.ru/sale/commercial/316878136
