ID  объявления,Тип,Площадь,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
314785489,Продажа коммерческой земли,"12.02, сот.","Ульяновская область, Ульяновск, улица Автомобилистов, 8","5000000 руб., УСН",+79170602827,"Продается земельный участок с коммуникациями, полностью асфальтированный.
- Первая линия, можно организовать отдельный заезд.
- Газ есть, своя грпш
- эл.мощности от 100 кВат
- охраняемая территория., 3 фото",https://www.cian.ru/sale/commercial/314785489
316948110,Продажа коммерческой земли,"57.0, сот.","Ульяновская область, Ульяновск, проезд 7-й Инженерный","8150000 руб., УСН",+79876861928,"Эксклюзивное предложение

В продаже Комерческий земельный участок площадью; 0,5673 м2

Кадастровый номер :73:24:021110:654

Номер кадастрового квартала: 73:24;021110:654

1 линия!!!!

Развитая инфраструктура, Отличная транспортная развязка.

Дополнительная парковочная площадка,

Центральные коммуникации.
Полное юридическое сопровождение.
Помощь в создание проекта и строительства., 13 фото",https://www.cian.ru/sale/commercial/316948110
318968308,Продажа коммерческой земли,"8.5, сот.","Ульяновская область, Ульяновск, улица Крымова, 47","16000000 руб., УСН",+79170602827,"Продается земельный участок 8,5 соток со стоящим зданием (не ОКН).
Кадастровый номер: 73:24:041407:103 (кадастровая стоимость 3 млн 800 тыс)
- первая линия
- обратите внимание на соседние участки, они не отмежеваны, можно увеличить участок за счет них.
- все коммуникации: газ, вода, канализация и электричество.
- здание эксплуатируемое, в рабочем состоянии. Месячный арендный поток 180 тысяч рублей 
Рассмотрим разные варианты сотрудничества., 14 фото",https://www.cian.ru/sale/commercial/318968308
319065699,Продажа коммерческой земли,"131.96, сот.","Ульяновская область, Ульяновск, Азовская улица, 76","18000000 руб., УСН",+79176112984,"Продается земельный участок общей площадью 13196 кв. м. (13,2 га). 
Располагается в промышленной зоне Засвияжского района, г. Ульяновска (микрорайон ""Ближнее Засвияжье""). Вдоль берега р. Свияга.
На участке имеется незавершенное строительство, состоящее из двух блоков (предполагалась ремонтно-эксплуатационная база).

Инженерная инфраструктура земельного участка, позволяет подвести центральные коммуникации: водоснабжение, канализацию, газоснабжение, электроснабжение. 




Код пользователя: 168631
Номер в базе: 8038850, 25 фото",https://www.cian.ru/sale/commercial/319065699
313458476,Продажа коммерческой земли,"11.6, га","Ульяновская область, Ульяновск, проезд 9-й Инженерный, 34","44981498 руб., УСН",+79176002493,"ПАО ""Т Плюс"" проводит открытый аукцион на право заключения договора купли-продажи Имущества (База топливоподачи с земельным участком под ним, расположенное по адресу: г. Ульяновск,  9 проезд Инженерный, д. 34.)
Подробности по телефону: +7 (8422) 61-85-61 - Мария, 11 фото",https://www.cian.ru/sale/commercial/313458476
313463799,Продажа коммерческой земли,"26.5, га","Ульяновская область, Ульяновск, проезд 9-й Инженерный, 34","117204000 руб., УСН",+79176002493,"ПАО ""Т Плюс"" проводит открытый аукцион на право заключения договора купли-продажи Имущества (Стройбаза с земельным участком под ним, расположенное по адресу: г. Ульяновск,  9 проезд Инженерный, д. 34.)
Подробности по телефону: +7 (8422) 61-85-61 - Мария, 18 фото",https://www.cian.ru/sale/commercial/313463799
318499397,Продажа коммерческой земли,"0.78, сот.","Ульяновская область, Ульяновск, улица Спасская","100000 руб., УСН",+79157201701,"Участок под гараж, автосервис, склад, бокс. Рядом с трассой и магазином пятёрочка, первая линия трассы. Отличное место под деятельность в сфере транспорта. Размер 78 кв.м. Кадастровый номер 73:07:020102:385. ГПЗУ на руках, по документам можно заниматься предпринимательской, 3 фото",https://www.cian.ru/sale/commercial/318499397
300967135,Продажа коммерческой земли,"4.0, сот.","Ульяновская область, Ульяновск, Береговой СНТ","300000 руб., УСН",+79876309724,"Земельный участок расположен на берегу Волги (2 линия) . До участка можно добраться пешком от остановки Моторный завод. На автотранспорте проезд по спуску к грузовому порту, далее вдоль Волги до турбазы ""Дача"" (участок в непосредственной близости от нее). На участке растут яблони, слива, абрикос., 2 фото",https://www.cian.ru/sale/commercial/300967135
320638157,Продажа коммерческой земли,"2.89, сот.","Ульяновская область, Ульяновск, Свияга СНТ","409900 руб., УСН",+79876307668,"Данные получены с сайта ГИС Торги.
1. Земельный участок, площадь 289 кв.м., кад. 73:24:041127:68, расположенный по адресу: Ульяновская обл., г. Ульяновск, Ленинский р-н, СНТ Свияга, участок  68. (869-у, Лещанов С.В.). Начальная стоимость 409 900,00 рублей., 1 фото",https://www.cian.ru/sale/commercial/320638157
287401657,Продажа коммерческой земли,"6.0, сот.","Ульяновская область, Ульяновск, Вырыпаевка СНТ, 323А","480000 руб., УСН",+79170601012,"Продается земельный участок в 6 соток земли с прекрасным видом на р. Свияга в шаговой доступности, где есть возможность порыбачить, пожарить шашлык и просто побыть наедине с природой, совмещая приятное с полезным, находящийся в черте города.
На участке выкопан колодец из бетонных колец и баллонов, огражден забором.
При необходимости фото предоставлю.
Участок приведен в порядок, документы на руках, без долгов, земля в собственности. Есть возможность провести свет, газ при желании.
Просмотр возможен в любой день, адекватный торг уместен., 11 фото",https://www.cian.ru/sale/commercial/287401657
