ID  объявления,Тип,Площадь,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
320619095,Продажа коммерческой земли,"1.0, га","Республика Крым, Феодосия","1500000 руб., УСН",79883824997,"Продается земельный участок 1 га в Республике Крым Ленинского района вдоль трассы Таврида. Удобные подъездные пути с трассы к участку. Небольшая отдаленность от Черного моря, всего 2,3 км идеально подходит для ведения туристического бизнеса.
Рядом строится ЖК *Просторы Крыма*, что создаст спрос на объекты для культурного посещения и разнообразных экскурсий, поселок Приморский и город курорт Феодосия. Недалеко от земельного участка находится автозаправочная станция и ярмарка сельскохозяйственной продукции.
Невысокая стоимость сейчас, дает возможность заработать хорошие деньги потом.
Участок 1 га - часть экологического кластера из 7 участков ( в продаже 3 земельных участка по 1 га, которые расположены рядом, есть возможность купить сразу 3).
Разработана концепция проекта * Эко - деревня в скандинавском стиле с альпийским шармом*. 
Цена актуальна до начала благоустройства, после запуска работ по благоустройству стоимость земли возрастет.
Высокий туристический потенциал, близость к морю, р ..., 22 фото",https://www.cian.ru/sale/commercial/320619095
319244130,Продажа коммерческой земли,"600.0, сот.","Республика Крым, Феодосия, Колос СПК, улица Приозерная","1900000 руб., УСН",79182121243,"Арт. 109063235 Уникальная возможность инвестирования!
Представляем вашему вниманию элитный земельный участок площадью 6 гектаров, расположенный всего в 15 минутах езды от ласкового побережья Черного моря. 

 Преимущества участка:
 Отличное предложение для инвестиций. 
 Идеальное место для организации семейного отдыха, рыбалки и прогулок на свежем воздухе.
 Прекрасные подъездные пути обеспечивают удобный доступ круглый год.
 Находится непосредственно на берегу чистого озера, окружённого природной зеленью.
 Границы участка проходят рядом с  населенным пунктом, обеспечивая комфортное соседство и развитую инфраструктуру.
 Отличное решение для открытия собственного бизнеса, будь то агротуризм или создание прибыльного крестьянско-фермерского хозяйства.

 Почему именно этот участок?
Этот уникальный объект станет отличным вложением капитала, предоставляя широкие перспективы развития и стабильный доход на долгие годы вперед. Возможность воплотить любые мечты и создать идеальное пространство для ..., 7 фото",https://www.cian.ru/sale/commercial/319244130
312811587,Продажа коммерческой земли,"7.97, сот.","Республика Крым, Феодосия, шоссе Симферопольское","13950000 руб., УСН",79886525145,"Продается участок 8 соток, Симферопольское шоссе, соседствующий по левую сторону с Киммерией.
	Свет и вода на участке, есть постройки гаражи и баня.
	Т.к участок в углублении, 2й этаж любых построек можно сделать коммерцией, фасадом выходящей на Симферопольское шоссе.
	Исключительное место для жизни или ведения бизнеса, вся необходимая инфраструктура в шаговой доступности, начиная от остановок общественного транспорта и магазинчиков, заканчивая супермаркетами и медицинскими центрами, которые в свою очередь генерируют большой трафик.
	Документы РФ полностью готовы к сделке.
	Для записи на просмотр пишите или звоните!, 2 фото",https://www.cian.ru/sale/commercial/312811587
289299682,Продажа коммерческой земли,"40.0, сот.","Республика Крым, Феодосия, улица Дружбы","14999000 руб., УСН",79885592136,"Продам участок 40 соток, ВРИ- туристическое обслуживание, Ближние Камыши, Феодосия.

 Участок ровный, расположен в 350 метрах от береговой линии и самых чистых пляжей.
Категория земель:	земли поселений (земли населенных пунктов), назначение - туристическое обслуживание, коммуникации по границе с участком.  Технические условия на 120 кВт, водопровод и газоснабжение в процессе оформления, дорога отсыпана. 

С реальным покупателем готовы обсуждать условия сделки.

Номер объекта: #1/537201/16929, 5 фото",https://www.cian.ru/sale/commercial/289299682
306519215,Продажа коммерческой земли,"8.0, сот.","Республика Крым, Феодосия, шоссе Симферопольское","15500000 руб., УСН",79189315590,"Земельный участок коммерческого назначения, в данный момент вид разрешенного использования бытовое обслуживание, участок в собственности, на участке расположены два гаража, который также в собственности. Возможно строительство коммерческого здания., 5 фото",https://www.cian.ru/sale/commercial/306519215
319066588,Продажа коммерческой земли,"14.57, сот.","Республика Крым, Феодосия, улица Дмитрия Ульянова","36000000 руб., УСН",79885592136,"Продам перспективный участок в городе ИЖС 14,6 соток в 250 метрах от моря, ул. Д.Ульянова, г. Феодосия.

Участок правильной формы, находится в отличном месте, хорошие подъездные пути, вся инфраструктура. Коммуникации: газ, электричество, вода, канализация - центральные, по границе участка, интернет. Разрешенное использование - индивидуальное жилищное строительство (можно изменить, окажем помощь).

В пешей доступности: автобусная остановка, Комсомольский парк, множество магазинов и супермаркетов, пляж, центр детского творчества, памятники архитектуры и искусства, ресторан У Людмилы, школы и детские сады, городская поликлиника, отделения банков, жд вокзал от куда приезжают поезда Московского и других направлений.

Участок отлично подходит как для строительства большого частного дома, так и для ведения бизнеса. Один собственник, документы РФ, полное юридическое сопровождение.

Номер объекта: #1/537685/16929, 10 фото",https://www.cian.ru/sale/commercial/319066588
318289483,Продажа коммерческой земли,"24.0, сот.","Республика Крым, Феодосия","39999000 руб., УСН",79885592136,"Продается большой земельный 24 сотки участок под гостиничное обслуживание, р-н Золотого пляжа, Керченское шоссе, г. Феодосия.

Участок ровный, прямоугольной формы, длина по над дорогой 80 метров, ширина 30 метров, через дорогу пляж, чистейшее море, кафе, детская площадка и все прелести отдыха на Черноморском побережье. Развитая транспортная развязка, ходит рейсовый автобус, рядом многоэтажные застройки.

Коммуникации: свет, вода, канализация, газ - по границе участка. Один собственник, категория
земель:	земли населенных пунктов, форма собственности: муниципальная, аренда до 30.03.2056 года (после строительства и постановки на кадастровый учет гостиницы можно выкупить),разрешенное использование: гостиничное обслуживание. 

Отличное место для строительства гостиницы вблизи моря! Не упустите свой шанс приобрести не только земля непосредственно возле моря, но и прибыльный, в будущем, бизнес! Полное юридическое сопровождение.

Номер объекта: #1/537709/16929, 16 фото",https://www.cian.ru/sale/commercial/318289483
320542523,Продажа коммерческой земли,"38.0, сот.","Республика Крым, Феодосия, шоссе Симферопольское, 28","65000000 руб., УСН",79892914997,"ШИКАРНОЕ ПРЕДЛОЖЕНИЕ!!!

Продам земельный участок ровный, огороженный, размер по фасаду 57 на 66 м.п. примыкает к скверу. Есть ГПЗУ. Газ заведен, электричество 30 квт заведено ( по 15 Квт), есть центральная канализация, центральный водопровод- проведена труба.",https://www.cian.ru/sale/commercial/320542523
314258733,Продажа коммерческой земли,"337.0, сот.","Республика Крым, Феодосия, шоссе Керченское, 74","200000000 руб., УСН",79898509897,"Код объекта: 1490200.
 Продаются три ровных, смежных участка площадью 3,37 га на побережье Черного моря в Крыму

Участок подходит для строительства апарт-отеля. Здесь можно разместить до 67 300 кв.м апартаментов.

Близкое месторасположение к морю (60м) и доступность со стороны Крымского моста делают эту локацию очень привлекательной для туристов. ""Золотой пляж"" - это уже действующая точка притяжения туристов.

Восточный Крым только набирает обороты развития. На данный момент вложение будет очень выгодным, потому что когда локация будет на пике популярности, цена на недвижимость сильно вырастет. 

Земельные участки расположены в функциональной зоне Зона объектов оздоровительного назначения и туризма (генплан). Вся территория отнесена к
территориальной зоне Р-3 - зона размещения объектов туристического обслуживания (ПЗЗ).

Коммуникации:
     - По информации Феодосийского УЭГХ ГУП РК ""Крымгазсети""  существует техническая возможность подключения проектируемого комплекса к
сетям газоснабжен ..., 5 фото",https://www.cian.ru/sale/commercial/314258733
320161293,Продажа коммерческой земли,"120.57, сот.","Республика Крым, Феодосия","1309850 руб., УСН",79892303600,"Данные получены с сайта ГИС Торги.
земельный участок, площадью 12057 +/- 192 кв.м., земли сельскохозяйственного назначения, кадастровый номер 90:24:060401:222, расположенный по адресу: Республика Крым, г. Феодосия, Береговой сельский совет., 1 фото",https://www.cian.ru/sale/commercial/320161293
