ID  объявления,Тип,Площадь,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
319983437,Продажа коммерческой земли,"10.35, сот.","Хабаровский край, Хабаровск, Краснодарская улица, 40/1","5500000 руб., УСН",+79847298252,"Продается земельный участок десять соток,с отличной локацией,по улице Краснодарская дом 40/1,остановка ""Овощесовхоз"".Категория земель:земли поселений(земли населенных пунктов).Вид разрешенного использования:деловое управление(отличный вариант под коммерцию).Проведено межевание,есть вынос точек. Легкодоступное расположение для автомобильного транспорта и пешеходов. Соискатели земельных участков коммерческого назначения принимаем предложения. 




Код пользователя: 163494
Номер в базе: 8638424, 22 фото",https://www.cian.ru/sale/commercial/319983437
318917909,Продажа коммерческой земли,"35.4, сот.","Хабаровский край, Хабаровск, Посадочная улица, 21","15000000 руб., УСН",+79143706458,"Продается участок 35,4 сотки на Матвеевском шоссе, ул. Посадочная! Уникальное предложение для инвесторов и предпринимателей! Участок расположен напротив аэропорта, что обеспечивает отличную транспортную доступность и высокий трафик. * Категория земель: Земли населенных пунктов. * Разрешенное использование: • Для размещения объектов транспорта • Объект транспорта Преимущества участка: * Старый дом: На участке находится старый дом, который уже зарегистрирован в кадастре, что упрощает процесс оформления. * Ограждение: Участок полностью огорожен профнастилом, что обеспечивает безопасность и приватность. * Подъездные пути: Грунтовые дороги ведут к участку, всего 15 метров до шоссе — удобный доступ для транспорта. * Коммуникации: Столб линии электропередач находится рядом, также есть возможность подключения к централизованной канализации. Этот участок идеально подходит для размещения транспортных объектов, логистических центров или других коммерческих проектов. Не упустите шанс стать владель ..., 12 фото",https://www.cian.ru/sale/commercial/318917909
226464832,Продажа коммерческой земли,"10.0, сот.","Хабаровский край, Хабаровск, улица Некрасова, 12","20000000 руб., УСН",+79141605854,"ВАЖНО! БЕЗ КОМИССИИ. 
Предложение от собственника.
Звоните. 
Сообщения не читаем.

Земельный участок в собственности. 
Назначение под строительство многоквартирного жилого дома. 
Полностью согласован проект 10 - ти этажного жилого дома. 
Въезд на участок с ул. 
Владивостокской. 
Готовы предоставить всю документацию.
Поселений (ИЖС), в Центральном районе по улице: Некрасова. 
Рядом улицы: Карла Маркса, Дикопольцева, Панькова, Ким Ю Чена, Войкова, Владивостокская, Первомайская, Станционная, Серышева.


Количество входов - 1. 
Отдельный с улицы.
Состояние удовлетворительное. 
Материал стен - деревянный. 
Окна - нет. 
Полы - доска. 
Высота потолков - 3. 
Канализация - нет. 
Система отопления - нет. 
Не, 4 фото",https://www.cian.ru/sale/commercial/226464832
314405638,Продажа коммерческой земли,"20.0, сот.","Хабаровский край, Хабаровск, Индустриальная улица","40000000 руб., УСН",+79142110174,"Продается земельный участок 2000 кв. м  на пересечении ул. П. Морозова/ул. Индустриальная.
Бывшая  станция технического осмотра. Участок обнесен  металлическим забором, имеются ворота. На территории находится металлический ангар с оборудованием для диагностики технического состояния транспортных средств, высота ворот 4м +,  
Вагончик для персонала, либо охраны
 Территория заасфальтирована, подъездная  дорога имеется.
 Электричество.
Прекрасно подойдет для авто-мастерской.
В шаговой доступности авторынок запчастей,, автошин, и авто-аксессуаров..
Документы готовы к сделке.
Звоните, записывайтесь на просмотр., 6 фото",https://www.cian.ru/sale/commercial/314405638
318917910,Продажа коммерческой земли,"104.0, сот.","Хабаровский край, Хабаровск, Посадочная улица, 7","55000000 руб., УСН",+79143706458,"Продается уникальный участок площадью 1,4 Га в перспективном районе малого аэропорта! Идеальное предложение для инвесторов и предпринимателей! Этот участок обладает множеством преимуществ: * Удобное расположение: Находится в первой линии от основной трассы города, что обеспечивает высокий трафик и видимость для вашего бизнеса. * Близость к аэропорту: Участок расположен в непосредственной близости от аэропорта, что открывает отличные возможности для бизнеса в сфере логистики, транспорта и туризма. * Разделение на участки: Участок уже разделен на несколько меньших участков, что дает возможность гибко подойти к реализации — вы можете продавать или сдавать их в аренду по мере необходимости. * Асфальтовый съезд: Наличие асфальтового съезда обеспечивает удобный доступ к участку как для личного, так и для коммерческого транспорта. * Развита инфраструктура: Подключение к централизованной канализации и наличие столба линии электропередач на участке упрощают процесс ведения бизнеса. * Назначение ..., 25 фото",https://www.cian.ru/sale/commercial/318917910
315021879,Продажа коммерческой земли,"21711.0, сот.","Хабаровский край, Хабаровск, Воронежская улица, 19","800000000 руб., УСН",+79147705608,"Продается земля в собственности , под здание и сооружение автовокзала . Хабаровский край г.Хабаровск , ул. Воронежская номер земельного участка 19,площадь 21711 кв.м. С НДС., 3 фото",https://www.cian.ru/sale/commercial/315021879
318445204,Продажа коммерческой земли,"60000.0, сот.","Хабаровский край, Хабаровск, Княжничная улица","25000 руб., УСН",+79842902265,"Земля коммерческого назначения. 60 соток. Огорожена забором.
Рельеф участка спокойный, практически ровный. Категория земель - Земли населенных пунктов. Коммерческое назначение, 2 фото",https://www.cian.ru/sale/commercial/318445204
320524835,Продажа коммерческой земли,"6.06, сот.","Хабаровский край, Хабаровск, Имени Мичурина СНТ, 40","302036 руб., УСН",+79144005886,"Данные получены с сайта ГИС Торги.
Земельный участок с местоположением: Хабаровский край, г. Хабаровск, примерно в 40 м по направлению на юго-восток от ориентира  жилое здание, расположенного за пределами участка, адрес ориентира: ул. Ветеран 1-5, уч. 4.  Вид разрешенного использования  для индивидуального жилищного строительства. Кадастровый номер - 27:23:0051419:299 Площадь - 606 кв. м   Форма собственности  неразграниченная Категория земель - земли населенных пунктов., 1 фото",https://www.cian.ru/sale/commercial/320524835
320126582,Продажа коммерческой земли,"20.0, сот.","Хабаровский край, Хабаровск","405720 руб., УСН",+79142103917,"Данные получены с сайта ГИС Торги.
Земельный участок с местоположением: Российская Федерация, Хабаровский край, городской округ ""Город Хабаровск"", город Хабаровск, шоссе Березовское, земельный участок 3/3.  Вид разрешенного использования  Ведение садоводства. Кадастровый номер - 27:23:0010225:765 Площадь - 2000 кв. м  Форма собственности  неразграниченная Категория земель - земли населенных пунктов, 1 фото",https://www.cian.ru/sale/commercial/320126582
320088411,Продажа коммерческой земли,"20.0, сот.","Хабаровский край, Хабаровск","475920 руб., УСН",+79142103917,"Данные получены с сайта ГИС Торги.
Земельный участок с местоположением: Российская Федерация, Хабаровский край, городской округ ""Город Хабаровск"", город Хабаровск, шоссе Березовское, земельный участок 3/1.  Вид разрешенного использования  Ведение садоводства. Кадастровый номер - 27:23:0010225:763. Площадь - 2000 кв. м.  Форма собственности  неразграниченная Категория земель - земли населенных пунктов, 1 фото",https://www.cian.ru/sale/commercial/320088411
