ID  объявления,Тип,Площадь,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
320608972,Продажа коммерческой земли,"366.7, сот.","Челябинская область, Челябинск","109800000 руб., УСН",+79823413884,"Предлагаю Вашему вниманию ровный и сухой земельный участок правильной формы для КОММЕРЧЕСКОЙ застройки. Кадастровый номер: 74:19:0802002:2896 Адрес: улица Северный тракт, Курчатовский район, Краснопольская площадка. Выезд на объездную дорогу Челябинcкa (Уфа - Екатеринбург), Шагол-Екатеренбург.

 Здесь есть все необходимое для реализации Вашего успешного бизнеса:
 Первая линия, к участку подходит дорога с освещением
 1 км до города миллионника - Челябинск
 Высокий автомобильный трафик 
 Газ проходит по границам участка
 Электричество на участке 447 кВт
 Участок ровный, частично отсыпан
 Рядом с земельным участком находится газопровод среднего давления и точка врезки в центральную канализацию. Также рядом  находится одна из самых мощных ГРЭС г. Челябинска (Шагольская ГРЭС).

Подойдет для таких объектов как:
- Г1 зонa пpoмышлeнных объектов I-II и III классoв oпасности.
- Строительство складов и логистических комплексов.
- Торговых объектов.
- Производства.
- И многое другое
.
По всем допо ..., 5 фото",https://www.cian.ru/sale/commercial/320608972
302378184,Продажа коммерческой земли,"17.0, сот.","Челябинская область, Челябинск, пос. Шершни, Рабоче-Колхозная улица, 28А","16500000 руб., УСН",+79173725837,"Продается земельный участок свободного назначения общей площадью 17 сот.
 
Технические характеристики: 
Общая площадь: 1 677 кв.м. (16,7 сот)
Кол-во объектов недвижимости: 3 шт.
Земельные участки  2 шт.
Строение  1шт. (половина жилого дома)
Состояние земельных участков: без благоустройства.
Подъездные пути: асфальт до земельного участка.
Собственник: Физ. лицо
Коммуникации:
Газ  подключен (договор)
Эл-во  подключено (договор)
Вода/водоотведение  подключения нет (есть тех условия)
 
Важно отметить следующие преимущества:
На участке проведены строительные работы по укреплению грунта
Проведены работы по согласованию проекта на строительство 2-х подъездного жилого  дома общей площадью 2 284 кв.м. с подземной парковкой,
Рассматривается вариант долевого строительства на взаимовыгодных условиях 2-х подъездного жилого дом.
 
Транспортная доступность: 
Объект расположен в 200 метрах по асфальтированной дороге до крупной транспортной развязке по ул. Университетская Набережная, соединяющая Центра ..., 8 фото",https://www.cian.ru/sale/commercial/302378184
306058211,Продажа коммерческой земли,"38.0, сот.","Челябинская область, Челябинск, Троицкий тракт","22000000 руб., УСН",+79193002375,"Арт. 71873671 Предлагаем земельный участок с объектом незавершенным строительством в Советском районе (ориентир ТК ""ЧЕЛСИ"", дилерский центр""Мерседес Бенц"").
расположен на выезде/въезде в Троицком направлении
на участке Здание 25% готовности, согласно проекту  общей площадью 2850 м2 ( выполнен фундамент, установлены ригели и плиты  перекрытия)
есть сметы  на завершение строительства ( порядка 15 млн. ""под ключ"")
получены ТУ от 2013 г.  Точка подключения  газа в ста метрах, вода центральная, ТУ на электричество 350 кВт.
Разрешение на строительство бессрочное для  строительства торгово- административного объекта.
возможен обмен на жилье, коммерцию и авто., 13 фото",https://www.cian.ru/sale/commercial/306058211
315377025,Продажа коммерческой земли,"311.0, сот.","Челябинская область, Челябинск, улица Родькина, 13","163000000 руб., УСН",+79127903293,"Продается земельный участок 31 184 м кв по адресу г. Челябинск, ул. Родькина, д.13, с производственными объектами. Земельный участок возможно использовать под строительство многоквартирных домов или под строительство производственной базы.Объекты входят в стоимость земельного участка.
Состояние объектов удовлетворительное. 
Возможна продажа частями.На данный момент все объекты сданы в аренду. Сумма арендных платежей в районе 800 000 руб.
Объём электрической энергии — 115 кВт. Возможно увеличение мощности.Водоснабжения и газа нет.
На территории есть КПП.
 Отвечу на интересующие вопросы., 11 фото",https://www.cian.ru/sale/commercial/315377025
297404804,Продажа коммерческой земли,"250.0, сот.","Челябинская область, Челябинск, проспект Новоградский, 64","170000000 руб., УСН",+79173725837,"Продается земельный участок на первой линии Новоградского тракта, подходящий для строительства торгового комплекса, в одном из самых развивающихся направлений города в сторону п. Кременкуль. 

Расстояние от центра г. Челябинска: 15 км.
Общая площадь: 2,50 Га
Категория земель: Земли поселений (земли населенных пунктов)
Разрешенное использование: Строительство объекта торговли. 
Вид права: Собственность
Коммуникации:
Эл-во - 300 кВт
Местонахождение: Челябинская область, р-н Сосновский, Новоградский тракт. 

Звоните! Будем рады ответить на ваши вопросы.

Арт. 13545106, 2 фото",https://www.cian.ru/sale/commercial/297404804
317762154,Продажа коммерческой земли,"20.0, сот.","Челябинская область, Челябинск, улица Родькина, 13","12000000 руб., УСН",+79127903293,"Продается земельный участок 31 184 м кв по адресу г. Челябинск, ул. Родькина, д.13, с производственными объектами. Земельный участок возможно использовать под строительство многоквартирных домов или под строительство производственной базы.Объекты входят в стоимость земельного участка.
Состояние объектов удовлетворительное. 
Возможна продажа частями. 20 соток. На данный момент все объекты сданы в аренду. Сумма арендных платежей в районе 800 000 руб.
Объём электрической энергии — 115 кВт. Возможно увеличение мощности.Водоснабжения и газа нет.
На территории есть КПП.
Отвечу на интересующие вопросы., 10 фото",https://www.cian.ru/sale/commercial/317762154
320316238,Продажа коммерческой земли,"14.0, сот.","Челябинская область, Челябинск, Енисейская улица, 52П/1","18000000 руб., УСН",+79823610905,"Код объекта: 1628088.
 Уникальное предложение для инвесторов и предпринимателей: продаётся земельный участок площадью 14 соток в Челябинске, на Енисейской улице, 52П/1. Участок имеет статус ""Промназначения"", к нему легко подъехать по асфальтированной дороге. Есть возможность сделать второй въезд на участок с асфальтированной дороги. Участок оборудован всеми необходимыми коммуникациями: электричеством, водоснабжением, газом и септиком.

Это идеальный вариант для тех, кто хочет реализовать свой проект в черте города. Всего в одном километре от участка находится центр Челябинска.

Не упустите возможность стать владельцем этого земельного участка. Позвоните нам прямо сейчас, чтобы узнать больше и договориться о просмотре.

Мы гарантируем безопасную сделку и юридическую поддержку!, 13 фото",https://www.cian.ru/sale/commercial/320316238
317802562,Продажа коммерческой земли,"40.0, сот.","Челябинская область, Челябинск, улица Родькина, 13","22000000 руб., УСН",+79127903293,"Продается земельный участок 31 184 м кв по адресу г. Челябинск, ул. Родькина, д.13, с производственными объектами. Земельный участок возможно использовать под строительство многоквартирных домов или под строительство производственной базы.Объекты входят в стоимость земельного участка.
Состояние объектов удовлетворительное. 
Возможна продажа частями. 40 соток.На данный момент все объекты сданы в аренду. Сумма арендных платежей в районе 800 000 руб.
Объём электрической энергии — 115 кВт. Возможно увеличение мощности.Водоснабжения и газа нет.
На территории есть КПП.
Звоните, отвечу на интересующие вопросы., 7 фото",https://www.cian.ru/sale/commercial/317802562
316329699,Продажа коммерческой земли,"11.0, сот.","Челябинская область, Челябинск, Ереванская улица, 6","29000000 руб., УСН",+79823007213,"Продам земельный участок коммерческого назначения, в динамично развивающемся месте, в данный момент поданы все заявления на ТУ,  готовится проектная документация для поручения РНС, есть предложения от продуктового ритейла подробности при встрече.  Проект здания 1040 кв.м. два этажа по 520м., 5 фото",https://www.cian.ru/sale/commercial/316329699
320218546,Продажа коммерческой земли,"26.0, сот.","Челябинская область, Челябинск, Отечественная улица","30000000 руб., УСН",+79193110063,"Продам земельный участок площадью 26 соток. Перспектива участка его нахождение в окружении нового строящегося жилого комплекса Геометрия счастья. Возможность постройки 900 первый уровень и 500 второй. Все коммуникации по границе участка. Земля в аренде. Есть предварительно согласованный арендатор федеральный  ритейл на 400 метров по 1000 рублей., 11 фото",https://www.cian.ru/sale/commercial/320218546
