ID  объявления,Тип,Площадь,Адрес,Цена,Телефоны,Описание,Ссылка на объявление
305359978,Продажа коммерческой земли,"11.79, сот.","Ярославская область, Ярославль, пос. Нижний, улица 2-я Ляпинская, 14","5200000 руб., УСН",+79159801108,"ОТ СОБСТВЕННИКА. БЕЗ КОМИССИИ ДЛЯ ПОКУПАТЕЛЯ.
* Работаем без выходных и праздников. Звоните с 10:00 до 20:00 *

Продам участок земли в Заволжском районе на Нижнем поселке.
Адрес: ул. 2-я Ляпинская, у д. 14.
Назначение: большой спектр вариантов использования участка (жилые и нежилые строения; перечислены в ГПЗУ, который можем прислать по запросу).
 Характеристики участка:
Общая площадь: 1179 кв. м. Зона Ж.3.
На участке находятся два строения: гараж и водонапорная башня. По желанию покупателя строения могут быть снесены силами собственника перед покупкой.
Цена продажи: 5,2 млн рублей.
Преимущества:
зона Ж.3 с большим перечнем разрешенного использования (указан в ГПЗУ, который можем прислать по запросу);
до остановок общественного транспорта порядка 200 м, 5 маршрутов.

Арт. 70787535, 12 фото",https://www.cian.ru/sale/commercial/305359978
304824056,Продажа коммерческой земли,"30.0, сот.","Ярославская область, Ярославль, улица Гагарина, 65","30000000 руб., УСН",+79159801108,"ОТ СОБСТВЕННИКА. БЕЗ КОМИССИИ ДЛЯ ПОКУПАТЕЛЯ.
* Работаем без выходных и праздников. Звоните с 10:00 до 20:00 *

Продам участок земли на первой линии ул. Гагарина в промзоне.
Адрес: ул. Гагарина, между домами  65 и 67 (два въезда с асфальтированной дороги).

Назначение: размещение автосервиса, мойки, автостоянки; база пиломатериалов; пункт приёма вторсырья (металлолом, макулатура, пластик и т.п.); складирование и продажа сыпучих материалов, ЖБИ и т.п..
 
Характеристики участка:
 Зона П3. 
Водоснабжение, канализация - на данный момент нет, но есть техническая возможность подключения воды и канализации при необходимости (коммуникации находятся в границах участка).
Электричество: 30 кВт с возможностью увеличения, розетка, счетчик.
Вагончик-бытовка.
Доступ 24/7.
Территория огорожена, есть ворота.
Возможность установки вывески на заборе.
Ранее на участке располагался пункт приема металлолома.

Преимущества:
первая линия ул. Гагарина;
участок ровный, с твердым покрытием;
полуразрушенное здани ..., 14 фото",https://www.cian.ru/sale/commercial/304824056
319047084,Продажа коммерческой земли,"90.0, сот.","Ярославская область, Ярославль, проспект Октября, 78кЕ14А","43000000 руб., УСН",+79106629570,"Ленинский район земельный участок на проспекте Октября 
с коммуникациями в наличии: вода центральная, канализация центральная- ( электричество возможно от 100 до 500 кв) , газ рядом.
Дорога через проспект октября  грунтовая и выезд на полушкину рощу (через рельсы)
Есть проект складского комплекса, 4 фото",https://www.cian.ru/sale/commercial/319047084
319816753,Продажа коммерческой земли,"3.7, га","Ярославская область, Ярославль, проезд Домостроителей, 7","51302291 руб., УСН",+79159104715,"Просьба звонить с 8. 30 до 17:00 часов в будние дни.
АО Железнодорожная торговая компания в лице Ярославского филиала АО ЖТК, предлагает к продаже посредством проведения открытого аукциона  ЯФ/Н-026/2025 в электронной форме на право заключения договора купли-продажи следующее недвижимое имущество: сооружение  комплекс торгово-закупочной базы общей                                площадью 5516, 6 кв. м с кадастровым  76:23:010101:196242 , расположенный по адресу: Ярославская обл. , г. Ярославль, пр-зд Домостроителей, д. 7 на земельном участке площадью 37 938 кв. м, состоящий из:
1. Здание склада площадью 2 695 кв. м, 
2. Здание проходной площадью 24, 80 кв. м,
3. Здание гаража 199, 20 кв. м
4. Здание картофелехранилища площадью 2 597, 60 кв. м
5. Забор железобетонный протяженность 500 м	 
6.  Земельный участок с кадастровым номером: 76:23:020701:205
Земли населенных пунктов, ВРИ: для эксплуатации сооружения-комплекса торгово-закупочной базы Ярославского отдела рабочего снабжения, адрес:  ..., 8 фото",https://www.cian.ru/sale/commercial/319816753
320063098,Продажа коммерческой земли,"501.0, сот.","Ярославская область, Ярославль, Волгостроевская набережная","65000000 руб., УСН",+79109720902,"Пpодаeтся горoдская земля на бeрeгу Волги (40 м oт бeрегa, 1 линия). Kaдаcтpoвый нoмeр 76:23:022402:425.площадь 51212 м2, (5.1 Га). Земли нaceлeнных пунктoв. Для испoльзoвания пpомышленных cтpoений. 
Учaстoк в пpoцeсcе пеpeвoдa пoд ИЖC. 
Eсть возмoжноcть пoдвода централизoванногo водопpoвода, элeктpичecтва, газа.
К земле имеется проект Аква отель Холмы. 
С проектом отдельные условия., 5 фото",https://www.cian.ru/sale/commercial/320063098
316121906,Продажа коммерческой земли,"56.0, сот.","Ярославская область, Ярославль, проспект Октября, 78литЧ","235000000 руб., УСН",+79106629570,"Производственно-складской комплекс с офисом 2107, 6 кв. м на земельном участке 56 соток (состоит из двух участков) можно участок увеличить до 175 соток( все в собственности)
Ключевые характеристики:
Выгодная локация- г. Ярославль проспект Октября, удобное расположение, транспортная доступность
Земельный участок 56 соток- Огороженная, охраняемая территория, видео наблюдение по всему периметру территории, в складских, производственных и в офисных помещениях. Площадка удобна для разгрузки и хранения. Новая асфальтированная территория для тяжелого грузового транспорта.
Здание 2107, 6кв. м. год постройки 2015
Производственно-складские помещения 1652 кв. м 1 этаж с высотой потолков 7-10 м), Офис 455 кв. м в 2-х этажах ( мебель всю оставляем)
Инженерные коммуникации:
Электричество:  РУ на территории комплекса с величиной ном. мощности 400кВА, и максимальной мощностью 360 кВт (есть возможность увеличения)
Центральная городская система водоснабжения и водоотведения
Магистральный природный газ(о ..., 11 фото",https://www.cian.ru/sale/commercial/316121906
315525467,Продажа коммерческой земли,"40.0, сот.","Ярославская область, Ярославль, Ленинградский проспект, 70","150000 руб., УСН",+79806614721,"Продается участок земли под палатку для сезонной работы (фрукты/овощи арбузы/дыня), 3 фото",https://www.cian.ru/sale/commercial/315525467
320180123,Продажа коммерческой земли,"4.65, сот.","Ярославская область, Ярославль, Красноармейская улица","1228000 руб., УСН",+79106638084,"Данные получены с сайта ГИС Торги.
Российская Федерация, Ярославская область, городской округ город Ярославль, город Ярославль, улица Красноармейская, земельный участок 7, 1 фото",https://www.cian.ru/sale/commercial/320180123
320602459,Продажа коммерческой земли,"6.39, сот.","Ярославская область, Ярославль, пос. Скобыкино, 10А","1464125 руб., УСН",+79109604869,"Данные получены с сайта ГИС Торги.
Земельный участок, площадь 639,00 кв.м., кадастровый  76:23:010502:27, местоположение установлено относительно ориентира, расположенного в границах участка, почтовый адрес ориентира: обл. Ярославская, п. Скобыкино, (в районе д. 10а), на тер-рии находится постройка 1 Штука (шт), 1 фото",https://www.cian.ru/sale/commercial/320602459
320648203,Продажа коммерческой земли,"0.54, сот.","Ярославская область, Ярославль, Черная Грива садовое товарищество, 146",1631799 руб.,+79806506045,"Данные в объявлении обновляются раз в сутки. Подробные параметры объекта, актуальные данные и НДС посмотрите на сайте электронных торгов.",https://www.cian.ru/sale/commercial/320648203
